Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2013-06-26,22.85,22.85,18.1,18.15,18.45,12210.0,2.38,NSE/CEREBRAINT
2013-06-27,19.5,19.5,18.0,18.0,18.0,795.0,0.14,NSE/CEREBRAINT
2013-06-28,18.0,18.0,18.0,18.0,18.0,1000.0,0.18,NSE/CEREBRAINT
2013-07-01,19.85,19.85,16.5,16.5,16.5,440.0,0.08,NSE/CEREBRAINT
2013-07-02,16.9,17.75,15.15,17.5,17.5,62032.0,10.21,NSE/CEREBRAINT
2013-07-03,16.2,17.95,16.2,16.55,16.55,500.0,0.08,NSE/CEREBRAINT
2013-07-04,17.05,18.45,16.0,16.0,16.05,5952.0,0.96,NSE/CEREBRAINT
2013-07-05,16.1,16.45,15.3,16.45,15.95,3817.0,0.6,NSE/CEREBRAINT
2013-07-08,16.0,16.0,15.6,15.6,15.6,705.0,0.11,NSE/CEREBRAINT
2013-07-09,14.8,14.8,14.8,14.8,14.8,25.0,0.0,NSE/CEREBRAINT
2013-07-10,14.0,15.85,14.0,14.6,15.2,1440.0,0.21,NSE/CEREBRAINT
2013-07-11,16.5,16.5,14.5,16.25,16.4,54376.0,8.32,NSE/CEREBRAINT
2013-07-12,15.05,16.75,15.0,15.75,15.75,13941.0,2.19,NSE/CEREBRAINT
2013-07-15,16.0,16.0,16.0,16.0,16.0,4000.0,0.64,NSE/CEREBRAINT
2013-07-16,16.95,17.0,16.0,16.0,16.1,3150.0,0.53,NSE/CEREBRAINT
2013-07-17,16.35,16.35,15.95,15.95,15.95,380.0,0.06,NSE/CEREBRAINT
2013-07-18,15.95,15.95,15.95,15.95,15.95,750.0,0.12,NSE/CEREBRAINT
2013-07-19,15.4,15.5,15.15,15.5,15.3,4400.0,0.68,NSE/CEREBRAINT
2013-07-22,15.35,15.4,15.35,15.35,15.35,600.0,0.09,NSE/CEREBRAINT
2013-07-23,17.65,17.65,12.3,12.3,12.3,60829.0,7.73,NSE/CEREBRAINT
2013-07-24,9.85,9.85,9.85,9.85,9.85,35562.0,3.5,NSE/CEREBRAINT
2013-07-25,8.9,8.9,8.9,8.9,8.9,18182.0,1.62,NSE/CEREBRAINT
2013-07-26,8.05,8.05,8.05,8.05,8.05,7044.0,0.57,NSE/CEREBRAINT
2013-07-29,7.25,8.85,7.25,8.85,8.85,297832.0,22.87,NSE/CEREBRAINT
2013-07-30,8.85,9.5,8.0,8.85,8.85,59022.0,5.12,NSE/CEREBRAINT
2013-07-31,8.4,8.6,8.0,8.25,8.35,48025.0,3.94,NSE/CEREBRAINT
2013-08-01,8.65,8.65,7.75,8.0,8.0,14221.0,1.14,NSE/CEREBRAINT
