Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,10.75,10.75,10.3,10.5,10.45,13900.0,1.46,NSE/CHAMBLFERT
2001-01-02,10.45,11.0,10.45,10.5,10.55,15900.0,1.71,NSE/CHAMBLFERT
2001-01-03,10.55,10.95,10.55,10.95,10.9,16550.0,1.79,NSE/CHAMBLFERT
2001-01-04,10.65,10.9,10.3,10.3,10.35,31550.0,3.32,NSE/CHAMBLFERT
2001-01-05,10.5,11.0,10.35,10.6,10.7,14479.0,1.55,NSE/CHAMBLFERT
2001-01-08,10.8,10.95,10.35,10.35,10.35,18200.0,1.93,NSE/CHAMBLFERT
2001-01-09,10.35,10.8,10.3,10.3,10.5,43950.0,4.6,NSE/CHAMBLFERT
2001-01-10,11.0,11.0,10.3,10.85,10.85,16710.0,1.79,NSE/CHAMBLFERT
2001-01-11,10.65,10.8,10.55,10.7,10.7,14000.0,1.49,NSE/CHAMBLFERT
2001-01-12,10.75,10.8,10.45,10.75,10.7,15350.0,1.64,NSE/CHAMBLFERT
2001-01-15,10.5,10.85,10.5,10.6,10.65,16348.0,1.74,NSE/CHAMBLFERT
2001-01-16,10.55,10.7,10.3,10.6,10.6,34293.0,3.64,NSE/CHAMBLFERT
2001-01-17,12.0,12.0,10.5,10.65,10.65,56749.0,6.31,NSE/CHAMBLFERT
2001-01-18,10.55,10.75,10.55,10.6,10.6,34950.0,3.72,NSE/CHAMBLFERT
2001-01-19,10.55,10.8,10.5,10.55,10.55,65150.0,6.91,NSE/CHAMBLFERT
2001-01-22,10.5,10.8,10.35,10.6,10.55,53225.0,5.65,NSE/CHAMBLFERT
2001-01-23,10.55,10.7,10.45,10.5,10.55,21750.0,2.29,NSE/CHAMBLFERT
2001-01-24,10.6,10.7,10.5,10.55,10.55,56501.0,5.97,NSE/CHAMBLFERT
2001-01-25,10.65,10.7,10.5,10.65,10.65,22049.0,2.34,NSE/CHAMBLFERT
2001-01-29,10.7,10.8,10.6,10.7,10.75,12550.0,1.34,NSE/CHAMBLFERT
2001-01-30,10.55,11.5,10.55,10.7,10.65,88900.0,9.58,NSE/CHAMBLFERT
2001-01-31,10.5,10.95,10.5,10.85,10.85,44675.0,4.84,NSE/CHAMBLFERT
2001-02-01,11.0,11.0,10.75,10.95,10.9,57305.0,6.21,NSE/CHAMBLFERT
