Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-05-18,164.4,164.4,142.3,143.0,145.4,3442.0,5.22,NSE/CHEMFALKAL
2006-05-19,145.0,149.0,135.0,135.0,137.25,865.0,1.21,NSE/CHEMFALKAL
2006-05-22,134.0,137.0,125.0,135.0,135.0,447.0,0.6,NSE/CHEMFALKAL
2006-05-23,131.0,132.05,129.0,132.0,132.0,172.0,0.23,NSE/CHEMFALKAL
2006-05-24,153.9,154.9,135.0,137.0,137.0,1227.0,1.71,NSE/CHEMFALKAL
2006-05-26,140.0,140.0,135.0,138.0,138.0,355.0,0.49,NSE/CHEMFALKAL
2006-05-29,137.0,137.0,133.0,133.0,133.0,370.0,0.49,NSE/CHEMFALKAL
2006-05-30,126.0,134.0,126.0,133.25,133.25,363.0,0.48,NSE/CHEMFALKAL
2006-05-31,131.25,131.25,131.0,131.0,131.0,200.0,0.26,NSE/CHEMFALKAL
2006-06-01,122.0,133.0,122.0,129.5,126.95,397.0,0.52,NSE/CHEMFALKAL
2006-06-02,116.0,121.0,115.0,118.25,118.25,640.0,0.75,NSE/CHEMFALKAL
2006-06-05,120.55,123.0,120.55,123.0,123.0,40.0,0.05,NSE/CHEMFALKAL
2006-06-06,117.0,117.0,111.1,115.8,115.8,149.0,0.17,NSE/CHEMFALKAL
2006-06-07,114.0,120.1,94.5,94.5,94.5,2000.0,2.13,NSE/CHEMFALKAL
2006-06-08,80.0,98.8,79.95,98.8,98.8,1327.0,1.12,NSE/CHEMFALKAL
2006-06-09,99.0,106.0,95.0,106.0,105.95,731.0,0.72,NSE/CHEMFALKAL
2006-06-12,106.0,106.0,99.0,103.0,103.0,646.0,0.66,NSE/CHEMFALKAL
2006-06-13,98.0,109.7,92.7,98.4,97.95,992.0,0.99,NSE/CHEMFALKAL
2006-06-14,91.0,98.95,89.95,98.95,93.4,927.0,0.87,NSE/CHEMFALKAL
2006-06-15,94.0,94.25,94.0,94.25,94.25,92.0,0.09,NSE/CHEMFALKAL
2006-06-16,103.65,103.65,103.65,103.65,103.65,1.0,0.0,NSE/CHEMFALKAL
2006-06-19,113.0,113.0,103.0,104.35,104.35,1028.0,1.07,NSE/CHEMFALKAL
2006-06-20,101.3,105.0,101.15,104.0,104.25,753.0,0.78,NSE/CHEMFALKAL
2006-06-21,109.95,114.2,109.8,114.2,114.2,151.0,0.17,NSE/CHEMFALKAL
2006-06-22,119.0,119.0,119.0,119.0,119.0,25.0,0.03,NSE/CHEMFALKAL
2006-06-23,117.0,123.5,113.1,117.5,117.4,575.0,0.67,NSE/CHEMFALKAL
2006-06-25,120.0,120.0,116.0,120.0,118.2,2200.0,2.6,NSE/CHEMFALKAL
2006-06-26,115.0,115.0,115.0,115.0,115.0,100.0,0.12,NSE/CHEMFALKAL
2006-06-27,112.95,113.0,109.5,109.5,109.55,250.0,0.28,NSE/CHEMFALKAL
2006-06-28,107.0,108.85,107.0,108.85,108.85,123.0,0.13,NSE/CHEMFALKAL
2006-06-29,105.5,105.5,104.5,104.5,104.5,345.0,0.36,NSE/CHEMFALKAL
2006-06-30,105.0,105.0,105.0,105.0,105.0,50.0,0.05,NSE/CHEMFALKAL
2006-07-03,108.7,108.85,108.7,108.85,108.85,100.0,0.11,NSE/CHEMFALKAL
2006-07-04,103.75,108.0,103.75,108.0,108.0,81.0,0.09,NSE/CHEMFALKAL
2006-07-05,109.85,113.35,106.0,113.0,110.1,505.0,0.56,NSE/CHEMFALKAL
2006-07-06,108.1,108.1,105.0,107.9,105.5,1010.0,1.07,NSE/CHEMFALKAL
2006-07-07,110.0,110.0,103.1,103.1,103.1,1511.0,1.6,NSE/CHEMFALKAL
2006-07-10,106.9,106.9,98.05,101.0,98.95,282.0,0.28,NSE/CHEMFALKAL
2006-07-11,103.9,103.9,98.2,98.25,98.25,339.0,0.34,NSE/CHEMFALKAL
2006-07-12,99.95,100.05,99.95,100.05,100.05,470.0,0.47,NSE/CHEMFALKAL
2006-07-13,100.0,101.0,98.8,98.8,98.8,601.0,0.61,NSE/CHEMFALKAL
2006-07-14,102.6,102.6,102.6,102.6,102.6,100.0,0.1,NSE/CHEMFALKAL
2006-07-17,97.55,99.0,97.55,98.55,98.55,800.0,0.79,NSE/CHEMFALKAL
2006-07-18,95.0,95.0,95.0,95.0,95.0,264.0,0.25,NSE/CHEMFALKAL
2006-07-19,92.0,92.0,92.0,92.0,92.0,50.0,0.05,NSE/CHEMFALKAL
2006-07-20,95.0,95.0,87.6,87.6,89.2,71.0,0.06,NSE/CHEMFALKAL
2006-07-21,85.0,88.0,85.0,85.0,85.55,965.0,0.83,NSE/CHEMFALKAL
2006-07-24,82.1,87.9,82.0,87.9,87.9,547.0,0.45,NSE/CHEMFALKAL
2006-07-25,84.05,86.95,84.05,84.35,84.4,265.0,0.23,NSE/CHEMFALKAL
2006-07-26,88.4,88.45,85.6,88.45,88.45,360.0,0.31,NSE/CHEMFALKAL
2006-07-28,90.0,92.4,90.0,92.4,92.4,950.0,0.86,NSE/CHEMFALKAL
2006-07-31,97.05,97.05,97.05,97.05,97.05,31.0,0.03,NSE/CHEMFALKAL
2006-08-01,101.9,101.9,101.9,101.9,101.9,400.0,0.41,NSE/CHEMFALKAL
2006-08-02,106.8,107.0,106.8,107.0,107.0,200.0,0.21,NSE/CHEMFALKAL
2006-08-03,111.95,112.35,111.95,112.35,112.35,407.0,0.46,NSE/CHEMFALKAL
2006-08-04,114.0,118.0,110.0,110.0,110.0,1882.0,2.14,NSE/CHEMFALKAL
2006-08-07,114.25,114.25,109.5,109.5,109.5,400.0,0.44,NSE/CHEMFALKAL
2006-08-08,105.05,108.8,105.05,108.8,108.8,450.0,0.49,NSE/CHEMFALKAL
2006-08-09,108.8,113.5,108.8,113.5,113.5,297.0,0.33,NSE/CHEMFALKAL
2006-08-10,115.0,115.0,109.5,111.5,111.5,206.0,0.23,NSE/CHEMFALKAL
2006-08-11,113.0,113.5,113.0,113.5,113.05,435.0,0.49,NSE/CHEMFALKAL
2006-08-14,117.0,122.95,115.4,115.4,115.4,570.0,0.67,NSE/CHEMFALKAL
2006-08-16,112.05,119.0,112.05,119.0,119.0,51.0,0.06,NSE/CHEMFALKAL
2006-08-17,120.0,120.0,111.75,117.0,117.0,840.0,0.97,NSE/CHEMFALKAL
2006-08-18,111.55,118.0,111.55,111.95,112.0,140.0,0.16,NSE/CHEMFALKAL
2006-08-21,114.2,119.8,111.25,119.0,114.9,1607.0,1.86,NSE/CHEMFALKAL
2006-08-22,120.95,123.9,114.4,114.4,116.0,3633.0,4.39,NSE/CHEMFALKAL
2006-08-23,112.0,117.9,112.0,112.1,112.1,500.0,0.57,NSE/CHEMFALKAL
2006-08-24,115.15,115.15,110.9,110.9,110.9,175.0,0.2,NSE/CHEMFALKAL
2006-08-25,112.0,112.0,110.0,110.0,111.6,250.0,0.28,NSE/CHEMFALKAL
2006-08-28,109.5,113.4,109.5,113.4,113.4,125.0,0.14,NSE/CHEMFALKAL
2006-08-29,113.0,113.0,111.95,111.95,111.95,100.0,0.11,NSE/CHEMFALKAL
2006-08-30,114.8,114.8,106.5,111.7,111.7,926.0,1.03,NSE/CHEMFALKAL
2006-08-31,107.25,110.85,107.0,107.2,107.2,1405.0,1.52,NSE/CHEMFALKAL
2006-09-04,108.05,109.0,108.0,108.4,108.55,830.0,0.9,NSE/CHEMFALKAL
2006-09-05,108.0,108.0,104.2,104.2,105.4,352.0,0.38,NSE/CHEMFALKAL
