Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-02,6.5,6.5,6.45,6.45,6.45,300.0,0.02,NSE/CHESLINTEX
2001-01-03,6.7,6.7,6.25,6.25,6.25,700.0,0.04,NSE/CHESLINTEX
2001-01-04,6.5,6.5,6.2,6.2,6.2,600.0,0.04,NSE/CHESLINTEX
2001-01-05,6.2,6.5,6.2,6.25,6.25,300.0,0.02,NSE/CHESLINTEX
2001-01-08,6.0,6.0,6.0,6.0,6.0,300.0,0.02,NSE/CHESLINTEX
2001-01-09,6.45,6.45,6.45,6.45,6.45,500.0,0.03,NSE/CHESLINTEX
2001-01-10,6.05,6.05,6.0,6.05,6.05,500.0,0.03,NSE/CHESLINTEX
2001-01-11,6.1,7.0,6.1,7.0,7.0,1700.0,0.11,NSE/CHESLINTEX
2001-01-12,6.8,7.0,6.8,7.0,7.0,1000.0,0.07,NSE/CHESLINTEX
2001-01-16,5.95,5.95,5.85,5.85,5.85,20100.0,1.2,NSE/CHESLINTEX
2001-01-19,5.85,6.5,5.75,6.45,6.45,1700.0,0.1,NSE/CHESLINTEX
2001-01-22,6.0,6.0,6.0,6.0,6.0,500.0,0.03,NSE/CHESLINTEX
2001-01-23,6.0,6.05,6.0,6.05,6.05,300.0,0.02,NSE/CHESLINTEX
2001-01-24,6.5,6.5,6.15,6.4,6.4,1200.0,0.08,NSE/CHESLINTEX
2001-01-25,6.8,8.5,6.8,6.9,6.9,6600.0,0.51,NSE/CHESLINTEX
2001-01-29,6.3,7.0,6.3,6.95,6.95,2400.0,0.16,NSE/CHESLINTEX
2001-01-30,6.95,7.15,6.6,6.6,6.7,6900.0,0.48,NSE/CHESLINTEX
2001-01-31,7.1,7.15,6.8,6.8,6.8,3600.0,0.25,NSE/CHESLINTEX
2001-02-02,7.0,7.0,6.65,7.0,7.0,2200.0,0.15,NSE/CHESLINTEX
2001-02-05,7.0,7.05,6.95,7.0,7.0,3000.0,0.21,NSE/CHESLINTEX
2001-02-06,7.0,7.2,7.0,7.15,7.05,7200.0,0.51,NSE/CHESLINTEX
2001-02-07,6.55,7.05,6.55,7.0,7.0,1700.0,0.12,NSE/CHESLINTEX
2001-02-08,7.0,7.7,6.45,7.7,7.45,10200.0,0.72,NSE/CHESLINTEX
2001-02-09,9.0,9.0,6.95,6.95,6.95,2200.0,0.16,NSE/CHESLINTEX
2001-02-12,6.8,7.3,6.75,7.1,7.1,9300.0,0.64,NSE/CHESLINTEX
2001-02-13,6.5,7.2,6.5,6.6,6.75,2800.0,0.19,NSE/CHESLINTEX
2001-02-14,7.15,7.15,7.0,7.0,7.0,700.0,0.05,NSE/CHESLINTEX
2001-02-15,7.1,7.1,6.65,7.1,7.1,3200.0,0.23,NSE/CHESLINTEX
2001-02-16,7.0,7.15,7.0,7.15,7.15,400.0,0.03,NSE/CHESLINTEX
2001-02-19,6.3,7.0,6.3,6.75,6.75,300.0,0.02,NSE/CHESLINTEX
2001-02-20,6.5,6.75,6.5,6.75,6.75,1100.0,0.07,NSE/CHESLINTEX
2001-02-21,6.75,7.45,6.75,7.45,7.4,5200.0,0.38,NSE/CHESLINTEX
2001-02-22,7.45,7.6,7.0,7.0,7.0,6000.0,0.43,NSE/CHESLINTEX
2001-02-23,7.4,7.6,7.0,7.5,7.5,22700.0,1.65,NSE/CHESLINTEX
2001-02-26,7.5,7.5,7.1,7.35,7.35,7200.0,0.53,NSE/CHESLINTEX
2001-02-27,7.1,7.75,7.0,7.5,7.5,4700.0,0.34,NSE/CHESLINTEX
2001-02-28,6.6,8.5,6.6,8.0,8.0,4900.0,0.39,NSE/CHESLINTEX
2001-03-01,7.7,7.8,7.0,7.05,7.05,4700.0,0.35,NSE/CHESLINTEX
2001-03-02,7.05,7.5,7.05,7.5,7.5,2600.0,0.19,NSE/CHESLINTEX
2001-03-05,7.0,7.4,7.0,7.0,7.05,3900.0,0.27,NSE/CHESLINTEX
