Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-05-17,420.0,420.0,360.0,366.6,371.65,4374.0,17.04,NSE/CHETTINAD
2007-05-18,384.0,404.4,371.1,404.4,400.0,10648.0,42.5,NSE/CHETTINAD
2007-05-21,386.0,398.5,386.0,387.5,387.6,16081.0,62.72,NSE/CHETTINAD
2007-05-22,390.0,400.25,388.25,400.25,400.15,2129.0,8.3,NSE/CHETTINAD
2007-05-23,372.65,394.65,371.5,375.1,375.1,422.0,1.58,NSE/CHETTINAD
2007-05-24,375.55,400.0,365.0,400.0,399.8,11466.0,45.8,NSE/CHETTINAD
2007-05-25,363.2,400.0,363.2,399.9,399.9,10061.0,40.24,NSE/CHETTINAD
2007-05-28,383.0,383.0,383.0,383.0,383.0,2.0,0.01,NSE/CHETTINAD
2007-05-29,383.0,404.0,373.5,404.0,401.7,726.0,2.89,NSE/CHETTINAD
2007-05-30,382.25,410.0,382.25,410.0,409.95,50398.0,206.61,NSE/CHETTINAD
2007-05-31,400.0,400.0,392.25,392.25,392.25,295.0,1.17,NSE/CHETTINAD
2007-06-01,392.25,398.15,377.15,380.0,380.0,110.0,0.42,NSE/CHETTINAD
2007-06-04,380.0,380.0,375.0,375.0,375.0,103.0,0.39,NSE/CHETTINAD
2007-06-05,368.75,370.0,350.05,367.05,367.2,600.0,2.17,NSE/CHETTINAD
2007-06-06,382.0,382.0,368.05,382.0,377.5,132.0,0.5,NSE/CHETTINAD
2007-06-07,390.0,390.0,362.4,378.35,378.35,2005.0,7.43,NSE/CHETTINAD
2007-06-08,380.0,380.0,380.0,380.0,380.0,4.0,0.02,NSE/CHETTINAD
2007-06-11,330.3,389.9,330.3,380.0,380.0,11017.0,41.15,NSE/CHETTINAD
2007-06-12,380.0,389.2,380.0,389.15,389.15,166.0,0.65,NSE/CHETTINAD
2007-06-13,354.1,385.0,354.1,385.0,384.3,37.0,0.14,NSE/CHETTINAD
2007-06-14,408.95,460.1,388.5,399.0,391.45,794.0,3.21,NSE/CHETTINAD
2007-06-15,375.5,399.95,375.0,398.1,398.15,10028.0,39.92,NSE/CHETTINAD
2007-06-18,377.7,401.0,377.0,395.0,395.0,25894.0,101.72,NSE/CHETTINAD
2007-06-19,427.0,427.0,391.0,395.9,393.9,25688.0,101.34,NSE/CHETTINAD
2007-06-20,410.0,410.0,400.0,401.15,402.45,26465.0,106.53,NSE/CHETTINAD
2007-06-21,404.0,409.0,400.05,404.1,403.55,27390.0,110.53,NSE/CHETTINAD
2007-06-22,402.0,408.9,401.05,402.5,402.5,41027.0,165.79,NSE/CHETTINAD
2007-06-25,474.4,474.4,431.0,438.0,438.35,2881.0,12.63,NSE/CHETTINAD
2007-06-26,435.0,441.0,435.0,436.0,436.05,1015.0,4.44,NSE/CHETTINAD
2007-06-27,430.0,443.9,429.0,430.25,432.1,479.0,2.08,NSE/CHETTINAD
2007-06-28,440.0,460.0,432.0,432.0,440.05,1997.0,8.98,NSE/CHETTINAD
2007-06-29,458.0,458.0,425.0,433.05,433.05,397.0,1.75,NSE/CHETTINAD
2007-07-02,358.85,458.95,358.85,442.0,442.0,1592.0,7.04,NSE/CHETTINAD
2007-07-03,435.25,443.0,435.0,443.0,441.45,365.0,1.61,NSE/CHETTINAD
2007-07-04,447.0,452.9,445.0,450.0,450.0,860.0,3.87,NSE/CHETTINAD
2007-07-05,400.0,450.0,400.0,432.0,433.0,324.0,1.41,NSE/CHETTINAD
2007-07-06,449.0,449.0,421.0,435.0,434.65,1247.0,5.41,NSE/CHETTINAD
2007-07-09,434.95,435.0,432.25,433.0,432.55,40714.0,177.09,NSE/CHETTINAD
2007-07-10,432.0,435.0,430.5,434.95,434.95,14490.0,63.02,NSE/CHETTINAD
2007-07-11,422.0,435.0,422.0,434.95,434.95,2026.0,8.81,NSE/CHETTINAD
2007-07-12,434.95,434.95,431.1,432.1,432.1,773.0,3.34,NSE/CHETTINAD
2007-07-13,434.95,435.0,432.3,432.3,432.5,815.0,3.54,NSE/CHETTINAD
2007-07-16,430.1,435.1,430.1,435.0,435.0,52548.0,228.51,NSE/CHETTINAD
2007-07-17,440.0,440.0,433.1,435.0,434.9,10036.0,43.67,NSE/CHETTINAD
2007-07-18,439.95,439.95,435.0,435.1,435.1,25398.0,110.49,NSE/CHETTINAD
2007-07-19,439.0,439.9,435.0,435.0,436.2,4067.0,17.7,NSE/CHETTINAD
2007-07-20,435.0,437.0,435.0,435.0,435.0,3794.0,16.51,NSE/CHETTINAD
2007-07-23,435.1,435.6,435.0,435.55,435.55,1689.0,7.35,NSE/CHETTINAD
2007-07-24,439.0,440.0,435.2,435.25,437.6,1715.0,7.48,NSE/CHETTINAD
2007-07-25,435.5,440.0,432.5,439.3,435.9,1100.0,4.8,NSE/CHETTINAD
2007-07-26,435.0,435.1,435.0,435.0,435.0,2300.0,10.01,NSE/CHETTINAD
2007-07-27,434.0,435.0,430.0,435.0,435.0,350.0,1.52,NSE/CHETTINAD
2007-07-30,430.0,435.1,430.0,433.05,433.05,3770.0,16.27,NSE/CHETTINAD
2007-07-31,432.1,440.0,432.1,432.5,432.5,102.0,0.44,NSE/CHETTINAD
2007-08-01,431.1,439.0,430.0,431.35,431.5,7601.0,32.74,NSE/CHETTINAD
2007-08-02,431.25,435.5,431.25,433.15,433.9,8023.0,34.83,NSE/CHETTINAD
2007-08-03,434.5,434.5,430.55,430.55,430.55,245.0,1.06,NSE/CHETTINAD
2007-08-06,439.9,439.9,431.3,431.45,431.45,381.0,1.65,NSE/CHETTINAD
