Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-05-23,23.95,30.05,14.1,14.1,15.8,43465.0,9.34,NSE/CILNOVA
2011-05-24,15.05,16.0,15.05,15.5,15.35,9271.0,1.41,NSE/CILNOVA
2011-05-25,15.25,15.75,14.6,15.75,15.75,6532.0,1.0,NSE/CILNOVA
2011-05-26,15.0,15.5,15.0,15.5,15.5,6357.0,0.96,NSE/CILNOVA
2011-05-27,16.0,16.0,15.25,16.0,15.8,6991.0,1.09,NSE/CILNOVA
2011-05-30,15.25,15.65,15.25,15.25,15.25,6775.0,1.05,NSE/CILNOVA
2011-05-31,15.25,15.5,15.25,15.5,15.5,18481.0,2.86,NSE/CILNOVA
2011-06-01,15.0,15.5,15.0,15.5,15.5,17147.0,2.66,NSE/CILNOVA
2011-06-02,16.3,16.3,15.05,16.3,16.3,36720.0,5.98,NSE/CILNOVA
2011-06-03,16.3,17.15,16.3,17.15,17.15,21129.0,3.62,NSE/CILNOVA
2011-06-06,18.2,18.2,16.75,17.9,17.2,28797.0,5.06,NSE/CILNOVA
2011-06-07,17.5,17.5,14.3,17.0,17.0,16016.0,2.6,NSE/CILNOVA
2011-06-08,16.4,17.4,14.1,16.5,16.5,17571.0,2.89,NSE/CILNOVA
2011-06-09,14.7,17.0,14.7,16.4,16.05,15153.0,2.45,NSE/CILNOVA
2011-06-10,16.5,16.95,15.65,15.65,15.7,2409.0,0.38,NSE/CILNOVA
2011-06-13,15.1,15.5,15.1,15.25,15.25,12259.0,1.89,NSE/CILNOVA
2011-06-14,15.5,17.25,15.0,16.65,16.3,10349.0,1.6,NSE/CILNOVA
2011-06-15,16.0,16.45,15.5,15.5,15.6,24578.0,3.86,NSE/CILNOVA
2011-06-16,15.5,16.0,15.5,15.75,15.6,22151.0,3.46,NSE/CILNOVA
2011-06-17,15.0,15.75,15.0,15.3,15.3,20380.0,3.12,NSE/CILNOVA
2011-06-20,15.3,15.3,15.0,15.0,15.0,11710.0,1.77,NSE/CILNOVA
2011-06-21,14.0,15.25,12.5,15.0,15.15,17209.0,2.6,NSE/CILNOVA
2011-06-22,15.1,15.3,15.0,15.25,15.25,21433.0,3.26,NSE/CILNOVA
2011-06-23,14.0,15.9,14.0,15.9,15.9,16919.0,2.61,NSE/CILNOVA
2011-06-24,15.25,16.8,15.25,16.8,16.4,24227.0,3.78,NSE/CILNOVA
2011-06-27,15.3,17.9,15.3,15.75,15.7,18401.0,2.86,NSE/CILNOVA
2011-06-28,15.45,16.0,15.4,15.7,15.55,25793.0,4.05,NSE/CILNOVA
2011-06-29,15.5,16.7,15.45,16.5,16.6,22676.0,3.61,NSE/CILNOVA
2011-06-30,16.15,18.0,16.15,16.5,16.5,26712.0,4.41,NSE/CILNOVA
2011-07-01,16.1,17.0,15.9,17.0,17.0,16552.0,2.67,NSE/CILNOVA
2011-07-04,16.4,17.0,16.1,16.6,16.75,10933.0,1.8,NSE/CILNOVA
2011-07-05,16.0,16.6,16.0,16.55,16.45,19749.0,3.24,NSE/CILNOVA
2011-07-06,16.15,16.4,15.7,16.25,16.25,12707.0,2.06,NSE/CILNOVA
2011-07-07,16.2,16.5,15.4,15.4,16.2,12628.0,2.06,NSE/CILNOVA
