Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2014-01-13,8.25,10.9,8.25,10.15,10.15,4467.0,0.43,NSE/CINELINE
2014-01-14,10.0,10.3,9.05,9.95,9.95,125.0,0.01,NSE/CINELINE
2014-01-15,9.75,10.35,9.1,10.0,10.0,565.0,0.06,NSE/CINELINE
2014-01-16,9.75,10.15,8.7,9.5,8.8,26269.0,2.4,NSE/CINELINE
2014-01-17,9.95,10.25,9.35,10.15,10.1,9172.0,0.9,NSE/CINELINE
2014-01-20,10.45,10.75,10.15,10.75,10.75,1242.0,0.13,NSE/CINELINE
2014-01-21,10.0,10.45,9.9,10.45,10.45,733.0,0.07,NSE/CINELINE
2014-01-22,10.0,10.5,9.35,10.5,10.05,568.0,0.06,NSE/CINELINE
2014-01-23,10.0,10.0,9.65,9.7,9.7,2747.0,0.27,NSE/CINELINE
2014-01-24,9.5,9.95,9.25,9.85,9.85,3196.0,0.3,NSE/CINELINE
2014-01-27,9.4,9.45,9.05,9.45,9.2,632.0,0.06,NSE/CINELINE
2014-01-28,9.1,9.45,8.7,9.45,9.4,2505.0,0.22,NSE/CINELINE
2014-01-29,8.8,9.7,8.8,9.7,9.35,204.0,0.02,NSE/CINELINE
2014-01-30,9.35,9.4,8.25,9.25,9.25,8079.0,0.72,NSE/CINELINE
2014-01-31,8.25,9.15,8.25,8.95,8.8,7837.0,0.69,NSE/CINELINE
2014-02-03,8.5,9.75,8.5,8.8,8.8,4238.0,0.39,NSE/CINELINE
2014-02-04,8.9,9.3,8.9,8.95,8.95,3402.0,0.31,NSE/CINELINE
2014-02-05,8.55,9.5,8.5,9.25,9.15,3209.0,0.28,NSE/CINELINE
2014-02-06,8.7,9.15,8.7,9.1,8.95,377.0,0.03,NSE/CINELINE
2014-02-07,8.7,9.0,8.35,8.75,8.65,6371.0,0.55,NSE/CINELINE
2014-02-10,8.5,8.7,8.5,8.7,8.7,1381.0,0.12,NSE/CINELINE
2014-02-11,8.3,8.8,8.3,8.8,8.65,274.0,0.02,NSE/CINELINE
2014-02-12,8.7,8.7,8.65,8.65,8.65,120.0,0.01,NSE/CINELINE
2014-02-13,8.6,8.6,8.6,8.6,8.6,1250.0,0.11,NSE/CINELINE
2014-02-14,8.2,8.5,8.0,8.45,8.45,3542.0,0.29,NSE/CINELINE
