Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2012-06-13,14.1,14.95,14.1,14.1,14.4,15688.0,2.22,NSE/CINEPRO
2012-06-14,13.7,14.0,13.7,13.7,13.7,13265.0,1.83,NSE/CINEPRO
2012-06-15,13.8,13.8,13.05,13.05,13.05,5665.0,0.76,NSE/CINEPRO
2012-06-18,13.05,13.25,12.4,12.7,12.6,6330.0,0.81,NSE/CINEPRO
2012-06-19,12.5,12.5,12.0,12.35,12.35,2476.0,0.3,NSE/CINEPRO
2012-06-20,12.4,12.4,11.75,12.2,12.2,5702.0,0.68,NSE/CINEPRO
2012-06-21,11.65,12.8,11.65,12.8,12.7,6051.0,0.75,NSE/CINEPRO
2012-06-22,12.8,13.3,12.8,13.3,13.3,6290.0,0.81,NSE/CINEPRO
2012-06-25,13.95,13.95,13.95,13.95,13.95,6332.0,0.88,NSE/CINEPRO
2012-06-26,14.6,14.6,14.0,14.6,14.6,6583.0,0.96,NSE/CINEPRO
2012-06-27,16.0,17.5,15.35,17.5,17.5,108928.0,18.57,NSE/CINEPRO
2012-06-28,18.5,20.0,16.2,18.8,19.1,145357.0,27.52,NSE/CINEPRO
2012-06-29,19.35,19.65,17.4,18.2,18.15,44263.0,8.18,NSE/CINEPRO
2012-07-02,18.0,19.0,17.5,17.5,17.65,16059.0,2.91,NSE/CINEPRO
2012-07-03,17.9,18.4,17.0,17.25,17.1,16492.0,2.88,NSE/CINEPRO
2012-07-04,17.1,20.5,16.05,18.95,19.35,244162.0,48.06,NSE/CINEPRO
2012-07-05,20.0,20.0,18.4,19.0,18.85,46302.0,8.84,NSE/CINEPRO
2012-07-06,18.95,18.95,17.8,17.8,18.05,9083.0,1.66,NSE/CINEPRO
2012-07-09,17.9,18.0,17.25,17.5,17.5,3924.0,0.69,NSE/CINEPRO
2012-07-10,18.0,18.0,17.0,17.35,17.35,5959.0,1.04,NSE/CINEPRO
2012-07-11,17.0,17.9,17.0,17.7,17.3,6011.0,1.04,NSE/CINEPRO
2012-07-12,17.0,17.7,17.0,17.3,17.45,3916.0,0.67,NSE/CINEPRO
2012-07-13,17.5,17.55,16.55,16.95,17.0,6780.0,1.16,NSE/CINEPRO
2012-07-16,17.5,19.5,16.2,17.2,16.6,26153.0,4.47,NSE/CINEPRO
2012-07-17,18.4,18.4,16.85,17.0,16.9,6944.0,1.2,NSE/CINEPRO
2012-07-18,17.1,17.1,16.8,16.9,16.9,495.0,0.08,NSE/CINEPRO
2012-07-19,16.7,17.85,16.5,17.4,17.2,12398.0,2.13,NSE/CINEPRO
2012-07-20,16.8,17.45,16.55,16.65,16.65,3779.0,0.63,NSE/CINEPRO
2012-07-23,16.55,16.95,16.25,16.35,16.35,4604.0,0.76,NSE/CINEPRO
2012-07-24,16.5,16.5,16.1,16.45,16.45,2225.0,0.36,NSE/CINEPRO
2012-07-25,16.5,16.5,15.8,16.45,15.9,5394.0,0.86,NSE/CINEPRO
2012-07-26,15.7,16.0,15.4,16.0,15.45,2349.0,0.37,NSE/CINEPRO
2012-07-27,15.45,16.4,15.15,15.95,15.55,13723.0,2.11,NSE/CINEPRO
2012-07-30,15.85,16.95,15.5,16.65,16.3,5620.0,0.9,NSE/CINEPRO
2012-07-31,16.0,16.6,15.65,16.55,16.45,899.0,0.14,NSE/CINEPRO
2012-08-01,16.0,17.7,15.55,16.4,16.8,17517.0,2.96,NSE/CINEPRO
2012-08-02,17.55,17.8,16.9,16.9,16.9,3636.0,0.63,NSE/CINEPRO
2012-08-03,17.5,19.2,16.3,16.85,16.45,6633.0,1.12,NSE/CINEPRO
2012-08-06,16.15,16.8,16.15,16.75,16.75,3131.0,0.52,NSE/CINEPRO
2012-08-07,16.4,16.9,16.4,16.75,16.5,2067.0,0.34,NSE/CINEPRO
