Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,150.0,156.5,147.5,150.9,150.85,61520.0,93.69,NSE/CINEVISTA
2001-01-02,149.15,152.95,145.0,148.15,147.05,30977.0,45.92,NSE/CINEVISTA
2001-01-03,147.0,150.0,145.5,148.0,147.7,16342.0,24.16,NSE/CINEVISTA
2001-01-04,153.65,156.9,148.5,149.25,149.15,32813.0,49.55,NSE/CINEVISTA
2001-01-05,148.0,149.5,146.2,148.8,147.9,23391.0,34.6,NSE/CINEVISTA
2001-01-08,146.0,147.5,138.0,138.05,138.55,20284.0,28.8,NSE/CINEVISTA
2001-01-09,136.1,137.9,132.0,132.3,132.65,44910.0,60.08,NSE/CINEVISTA
2001-01-10,135.75,141.0,134.5,138.45,137.05,27764.0,38.28,NSE/CINEVISTA
2001-01-11,140.8,140.8,135.0,136.45,135.7,14086.0,19.25,NSE/CINEVISTA
2001-01-12,138.2,138.2,131.5,132.0,132.3,22691.0,30.47,NSE/CINEVISTA
2001-01-15,136.0,136.0,122.05,126.5,126.05,18951.0,23.79,NSE/CINEVISTA
2001-01-16,123.0,128.0,121.05,122.0,122.45,26385.0,32.87,NSE/CINEVISTA
2001-01-17,124.1,129.6,124.0,125.6,125.4,21815.0,27.68,NSE/CINEVISTA
2001-01-18,126.4,127.4,116.0,121.3,120.85,37401.0,45.04,NSE/CINEVISTA
2001-01-19,122.5,130.5,122.0,130.5,129.75,54598.0,69.59,NSE/CINEVISTA
2001-01-22,129.0,135.95,129.0,132.2,133.25,47492.0,62.96,NSE/CINEVISTA
2001-01-23,132.0,134.0,128.0,132.0,130.85,30793.0,40.49,NSE/CINEVISTA
2001-01-24,134.0,134.7,131.1,132.6,132.7,17294.0,23.01,NSE/CINEVISTA
2001-01-25,135.8,135.8,129.0,130.2,129.9,20658.0,26.99,NSE/CINEVISTA
2001-01-29,124.0,125.0,120.0,122.0,122.1,10731.0,13.15,NSE/CINEVISTA
2001-01-30,121.05,125.8,121.05,124.0,123.75,17610.0,21.84,NSE/CINEVISTA
2001-01-31,125.95,129.7,123.0,123.75,123.5,22626.0,28.47,NSE/CINEVISTA
2001-02-01,122.0,123.8,113.65,113.65,113.65,49867.0,58.16,NSE/CINEVISTA
2001-02-02,108.25,111.7,104.6,104.6,104.8,80439.0,86.35,NSE/CINEVISTA
2001-02-05,100.0,106.0,96.45,97.9,97.0,57952.0,57.64,NSE/CINEVISTA
2001-02-06,94.0,96.95,93.35,95.4,95.05,65989.0,62.77,NSE/CINEVISTA
2001-02-07,96.0,100.5,95.0,97.4,97.35,59211.0,58.32,NSE/CINEVISTA
2001-02-08,98.0,99.3,96.55,98.95,98.65,20725.0,20.32,NSE/CINEVISTA
2001-02-09,98.0,99.0,96.0,96.0,96.15,25646.0,24.88,NSE/CINEVISTA
2001-02-12,95.5,96.3,92.1,94.3,94.9,16187.0,15.3,NSE/CINEVISTA
2001-02-13,94.5,102.5,94.0,99.4,99.05,89526.0,88.66,NSE/CINEVISTA
2001-02-14,99.9,104.85,99.1,103.35,102.5,68491.0,69.92,NSE/CINEVISTA
2001-02-15,104.5,105.25,102.55,103.1,103.25,31567.0,32.79,NSE/CINEVISTA
2001-02-16,103.0,103.75,98.0,99.4,98.95,37900.0,38.26,NSE/CINEVISTA
2001-02-19,99.85,102.4,97.5,98.4,98.4,25820.0,25.74,NSE/CINEVISTA
2001-02-20,98.2,99.6,93.1,94.05,94.1,42195.0,40.17,NSE/CINEVISTA
2001-02-21,93.3,95.9,92.5,93.85,93.45,22080.0,20.76,NSE/CINEVISTA
2001-02-22,90.4,93.0,87.0,89.25,89.55,16252.0,14.59,NSE/CINEVISTA
2001-02-23,93.0,93.0,82.4,82.4,82.4,20362.0,17.41,NSE/CINEVISTA
2001-02-26,80.1,83.0,77.0,78.3,78.7,18790.0,14.93,NSE/CINEVISTA
2001-02-27,83.0,83.0,72.4,72.4,72.4,31470.0,23.28,NSE/CINEVISTA
2001-02-28,68.0,78.2,68.0,78.2,78.2,35790.0,27.3,NSE/CINEVISTA
2001-03-01,83.9,83.9,77.0,78.35,77.95,29534.0,23.86,NSE/CINEVISTA
2001-03-02,80.8,80.8,71.75,72.0,72.05,18370.0,13.42,NSE/CINEVISTA
2001-03-05,69.0,69.0,66.3,66.3,66.3,20665.0,13.86,NSE/CINEVISTA
2001-03-07,68.95,71.6,62.5,71.6,71.0,25916.0,17.74,NSE/CINEVISTA
2001-03-08,69.0,71.45,65.5,65.5,66.05,12364.0,8.37,NSE/CINEVISTA
2001-03-09,61.5,63.85,60.8,60.8,61.2,7852.0,4.82,NSE/CINEVISTA
2001-03-12,60.0,61.0,56.3,56.3,56.3,9303.0,5.35,NSE/CINEVISTA
2001-03-13,51.8,53.35,51.8,51.8,51.8,10650.0,5.52,NSE/CINEVISTA
2001-03-14,47.7,53.9,47.7,51.2,51.9,12994.0,6.37,NSE/CINEVISTA
2001-03-15,48.1,54.0,48.1,53.0,53.2,15835.0,8.18,NSE/CINEVISTA
2001-03-16,49.1,54.6,49.1,49.8,50.25,17319.0,9.05,NSE/CINEVISTA
2001-03-19,51.0,51.0,47.05,47.75,47.85,8021.0,3.85,NSE/CINEVISTA
2001-03-20,47.9,48.0,44.05,44.3,44.3,17241.0,7.72,NSE/CINEVISTA
2001-03-21,44.7,46.1,43.35,46.1,45.55,7059.0,3.15,NSE/CINEVISTA
2001-03-22,46.0,46.2,42.1,42.1,42.5,13064.0,5.79,NSE/CINEVISTA
2001-03-23,40.4,42.95,39.1,40.25,40.7,11046.0,4.53,NSE/CINEVISTA
2001-03-26,38.3,42.0,38.2,41.05,40.8,5145.0,2.09,NSE/CINEVISTA
2001-03-27,41.5,44.05,41.05,44.05,43.7,16235.0,6.9,NSE/CINEVISTA
2001-03-28,46.9,47.2,43.3,47.2,47.2,9508.0,4.45,NSE/CINEVISTA
2001-03-29,47.2,48.5,44.1,48.0,47.8,10843.0,5.02,NSE/CINEVISTA
2001-03-30,46.05,47.4,45.0,45.75,45.5,12212.0,5.57,NSE/CINEVISTA
2001-04-02,42.0,45.0,41.9,43.6,42.9,12173.0,5.15,NSE/CINEVISTA
2001-04-03,42.5,45.0,42.5,44.95,44.15,8742.0,3.82,NSE/CINEVISTA
2001-04-04,42.5,43.85,41.05,43.0,43.05,5965.0,2.53,NSE/CINEVISTA
2001-04-06,43.3,45.9,42.0,43.95,43.95,4663.0,2.05,NSE/CINEVISTA
2001-04-09,43.0,43.0,41.3,42.0,42.35,3784.0,1.59,NSE/CINEVISTA
2001-04-10,41.7,41.75,39.5,40.0,40.05,6968.0,2.84,NSE/CINEVISTA
2001-04-11,40.0,41.5,38.25,38.25,38.95,4333.0,1.71,NSE/CINEVISTA
2001-04-12,37.95,37.95,35.85,35.85,35.95,7245.0,2.62,NSE/CINEVISTA
2001-04-16,36.0,38.85,35.35,38.85,38.8,5556.0,2.05,NSE/CINEVISTA
2001-04-17,37.05,41.2,37.0,40.5,39.55,5210.0,2.05,NSE/CINEVISTA
2001-04-18,42.4,42.75,42.0,42.75,42.75,3796.0,1.61,NSE/CINEVISTA
2001-04-19,45.0,46.2,44.0,45.8,45.9,11813.0,5.43,NSE/CINEVISTA
2001-04-20,43.0,45.45,43.0,44.85,44.4,6118.0,2.71,NSE/CINEVISTA
2001-04-23,41.3,46.0,41.3,43.5,44.0,6451.0,2.86,NSE/CINEVISTA
2001-04-24,43.5,44.75,42.1,43.6,44.25,8226.0,3.57,NSE/CINEVISTA
2001-04-25,45.15,47.8,45.15,47.15,47.3,8150.0,3.83,NSE/CINEVISTA
2001-04-26,48.7,49.05,44.0,44.0,44.65,9456.0,4.37,NSE/CINEVISTA
2001-04-27,42.1,43.85,41.1,41.1,41.1,4831.0,1.99,NSE/CINEVISTA
2001-04-30,40.8,43.8,38.05,43.6,42.55,5941.0,2.47,NSE/CINEVISTA
2001-05-02,44.75,44.75,43.1,43.1,43.3,2100.0,0.92,NSE/CINEVISTA
2001-05-03,42.3,43.15,40.9,41.0,40.95,3955.0,1.65,NSE/CINEVISTA
2001-05-04,40.05,41.3,38.1,41.3,41.3,2116.0,0.84,NSE/CINEVISTA
2001-05-07,41.35,43.0,41.35,41.8,41.9,3739.0,1.58,NSE/CINEVISTA
2001-05-08,40.75,42.7,40.75,42.7,42.0,3086.0,1.29,NSE/CINEVISTA
2001-05-09,43.9,44.55,43.0,43.0,43.1,6417.0,2.81,NSE/CINEVISTA
2001-05-10,42.25,42.5,41.4,42.5,42.3,3223.0,1.35,NSE/CINEVISTA
2001-05-11,42.0,42.0,41.6,42.0,41.85,1178.0,0.49,NSE/CINEVISTA
2001-05-14,41.6,41.6,40.7,40.7,40.75,1590.0,0.66,NSE/CINEVISTA
2001-05-15,40.0,43.0,37.5,43.0,42.05,11502.0,4.61,NSE/CINEVISTA
2001-05-16,43.9,43.9,41.5,41.9,41.65,8014.0,3.39,NSE/CINEVISTA
