Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,1035.0,1060.0,1015.0,1024.75,1026.7,152375.0,1577.47,NSE/CIPLA
2001-01-02,1021.5,1054.0,1021.5,1036.0,1040.95,161603.0,1679.91,NSE/CIPLA
2001-01-03,1035.0,1085.0,960.0,1081.25,1066.55,374798.0,3915.99,NSE/CIPLA
2001-01-04,1087.75,1117.0,1041.1,1051.0,1052.65,298237.0,3230.86,NSE/CIPLA
2001-01-05,1058.0,1092.0,1052.0,1070.0,1074.8,157756.0,1695.68,NSE/CIPLA
2001-01-08,1070.0,1160.7,1060.0,1108.0,1104.6,378443.0,4194.58,NSE/CIPLA
2001-01-09,1101.2,1124.0,1082.5,1104.0,1097.65,177471.0,1951.45,NSE/CIPLA
2001-01-10,1119.0,1119.0,1071.1,1083.0,1077.85,131911.0,1434.44,NSE/CIPLA
2001-01-11,1089.0,1102.0,1076.05,1089.5,1088.1,146726.0,1602.75,NSE/CIPLA
2001-01-12,1096.0,1101.1,1052.0,1060.0,1071.85,193040.0,2091.28,NSE/CIPLA
2001-01-15,1067.0,1091.95,1030.0,1089.0,1085.0,105150.0,1121.87,NSE/CIPLA
2001-01-16,1090.0,1098.0,1074.05,1082.0,1079.2,98562.0,1069.89,NSE/CIPLA
2001-01-17,1085.0,1094.0,1064.0,1074.0,1074.35,55479.0,596.93,NSE/CIPLA
2001-01-18,1072.55,1080.0,1070.0,1078.5,1076.65,25502.0,274.35,NSE/CIPLA
2001-01-19,1082.0,1090.0,1075.0,1084.9,1079.6,91836.0,994.01,NSE/CIPLA
2001-01-22,1085.0,1125.0,1085.0,1095.0,1093.35,148868.0,1644.05,NSE/CIPLA
2001-01-23,1098.0,1111.0,1085.2,1095.0,1099.05,124601.0,1366.72,NSE/CIPLA
2001-01-24,1106.0,1109.5,1091.0,1102.0,1096.6,62502.0,685.2,NSE/CIPLA
2001-01-25,1104.0,1104.0,1075.0,1079.0,1082.9,96642.0,1048.49,NSE/CIPLA
2001-01-29,1070.0,1075.0,1035.0,1061.0,1063.35,61410.0,651.99,NSE/CIPLA
2001-01-30,1069.0,1102.0,1062.0,1097.0,1093.1,110027.0,1192.96,NSE/CIPLA
2001-01-31,1121.0,1150.0,1120.0,1125.0,1124.85,245228.0,2779.64,NSE/CIPLA
