Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-05-05,86.7,87.65,84.0,87.5,86.4,6327.0,5.43,NSE/CLASSIC
2004-05-06,85.0,89.0,84.2,89.0,87.0,5220.0,4.51,NSE/CLASSIC
2004-05-07,87.0,88.5,79.0,87.9,86.9,3606.0,3.1,NSE/CLASSIC
2004-05-10,82.25,88.0,82.25,85.9,85.9,552.0,0.46,NSE/CLASSIC
2004-05-11,83.0,83.0,77.4,77.5,78.1,2267.0,1.8,NSE/CLASSIC
2004-05-12,78.15,81.4,78.15,81.4,81.1,795.0,0.64,NSE/CLASSIC
2004-05-13,81.0,81.0,79.5,79.5,80.4,600.0,0.48,NSE/CLASSIC
2004-05-14,77.0,79.0,72.5,72.5,72.6,2456.0,1.84,NSE/CLASSIC
2004-05-17,79.9,79.9,71.1,71.1,72.85,1358.0,1.03,NSE/CLASSIC
2004-05-18,70.0,73.5,67.0,73.5,73.5,1351.0,0.95,NSE/CLASSIC
2004-05-19,70.75,76.0,66.4,76.0,71.3,925.0,0.66,NSE/CLASSIC
2004-05-20,73.0,75.05,73.0,74.0,74.0,405.0,0.3,NSE/CLASSIC
2004-05-21,72.0,74.0,72.0,72.3,73.6,488.0,0.36,NSE/CLASSIC
2004-05-24,77.75,80.0,77.25,77.25,77.45,1226.0,0.96,NSE/CLASSIC
2004-05-25,81.0,81.0,74.1,74.55,75.25,650.0,0.49,NSE/CLASSIC
2004-05-26,75.0,79.4,75.0,76.0,76.0,806.0,0.61,NSE/CLASSIC
2004-05-27,78.0,78.0,71.6,77.95,73.2,411.0,0.3,NSE/CLASSIC
2004-05-28,72.05,76.95,71.1,71.1,71.1,850.0,0.61,NSE/CLASSIC
2004-05-31,69.9,75.7,69.9,72.0,72.0,10500.0,7.47,NSE/CLASSIC
2004-06-01,60.1,76.5,60.1,71.0,70.3,2911.0,2.07,NSE/CLASSIC
2004-06-02,81.0,84.4,70.0,70.0,72.05,4389.0,3.31,NSE/CLASSIC
2004-06-03,72.95,72.95,70.0,70.0,70.0,270.0,0.19,NSE/CLASSIC
2004-06-04,70.0,71.0,70.0,71.0,71.0,850.0,0.6,NSE/CLASSIC
2004-06-09,77.9,77.9,71.5,74.4,73.85,712.0,0.54,NSE/CLASSIC
2004-06-10,74.9,74.9,71.0,73.75,73.75,320.0,0.23,NSE/CLASSIC
2004-06-11,71.25,71.25,71.25,71.25,71.25,100.0,0.07,NSE/CLASSIC
2004-06-14,85.0,85.0,68.25,68.25,68.5,360.0,0.28,NSE/CLASSIC
2004-06-15,80.75,80.75,68.05,71.0,71.0,701.0,0.5,NSE/CLASSIC
2004-06-16,67.1,67.1,66.2,66.25,66.55,445.0,0.3,NSE/CLASSIC
2004-06-17,78.0,78.0,66.05,69.0,69.6,821.0,0.59,NSE/CLASSIC
2004-06-18,67.1,68.0,67.1,68.0,68.0,350.0,0.24,NSE/CLASSIC
2004-06-21,72.0,72.0,72.0,72.0,72.0,1.0,0.0,NSE/CLASSIC
2004-06-23,83.0,83.0,64.25,64.5,64.95,1225.0,0.85,NSE/CLASSIC
2004-06-24,57.0,64.0,57.0,64.0,64.0,500.0,0.31,NSE/CLASSIC
2004-06-25,65.4,65.4,62.45,62.45,62.45,125.0,0.08,NSE/CLASSIC
2004-06-28,64.0,67.45,64.0,67.45,66.3,2070.0,1.37,NSE/CLASSIC
2004-06-29,74.8,74.8,60.05,69.85,66.7,1861.0,1.25,NSE/CLASSIC
2004-06-30,71.6,71.6,66.6,66.6,66.6,401.0,0.27,NSE/CLASSIC
2004-07-01,68.7,68.7,66.0,66.0,67.4,305.0,0.21,NSE/CLASSIC
2004-07-02,68.0,71.35,67.5,71.35,70.15,350.0,0.24,NSE/CLASSIC
2004-07-05,70.0,70.35,67.55,70.35,70.35,300.0,0.21,NSE/CLASSIC
2004-07-07,75.3,75.3,67.0,67.0,67.45,5.0,0.0,NSE/CLASSIC
2004-07-08,70.0,76.0,68.5,68.5,68.55,1939.0,1.38,NSE/CLASSIC
2004-07-12,67.5,69.6,67.5,68.5,68.65,925.0,0.63,NSE/CLASSIC
2004-07-13,67.0,68.0,67.0,68.0,68.0,175.0,0.12,NSE/CLASSIC
2004-07-14,67.05,67.05,67.0,67.0,67.0,400.0,0.27,NSE/CLASSIC
2004-07-15,67.5,69.0,66.2,69.0,68.1,1673.0,1.14,NSE/CLASSIC
2004-07-16,72.45,72.45,69.45,71.85,71.05,1650.0,1.17,NSE/CLASSIC
2004-07-19,72.9,73.8,72.45,72.9,72.9,1298.0,0.95,NSE/CLASSIC
2004-07-20,72.0,72.0,70.15,71.5,71.15,973.0,0.69,NSE/CLASSIC
2004-07-21,70.1,73.8,70.1,73.8,73.75,1430.0,1.04,NSE/CLASSIC
2004-07-22,78.8,78.8,71.0,71.5,72.15,4981.0,3.7,NSE/CLASSIC
2004-07-23,76.65,76.65,71.0,72.0,72.0,1040.0,0.75,NSE/CLASSIC
2004-07-26,83.5,83.5,71.8,71.8,71.8,4752.0,3.49,NSE/CLASSIC
2004-07-27,72.0,72.0,70.5,71.75,71.5,2160.0,1.54,NSE/CLASSIC
2004-07-28,71.0,72.5,63.5,66.0,69.3,1002.0,0.71,NSE/CLASSIC
2004-07-29,68.45,68.45,68.45,68.45,68.45,100.0,0.07,NSE/CLASSIC
2004-07-30,71.0,72.55,69.05,71.1,71.35,3434.0,2.44,NSE/CLASSIC
2004-08-02,72.9,74.5,72.9,73.15,73.2,3473.0,2.55,NSE/CLASSIC
2004-08-03,67.3,73.9,67.3,73.25,72.05,1170.0,0.85,NSE/CLASSIC
2004-08-04,71.0,72.0,70.0,70.0,70.3,2660.0,1.87,NSE/CLASSIC
2004-08-06,72.25,72.25,70.0,70.0,70.0,1721.0,1.22,NSE/CLASSIC
2004-08-09,71.0,72.3,70.55,70.75,71.55,3407.0,2.43,NSE/CLASSIC
2004-08-10,74.2,83.55,74.2,79.75,79.85,28361.0,23.02,NSE/CLASSIC
2004-08-11,85.45,85.45,80.2,80.2,80.55,19377.0,16.04,NSE/CLASSIC
2004-08-12,78.65,80.5,77.1,78.95,78.0,2665.0,2.1,NSE/CLASSIC
2004-08-13,78.5,79.0,76.55,78.0,77.7,2483.0,1.92,NSE/CLASSIC
2004-08-16,78.45,80.0,75.5,76.0,76.65,1639.0,1.28,NSE/CLASSIC
2004-08-17,80.25,80.3,74.25,76.3,76.3,4710.0,3.68,NSE/CLASSIC
2004-08-18,79.8,79.8,78.0,78.0,78.15,2051.0,1.62,NSE/CLASSIC
2004-08-19,79.0,93.8,79.0,90.9,91.1,134499.0,124.05,NSE/CLASSIC
2004-08-20,91.4,107.7,90.7,103.45,103.5,510698.0,518.43,NSE/CLASSIC
2004-08-23,104.65,104.65,93.05,94.5,93.75,187161.0,181.78,NSE/CLASSIC
2004-08-24,94.75,97.9,91.4,94.05,93.95,110310.0,104.56,NSE/CLASSIC
2004-08-25,94.5,96.7,91.2,91.7,91.9,32301.0,30.39,NSE/CLASSIC
2004-08-26,91.25,94.45,91.25,92.5,92.65,23631.0,21.99,NSE/CLASSIC
2004-08-27,93.7,95.55,92.0,93.1,93.15,30000.0,28.19,NSE/CLASSIC
2004-08-30,96.0,96.5,93.0,94.55,94.85,22580.0,21.48,NSE/CLASSIC
2004-08-31,93.5,100.8,93.5,97.15,97.85,138712.0,135.96,NSE/CLASSIC
2004-09-01,97.9,101.75,95.6,96.2,96.6,58047.0,57.47,NSE/CLASSIC
2004-09-02,97.4,98.45,94.5,95.7,95.55,22837.0,21.96,NSE/CLASSIC
2004-09-03,95.9,97.0,93.0,95.5,95.55,11773.0,11.25,NSE/CLASSIC
2004-09-06,95.95,96.6,95.0,95.0,95.25,8193.0,7.85,NSE/CLASSIC
2004-09-07,97.0,97.0,94.05,94.05,94.7,8920.0,8.55,NSE/CLASSIC
2004-09-08,96.45,96.6,93.2,93.95,94.25,11014.0,10.52,NSE/CLASSIC
2004-09-09,93.4,95.0,92.5,93.7,93.05,8352.0,7.83,NSE/CLASSIC
2004-09-10,93.7,97.85,92.4,97.85,95.55,20663.0,19.59,NSE/CLASSIC
2004-09-13,99.5,99.5,96.5,96.75,96.65,16887.0,16.42,NSE/CLASSIC
2004-09-14,96.9,97.0,93.2,94.15,93.5,9318.0,8.83,NSE/CLASSIC
2004-09-15,95.35,96.0,93.3,94.2,93.7,9679.0,9.15,NSE/CLASSIC
2004-09-16,93.5,97.9,93.5,96.0,95.9,15750.0,15.11,NSE/CLASSIC
2004-09-17,95.05,96.0,93.25,94.0,93.9,8312.0,7.84,NSE/CLASSIC
2004-09-20,93.0,95.8,93.0,94.0,94.3,9868.0,9.36,NSE/CLASSIC
2004-09-21,94.0,94.6,92.75,92.75,93.1,3932.0,3.67,NSE/CLASSIC
2004-09-22,94.0,94.0,92.6,92.6,93.1,2671.0,2.49,NSE/CLASSIC
2004-09-23,92.1,94.8,90.1,92.1,92.2,6686.0,6.21,NSE/CLASSIC
2004-09-24,92.0,93.9,92.0,92.0,92.65,3610.0,3.36,NSE/CLASSIC
2004-09-27,92.45,94.9,91.5,91.65,91.9,7712.0,7.16,NSE/CLASSIC
2004-09-28,91.15,92.75,88.1,90.0,90.15,5035.0,4.59,NSE/CLASSIC
2004-09-29,93.9,98.8,90.0,93.0,92.2,4334.0,3.99,NSE/CLASSIC
2004-09-30,92.0,94.7,92.0,92.25,92.3,3827.0,3.56,NSE/CLASSIC
2004-10-01,93.45,93.45,88.1,92.1,92.5,3107.0,2.86,NSE/CLASSIC
2004-10-04,93.9,94.0,91.6,91.6,91.65,2478.0,2.29,NSE/CLASSIC
