Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-06-05,302.1,321.0,302.0,321.0,321.0,140.0,0.44,NSE/CLNINDIA
2006-06-06,296.9,317.0,288.9,288.9,289.05,2655.0,7.71,NSE/CLNINDIA
2006-06-07,267.25,287.95,261.0,261.0,261.75,1394.0,3.75,NSE/CLNINDIA
2006-06-08,241.0,250.0,237.0,245.0,245.0,954.0,2.31,NSE/CLNINDIA
2006-06-09,237.0,257.25,237.0,257.25,257.25,2159.0,5.43,NSE/CLNINDIA
2006-06-12,250.05,263.0,250.05,263.0,263.0,2062.0,5.33,NSE/CLNINDIA
2006-06-13,250.0,261.0,250.0,252.1,255.6,1059.0,2.67,NSE/CLNINDIA
2006-06-14,266.0,268.0,244.1,244.1,244.1,2892.0,7.26,NSE/CLNINDIA
2006-06-15,235.0,256.0,235.0,248.25,248.55,2296.0,5.66,NSE/CLNINDIA
2006-06-16,261.0,261.0,250.05,256.8,253.65,935.0,2.38,NSE/CLNINDIA
2006-06-19,255.0,266.0,250.1,265.0,264.95,2821.0,7.32,NSE/CLNINDIA
2006-06-20,270.0,270.0,252.0,257.0,259.45,1841.0,4.81,NSE/CLNINDIA
2006-06-21,272.0,272.0,255.0,261.0,262.85,4659.0,12.43,NSE/CLNINDIA
2006-06-22,272.5,274.0,262.2,268.0,268.05,2886.0,7.78,NSE/CLNINDIA
2006-06-23,260.25,276.75,260.25,276.75,273.25,3421.0,9.29,NSE/CLNINDIA
2006-06-25,284.5,285.0,262.05,274.1,275.0,1365.0,3.72,NSE/CLNINDIA
2006-06-26,265.05,283.0,265.05,266.0,266.75,2041.0,5.51,NSE/CLNINDIA
2006-06-27,269.95,269.95,263.0,263.0,263.0,299.0,0.79,NSE/CLNINDIA
2006-06-28,263.0,263.1,259.0,260.0,260.0,2558.0,6.67,NSE/CLNINDIA
2006-06-29,269.9,269.9,255.5,255.5,260.05,767.0,2.02,NSE/CLNINDIA
2006-06-30,266.0,266.0,262.0,262.25,263.3,1591.0,4.2,NSE/CLNINDIA
2006-07-03,265.0,272.5,264.1,268.0,265.05,2533.0,6.78,NSE/CLNINDIA
2006-07-04,266.15,270.0,266.1,267.2,266.3,1073.0,2.87,NSE/CLNINDIA
2006-07-05,270.0,274.9,268.2,269.45,270.55,1661.0,4.49,NSE/CLNINDIA
2006-07-06,271.0,275.0,271.0,275.0,273.75,1390.0,3.79,NSE/CLNINDIA
2006-07-07,268.0,278.75,268.0,273.8,272.3,795.0,2.19,NSE/CLNINDIA
2006-07-10,270.0,275.0,262.55,272.0,271.0,2627.0,7.13,NSE/CLNINDIA
2006-07-11,261.0,265.0,258.2,258.2,259.9,1018.0,2.67,NSE/CLNINDIA
2006-07-12,270.0,270.0,257.0,263.1,264.9,1881.0,4.96,NSE/CLNINDIA
2006-07-13,267.0,267.0,259.8,260.0,260.0,1480.0,3.88,NSE/CLNINDIA
2006-07-14,265.7,265.7,257.25,262.2,261.1,1398.0,3.61,NSE/CLNINDIA
2006-07-17,258.1,260.95,250.0,250.05,251.25,1004.0,2.55,NSE/CLNINDIA
2006-07-18,252.0,252.0,243.0,243.0,244.0,606.0,1.49,NSE/CLNINDIA
2006-07-19,249.75,249.75,231.8,231.8,232.85,5987.0,14.01,NSE/CLNINDIA
2006-07-20,239.0,239.0,233.3,234.55,236.25,1132.0,2.67,NSE/CLNINDIA
2006-07-21,234.2,238.5,233.0,234.0,234.0,1569.0,3.66,NSE/CLNINDIA
2006-07-24,231.0,238.95,230.0,234.0,234.25,964.0,2.25,NSE/CLNINDIA
2006-07-25,235.0,245.75,235.0,244.8,245.0,123388.0,290.01,NSE/CLNINDIA
2006-07-26,245.0,246.0,240.1,246.0,244.75,1607.0,3.88,NSE/CLNINDIA
2006-07-27,247.85,248.0,244.1,244.1,244.1,794.0,1.96,NSE/CLNINDIA
2006-07-28,245.25,256.35,245.25,251.0,253.3,3271.0,8.31,NSE/CLNINDIA
2006-07-31,260.25,260.25,250.0,250.0,252.45,3937.0,9.96,NSE/CLNINDIA
2006-08-01,251.0,254.0,248.0,248.0,248.0,540.0,1.35,NSE/CLNINDIA
2006-08-02,251.0,260.3,245.2,260.3,260.2,2151.0,5.46,NSE/CLNINDIA
2006-08-03,268.0,269.75,260.35,261.05,260.65,978.0,2.6,NSE/CLNINDIA
2006-08-04,253.2,271.75,253.0,254.0,254.05,674.0,1.72,NSE/CLNINDIA
2006-08-07,265.0,266.7,261.0,266.7,266.0,2713.0,7.18,NSE/CLNINDIA
2006-08-08,270.0,273.0,261.55,265.7,263.15,2209.0,5.86,NSE/CLNINDIA
2006-08-09,269.8,276.3,266.0,276.0,275.15,3416.0,9.27,NSE/CLNINDIA
2006-08-10,276.05,284.0,276.05,278.9,277.65,1972.0,5.53,NSE/CLNINDIA
2006-08-11,284.0,284.0,278.0,278.55,279.65,1567.0,4.38,NSE/CLNINDIA
2006-08-14,284.0,296.35,284.0,290.4,290.8,2088.0,6.09,NSE/CLNINDIA
2006-08-16,298.95,304.0,293.75,302.0,300.9,2435.0,7.27,NSE/CLNINDIA
2006-08-17,305.0,305.9,297.75,305.0,303.45,3560.0,10.75,NSE/CLNINDIA
2006-08-18,305.0,318.0,301.5,318.0,314.05,4501.0,13.86,NSE/CLNINDIA
2006-08-21,315.0,327.9,312.6,320.85,319.5,3568.0,11.41,NSE/CLNINDIA
2006-08-22,324.0,324.0,315.25,320.5,320.4,1898.0,6.11,NSE/CLNINDIA
2006-08-23,318.0,319.0,310.15,310.15,311.65,1442.0,4.53,NSE/CLNINDIA
2006-08-24,311.9,312.0,305.5,310.0,310.1,1193.0,3.7,NSE/CLNINDIA
2006-08-25,310.05,315.95,310.05,311.55,311.7,547.0,1.71,NSE/CLNINDIA
2006-08-28,311.7,314.95,309.0,311.0,310.1,1130.0,3.52,NSE/CLNINDIA
2006-08-29,311.05,311.9,302.25,302.25,304.55,1796.0,5.55,NSE/CLNINDIA
2006-08-30,301.05,309.0,300.0,305.75,305.2,2629.0,7.98,NSE/CLNINDIA
2006-08-31,305.0,307.45,300.15,300.15,300.15,576.0,1.74,NSE/CLNINDIA
