Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-01-23,148.0,155.0,147.15,147.15,151.4,121676.0,184.35,NSE/CLUTCHAUTO
2007-01-24,151.95,152.9,145.25,150.0,150.15,32488.0,48.44,NSE/CLUTCHAUTO
2007-01-25,151.4,151.4,142.4,142.4,143.7,8782.0,12.85,NSE/CLUTCHAUTO
2007-01-29,144.95,150.0,142.6,148.55,149.15,14243.0,21.1,NSE/CLUTCHAUTO
2007-01-31,150.25,151.0,144.15,144.95,144.65,9122.0,13.56,NSE/CLUTCHAUTO
2007-02-01,145.25,151.0,143.1,144.8,144.05,5178.0,7.56,NSE/CLUTCHAUTO
2007-02-02,145.95,147.45,142.1,143.5,143.2,5567.0,8.05,NSE/CLUTCHAUTO
2007-02-05,144.0,144.9,139.0,144.0,142.35,10066.0,14.35,NSE/CLUTCHAUTO
2007-02-06,141.0,149.5,140.55,148.0,147.25,14876.0,21.62,NSE/CLUTCHAUTO
2007-02-07,148.5,155.9,145.0,153.2,152.95,28744.0,43.2,NSE/CLUTCHAUTO
2007-02-08,155.5,157.3,148.05,150.05,150.55,9734.0,14.79,NSE/CLUTCHAUTO
2007-02-09,150.0,152.0,147.0,147.0,149.7,42968.0,64.42,NSE/CLUTCHAUTO
2007-02-12,147.05,149.1,137.15,139.95,140.9,8147.0,11.6,NSE/CLUTCHAUTO
2007-02-13,137.05,141.0,135.15,138.5,137.5,8660.0,12.07,NSE/CLUTCHAUTO
2007-02-14,138.0,141.0,134.0,139.0,140.0,57907.0,80.44,NSE/CLUTCHAUTO
2007-02-15,140.0,144.25,139.0,143.35,140.85,17333.0,24.4,NSE/CLUTCHAUTO
2007-02-19,144.0,155.9,143.5,149.0,148.8,18188.0,27.34,NSE/CLUTCHAUTO
2007-02-20,149.5,153.0,145.05,149.5,150.05,14938.0,22.45,NSE/CLUTCHAUTO
2007-02-21,150.0,160.9,148.0,153.0,154.1,49503.0,77.1,NSE/CLUTCHAUTO
2007-02-22,154.8,157.7,152.6,155.5,155.1,14235.0,22.0,NSE/CLUTCHAUTO
2007-02-23,155.0,156.9,145.0,149.2,148.9,22010.0,33.34,NSE/CLUTCHAUTO
2007-02-26,147.0,148.85,141.1,144.5,144.35,6483.0,9.4,NSE/CLUTCHAUTO
2007-02-27,144.35,146.65,142.15,143.0,142.7,7610.0,10.94,NSE/CLUTCHAUTO
2007-02-28,140.0,146.0,131.05,139.0,140.0,8155.0,11.38,NSE/CLUTCHAUTO
2007-03-01,135.85,143.5,135.85,139.0,138.55,6128.0,8.5,NSE/CLUTCHAUTO
2007-03-02,139.8,139.95,133.1,133.1,134.0,9551.0,13.05,NSE/CLUTCHAUTO
2007-03-05,133.0,133.0,124.05,126.5,125.3,8359.0,10.65,NSE/CLUTCHAUTO
2007-03-06,131.15,131.15,117.55,119.4,118.7,11233.0,13.71,NSE/CLUTCHAUTO
2007-03-07,130.95,131.0,108.0,109.0,109.8,18992.0,21.69,NSE/CLUTCHAUTO
2007-03-08,112.0,117.0,106.0,106.0,106.55,22381.0,24.14,NSE/CLUTCHAUTO
2007-03-09,107.5,114.7,104.5,105.0,104.95,43853.0,47.37,NSE/CLUTCHAUTO
2007-03-12,113.8,113.8,105.6,109.8,109.0,66458.0,71.72,NSE/CLUTCHAUTO
2007-03-13,112.4,128.9,112.4,117.2,118.5,85430.0,103.2,NSE/CLUTCHAUTO
2007-03-14,112.0,115.0,112.0,114.0,113.75,29748.0,33.98,NSE/CLUTCHAUTO
2007-03-15,115.25,117.0,112.5,113.2,113.3,21774.0,24.97,NSE/CLUTCHAUTO
2007-03-16,113.0,113.2,106.0,110.0,110.1,20962.0,23.16,NSE/CLUTCHAUTO
2007-03-19,110.0,113.9,109.0,110.0,110.25,13030.0,14.43,NSE/CLUTCHAUTO
2007-03-20,113.35,113.4,109.1,109.2,109.55,12831.0,14.12,NSE/CLUTCHAUTO
2007-03-21,111.95,116.0,109.5,114.0,114.0,50744.0,57.38,NSE/CLUTCHAUTO
2007-03-22,115.0,117.9,113.5,114.8,114.1,17014.0,19.6,NSE/CLUTCHAUTO
2007-03-23,116.25,117.0,114.0,114.3,114.9,25147.0,29.01,NSE/CLUTCHAUTO
2007-03-26,117.0,117.0,109.0,110.0,109.95,23835.0,26.62,NSE/CLUTCHAUTO
2007-03-28,110.05,110.5,90.0,107.15,107.5,152020.0,163.3,NSE/CLUTCHAUTO
2007-03-29,108.0,110.7,108.0,108.7,109.0,5374.0,5.89,NSE/CLUTCHAUTO
2007-03-30,110.0,110.0,107.1,108.0,108.2,20158.0,21.92,NSE/CLUTCHAUTO
2007-04-02,107.5,129.0,107.5,109.5,110.15,92656.0,105.41,NSE/CLUTCHAUTO
2007-04-03,113.95,116.0,110.7,111.05,112.15,36507.0,41.26,NSE/CLUTCHAUTO
2007-04-04,113.9,117.0,109.3,110.25,110.7,67872.0,76.23,NSE/CLUTCHAUTO
2007-04-05,112.45,115.0,110.7,111.25,111.15,37543.0,42.25,NSE/CLUTCHAUTO
2007-04-09,112.95,127.1,112.95,123.0,123.1,146953.0,178.29,NSE/CLUTCHAUTO
2007-04-10,120.0,124.9,119.05,121.45,120.6,25390.0,30.78,NSE/CLUTCHAUTO
2007-04-11,124.0,124.0,120.2,120.45,120.95,20292.0,24.74,NSE/CLUTCHAUTO
2007-04-12,130.0,130.0,118.4,119.0,118.95,32223.0,38.7,NSE/CLUTCHAUTO
2007-04-13,120.0,120.75,116.65,118.2,117.6,18033.0,21.41,NSE/CLUTCHAUTO
2007-04-16,127.0,127.0,112.1,119.3,119.7,18822.0,22.52,NSE/CLUTCHAUTO
2007-04-17,129.0,129.0,118.2,123.7,122.8,29885.0,36.54,NSE/CLUTCHAUTO
2007-04-18,129.0,129.0,122.95,123.8,124.25,35294.0,44.46,NSE/CLUTCHAUTO
2007-04-19,135.0,135.0,119.0,120.0,119.95,32393.0,39.24,NSE/CLUTCHAUTO
2007-04-20,123.4,125.0,122.0,122.95,122.7,21599.0,26.56,NSE/CLUTCHAUTO
2007-04-23,140.0,140.0,124.2,129.75,130.35,112634.0,146.95,NSE/CLUTCHAUTO
2007-04-24,128.0,136.75,127.3,135.5,135.1,55421.0,74.33,NSE/CLUTCHAUTO
2007-04-25,137.0,137.6,132.0,133.0,132.55,18375.0,24.52,NSE/CLUTCHAUTO
2007-04-26,145.0,146.45,132.3,142.0,143.45,143079.0,200.55,NSE/CLUTCHAUTO
2007-04-27,154.0,156.95,143.0,153.55,154.4,296011.0,448.94,NSE/CLUTCHAUTO
2007-04-30,160.0,160.0,153.0,155.0,154.9,114784.0,177.82,NSE/CLUTCHAUTO
2007-05-03,155.0,158.9,154.05,156.8,154.85,109904.0,170.52,NSE/CLUTCHAUTO
2007-05-04,154.85,155.0,147.0,152.0,151.6,100826.0,153.4,NSE/CLUTCHAUTO
2007-05-07,151.6,155.1,151.1,152.0,151.95,87012.0,132.71,NSE/CLUTCHAUTO
2007-05-08,153.85,155.0,152.0,155.0,153.15,72112.0,110.63,NSE/CLUTCHAUTO
2007-05-09,154.0,155.0,150.0,153.95,153.65,48251.0,73.51,NSE/CLUTCHAUTO
2007-05-10,160.0,160.5,154.15,154.2,154.55,63525.0,98.49,NSE/CLUTCHAUTO
2007-05-11,155.0,157.8,154.0,156.0,154.95,38179.0,59.12,NSE/CLUTCHAUTO
2007-05-14,155.0,159.8,154.0,155.0,155.0,73127.0,113.42,NSE/CLUTCHAUTO
2007-05-15,155.0,158.0,153.4,154.9,154.95,119617.0,185.35,NSE/CLUTCHAUTO
2007-05-16,156.9,156.95,154.1,155.35,155.15,101474.0,157.32,NSE/CLUTCHAUTO
2007-05-17,158.3,158.3,154.0,155.0,154.45,76691.0,118.88,NSE/CLUTCHAUTO
2007-05-18,154.9,156.0,150.5,154.1,154.75,67060.0,103.81,NSE/CLUTCHAUTO
2007-05-21,158.45,158.5,154.2,157.9,157.95,71558.0,111.88,NSE/CLUTCHAUTO
