Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-01-20,114.0,121.0,110.0,111.6,110.75,28008310.0,31988.52,NSE/CMAHENDRA
2011-01-21,112.0,120.0,105.0,119.4,117.05,8971227.0,10047.88,NSE/CMAHENDRA
2011-01-24,118.9,123.65,107.55,115.0,114.25,7259469.0,8229.28,NSE/CMAHENDRA
2011-01-25,114.0,136.0,114.0,132.75,133.4,14696426.0,18919.36,NSE/CMAHENDRA
2011-01-27,135.1,142.95,129.05,133.7,134.55,9765322.0,13264.56,NSE/CMAHENDRA
2011-01-28,134.0,137.7,128.55,137.7,135.1,4539995.0,6062.62,NSE/CMAHENDRA
2011-01-31,135.0,162.15,132.7,162.15,160.3,8588645.0,12962.54,NSE/CMAHENDRA
2011-02-01,162.8,171.15,150.25,161.9,162.45,14951581.0,24171.32,NSE/CMAHENDRA
2011-02-02,164.45,167.7,155.25,165.75,165.8,5839850.0,9500.38,NSE/CMAHENDRA
2011-02-03,166.1,170.75,163.1,169.25,170.05,4019459.0,6750.65,NSE/CMAHENDRA
2011-02-04,168.0,170.1,157.15,164.1,164.3,1115410.0,1856.27,NSE/CMAHENDRA
2011-02-07,165.5,170.35,161.5,169.8,169.4,1632900.0,2741.3,NSE/CMAHENDRA
2011-02-08,165.5,172.75,163.05,166.85,168.55,1122862.0,1891.89,NSE/CMAHENDRA
2011-02-09,167.35,171.9,164.5,165.05,166.95,987608.0,1657.39,NSE/CMAHENDRA
2011-02-10,166.0,170.4,157.4,162.0,163.0,671814.0,1111.04,NSE/CMAHENDRA
2011-02-11,163.6,179.3,162.1,179.3,178.45,1944269.0,3364.14,NSE/CMAHENDRA
2011-02-14,180.1,188.55,176.0,186.0,184.75,1944980.0,3566.66,NSE/CMAHENDRA
2011-02-15,186.0,193.4,182.5,185.5,186.05,1085846.0,2040.02,NSE/CMAHENDRA
2011-02-16,187.0,191.8,184.1,191.45,190.75,627570.0,1186.39,NSE/CMAHENDRA
2011-02-17,191.6,195.5,181.5,183.1,184.0,1010405.0,1903.31,NSE/CMAHENDRA
2011-02-18,181.8,202.4,181.05,202.4,202.4,1908066.0,3725.53,NSE/CMAHENDRA
2011-02-21,205.0,213.8,202.0,208.0,207.5,2096021.0,4356.71,NSE/CMAHENDRA
2011-02-22,208.0,212.5,203.25,204.5,205.4,802419.0,1675.43,NSE/CMAHENDRA
2011-02-23,205.4,209.45,195.3,198.6,198.9,680833.0,1372.01,NSE/CMAHENDRA
2011-02-24,199.5,204.0,196.15,203.85,201.95,671282.0,1347.46,NSE/CMAHENDRA
2011-02-25,205.0,215.9,203.3,211.0,211.25,892536.0,1879.11,NSE/CMAHENDRA
2011-02-28,213.0,220.85,212.3,215.7,217.25,471879.0,1023.02,NSE/CMAHENDRA
2011-03-01,217.25,223.7,209.8,215.6,214.05,813436.0,1764.62,NSE/CMAHENDRA
2011-03-03,214.1,217.95,205.0,206.3,206.1,815768.0,1717.04,NSE/CMAHENDRA
2011-03-04,208.7,212.8,205.25,212.05,209.0,529536.0,1107.86,NSE/CMAHENDRA
2011-03-07,210.05,218.95,209.3,218.25,216.6,617042.0,1326.49,NSE/CMAHENDRA
2011-03-08,218.65,249.5,218.65,236.0,236.95,4417451.0,10464.85,NSE/CMAHENDRA
2011-03-09,240.0,260.45,237.05,256.6,257.95,2900899.0,7297.82,NSE/CMAHENDRA
2011-03-10,258.1,267.6,250.85,255.15,254.9,2390317.0,6173.35,NSE/CMAHENDRA
2011-03-11,245.45,258.6,245.45,251.15,252.5,588141.0,1487.4,NSE/CMAHENDRA
2011-03-14,251.85,259.95,251.75,253.35,253.9,296987.0,760.42,NSE/CMAHENDRA
2011-03-15,248.0,257.0,242.1,243.0,247.75,387289.0,970.46,NSE/CMAHENDRA
2011-03-16,248.45,253.9,239.0,250.0,250.8,501218.0,1246.22,NSE/CMAHENDRA
2011-03-17,250.8,255.9,245.5,247.45,246.85,196441.0,492.5,NSE/CMAHENDRA
2011-03-18,249.5,254.0,241.45,245.0,244.2,215859.0,532.38,NSE/CMAHENDRA
2011-03-21,246.0,251.45,243.2,244.1,244.5,242944.0,597.65,NSE/CMAHENDRA
2011-03-22,247.25,251.7,243.2,244.8,245.9,258577.0,640.87,NSE/CMAHENDRA
2011-03-23,246.55,266.3,211.15,249.5,251.0,2257150.0,5746.6,NSE/CMAHENDRA
2011-03-24,252.35,258.75,248.0,248.0,250.15,456260.0,1152.23,NSE/CMAHENDRA
2011-03-25,251.85,253.45,247.1,249.9,249.85,225527.0,565.01,NSE/CMAHENDRA
2011-03-28,249.8,253.25,243.35,243.9,245.45,300920.0,749.07,NSE/CMAHENDRA
2011-03-29,244.2,249.7,201.0,226.5,227.05,1056617.0,2452.84,NSE/CMAHENDRA
2011-03-30,228.0,239.0,227.6,233.0,232.4,304143.0,706.12,NSE/CMAHENDRA
2011-03-31,234.45,239.9,231.0,235.35,236.55,409794.0,972.3,NSE/CMAHENDRA
2011-04-01,233.0,239.4,228.0,233.65,234.15,176189.0,413.7,NSE/CMAHENDRA
2011-04-04,214.8,274.0,214.8,246.05,246.45,2236361.0,5657.36,NSE/CMAHENDRA
2011-04-05,248.7,252.4,237.45,238.7,239.4,583667.0,1420.24,NSE/CMAHENDRA
2011-04-06,239.85,243.7,236.5,238.5,238.15,220575.0,528.13,NSE/CMAHENDRA
2011-04-07,238.9,247.4,236.0,238.0,238.0,334492.0,806.88,NSE/CMAHENDRA
2011-04-08,238.5,239.45,234.1,235.5,235.65,171748.0,406.19,NSE/CMAHENDRA
2011-04-11,236.05,239.9,232.0,237.55,236.85,206683.0,489.19,NSE/CMAHENDRA
2011-04-13,236.75,240.7,232.25,233.5,233.55,155170.0,365.3,NSE/CMAHENDRA
2011-04-15,235.7,267.5,225.0,260.2,260.1,1638161.0,4193.16,NSE/CMAHENDRA
2011-04-18,265.85,290.95,261.3,284.6,286.0,2106282.0,5926.9,NSE/CMAHENDRA
2011-04-19,286.0,308.0,286.0,304.9,305.5,2797439.0,8374.97,NSE/CMAHENDRA
2011-04-20,308.0,342.0,293.1,326.0,326.65,6182507.0,19913.21,NSE/CMAHENDRA
2011-04-21,330.0,333.0,276.7,299.15,299.3,5347815.0,16262.71,NSE/CMAHENDRA
2011-04-25,300.15,309.4,288.45,298.0,300.2,1528620.0,4607.9,NSE/CMAHENDRA
2011-04-26,301.6,308.7,292.3,294.8,297.05,1254282.0,3781.27,NSE/CMAHENDRA
2011-04-27,297.9,302.75,288.0,289.4,290.35,611582.0,1804.9,NSE/CMAHENDRA
2011-04-28,292.0,293.25,269.0,269.85,272.2,665895.0,1859.9,NSE/CMAHENDRA
2011-04-29,272.3,295.8,263.15,286.0,284.6,2515063.0,7163.52,NSE/CMAHENDRA
2011-05-02,286.7,296.7,286.25,289.5,288.6,936966.0,2727.15,NSE/CMAHENDRA
2011-05-03,289.5,294.0,279.7,283.0,283.3,785828.0,2243.82,NSE/CMAHENDRA
2011-05-04,284.4,287.15,265.0,268.6,268.0,571836.0,1564.31,NSE/CMAHENDRA
2011-05-05,269.3,273.35,251.0,252.0,254.1,524245.0,1378.39,NSE/CMAHENDRA
2011-05-06,251.5,268.95,205.0,266.0,265.0,663101.0,1720.14,NSE/CMAHENDRA
2011-05-09,267.0,271.7,260.0,263.0,262.95,251122.0,667.44,NSE/CMAHENDRA
