Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,254.75,258.5,245.0,249.95,249.85,51661.0,130.43,NSE/CMC
2001-01-02,248.9,250.9,237.0,243.5,243.2,43424.0,105.4,NSE/CMC
2001-01-03,236.5,249.45,230.1,247.9,246.25,39638.0,97.21,NSE/CMC
2001-01-04,255.0,265.95,252.2,252.5,253.2,61968.0,159.55,NSE/CMC
2001-01-05,243.1,254.45,243.1,249.0,250.2,30557.0,76.3,NSE/CMC
2001-01-08,245.1,250.0,235.3,237.0,238.55,27597.0,66.95,NSE/CMC
2001-01-09,232.55,245.9,228.15,231.0,231.45,37607.0,88.96,NSE/CMC
2001-01-10,245.0,259.0,235.9,245.15,245.75,61745.0,153.93,NSE/CMC
2001-01-11,249.5,256.0,241.2,242.0,242.65,22455.0,55.13,NSE/CMC
2001-01-12,247.5,269.7,246.1,263.15,265.1,151634.0,396.15,NSE/CMC
2001-01-15,271.0,274.8,261.0,264.5,263.4,84688.0,226.04,NSE/CMC
2001-01-16,268.0,268.0,258.15,261.8,260.85,39472.0,103.25,NSE/CMC
2001-01-17,262.0,268.0,245.0,252.9,249.85,29943.0,76.56,NSE/CMC
2001-01-18,256.0,257.0,251.25,257.0,255.55,20334.0,51.7,NSE/CMC
2001-01-19,264.0,269.9,255.0,261.5,260.8,78928.0,207.17,NSE/CMC
2001-01-22,265.0,268.0,255.05,260.75,262.5,47331.0,123.88,NSE/CMC
2001-01-23,260.0,262.0,255.1,255.45,256.45,28596.0,73.74,NSE/CMC
2001-01-24,264.0,270.0,262.0,268.0,266.55,52721.0,139.78,NSE/CMC
2001-01-25,256.2,298.0,248.0,294.0,279.1,148454.0,397.1,NSE/CMC
2001-01-29,291.1,307.0,261.3,297.05,297.95,241600.0,705.91,NSE/CMC
2001-01-30,299.95,312.0,283.0,308.3,306.05,312316.0,938.86,NSE/CMC
2001-01-31,314.45,320.9,311.0,317.0,315.05,149825.0,472.92,NSE/CMC
