Date,Open,High,Low,Close,SharesTraded,Turnover,index
2004-01-01,,,,1000.0,,,NSE/CNX
2004-01-02,,,,1030.18,,,NSE/CNX
2004-01-05,,,,1035.52,,,NSE/CNX
2004-01-06,,,,1017.51,,,NSE/CNX
2004-01-07,,,,1013.45,,,NSE/CNX
2004-01-08,,,,1047.62,,,NSE/CNX
2004-01-09,,,,1047.11,,,NSE/CNX
2004-01-12,,,,1030.53,,,NSE/CNX
2004-01-13,,,,1032.99,,,NSE/CNX
2004-01-14,,,,1040.89,,,NSE/CNX
2004-01-15,,,,1025.47,,,NSE/CNX
2004-01-16,,,,998.1,,,NSE/CNX
2004-01-19,,,,1013.72,,,NSE/CNX
2004-01-20,,,,993.63,,,NSE/CNX
2004-01-21,,,,943.19,,,NSE/CNX
2004-01-22,,,,916.2,,,NSE/CNX
2004-01-23,,,,961.85,,,NSE/CNX
2004-01-27,,,,996.45,,,NSE/CNX
2004-01-28,,,,971.63,,,NSE/CNX
2004-01-29,,,,963.27,,,NSE/CNX
2004-01-30,,,,940.46,,,NSE/CNX
2004-02-03,,,,905.05,,,NSE/CNX
2004-02-04,,,,933.09,,,NSE/CNX
2004-02-05,,,,927.43,,,NSE/CNX
2004-02-06,,,,947.75,,,NSE/CNX
2004-02-09,,,,970.35,,,NSE/CNX
2004-02-10,,,,970.26,,,NSE/CNX
2004-02-11,,,,977.78,,,NSE/CNX
2004-02-12,,,,977.2,,,NSE/CNX
2004-02-13,,,,991.05,,,NSE/CNX
2004-02-16,,,,992.07,,,NSE/CNX
2004-02-17,,,,993.36,,,NSE/CNX
2004-02-18,,,,997.92,,,NSE/CNX
2004-02-19,,,,970.69,,,NSE/CNX
2004-02-20,,,,966.82,,,NSE/CNX
2004-02-23,,,,942.03,,,NSE/CNX
2004-02-24,,,,945.18,,,NSE/CNX
2004-02-25,,,,925.05,,,NSE/CNX
2004-02-26,,,,918.09,,,NSE/CNX
2004-02-27,,,,933.7,,,NSE/CNX
2004-03-01,,,,961.25,,,NSE/CNX
2004-03-03,,,,963.48,,,NSE/CNX
2004-03-04,,,,958.49,,,NSE/CNX
2004-03-05,,,,976.39,,,NSE/CNX
2004-03-08,,,,995.78,,,NSE/CNX
2004-03-09,,,,984.75,,,NSE/CNX
2004-03-10,,,,975.3,,,NSE/CNX
2004-03-11,,,,956.95,,,NSE/CNX
2004-03-12,,,,956.39,,,NSE/CNX
2004-03-15,,,,930.7,,,NSE/CNX
2004-03-16,,,,927.37,,,NSE/CNX
2004-03-17,,,,932.51,,,NSE/CNX
2004-03-18,,,,917.84,,,NSE/CNX
2004-03-19,,,,920.88,,,NSE/CNX
2004-03-22,,,,898.07,,,NSE/CNX
2004-03-23,,,,898.94,,,NSE/CNX
2004-03-24,,,,899.39,,,NSE/CNX
2004-03-25,,,,906.75,,,NSE/CNX
2004-03-26,,,,927.47,,,NSE/CNX
2004-03-29,,,,936.91,,,NSE/CNX
2004-03-30,,,,934.77,,,NSE/CNX
2004-03-31,,,,945.32,,,NSE/CNX
2004-04-01,,,,966.68,,,NSE/CNX
2004-04-02,,,,981.13,,,NSE/CNX
2004-04-05,,,,987.86,,,NSE/CNX
2004-04-06,,,,983.61,,,NSE/CNX
2004-04-07,,,,983.04,,,NSE/CNX
2004-04-08,,,,992.65,,,NSE/CNX
2004-04-12,,,,989.08,,,NSE/CNX
2004-04-13,,,,1009.44,,,NSE/CNX
2004-04-15,,,,1007.09,,,NSE/CNX
2004-04-16,,,,1011.79,,,NSE/CNX
2004-04-17,,,,1013.69,,,NSE/CNX
2004-04-19,,,,998.08,,,NSE/CNX
2004-04-20,,,,997.25,,,NSE/CNX
2004-04-21,,,,1014.06,,,NSE/CNX
2004-04-22,,,,1025.69,,,NSE/CNX
2004-04-23,,,,1027.74,,,NSE/CNX
2004-04-27,,,,984.22,,,NSE/CNX
2004-04-28,,,,982.03,,,NSE/CNX
2004-04-29,,,,981.19,,,NSE/CNX
2004-04-30,,,,973.61,,,NSE/CNX
2004-05-03,,,,955.92,,,NSE/CNX
2004-05-04,,,,973.13,,,NSE/CNX
2004-05-05,,,,982.08,,,NSE/CNX
2004-05-06,,,,996.5,,,NSE/CNX
2004-05-07,,,,982.62,,,NSE/CNX
2004-05-10,,,,963.64,,,NSE/CNX
2004-05-11,,,,920.5,,,NSE/CNX
2004-05-12,,,,927.64,,,NSE/CNX
2004-05-13,,,,926.05,,,NSE/CNX
2004-05-14,,,,843.98,,,NSE/CNX
2004-05-17,,,,740.97,,,NSE/CNX
2004-05-18,,,,800.96,,,NSE/CNX
2004-05-19,,,,842.33,,,NSE/CNX
2004-05-20,,,,833.28,,,NSE/CNX
2004-05-21,,,,837.63,,,NSE/CNX
2004-05-24,,,,860.15,,,NSE/CNX
2004-05-25,,,,858.81,,,NSE/CNX
2004-05-26,,,,858.42,,,NSE/CNX
2004-05-27,,,,850.04,,,NSE/CNX
2004-05-28,,,,808.21,,,NSE/CNX
2004-05-31,,,,788.86,,,NSE/CNX
2004-06-01,,,,803.14,,,NSE/CNX
2004-06-02,,,,817.95,,,NSE/CNX
2004-06-03,,,,798.68,,,NSE/CNX
2004-06-04,,,,810.6,,,NSE/CNX
2004-06-07,,,,821.5,,,NSE/CNX
2004-06-08,,,,825.98,,,NSE/CNX
2004-06-09,,,,827.61,,,NSE/CNX
2004-06-10,,,,826.79,,,NSE/CNX
2004-06-11,,,,808.33,,,NSE/CNX
2004-06-14,,,,791.03,,,NSE/CNX
2004-06-15,,,,801.11,,,NSE/CNX
2004-06-16,,,,798.12,,,NSE/CNX
2004-06-17,,,,805.37,,,NSE/CNX
2004-06-18,,,,795.6,,,NSE/CNX
2004-06-21,,,,789.75,,,NSE/CNX
2004-06-22,,,,784.8,,,NSE/CNX
2004-06-23,,,,767.88,,,NSE/CNX
2004-06-24,,,,777.82,,,NSE/CNX
2004-06-25,,,,789.28,,,NSE/CNX
2004-06-28,,,,804.97,,,NSE/CNX
2004-06-29,,,,808.14,,,NSE/CNX
2004-06-30,,,,803.0,,,NSE/CNX
2004-07-01,,,,817.99,,,NSE/CNX
2004-07-02,,,,818.12,,,NSE/CNX
2004-07-05,,,,811.38,,,NSE/CNX
2004-07-06,,,,825.23,,,NSE/CNX
2004-07-07,,,,829.37,,,NSE/CNX
2004-07-08,,,,802.99,,,NSE/CNX
2004-07-09,,,,819.5,,,NSE/CNX
2004-07-12,,,,823.19,,,NSE/CNX
2004-07-13,,,,815.99,,,NSE/CNX
2004-07-14,,,,809.27,,,NSE/CNX
2004-07-15,,,,819.09,,,NSE/CNX
2004-07-16,,,,831.5,,,NSE/CNX
2004-07-19,,,,838.08,,,NSE/CNX
2004-07-20,,,,835.03,,,NSE/CNX
2004-07-21,,,,843.12,,,NSE/CNX
