Date,Open,High,Low,Close,SharesTraded,Turnover,index
2004-01-01,,,,1000.0,,,NSE/CNXAUTO
2004-01-02,,,,1007.13,,,NSE/CNXAUTO
2004-01-05,,,,998.13,,,NSE/CNXAUTO
2004-01-06,,,,984.52,,,NSE/CNXAUTO
2004-01-07,,,,974.54,,,NSE/CNXAUTO
2004-01-08,,,,1002.71,,,NSE/CNXAUTO
2004-01-09,,,,1037.96,,,NSE/CNXAUTO
2004-01-12,,,,1021.31,,,NSE/CNXAUTO
2004-01-13,,,,1039.75,,,NSE/CNXAUTO
2004-01-14,,,,1060.89,,,NSE/CNXAUTO
2004-01-15,,,,1032.25,,,NSE/CNXAUTO
2004-01-16,,,,1007.22,,,NSE/CNXAUTO
2004-01-19,,,,1038.8,,,NSE/CNXAUTO
2004-01-20,,,,1018.06,,,NSE/CNXAUTO
2004-01-21,,,,959.67,,,NSE/CNXAUTO
2004-01-22,,,,908.9,,,NSE/CNXAUTO
2004-01-23,,,,970.11,,,NSE/CNXAUTO
2004-01-27,,,,1011.74,,,NSE/CNXAUTO
2004-01-28,,,,999.54,,,NSE/CNXAUTO
2004-01-29,,,,1008.33,,,NSE/CNXAUTO
2004-01-30,,,,995.49,,,NSE/CNXAUTO
2004-02-03,,,,968.25,,,NSE/CNXAUTO
2004-02-04,,,,1022.39,,,NSE/CNXAUTO
2004-02-05,,,,1006.47,,,NSE/CNXAUTO
2004-02-06,,,,1023.34,,,NSE/CNXAUTO
2004-02-09,,,,1049.44,,,NSE/CNXAUTO
2004-02-10,,,,1041.26,,,NSE/CNXAUTO
2004-02-11,,,,1052.25,,,NSE/CNXAUTO
2004-02-12,,,,1062.66,,,NSE/CNXAUTO
2004-02-13,,,,1075.35,,,NSE/CNXAUTO
2004-02-16,,,,1095.54,,,NSE/CNXAUTO
2004-02-17,,,,1087.87,,,NSE/CNXAUTO
2004-02-18,,,,1096.06,,,NSE/CNXAUTO
2004-02-19,,,,1064.58,,,NSE/CNXAUTO
2004-02-20,,,,1074.63,,,NSE/CNXAUTO
2004-02-23,,,,1035.47,,,NSE/CNXAUTO
2004-02-24,,,,1050.97,,,NSE/CNXAUTO
2004-02-25,,,,1023.67,,,NSE/CNXAUTO
2004-02-26,,,,1016.08,,,NSE/CNXAUTO
2004-02-27,,,,1031.13,,,NSE/CNXAUTO
2004-03-01,,,,1057.61,,,NSE/CNXAUTO
2004-03-03,,,,1088.54,,,NSE/CNXAUTO
2004-03-04,,,,1067.78,,,NSE/CNXAUTO
2004-03-05,,,,1081.35,,,NSE/CNXAUTO
2004-03-08,,,,1081.46,,,NSE/CNXAUTO
2004-03-09,,,,1064.78,,,NSE/CNXAUTO
2004-03-10,,,,1042.94,,,NSE/CNXAUTO
2004-03-11,,,,1009.76,,,NSE/CNXAUTO
2004-03-12,,,,1013.65,,,NSE/CNXAUTO
2004-03-15,,,,977.87,,,NSE/CNXAUTO
2004-03-16,,,,967.68,,,NSE/CNXAUTO
2004-03-17,,,,977.6,,,NSE/CNXAUTO
2004-03-18,,,,956.58,,,NSE/CNXAUTO
2004-03-19,,,,957.35,,,NSE/CNXAUTO
2004-03-22,,,,920.76,,,NSE/CNXAUTO
2004-03-23,,,,922.66,,,NSE/CNXAUTO
2004-03-24,,,,934.07,,,NSE/CNXAUTO
2004-03-25,,,,955.09,,,NSE/CNXAUTO
2004-03-26,,,,976.74,,,NSE/CNXAUTO
2004-03-29,,,,989.84,,,NSE/CNXAUTO
2004-03-30,,,,978.2,,,NSE/CNXAUTO
2004-03-31,,,,1005.92,,,NSE/CNXAUTO
2004-04-01,,,,1030.55,,,NSE/CNXAUTO
2004-04-02,,,,1032.65,,,NSE/CNXAUTO
2004-04-05,,,,1047.45,,,NSE/CNXAUTO
2004-04-06,,,,1036.69,,,NSE/CNXAUTO
2004-04-07,,,,1032.07,,,NSE/CNXAUTO
2004-04-08,,,,1042.77,,,NSE/CNXAUTO
2004-04-12,,,,1035.63,,,NSE/CNXAUTO
2004-04-13,,,,1046.51,,,NSE/CNXAUTO
2004-04-15,,,,1059.19,,,NSE/CNXAUTO
2004-04-16,,,,1060.83,,,NSE/CNXAUTO
2004-04-17,,,,1057.64,,,NSE/CNXAUTO
2004-04-19,,,,1045.26,,,NSE/CNXAUTO
2004-04-20,,,,1042.96,,,NSE/CNXAUTO
2004-04-21,,,,1071.24,,,NSE/CNXAUTO
2004-04-22,,,,1093.19,,,NSE/CNXAUTO
2004-04-23,,,,1090.19,,,NSE/CNXAUTO
2004-04-27,,,,1044.25,,,NSE/CNXAUTO
2004-04-28,,,,1049.01,,,NSE/CNXAUTO
2004-04-29,,,,1054.03,,,NSE/CNXAUTO
2004-04-30,,,,1034.47,,,NSE/CNXAUTO
2004-05-03,,,,1014.55,,,NSE/CNXAUTO
2004-05-04,,,,1033.83,,,NSE/CNXAUTO
2004-05-05,,,,1041.76,,,NSE/CNXAUTO
2004-05-06,,,,1055.23,,,NSE/CNXAUTO
