Date,Open,High,Low,Close,SharesTraded,Turnover,index
2001-01-01,,,,977.94,,,NSE/CNXBANK
2001-01-02,,,,1015.79,,,NSE/CNXBANK
2001-01-03,,,,1043.74,,,NSE/CNXBANK
2001-01-04,,,,1034.66,,,NSE/CNXBANK
2001-01-05,,,,1046.99,,,NSE/CNXBANK
2001-01-08,,,,1033.98,,,NSE/CNXBANK
2001-01-09,,,,1027.94,,,NSE/CNXBANK
2001-01-10,,,,1031.27,,,NSE/CNXBANK
2001-01-11,,,,1031.78,,,NSE/CNXBANK
2001-01-12,,,,1049.51,,,NSE/CNXBANK
2001-01-15,,,,1057.52,,,NSE/CNXBANK
2001-01-16,,,,1068.0,,,NSE/CNXBANK
2001-01-17,,,,1057.49,,,NSE/CNXBANK
2001-01-18,,,,1054.72,,,NSE/CNXBANK
2001-01-19,,,,1068.69,,,NSE/CNXBANK
2001-01-22,,,,1073.29,,,NSE/CNXBANK
2001-01-23,,,,1092.05,,,NSE/CNXBANK
2001-01-24,,,,1093.67,,,NSE/CNXBANK
2001-01-25,,,,1121.02,,,NSE/CNXBANK
2001-01-29,,,,1085.88,,,NSE/CNXBANK
2001-01-30,,,,1093.3,,,NSE/CNXBANK
2001-01-31,,,,1094.09,,,NSE/CNXBANK
2001-02-01,,,,1080.88,,,NSE/CNXBANK
2001-02-02,,,,1102.81,,,NSE/CNXBANK
2001-02-05,,,,1128.24,,,NSE/CNXBANK
2001-02-06,,,,1133.67,,,NSE/CNXBANK
2001-02-07,,,,1134.01,,,NSE/CNXBANK
2001-02-08,,,,1177.74,,,NSE/CNXBANK
2001-02-09,,,,1244.64,,,NSE/CNXBANK
2001-02-12,,,,1233.37,,,NSE/CNXBANK
2001-02-13,,,,1199.81,,,NSE/CNXBANK
2001-02-14,,,,1202.86,,,NSE/CNXBANK
2001-02-15,,,,1197.64,,,NSE/CNXBANK
2001-02-16,,,,1139.75,,,NSE/CNXBANK
2001-02-19,,,,1149.56,,,NSE/CNXBANK
2001-02-20,,,,1143.82,,,NSE/CNXBANK
2001-02-21,,,,1153.56,,,NSE/CNXBANK
2001-02-22,,,,1127.75,,,NSE/CNXBANK
2001-02-23,,,,1089.81,,,NSE/CNXBANK
2001-02-26,,,,1090.46,,,NSE/CNXBANK
2001-02-27,,,,1086.55,,,NSE/CNXBANK
2001-02-28,,,,1171.65,,,NSE/CNXBANK
2001-03-01,,,,1246.48,,,NSE/CNXBANK
2001-03-02,,,,1238.15,,,NSE/CNXBANK
2001-03-05,,,,1226.43,,,NSE/CNXBANK
2001-03-07,,,,1214.78,,,NSE/CNXBANK
2001-03-08,,,,1215.22,,,NSE/CNXBANK
2001-03-09,,,,1184.86,,,NSE/CNXBANK
2001-03-12,,,,1129.37,,,NSE/CNXBANK
2001-03-13,,,,1057.12,,,NSE/CNXBANK
2001-03-14,,,,1098.69,,,NSE/CNXBANK
2001-03-15,,,,1117.11,,,NSE/CNXBANK
2001-03-16,,,,1080.19,,,NSE/CNXBANK
2001-03-19,,,,1081.65,,,NSE/CNXBANK
2001-03-20,,,,1070.35,,,NSE/CNXBANK
