Date,Open,High,Low,Close,SharesTraded,Turnover,index
2006-01-02,,,,1000.0,,,NSE/CNXCONSUMPTION
2006-01-03,,,,1014.3,,,NSE/CNXCONSUMPTION
2006-01-04,,,,1019.72,,,NSE/CNXCONSUMPTION
2006-01-05,,,,1018.92,,,NSE/CNXCONSUMPTION
2006-01-06,,,,1021.92,,,NSE/CNXCONSUMPTION
2006-01-09,,,,1027.77,,,NSE/CNXCONSUMPTION
2006-01-10,,,,1011.87,,,NSE/CNXCONSUMPTION
2006-01-12,,,,1006.29,,,NSE/CNXCONSUMPTION
2006-01-13,,,,1006.98,,,NSE/CNXCONSUMPTION
2006-01-16,,,,1004.63,,,NSE/CNXCONSUMPTION
2006-01-17,,,,995.93,,,NSE/CNXCONSUMPTION
2006-01-18,,,,993.85,,,NSE/CNXCONSUMPTION
2006-01-19,,,,1009.71,,,NSE/CNXCONSUMPTION
2006-01-20,,,,1017.34,,,NSE/CNXCONSUMPTION
2006-01-23,,,,1017.46,,,NSE/CNXCONSUMPTION
2006-01-24,,,,1025.05,,,NSE/CNXCONSUMPTION
2006-01-25,,,,1037.9,,,NSE/CNXCONSUMPTION
2006-01-27,,,,1048.99,,,NSE/CNXCONSUMPTION
2006-01-30,,,,1044.39,,,NSE/CNXCONSUMPTION
2006-01-31,,,,1052.89,,,NSE/CNXCONSUMPTION
2006-02-01,,,,1042.18,,,NSE/CNXCONSUMPTION
2006-02-02,,,,1049.99,,,NSE/CNXCONSUMPTION
2006-02-03,,,,1051.26,,,NSE/CNXCONSUMPTION
2006-02-06,,,,1072.14,,,NSE/CNXCONSUMPTION
2006-02-07,,,,1082.54,,,NSE/CNXCONSUMPTION
2006-02-08,,,,1086.36,,,NSE/CNXCONSUMPTION
2006-02-10,,,,1104.79,,,NSE/CNXCONSUMPTION
2006-02-13,,,,1112.41,,,NSE/CNXCONSUMPTION
2006-02-14,,,,1117.97,,,NSE/CNXCONSUMPTION
2006-02-15,,,,1129.04,,,NSE/CNXCONSUMPTION
2006-02-16,,,,1127.62,,,NSE/CNXCONSUMPTION
2006-02-17,,,,1110.17,,,NSE/CNXCONSUMPTION
2006-02-20,,,,1113.46,,,NSE/CNXCONSUMPTION
2006-02-21,,,,1125.42,,,NSE/CNXCONSUMPTION
2006-02-22,,,,1126.75,,,NSE/CNXCONSUMPTION
2006-02-23,,,,1133.87,,,NSE/CNXCONSUMPTION
2006-02-24,,,,1127.96,,,NSE/CNXCONSUMPTION
2006-02-27,,,,1126.68,,,NSE/CNXCONSUMPTION
2006-02-28,,,,1138.02,,,NSE/CNXCONSUMPTION
2006-03-01,,,,1162.15,,,NSE/CNXCONSUMPTION
2006-03-02,,,,1176.27,,,NSE/CNXCONSUMPTION
2006-03-03,,,,1181.85,,,NSE/CNXCONSUMPTION
2006-03-06,,,,1193.58,,,NSE/CNXCONSUMPTION
2006-03-07,,,,1195.66,,,NSE/CNXCONSUMPTION
2006-03-08,,,,1170.14,,,NSE/CNXCONSUMPTION
2006-03-09,,,,1165.56,,,NSE/CNXCONSUMPTION
2006-03-10,,,,1190.32,,,NSE/CNXCONSUMPTION
2006-03-13,,,,1194.47,,,NSE/CNXCONSUMPTION
2006-03-14,,,,1189.4,,,NSE/CNXCONSUMPTION
2006-03-16,,,,1201.67,,,NSE/CNXCONSUMPTION
2006-03-17,,,,1201.49,,,NSE/CNXCONSUMPTION
2006-03-20,,,,1207.46,,,NSE/CNXCONSUMPTION
2006-03-21,,,,1205.5,,,NSE/CNXCONSUMPTION
2006-03-22,,,,1198.77,,,NSE/CNXCONSUMPTION
2006-03-23,,,,1201.14,,,NSE/CNXCONSUMPTION
2006-03-24,,,,1211.41,,,NSE/CNXCONSUMPTION
2006-03-27,,,,1229.98,,,NSE/CNXCONSUMPTION
2006-03-28,,,,1228.66,,,NSE/CNXCONSUMPTION
2006-03-29,,,,1238.08,,,NSE/CNXCONSUMPTION
2006-03-30,,,,1255.89,,,NSE/CNXCONSUMPTION
2006-03-31,,,,1257.44,,,NSE/CNXCONSUMPTION
2006-04-03,,,,1285.16,,,NSE/CNXCONSUMPTION
2006-04-04,,,,1292.66,,,NSE/CNXCONSUMPTION
2006-04-05,,,,1315.73,,,NSE/CNXCONSUMPTION
2006-04-07,,,,1290.11,,,NSE/CNXCONSUMPTION
2006-04-10,,,,1289.06,,,NSE/CNXCONSUMPTION
2006-04-12,,,,1249.77,,,NSE/CNXCONSUMPTION
2006-04-13,,,,1229.06,,,NSE/CNXCONSUMPTION
2006-04-17,,,,1248.28,,,NSE/CNXCONSUMPTION
2006-04-18,,,,1277.85,,,NSE/CNXCONSUMPTION
2006-04-19,,,,1274.65,,,NSE/CNXCONSUMPTION
2006-04-20,,,,1278.06,,,NSE/CNXCONSUMPTION
2006-04-21,,,,1283.99,,,NSE/CNXCONSUMPTION
2006-04-24,,,,1280.71,,,NSE/CNXCONSUMPTION
2006-04-25,,,,1243.8,,,NSE/CNXCONSUMPTION
2006-04-26,,,,1275.83,,,NSE/CNXCONSUMPTION
2006-04-27,,,,1262.98,,,NSE/CNXCONSUMPTION
2006-04-28,,,,1273.93,,,NSE/CNXCONSUMPTION
2006-04-29,,,,1291.17,,,NSE/CNXCONSUMPTION
2006-05-02,,,,1306.38,,,NSE/CNXCONSUMPTION
2006-05-03,,,,1320.32,,,NSE/CNXCONSUMPTION
2006-05-04,,,,1319.59,,,NSE/CNXCONSUMPTION
2006-05-05,,,,1321.76,,,NSE/CNXCONSUMPTION
2006-05-08,,,,1326.27,,,NSE/CNXCONSUMPTION
2006-05-09,,,,1329.29,,,NSE/CNXCONSUMPTION
2006-05-10,,,,1329.34,,,NSE/CNXCONSUMPTION
2006-05-11,,,,1317.37,,,NSE/CNXCONSUMPTION
2006-05-12,,,,1309.8,,,NSE/CNXCONSUMPTION
2006-05-15,,,,1255.55,,,NSE/CNXCONSUMPTION
2006-05-16,,,,1266.07,,,NSE/CNXCONSUMPTION
2006-05-17,,,,1300.82,,,NSE/CNXCONSUMPTION
2006-05-18,,,,1214.52,,,NSE/CNXCONSUMPTION
2006-05-19,,,,1154.62,,,NSE/CNXCONSUMPTION
2006-05-22,,,,1107.73,,,NSE/CNXCONSUMPTION
2006-05-23,,,,1146.0,,,NSE/CNXCONSUMPTION
2006-05-24,,,,1122.99,,,NSE/CNXCONSUMPTION
2006-05-25,,,,1144.06,,,NSE/CNXCONSUMPTION
2006-05-26,,,,1163.51,,,NSE/CNXCONSUMPTION
2006-05-29,,,,1158.47,,,NSE/CNXCONSUMPTION
2006-05-30,,,,1142.92,,,NSE/CNXCONSUMPTION
2006-05-31,,,,1103.48,,,NSE/CNXCONSUMPTION
2006-06-01,,,,1057.02,,,NSE/CNXCONSUMPTION
2006-06-02,,,,1097.51,,,NSE/CNXCONSUMPTION
2006-06-05,,,,1076.98,,,NSE/CNXCONSUMPTION
2006-06-06,,,,1044.02,,,NSE/CNXCONSUMPTION
2006-06-07,,,,1017.57,,,NSE/CNXCONSUMPTION
2006-06-08,,,,963.28,,,NSE/CNXCONSUMPTION
2006-06-09,,,,1016.78,,,NSE/CNXCONSUMPTION
2006-06-12,,,,987.09,,,NSE/CNXCONSUMPTION
2006-06-13,,,,942.21,,,NSE/CNXCONSUMPTION
2006-06-14,,,,938.25,,,NSE/CNXCONSUMPTION
