Date,Open,High,Low,Close,SharesTraded,Turnover,index
2007-10-01,,,,1000.0,,,NSE/CNXDIVIDENDOPPT
2007-10-03,,,,1002.36,,,NSE/CNXDIVIDENDOPPT
2007-10-04,,,,1008.83,,,NSE/CNXDIVIDENDOPPT
2007-10-05,,,,992.31,,,NSE/CNXDIVIDENDOPPT
2007-10-08,,,,963.08,,,NSE/CNXDIVIDENDOPPT
2007-10-09,,,,1000.78,,,NSE/CNXDIVIDENDOPPT
2007-10-10,,,,1005.94,,,NSE/CNXDIVIDENDOPPT
2007-10-11,,,,1018.7,,,NSE/CNXDIVIDENDOPPT
2007-10-12,,,,1011.68,,,NSE/CNXDIVIDENDOPPT
2007-10-15,,,,1050.99,,,NSE/CNXDIVIDENDOPPT
2007-10-16,,,,1050.68,,,NSE/CNXDIVIDENDOPPT
2007-10-17,,,,1018.28,,,NSE/CNXDIVIDENDOPPT
2007-10-18,,,,987.78,,,NSE/CNXDIVIDENDOPPT
2007-10-19,,,,972.72,,,NSE/CNXDIVIDENDOPPT
2007-10-22,,,,971.51,,,NSE/CNXDIVIDENDOPPT
2007-10-23,,,,1014.07,,,NSE/CNXDIVIDENDOPPT
2007-10-24,,,,1022.09,,,NSE/CNXDIVIDENDOPPT
2007-10-25,,,,1049.93,,,NSE/CNXDIVIDENDOPPT
2007-10-26,,,,1061.18,,,NSE/CNXDIVIDENDOPPT
2007-10-29,,,,1077.69,,,NSE/CNXDIVIDENDOPPT
2007-10-30,,,,1065.1,,,NSE/CNXDIVIDENDOPPT
2007-10-31,,,,1071.32,,,NSE/CNXDIVIDENDOPPT
2007-11-01,,,,1057.57,,,NSE/CNXDIVIDENDOPPT
2007-11-02,,,,1053.93,,,NSE/CNXDIVIDENDOPPT
2007-11-05,,,,1056.98,,,NSE/CNXDIVIDENDOPPT
2007-11-06,,,,1060.37,,,NSE/CNXDIVIDENDOPPT
2007-11-07,,,,1066.88,,,NSE/CNXDIVIDENDOPPT
2007-11-08,,,,1067.91,,,NSE/CNXDIVIDENDOPPT
2007-11-09,,,,1062.82,,,NSE/CNXDIVIDENDOPPT
2007-11-12,,,,1050.33,,,NSE/CNXDIVIDENDOPPT
2007-11-13,,,,1061.66,,,NSE/CNXDIVIDENDOPPT
2007-11-14,,,,1099.65,,,NSE/CNXDIVIDENDOPPT
2007-11-15,,,,1106.09,,,NSE/CNXDIVIDENDOPPT
2007-11-16,,,,1109.44,,,NSE/CNXDIVIDENDOPPT
2007-11-19,,,,1124.26,,,NSE/CNXDIVIDENDOPPT
2007-11-20,,,,1104.07,,,NSE/CNXDIVIDENDOPPT
2007-11-21,,,,1057.39,,,NSE/CNXDIVIDENDOPPT
2007-11-22,,,,1046.59,,,NSE/CNXDIVIDENDOPPT
2007-11-23,,,,1060.18,,,NSE/CNXDIVIDENDOPPT
2007-11-26,,,,1090.83,,,NSE/CNXDIVIDENDOPPT
2007-11-27,,,,1093.77,,,NSE/CNXDIVIDENDOPPT
2007-11-28,,,,1076.54,,,NSE/CNXDIVIDENDOPPT
2007-11-29,,,,1071.23,,,NSE/CNXDIVIDENDOPPT
2007-11-30,,,,1096.91,,,NSE/CNXDIVIDENDOPPT
2007-12-03,,,,1112.62,,,NSE/CNXDIVIDENDOPPT
2007-12-04,,,,1128.35,,,NSE/CNXDIVIDENDOPPT
2007-12-05,,,,1155.91,,,NSE/CNXDIVIDENDOPPT
2007-12-06,,,,1155.07,,,NSE/CNXDIVIDENDOPPT
2007-12-07,,,,1150.85,,,NSE/CNXDIVIDENDOPPT
2007-12-10,,,,1164.06,,,NSE/CNXDIVIDENDOPPT
2007-12-11,,,,1184.22,,,NSE/CNXDIVIDENDOPPT
2007-12-12,,,,1211.19,,,NSE/CNXDIVIDENDOPPT
2007-12-13,,,,1212.25,,,NSE/CNXDIVIDENDOPPT
2007-12-14,,,,1214.85,,,NSE/CNXDIVIDENDOPPT
2007-12-17,,,,1160.71,,,NSE/CNXDIVIDENDOPPT
2007-12-18,,,,1155.15,,,NSE/CNXDIVIDENDOPPT
2007-12-19,,,,1155.81,,,NSE/CNXDIVIDENDOPPT
2007-12-20,,,,1156.65,,,NSE/CNXDIVIDENDOPPT
2007-12-24,,,,1202.83,,,NSE/CNXDIVIDENDOPPT
2007-12-26,,,,1222.85,,,NSE/CNXDIVIDENDOPPT
2007-12-27,,,,1230.64,,,NSE/CNXDIVIDENDOPPT
2007-12-28,,,,1248.0,,,NSE/CNXDIVIDENDOPPT
2007-12-31,,,,1257.85,,,NSE/CNXDIVIDENDOPPT
2008-01-01,,,,1276.53,,,NSE/CNXDIVIDENDOPPT
2008-01-02,,,,1298.85,,,NSE/CNXDIVIDENDOPPT
2008-01-03,,,,1300.7,,,NSE/CNXDIVIDENDOPPT
2008-01-04,,,,1297.54,,,NSE/CNXDIVIDENDOPPT
2008-01-07,,,,1291.1,,,NSE/CNXDIVIDENDOPPT
2008-01-08,,,,1268.76,,,NSE/CNXDIVIDENDOPPT
2008-01-09,,,,1254.27,,,NSE/CNXDIVIDENDOPPT
2008-01-10,,,,1212.93,,,NSE/CNXDIVIDENDOPPT
2008-01-11,,,,1208.74,,,NSE/CNXDIVIDENDOPPT
2008-01-14,,,,1216.14,,,NSE/CNXDIVIDENDOPPT
2008-01-15,,,,1202.81,,,NSE/CNXDIVIDENDOPPT
2008-01-16,,,,1174.9,,,NSE/CNXDIVIDENDOPPT
2008-01-17,,,,1182.88,,,NSE/CNXDIVIDENDOPPT
2008-01-18,,,,1134.6,,,NSE/CNXDIVIDENDOPPT
2008-01-21,,,,1030.3,,,NSE/CNXDIVIDENDOPPT
2008-01-22,,,,967.63,,,NSE/CNXDIVIDENDOPPT
2008-01-23,,,,1026.44,,,NSE/CNXDIVIDENDOPPT
2008-01-24,,,,997.8,,,NSE/CNXDIVIDENDOPPT
2008-01-25,,,,1066.37,,,NSE/CNXDIVIDENDOPPT
2008-01-28,,,,1062.66,,,NSE/CNXDIVIDENDOPPT
2008-01-29,,,,1065.65,,,NSE/CNXDIVIDENDOPPT
2008-01-30,,,,1052.44,,,NSE/CNXDIVIDENDOPPT
