Date,Open,High,Low,Close,SharesTraded,Turnover,index
2004-01-01,,,,1000.0,,,NSE/CNXFINANCE
2004-01-02,,,,1007.2,,,NSE/CNXFINANCE
2004-01-05,,,,1028.46,,,NSE/CNXFINANCE
2004-01-06,,,,1021.95,,,NSE/CNXFINANCE
2004-01-07,,,,1008.47,,,NSE/CNXFINANCE
2004-01-08,,,,1037.5,,,NSE/CNXFINANCE
2004-01-09,,,,1058.83,,,NSE/CNXFINANCE
2004-01-12,,,,1065.86,,,NSE/CNXFINANCE
2004-01-13,,,,1077.25,,,NSE/CNXFINANCE
2004-01-14,,,,1098.86,,,NSE/CNXFINANCE
2004-01-15,,,,1085.1,,,NSE/CNXFINANCE
2004-01-16,,,,1047.19,,,NSE/CNXFINANCE
2004-01-19,,,,1074.56,,,NSE/CNXFINANCE
2004-01-20,,,,1039.77,,,NSE/CNXFINANCE
2004-01-21,,,,990.53,,,NSE/CNXFINANCE
2004-01-22,,,,981.37,,,NSE/CNXFINANCE
2004-01-23,,,,1025.15,,,NSE/CNXFINANCE
2004-01-27,,,,1056.15,,,NSE/CNXFINANCE
2004-01-28,,,,1042.87,,,NSE/CNXFINANCE
2004-01-29,,,,1026.61,,,NSE/CNXFINANCE
2004-01-30,,,,997.51,,,NSE/CNXFINANCE
2004-02-03,,,,961.07,,,NSE/CNXFINANCE
2004-02-04,,,,990.18,,,NSE/CNXFINANCE
2004-02-05,,,,991.33,,,NSE/CNXFINANCE
2004-02-06,,,,1018.24,,,NSE/CNXFINANCE
2004-02-09,,,,1059.36,,,NSE/CNXFINANCE
2004-02-10,,,,1064.26,,,NSE/CNXFINANCE
2004-02-11,,,,1062.42,,,NSE/CNXFINANCE
2004-02-12,,,,1048.86,,,NSE/CNXFINANCE
2004-02-13,,,,1056.37,,,NSE/CNXFINANCE
2004-02-16,,,,1049.41,,,NSE/CNXFINANCE
2004-02-17,,,,1060.54,,,NSE/CNXFINANCE
2004-02-18,,,,1056.78,,,NSE/CNXFINANCE
2004-02-19,,,,1031.19,,,NSE/CNXFINANCE
2004-02-20,,,,1008.79,,,NSE/CNXFINANCE
2004-02-23,,,,981.28,,,NSE/CNXFINANCE
2004-02-24,,,,985.99,,,NSE/CNXFINANCE
2004-02-25,,,,973.38,,,NSE/CNXFINANCE
2004-02-26,,,,960.54,,,NSE/CNXFINANCE
2004-02-27,,,,971.35,,,NSE/CNXFINANCE
2004-03-01,,,,1003.03,,,NSE/CNXFINANCE
2004-03-03,,,,1003.48,,,NSE/CNXFINANCE
2004-03-04,,,,1009.82,,,NSE/CNXFINANCE
2004-03-05,,,,1019.82,,,NSE/CNXFINANCE
2004-03-08,,,,1044.14,,,NSE/CNXFINANCE
2004-03-09,,,,1042.2,,,NSE/CNXFINANCE
2004-03-10,,,,1017.16,,,NSE/CNXFINANCE
2004-03-11,,,,995.86,,,NSE/CNXFINANCE
2004-03-12,,,,993.98,,,NSE/CNXFINANCE
2004-03-15,,,,970.58,,,NSE/CNXFINANCE
2004-03-16,,,,966.02,,,NSE/CNXFINANCE
2004-03-17,,,,975.7,,,NSE/CNXFINANCE
2004-03-18,,,,961.68,,,NSE/CNXFINANCE
