Date,Open,High,Low,Close,SharesTraded,Turnover,index
2004-01-01,,,,1000.0,20180446.0,300.53,NSE/CNXINFRA
2004-01-02,,,,1053.26,21665983.0,330.61,NSE/CNXINFRA
2004-01-05,,,,1062.47,24346272.0,391.64,NSE/CNXINFRA
2004-01-06,,,,1069.26,28296835.0,508.09,NSE/CNXINFRA
2004-01-07,,,,1060.76,21119393.0,396.77,NSE/CNXINFRA
2004-01-08,,,,1112.24,18670856.0,339.81,NSE/CNXINFRA
2004-01-09,,,,1116.63,28288799.0,579.4,NSE/CNXINFRA
2004-01-12,,,,1103.55,18072795.0,350.53,NSE/CNXINFRA
2004-01-13,,,,1113.04,15338594.0,340.23,NSE/CNXINFRA
2004-01-14,,,,1128.77,19941739.0,404.45,NSE/CNXINFRA
2004-01-15,,,,1097.77,19798162.0,365.28,NSE/CNXINFRA
2004-01-16,,,,1062.16,17174004.0,373.15,NSE/CNXINFRA
2004-01-19,,,,1068.08,15913999.0,325.32,NSE/CNXINFRA
2004-01-20,,,,1059.31,21593375.0,404.92,NSE/CNXINFRA
2004-01-21,,,,1013.81,22474443.0,426.91,NSE/CNXINFRA
2004-01-22,,,,985.94,23551464.0,433.07,NSE/CNXINFRA
2004-01-23,,,,1036.46,20199576.0,307.55,NSE/CNXINFRA
2004-01-27,,,,1107.61,27674204.0,464.7,NSE/CNXINFRA
2004-01-28,,,,1071.19,24376312.0,395.9,NSE/CNXINFRA
2004-01-29,,,,1065.96,16820762.0,342.04,NSE/CNXINFRA
2004-01-30,,,,1029.02,16000192.0,296.05,NSE/CNXINFRA
2004-02-03,,,,996.48,23000417.0,448.39,NSE/CNXINFRA
2004-02-04,,,,1029.3,17744692.0,367.18,NSE/CNXINFRA
2004-02-05,,,,1017.36,17568804.0,344.98,NSE/CNXINFRA
2004-02-06,,,,1047.45,14895516.0,301.18,NSE/CNXINFRA
2004-02-09,,,,1069.63,14587588.0,300.96,NSE/CNXINFRA
2004-02-10,,,,1068.68,18802957.0,396.42,NSE/CNXINFRA
2004-02-11,,,,1085.25,11918305.0,240.1,NSE/CNXINFRA
2004-02-12,,,,1107.13,18138023.0,372.36,NSE/CNXINFRA
2004-02-13,,,,1121.05,16759383.0,337.03,NSE/CNXINFRA
2004-02-16,,,,1143.99,19927386.0,449.28,NSE/CNXINFRA
2004-02-17,,,,1143.05,13481977.0,317.07,NSE/CNXINFRA
2004-02-18,,,,1137.82,11474566.0,298.45,NSE/CNXINFRA
2004-02-19,,,,1108.55,12260454.0,289.39,NSE/CNXINFRA
2004-02-20,,,,1104.88,14371194.0,352.09,NSE/CNXINFRA
2004-02-23,,,,1093.67,11507610.0,323.1,NSE/CNXINFRA
2004-02-24,,,,1098.48,14203131.0,345.6,NSE/CNXINFRA
2004-02-25,,,,1079.4,10625578.0,292.01,NSE/CNXINFRA
2004-02-26,,,,1062.57,12446893.0,321.11,NSE/CNXINFRA
2004-02-27,,,,1078.85,13451654.0,351.04,NSE/CNXINFRA
2004-03-01,,,,1144.71,21000365.0,452.81,NSE/CNXINFRA
2004-03-03,,,,1135.14,18697962.0,471.36,NSE/CNXINFRA
2004-03-04,,,,1128.29,14964968.0,425.4,NSE/CNXINFRA
2004-03-05,,,,1145.48,17279043.0,452.69,NSE/CNXINFRA
2004-03-08,,,,1157.89,16446977.0,390.43,NSE/CNXINFRA
2004-03-09,,,,1155.44,14962675.0,409.23,NSE/CNXINFRA
2004-03-10,,,,1150.9,16670495.0,420.33,NSE/CNXINFRA
2004-03-11,,,,1116.53,12818331.0,354.06,NSE/CNXINFRA
2004-03-12,,,,1116.0,14191085.0,345.74,NSE/CNXINFRA
2004-03-15,,,,1091.82,14297803.0,363.25,NSE/CNXINFRA
2004-03-16,,,,1066.57,15278931.0,325.54,NSE/CNXINFRA
2004-03-17,,,,1062.42,10351393.0,238.37,NSE/CNXINFRA
2004-03-18,,,,1044.52,9086952.0,206.5,NSE/CNXINFRA
2004-03-19,,,,1034.93,11252079.0,234.15,NSE/CNXINFRA
2004-03-22,,,,1005.53,9820622.0,194.76,NSE/CNXINFRA
2004-03-23,,,,1008.95,10140167.0,199.93,NSE/CNXINFRA
2004-03-24,,,,1023.53,10209296.0,194.99,NSE/CNXINFRA
2004-03-25,,,,1045.87,13534913.0,267.69,NSE/CNXINFRA
2004-03-26,,,,1067.86,14633931.0,260.64,NSE/CNXINFRA
2004-03-29,,,,1088.08,12142803.0,243.87,NSE/CNXINFRA
2004-03-30,,,,1102.42,15681164.0,310.6,NSE/CNXINFRA
2004-03-31,,,,1119.84,14390369.0,291.68,NSE/CNXINFRA
2004-04-01,,,,1156.53,23332415.0,434.58,NSE/CNXINFRA
2004-04-02,,,,1185.12,20902942.0,463.85,NSE/CNXINFRA
2004-04-05,,,,1189.83,20855529.0,504.16,NSE/CNXINFRA
2004-04-06,,,,1178.29,19087629.0,422.03,NSE/CNXINFRA
2004-04-07,,,,1178.98,12576857.0,282.6,NSE/CNXINFRA
2004-04-08,,,,1181.63,13953585.0,311.14,NSE/CNXINFRA
2004-04-12,,,,1194.99,13013392.0,265.47,NSE/CNXINFRA
2004-04-13,,,,1212.82,13467865.0,279.6,NSE/CNXINFRA
2004-04-15,,,,1203.42,15786063.0,300.2,NSE/CNXINFRA
2004-04-16,,,,1209.93,15373911.0,286.11,NSE/CNXINFRA
2004-04-17,,,,1228.95,10131460.0,146.49,NSE/CNXINFRA
2004-04-19,,,,1200.92,16894026.0,309.59,NSE/CNXINFRA
2004-04-20,,,,1189.94,12912142.0,297.52,NSE/CNXINFRA
2004-04-21,,,,1205.66,16362206.0,323.68,NSE/CNXINFRA
2004-04-22,,,,1225.33,18555706.0,380.14,NSE/CNXINFRA
2004-04-23,,,,1240.09,36139943.0,603.44,NSE/CNXINFRA
2004-04-27,,,,1172.6,22210924.0,360.39,NSE/CNXINFRA
2004-04-28,,,,1165.7,18457973.0,351.33,NSE/CNXINFRA
2004-04-29,,,,1168.65,19441233.0,361.42,NSE/CNXINFRA
