Date,Open,High,Low,Close,SharesTraded,Turnover,index
2005-12-30,,,,1000.0,,,NSE/CNXMEDIA
2006-01-02,,,,1014.42,,,NSE/CNXMEDIA
2006-01-03,,,,1030.43,,,NSE/CNXMEDIA
2006-01-04,,,,1040.61,,,NSE/CNXMEDIA
2006-01-05,,,,1032.63,,,NSE/CNXMEDIA
2006-01-06,,,,1035.45,,,NSE/CNXMEDIA
2006-01-09,,,,1045.97,,,NSE/CNXMEDIA
2006-01-10,,,,1041.13,,,NSE/CNXMEDIA
2006-01-12,,,,1046.92,,,NSE/CNXMEDIA
2006-01-13,,,,1033.06,,,NSE/CNXMEDIA
2006-01-16,,,,1034.85,,,NSE/CNXMEDIA
2006-01-17,,,,1028.59,,,NSE/CNXMEDIA
2006-01-18,,,,1030.54,,,NSE/CNXMEDIA
2006-01-19,,,,1058.52,,,NSE/CNXMEDIA
2006-01-20,,,,1062.12,,,NSE/CNXMEDIA
2006-01-23,,,,1065.85,,,NSE/CNXMEDIA
2006-01-24,,,,1070.14,,,NSE/CNXMEDIA
2006-01-25,,,,1056.71,,,NSE/CNXMEDIA
2006-01-27,,,,1054.57,,,NSE/CNXMEDIA
2006-01-30,,,,1046.19,,,NSE/CNXMEDIA
2006-01-31,,,,1071.25,,,NSE/CNXMEDIA
2006-02-01,,,,1039.51,,,NSE/CNXMEDIA
2006-02-02,,,,1032.48,,,NSE/CNXMEDIA
2006-02-03,,,,1042.6,,,NSE/CNXMEDIA
2006-02-06,,,,1053.1,,,NSE/CNXMEDIA
2006-02-07,,,,1064.68,,,NSE/CNXMEDIA
2006-02-08,,,,1056.59,,,NSE/CNXMEDIA
2006-02-10,,,,1089.34,,,NSE/CNXMEDIA
2006-02-13,,,,1115.28,,,NSE/CNXMEDIA
2006-02-14,,,,1100.12,,,NSE/CNXMEDIA
2006-02-15,,,,1113.71,,,NSE/CNXMEDIA
2006-02-16,,,,1118.2,,,NSE/CNXMEDIA
2006-02-17,,,,1131.37,,,NSE/CNXMEDIA
2006-02-20,,,,1106.01,,,NSE/CNXMEDIA
2006-02-21,,,,1108.24,,,NSE/CNXMEDIA
2006-02-22,,,,1102.5,,,NSE/CNXMEDIA
2006-02-23,,,,1099.87,,,NSE/CNXMEDIA
2006-02-24,,,,1091.51,,,NSE/CNXMEDIA
2006-02-27,,,,1118.64,,,NSE/CNXMEDIA
2006-02-28,,,,1124.06,,,NSE/CNXMEDIA
2006-03-01,,,,1139.92,,,NSE/CNXMEDIA
2006-03-02,,,,1152.29,,,NSE/CNXMEDIA
2006-03-03,,,,1165.48,,,NSE/CNXMEDIA
2006-03-06,,,,1159.01,,,NSE/CNXMEDIA
2006-03-07,,,,1152.73,,,NSE/CNXMEDIA
2006-03-08,,,,1135.95,,,NSE/CNXMEDIA
2006-03-09,,,,1136.31,,,NSE/CNXMEDIA
2006-03-10,,,,1171.83,,,NSE/CNXMEDIA
2006-03-13,,,,1184.6,,,NSE/CNXMEDIA
2006-03-14,,,,1183.78,,,NSE/CNXMEDIA
2006-03-16,,,,1258.98,,,NSE/CNXMEDIA
2006-03-17,,,,1284.55,,,NSE/CNXMEDIA
2006-03-20,,,,1335.59,,,NSE/CNXMEDIA
2006-03-21,,,,1315.81,,,NSE/CNXMEDIA
2006-03-22,,,,1310.31,,,NSE/CNXMEDIA
2006-03-23,,,,1324.75,,,NSE/CNXMEDIA
2006-03-24,,,,1333.12,,,NSE/CNXMEDIA
2006-03-27,,,,1320.69,,,NSE/CNXMEDIA
2006-03-28,,,,1308.85,,,NSE/CNXMEDIA
2006-03-29,,,,1326.08,,,NSE/CNXMEDIA
2006-03-30,,,,1338.27,,,NSE/CNXMEDIA
2006-03-31,,,,1337.94,,,NSE/CNXMEDIA
2006-04-03,,,,1379.1,,,NSE/CNXMEDIA
2006-04-04,,,,1403.89,,,NSE/CNXMEDIA
2006-04-05,,,,1406.02,,,NSE/CNXMEDIA
2006-04-07,,,,1396.43,,,NSE/CNXMEDIA
2006-04-10,,,,1383.35,,,NSE/CNXMEDIA
2006-04-12,,,,1344.83,,,NSE/CNXMEDIA
2006-04-13,,,,1321.68,,,NSE/CNXMEDIA
2006-04-17,,,,1365.45,,,NSE/CNXMEDIA
2006-04-18,,,,1388.92,,,NSE/CNXMEDIA
2006-04-19,,,,1369.65,,,NSE/CNXMEDIA
2006-04-20,,,,1371.18,,,NSE/CNXMEDIA
2006-04-21,,,,1363.74,,,NSE/CNXMEDIA
2006-04-24,,,,1372.01,,,NSE/CNXMEDIA
2006-04-25,,,,1360.02,,,NSE/CNXMEDIA
2006-04-26,,,,1367.84,,,NSE/CNXMEDIA
2006-04-27,,,,1396.57,,,NSE/CNXMEDIA
2006-04-28,,,,1442.21,,,NSE/CNXMEDIA
2006-04-29,,,,1452.07,,,NSE/CNXMEDIA
2006-05-02,,,,1505.22,,,NSE/CNXMEDIA
2006-05-03,,,,1492.83,,,NSE/CNXMEDIA
2006-05-04,,,,1482.26,,,NSE/CNXMEDIA
2006-05-05,,,,1463.36,,,NSE/CNXMEDIA
2006-05-08,,,,1494.27,,,NSE/CNXMEDIA
2006-05-09,,,,1519.26,,,NSE/CNXMEDIA
2006-05-10,,,,1530.08,,,NSE/CNXMEDIA
2006-05-11,,,,1519.11,,,NSE/CNXMEDIA
2006-05-12,,,,1520.06,,,NSE/CNXMEDIA
2006-05-15,,,,1486.34,,,NSE/CNXMEDIA
2006-05-16,,,,1467.05,,,NSE/CNXMEDIA
2006-05-17,,,,1469.75,,,NSE/CNXMEDIA
2006-05-18,,,,1374.87,,,NSE/CNXMEDIA
2006-05-19,,,,1319.22,,,NSE/CNXMEDIA
2006-05-22,,,,1263.52,,,NSE/CNXMEDIA
2006-05-23,,,,1321.27,,,NSE/CNXMEDIA
2006-05-24,,,,1277.73,,,NSE/CNXMEDIA
2006-05-25,,,,1298.81,,,NSE/CNXMEDIA
2006-05-26,,,,1340.51,,,NSE/CNXMEDIA
2006-05-29,,,,1353.25,,,NSE/CNXMEDIA
2006-05-30,,,,1333.2,,,NSE/CNXMEDIA
2006-05-31,,,,1285.7,,,NSE/CNXMEDIA
2006-06-01,,,,1241.46,,,NSE/CNXMEDIA
2006-06-02,,,,1239.29,,,NSE/CNXMEDIA
2006-06-05,,,,1268.31,,,NSE/CNXMEDIA
2006-06-06,,,,1207.53,,,NSE/CNXMEDIA
2006-06-07,,,,1125.87,,,NSE/CNXMEDIA
2006-06-08,,,,1051.2,,,NSE/CNXMEDIA
2006-06-09,,,,1065.77,,,NSE/CNXMEDIA
2006-06-12,,,,1045.1,,,NSE/CNXMEDIA
2006-06-13,,,,982.52,,,NSE/CNXMEDIA
2006-06-14,,,,939.04,,,NSE/CNXMEDIA
2006-06-15,,,,1031.75,,,NSE/CNXMEDIA
2006-06-16,,,,1086.27,,,NSE/CNXMEDIA
