Date,Open,High,Low,Close,SharesTraded,Turnover,index
2004-01-01,,,,1000.0,,,NSE/CNXMETAL
2004-01-02,,,,1016.64,,,NSE/CNXMETAL
2004-01-05,,,,989.92,,,NSE/CNXMETAL
2004-01-06,,,,964.84,,,NSE/CNXMETAL
2004-01-07,,,,961.9,,,NSE/CNXMETAL
2004-01-08,,,,1004.21,,,NSE/CNXMETAL
2004-01-09,,,,976.72,,,NSE/CNXMETAL
2004-01-12,,,,959.66,,,NSE/CNXMETAL
2004-01-13,,,,958.1,,,NSE/CNXMETAL
2004-01-14,,,,961.24,,,NSE/CNXMETAL
2004-01-15,,,,950.29,,,NSE/CNXMETAL
2004-01-16,,,,918.37,,,NSE/CNXMETAL
2004-01-19,,,,949.56,,,NSE/CNXMETAL
2004-01-20,,,,924.6,,,NSE/CNXMETAL
2004-01-21,,,,863.97,,,NSE/CNXMETAL
2004-01-22,,,,818.36,,,NSE/CNXMETAL
2004-01-23,,,,878.19,,,NSE/CNXMETAL
2004-01-27,,,,908.21,,,NSE/CNXMETAL
2004-01-28,,,,879.54,,,NSE/CNXMETAL
2004-01-29,,,,877.13,,,NSE/CNXMETAL
2004-01-30,,,,844.77,,,NSE/CNXMETAL
2004-02-03,,,,799.15,,,NSE/CNXMETAL
2004-02-04,,,,859.2,,,NSE/CNXMETAL
2004-02-05,,,,838.07,,,NSE/CNXMETAL
2004-02-06,,,,861.86,,,NSE/CNXMETAL
2004-02-09,,,,883.95,,,NSE/CNXMETAL
2004-02-10,,,,872.22,,,NSE/CNXMETAL
2004-02-11,,,,892.27,,,NSE/CNXMETAL
2004-02-12,,,,886.36,,,NSE/CNXMETAL
2004-02-13,,,,918.17,,,NSE/CNXMETAL
2004-02-16,,,,920.61,,,NSE/CNXMETAL
2004-02-17,,,,932.1,,,NSE/CNXMETAL
2004-02-18,,,,918.85,,,NSE/CNXMETAL
2004-02-19,,,,880.72,,,NSE/CNXMETAL
2004-02-20,,,,881.9,,,NSE/CNXMETAL
2004-02-23,,,,864.02,,,NSE/CNXMETAL
2004-02-24,,,,881.05,,,NSE/CNXMETAL
2004-02-25,,,,859.76,,,NSE/CNXMETAL
2004-02-26,,,,848.34,,,NSE/CNXMETAL
2004-02-27,,,,858.02,,,NSE/CNXMETAL
2004-03-01,,,,869.83,,,NSE/CNXMETAL
2004-03-03,,,,871.78,,,NSE/CNXMETAL
2004-03-04,,,,846.63,,,NSE/CNXMETAL
2004-03-05,,,,871.56,,,NSE/CNXMETAL
2004-03-08,,,,892.53,,,NSE/CNXMETAL
2004-03-09,,,,873.66,,,NSE/CNXMETAL
2004-03-10,,,,868.87,,,NSE/CNXMETAL
2004-03-11,,,,844.8,,,NSE/CNXMETAL
2004-03-12,,,,848.73,,,NSE/CNXMETAL
2004-03-15,,,,801.06,,,NSE/CNXMETAL
2004-03-16,,,,798.39,,,NSE/CNXMETAL
2004-03-17,,,,799.5,,,NSE/CNXMETAL
2004-03-18,,,,781.77,,,NSE/CNXMETAL
2004-03-19,,,,786.83,,,NSE/CNXMETAL
2004-03-22,,,,741.7,,,NSE/CNXMETAL
2004-03-23,,,,729.4,,,NSE/CNXMETAL
2004-03-24,,,,721.59,,,NSE/CNXMETAL
2004-03-25,,,,739.51,,,NSE/CNXMETAL
2004-03-26,,,,759.2,,,NSE/CNXMETAL
2004-03-29,,,,772.35,,,NSE/CNXMETAL
2004-03-30,,,,765.31,,,NSE/CNXMETAL
2004-03-31,,,,760.87,,,NSE/CNXMETAL
2004-04-01,,,,791.39,,,NSE/CNXMETAL
2004-04-02,,,,813.27,,,NSE/CNXMETAL
2004-04-05,,,,828.83,,,NSE/CNXMETAL
2004-04-06,,,,806.59,,,NSE/CNXMETAL
2004-04-07,,,,797.88,,,NSE/CNXMETAL
2004-04-08,,,,803.94,,,NSE/CNXMETAL
2004-04-12,,,,801.81,,,NSE/CNXMETAL
2004-04-13,,,,812.83,,,NSE/CNXMETAL
2004-04-15,,,,801.5,,,NSE/CNXMETAL
2004-04-16,,,,808.25,,,NSE/CNXMETAL
2004-04-17,,,,809.27,,,NSE/CNXMETAL
2004-04-19,,,,813.31,,,NSE/CNXMETAL
2004-04-20,,,,826.5,,,NSE/CNXMETAL
2004-04-21,,,,866.88,,,NSE/CNXMETAL
2004-04-22,,,,866.65,,,NSE/CNXMETAL
2004-04-23,,,,864.04,,,NSE/CNXMETAL
2004-04-27,,,,801.13,,,NSE/CNXMETAL
2004-04-28,,,,814.01,,,NSE/CNXMETAL
2004-04-29,,,,787.39,,,NSE/CNXMETAL
2004-04-30,,,,754.87,,,NSE/CNXMETAL
2004-05-03,,,,719.58,,,NSE/CNXMETAL
2004-05-04,,,,737.71,,,NSE/CNXMETAL
2004-05-05,,,,749.81,,,NSE/CNXMETAL
2004-05-06,,,,776.95,,,NSE/CNXMETAL
2004-05-07,,,,751.19,,,NSE/CNXMETAL
2004-05-10,,,,742.0,,,NSE/CNXMETAL
2004-05-11,,,,695.93,,,NSE/CNXMETAL
2004-05-12,,,,697.98,,,NSE/CNXMETAL
2004-05-13,,,,696.78,,,NSE/CNXMETAL
2004-05-14,,,,616.54,,,NSE/CNXMETAL
2004-05-17,,,,528.43,,,NSE/CNXMETAL
2004-05-18,,,,581.07,,,NSE/CNXMETAL
2004-05-19,,,,627.36,,,NSE/CNXMETAL
2004-05-20,,,,644.19,,,NSE/CNXMETAL
2004-05-21,,,,657.21,,,NSE/CNXMETAL
2004-05-24,,,,670.43,,,NSE/CNXMETAL
2004-05-25,,,,667.51,,,NSE/CNXMETAL
2004-05-26,,,,662.15,,,NSE/CNXMETAL
2004-05-27,,,,648.26,,,NSE/CNXMETAL
2004-05-28,,,,617.84,,,NSE/CNXMETAL
2004-05-31,,,,613.32,,,NSE/CNXMETAL
2004-06-01,,,,625.83,,,NSE/CNXMETAL
2004-06-02,,,,634.52,,,NSE/CNXMETAL
2004-06-03,,,,605.67,,,NSE/CNXMETAL
2004-06-04,,,,618.26,,,NSE/CNXMETAL
2004-06-07,,,,622.51,,,NSE/CNXMETAL
2004-06-08,,,,619.52,,,NSE/CNXMETAL
2004-06-09,,,,622.95,,,NSE/CNXMETAL
2004-06-10,,,,623.47,,,NSE/CNXMETAL
2004-06-11,,,,606.83,,,NSE/CNXMETAL
2004-06-14,,,,572.8,,,NSE/CNXMETAL
