Date,Open,High,Low,Close,index
2001-01-01,855.85,868.8,855.75,862.1,NSE/CNXMIDCAP200
2001-01-02,862.15,871.25,860.5,870.75,NSE/CNXMIDCAP200
2001-01-03,870.75,883.4,869.3,883.1,NSE/CNXMIDCAP200
2001-01-04,883.35,899.6,874.1,874.9,NSE/CNXMIDCAP200
2001-01-05,874.85,876.6,871.7,876.5,NSE/CNXMIDCAP200
2001-01-08,876.25,877.4,859.85,863.4,NSE/CNXMIDCAP200
2001-01-09,863.95,866.75,852.05,854.05,NSE/CNXMIDCAP200
2001-01-10,854.3,867.85,853.95,856.55,NSE/CNXMIDCAP200
2001-01-11,856.6,860.45,848.55,850.1,NSE/CNXMIDCAP200
2001-01-12,850.2,855.4,844.0,845.4,NSE/CNXMIDCAP200
2001-01-15,845.6,847.9,837.05,840.4,NSE/CNXMIDCAP200
2001-01-16,841.0,845.4,838.05,842.15,NSE/CNXMIDCAP200
2001-01-17,842.5,854.6,842.5,846.15,NSE/CNXMIDCAP200
2001-01-18,846.15,849.5,844.1,849.25,NSE/CNXMIDCAP200
2001-01-19,849.25,857.3,849.25,856.4,NSE/CNXMIDCAP200
2001-01-22,856.4,866.55,856.15,866.25,NSE/CNXMIDCAP200
2001-01-23,866.2,868.05,859.35,862.4,NSE/CNXMIDCAP200
2001-01-24,862.65,876.2,862.65,875.9,NSE/CNXMIDCAP200
2001-01-25,875.95,880.1,870.25,879.7,NSE/CNXMIDCAP200
2001-01-29,879.65,879.65,847.0,856.9,NSE/CNXMIDCAP200
2001-01-30,857.05,869.5,855.95,868.5,NSE/CNXMIDCAP200
2001-01-31,868.6,884.15,868.6,872.25,NSE/CNXMIDCAP200
2001-02-01,872.5,873.9,852.35,858.15,NSE/CNXMIDCAP200
2001-02-02,858.25,869.0,857.65,864.65,NSE/CNXMIDCAP200
2001-02-05,865.15,879.55,865.15,879.15,NSE/CNXMIDCAP200
2001-02-06,879.2,900.05,879.2,897.3,NSE/CNXMIDCAP200
2001-02-07,899.25,921.95,899.25,910.95,NSE/CNXMIDCAP200
2001-02-08,910.75,933.5,910.75,933.35,NSE/CNXMIDCAP200
2001-02-09,933.45,954.25,933.45,946.25,NSE/CNXMIDCAP200
2001-02-12,946.4,957.95,942.45,946.4,NSE/CNXMIDCAP200
2001-02-13,946.5,951.2,929.05,933.35,NSE/CNXMIDCAP200
2001-02-14,933.45,943.9,930.35,940.95,NSE/CNXMIDCAP200
2001-02-15,941.0,949.9,941.0,946.45,NSE/CNXMIDCAP200
2001-02-16,946.55,950.5,910.8,914.35,NSE/CNXMIDCAP200
2001-02-19,914.6,922.95,907.1,915.6,NSE/CNXMIDCAP200
2001-02-20,915.65,920.2,909.45,913.55,NSE/CNXMIDCAP200
2001-02-21,913.8,921.35,905.1,909.05,NSE/CNXMIDCAP200
2001-02-22,909.15,909.35,883.6,898.45,NSE/CNXMIDCAP200
2001-02-23,898.55,900.6,862.75,862.9,NSE/CNXMIDCAP200
2001-02-26,863.05,871.2,854.8,869.35,NSE/CNXMIDCAP200
2001-02-27,871.35,871.35,871.35,913.55,NSE/CNXMIDCAP200
2001-02-28,848.1,876.55,846.3,864.75,NSE/CNXMIDCAP200
2001-03-01,865.45,866.65,856.65,913.55,NSE/CNXMIDCAP200
2001-03-02,865.9,878.25,820.15,822.85,NSE/CNXMIDCAP200
2001-03-05,821.4,821.45,779.2,783.95,NSE/CNXMIDCAP200
2001-03-07,794.8,803.25,771.15,795.75,NSE/CNXMIDCAP200
2001-03-08,796.0,796.0,783.45,783.6,NSE/CNXMIDCAP200
2001-03-09,764.65,764.65,737.9,748.05,NSE/CNXMIDCAP200
2001-03-12,745.25,745.25,705.3,706.25,NSE/CNXMIDCAP200
2001-03-13,687.05,687.05,647.45,653.35,NSE/CNXMIDCAP200
2001-03-14,649.9,693.4,649.9,691.8,NSE/CNXMIDCAP200
2001-03-15,688.3,704.7,682.95,704.4,NSE/CNXMIDCAP200
2001-03-16,702.45,709.5,683.35,688.8,NSE/CNXMIDCAP200
2001-03-19,689.4,692.75,681.75,687.5,NSE/CNXMIDCAP200
2001-03-20,687.5,688.4,669.15,680.15,NSE/CNXMIDCAP200
2001-03-21,680.65,690.3,671.9,690.3,NSE/CNXMIDCAP200
2001-03-22,690.2,697.9,685.15,685.7,NSE/CNXMIDCAP200
2001-03-23,687.1,688.55,659.55,666.1,NSE/CNXMIDCAP200
2001-03-26,666.25,668.0,658.9,666.0,NSE/CNXMIDCAP200
2001-03-27,666.05,675.5,664.7,674.8,NSE/CNXMIDCAP200
2001-03-28,677.55,693.5,677.55,691.2,NSE/CNXMIDCAP200
2001-03-29,689.05,689.15,676.9,682.8,NSE/CNXMIDCAP200
2001-03-30,681.85,681.85,658.25,660.65,NSE/CNXMIDCAP200
2001-04-02,654.85,654.85,627.35,640.45,NSE/CNXMIDCAP200
2001-04-03,639.3,646.1,638.3,645.45,NSE/CNXMIDCAP200
2001-04-04,642.75,643.0,634.4,642.55,NSE/CNXMIDCAP200
2001-04-06,646.65,654.85,636.75,637.35,NSE/CNXMIDCAP200
2001-04-09,638.05,640.95,635.4,640.1,NSE/CNXMIDCAP200
2001-04-10,640.45,640.55,623.6,626.95,NSE/CNXMIDCAP200
2001-04-11,630.15,631.95,613.25,615.05,NSE/CNXMIDCAP200
2001-04-12,615.0,615.0,588.85,596.95,NSE/CNXMIDCAP200
2001-04-16,596.65,609.0,593.15,608.6,NSE/CNXMIDCAP200
2001-04-17,609.55,621.4,605.35,621.05,NSE/CNXMIDCAP200
2001-04-18,623.45,651.7,623.45,651.7,NSE/CNXMIDCAP200
2001-04-19,658.25,676.2,651.2,653.0,NSE/CNXMIDCAP200
2001-04-20,653.1,656.6,639.35,648.15,NSE/CNXMIDCAP200
2001-04-23,649.55,656.2,647.5,651.3,NSE/CNXMIDCAP200
2001-04-24,652.7,656.4,644.2,656.4,NSE/CNXMIDCAP200
2001-04-25,658.8,670.7,658.8,668.7,NSE/CNXMIDCAP200
2001-04-26,670.8,675.75,662.95,663.45,NSE/CNXMIDCAP200
2001-04-27,657.9,657.9,630.05,633.95,NSE/CNXMIDCAP200
2001-04-30,633.75,642.7,631.85,642.7,NSE/CNXMIDCAP200
2001-05-02,645.1,655.8,645.1,648.7,NSE/CNXMIDCAP200
2001-05-03,651.15,653.0,641.85,645.15,NSE/CNXMIDCAP200
2001-05-04,645.25,646.0,640.8,645.9,NSE/CNXMIDCAP200
2001-05-07,647.55,653.7,647.55,651.95,NSE/CNXMIDCAP200
2001-05-08,652.9,660.0,652.05,660.0,NSE/CNXMIDCAP200
2001-05-09,660.6,665.15,654.7,654.9,NSE/CNXMIDCAP200
2001-05-10,657.6,658.5,653.45,654.9,NSE/CNXMIDCAP200
2001-05-11,655.75,655.75,649.05,651.45,NSE/CNXMIDCAP200
2001-05-14,652.15,653.75,648.85,650.95,NSE/CNXMIDCAP200
2001-05-15,650.7,650.7,631.8,647.25,NSE/CNXMIDCAP200
2001-05-16,648.95,664.2,648.95,661.1,NSE/CNXMIDCAP200
2001-05-17,662.0,672.1,662.0,671.95,NSE/CNXMIDCAP200
2001-05-18,673.3,680.4,673.3,680.4,NSE/CNXMIDCAP200
2001-05-21,680.85,691.45,680.85,686.7,NSE/CNXMIDCAP200
2001-05-22,688.9,691.85,686.7,689.85,NSE/CNXMIDCAP200
2001-05-23,690.5,704.05,690.5,704.05,NSE/CNXMIDCAP200
2001-05-24,704.3,708.1,697.7,698.95,NSE/CNXMIDCAP200
2001-05-25,700.55,703.05,693.6,703.0,NSE/CNXMIDCAP200
2001-05-28,704.6,713.55,704.6,712.8,NSE/CNXMIDCAP200
2001-05-29,713.7,721.55,713.7,721.45,NSE/CNXMIDCAP200
2001-05-30,723.15,731.25,715.5,715.5,NSE/CNXMIDCAP200
2001-05-31,715.7,717.2,703.85,717.0,NSE/CNXMIDCAP200
2001-06-01,717.25,720.1,706.0,707.1,NSE/CNXMIDCAP200
2001-06-04,708.8,709.4,688.55,689.0,NSE/CNXMIDCAP200
2001-06-05,688.7,690.05,676.9,679.2,NSE/CNXMIDCAP200
2001-06-06,680.2,689.75,680.2,683.75,NSE/CNXMIDCAP200
2001-06-07,684.25,684.75,664.15,673.1,NSE/CNXMIDCAP200
2001-06-08,673.3,678.9,673.3,678.05,NSE/CNXMIDCAP200
2001-06-11,678.8,680.9,676.3,679.4,NSE/CNXMIDCAP200
2001-06-12,679.4,680.4,673.6,676.7,NSE/CNXMIDCAP200
2001-06-13,679.3,684.8,679.3,682.45,NSE/CNXMIDCAP200
2001-06-14,682.6,684.15,674.25,674.8,NSE/CNXMIDCAP200
2001-06-15,674.0,674.0,657.65,660.0,NSE/CNXMIDCAP200
2001-06-18,659.9,659.9,644.5,649.4,NSE/CNXMIDCAP200
2001-06-19,649.4,652.8,647.9,649.95,NSE/CNXMIDCAP200
2001-06-20,649.65,650.45,646.2,648.1,NSE/CNXMIDCAP200
