Date,Open,High,Low,Close,SharesTraded,Turnover,index
2001-01-01,,,,1000.0,,,NSE/CNXPHARMA
2001-01-02,,,,973.1,,,NSE/CNXPHARMA
2001-01-03,,,,974.49,,,NSE/CNXPHARMA
2001-01-04,,,,966.84,,,NSE/CNXPHARMA
2001-01-05,,,,986.32,,,NSE/CNXPHARMA
2001-01-08,,,,984.7,,,NSE/CNXPHARMA
2001-01-09,,,,987.07,,,NSE/CNXPHARMA
2001-01-10,,,,984.94,,,NSE/CNXPHARMA
2001-01-11,,,,983.14,,,NSE/CNXPHARMA
2001-01-12,,,,966.52,,,NSE/CNXPHARMA
2001-01-15,,,,972.39,,,NSE/CNXPHARMA
2001-01-16,,,,965.4,,,NSE/CNXPHARMA
2001-01-17,,,,964.76,,,NSE/CNXPHARMA
2001-01-18,,,,965.19,,,NSE/CNXPHARMA
2001-01-19,,,,964.77,,,NSE/CNXPHARMA
2001-01-22,,,,982.81,,,NSE/CNXPHARMA
2001-01-23,,,,971.96,,,NSE/CNXPHARMA
2001-01-24,,,,979.61,,,NSE/CNXPHARMA
2001-01-25,,,,966.45,,,NSE/CNXPHARMA
2001-01-29,,,,943.66,,,NSE/CNXPHARMA
2001-01-30,,,,973.52,,,NSE/CNXPHARMA
2001-01-31,,,,986.97,,,NSE/CNXPHARMA
2001-02-01,,,,981.14,,,NSE/CNXPHARMA
2001-02-02,,,,997.31,,,NSE/CNXPHARMA
2001-02-05,,,,1000.43,,,NSE/CNXPHARMA
2001-02-06,,,,1002.35,,,NSE/CNXPHARMA
2001-02-07,,,,1009.97,,,NSE/CNXPHARMA
2001-02-08,,,,1007.45,,,NSE/CNXPHARMA
2001-02-09,,,,1020.43,,,NSE/CNXPHARMA
2001-02-12,,,,1033.97,,,NSE/CNXPHARMA
2001-02-13,,,,1025.21,,,NSE/CNXPHARMA
2001-02-14,,,,1022.08,,,NSE/CNXPHARMA
2001-02-15,,,,1020.29,,,NSE/CNXPHARMA
2001-02-16,,,,1007.43,,,NSE/CNXPHARMA
2001-02-19,,,,1002.75,,,NSE/CNXPHARMA
2001-02-20,,,,998.69,,,NSE/CNXPHARMA
2001-02-21,,,,993.2,,,NSE/CNXPHARMA
2001-02-22,,,,988.08,,,NSE/CNXPHARMA
2001-02-23,,,,970.31,,,NSE/CNXPHARMA
2001-02-26,,,,971.22,,,NSE/CNXPHARMA
2001-02-27,,,,976.13,,,NSE/CNXPHARMA
2001-02-28,,,,981.72,,,NSE/CNXPHARMA
2001-03-01,,,,1012.89,,,NSE/CNXPHARMA
2001-03-02,,,,994.07,,,NSE/CNXPHARMA
2001-03-05,,,,986.25,,,NSE/CNXPHARMA
2001-03-07,,,,975.23,,,NSE/CNXPHARMA
2001-03-08,,,,964.22,,,NSE/CNXPHARMA
2001-03-09,,,,946.16,,,NSE/CNXPHARMA
2001-03-12,,,,906.09,,,NSE/CNXPHARMA
2001-03-13,,,,863.86,,,NSE/CNXPHARMA
2001-03-14,,,,879.62,,,NSE/CNXPHARMA
2001-03-15,,,,916.25,,,NSE/CNXPHARMA
2001-03-16,,,,900.32,,,NSE/CNXPHARMA
2001-03-19,,,,892.12,,,NSE/CNXPHARMA
