Date,Open,High,Low,Close,SharesTraded,Turnover,index
2001-01-01,,,,410.05,,,NSE/CNXPSE
2001-01-02,,,,412.83,,,NSE/CNXPSE
2001-01-03,,,,430.43,,,NSE/CNXPSE
2001-01-04,,,,427.46,,,NSE/CNXPSE
2001-01-05,,,,426.13,,,NSE/CNXPSE
2001-01-08,,,,424.29,,,NSE/CNXPSE
2001-01-09,,,,421.32,,,NSE/CNXPSE
2001-01-10,,,,416.54,,,NSE/CNXPSE
2001-01-11,,,,416.75,,,NSE/CNXPSE
2001-01-12,,,,428.37,,,NSE/CNXPSE
2001-01-15,,,,435.33,,,NSE/CNXPSE
2001-01-16,,,,430.87,,,NSE/CNXPSE
2001-01-17,,,,430.44,,,NSE/CNXPSE
2001-01-18,,,,432.33,,,NSE/CNXPSE
2001-01-19,,,,435.36,,,NSE/CNXPSE
2001-01-22,,,,443.93,,,NSE/CNXPSE
2001-01-23,,,,446.11,,,NSE/CNXPSE
2001-01-24,,,,457.77,,,NSE/CNXPSE
2001-01-25,,,,466.1,,,NSE/CNXPSE
2001-01-29,,,,447.0,,,NSE/CNXPSE
2001-01-30,,,,459.55,,,NSE/CNXPSE
2001-01-31,,,,461.94,,,NSE/CNXPSE
2001-02-01,,,,456.87,,,NSE/CNXPSE
2001-02-02,,,,485.64,,,NSE/CNXPSE
2001-02-05,,,,499.32,,,NSE/CNXPSE
2001-02-06,,,,494.75,,,NSE/CNXPSE
2001-02-07,,,,498.18,,,NSE/CNXPSE
2001-02-08,,,,504.54,,,NSE/CNXPSE
2001-02-09,,,,503.9,,,NSE/CNXPSE
2001-02-12,,,,514.1,,,NSE/CNXPSE
2001-02-13,,,,501.54,,,NSE/CNXPSE
2001-02-14,,,,498.67,,,NSE/CNXPSE
2001-02-15,,,,502.36,,,NSE/CNXPSE
2001-02-16,,,,483.8,,,NSE/CNXPSE
2001-02-19,,,,479.55,,,NSE/CNXPSE
2001-02-20,,,,480.41,,,NSE/CNXPSE
2001-02-21,,,,480.2,,,NSE/CNXPSE
2001-02-22,,,,483.21,,,NSE/CNXPSE
2001-02-23,,,,468.73,,,NSE/CNXPSE
2001-02-26,,,,463.09,,,NSE/CNXPSE
2001-02-27,,,,454.08,,,NSE/CNXPSE
2001-02-28,,,,457.46,,,NSE/CNXPSE
2001-03-01,,,,470.91,,,NSE/CNXPSE
2001-03-02,,,,477.65,,,NSE/CNXPSE
2001-03-05,,,,462.04,,,NSE/CNXPSE
2001-03-07,,,,465.78,,,NSE/CNXPSE
2001-03-08,,,,465.42,,,NSE/CNXPSE
2001-03-09,,,,451.11,,,NSE/CNXPSE
2001-03-12,,,,432.51,,,NSE/CNXPSE
2001-03-13,,,,401.14,,,NSE/CNXPSE
2001-03-14,,,,405.85,,,NSE/CNXPSE
2001-03-15,,,,410.83,,,NSE/CNXPSE
2001-03-16,,,,409.08,,,NSE/CNXPSE
2001-03-19,,,,414.04,,,NSE/CNXPSE
2001-03-20,,,,413.77,,,NSE/CNXPSE
2001-03-21,,,,422.98,,,NSE/CNXPSE
2001-03-22,,,,418.31,,,NSE/CNXPSE
2001-03-23,,,,407.21,,,NSE/CNXPSE
2001-03-26,,,,406.69,,,NSE/CNXPSE
2001-03-27,,,,415.39,,,NSE/CNXPSE
2001-03-28,,,,427.4,,,NSE/CNXPSE
2001-03-29,,,,430.92,,,NSE/CNXPSE
2001-03-30,,,,415.89,,,NSE/CNXPSE
2001-04-02,,,,401.94,,,NSE/CNXPSE
