Date,Open,High,Low,Close,SharesTraded,Turnover,index
2006-12-29,,,,1000.0,5316369.0,269.22,NSE/CNXREALTY
2007-01-02,,,,1009.67,3843143.0,201.19,NSE/CNXREALTY
2007-01-03,,,,1041.45,9742807.0,510.33,NSE/CNXREALTY
2007-01-04,,,,1062.11,6289520.0,332.91,NSE/CNXREALTY
2007-01-05,,,,1047.56,4054416.0,213.87,NSE/CNXREALTY
2007-01-08,,,,1012.77,3254160.0,164.48,NSE/CNXREALTY
2007-01-09,,,,981.9,2859490.0,142.76,NSE/CNXREALTY
2007-01-10,,,,936.75,3786485.0,178.91,NSE/CNXREALTY
2007-01-11,,,,961.59,3491645.0,170.33,NSE/CNXREALTY
2007-01-12,,,,947.06,2743387.0,137.53,NSE/CNXREALTY
2007-01-15,,,,950.46,2816917.0,165.92,NSE/CNXREALTY
2007-01-16,,,,943.09,2266397.0,120.08,NSE/CNXREALTY
2007-01-17,,,,991.73,4920974.0,256.27,NSE/CNXREALTY
2007-01-18,,,,1009.08,6439059.0,353.0,NSE/CNXREALTY
2007-01-19,,,,982.65,2708460.0,143.21,NSE/CNXREALTY
2007-01-22,,,,993.04,2766020.0,163.45,NSE/CNXREALTY
2007-01-23,,,,965.02,2659472.0,143.68,NSE/CNXREALTY
2007-01-24,,,,968.6,2483087.0,124.68,NSE/CNXREALTY
2007-01-25,,,,974.93,2760006.0,149.68,NSE/CNXREALTY
2007-01-29,,,,961.25,2161418.0,123.23,NSE/CNXREALTY
2007-01-31,,,,958.67,5530983.0,281.53,NSE/CNXREALTY
2007-02-01,,,,951.29,3007077.0,149.73,NSE/CNXREALTY
2007-02-02,,,,953.53,3045548.0,171.62,NSE/CNXREALTY
2007-02-05,,,,947.56,3028200.0,161.84,NSE/CNXREALTY
2007-02-06,,,,968.51,4474329.0,247.71,NSE/CNXREALTY
2007-02-07,,,,969.13,6195124.0,317.83,NSE/CNXREALTY
2007-02-08,,,,955.21,7328468.0,397.43,NSE/CNXREALTY
2007-02-09,,,,932.94,6827280.0,351.67,NSE/CNXREALTY
2007-02-12,,,,852.09,10442831.0,473.42,NSE/CNXREALTY
2007-02-13,,,,839.27,17075704.0,756.04,NSE/CNXREALTY
2007-02-14,,,,783.97,8412356.0,349.85,NSE/CNXREALTY
2007-02-15,,,,818.72,9232574.0,407.33,NSE/CNXREALTY
2007-02-19,,,,829.37,7518327.0,316.26,NSE/CNXREALTY
2007-02-20,,,,836.69,5273220.0,225.61,NSE/CNXREALTY
2007-02-21,,,,824.14,4157164.0,183.25,NSE/CNXREALTY
2007-02-22,,,,806.99,4542316.0,184.28,NSE/CNXREALTY
2007-02-23,,,,775.92,4791162.0,201.11,NSE/CNXREALTY
2007-02-26,,,,756.54,4704514.0,190.17,NSE/CNXREALTY
2007-02-27,,,,786.67,5566676.0,246.47,NSE/CNXREALTY
2007-02-28,,,,747.13,6490820.0,274.52,NSE/CNXREALTY
2007-03-01,,,,736.64,5611372.0,215.16,NSE/CNXREALTY
2007-03-02,,,,718.86,3682280.0,140.57,NSE/CNXREALTY
2007-03-05,,,,682.43,1971471.0,69.5,NSE/CNXREALTY
2007-03-06,,,,697.34,5449950.0,192.73,NSE/CNXREALTY
2007-03-07,,,,686.35,5386607.0,181.43,NSE/CNXREALTY
2007-03-08,,,,699.7,5759847.0,206.42,NSE/CNXREALTY
2007-03-09,,,,695.67,4304912.0,161.17,NSE/CNXREALTY
2007-03-12,,,,721.9,3410300.0,126.92,NSE/CNXREALTY
2007-03-13,,,,767.81,11909196.0,483.35,NSE/CNXREALTY
2007-03-14,,,,783.89,17556730.0,683.19,NSE/CNXREALTY
2007-03-15,,,,809.28,6550247.0,258.29,NSE/CNXREALTY
2007-03-16,,,,812.75,8771594.0,352.72,NSE/CNXREALTY
2007-03-19,,,,793.31,4454596.0,171.9,NSE/CNXREALTY
2007-03-20,,,,798.67,3602395.0,145.22,NSE/CNXREALTY
2007-03-21,,,,798.36,2248610.0,92.7,NSE/CNXREALTY
2007-03-22,,,,798.13,2928391.0,114.07,NSE/CNXREALTY
2007-03-23,,,,773.68,2891208.0,118.9,NSE/CNXREALTY
2007-03-26,,,,746.83,2555659.0,97.83,NSE/CNXREALTY
2007-03-28,,,,750.82,4153295.0,161.97,NSE/CNXREALTY
2007-03-29,,,,760.77,3802319.0,151.13,NSE/CNXREALTY
2007-03-30,,,,755.17,3899010.0,169.51,NSE/CNXREALTY
2007-04-02,,,,717.62,2681579.0,105.66,NSE/CNXREALTY
2007-04-03,,,,693.98,3627739.0,142.9,NSE/CNXREALTY
2007-04-04,,,,684.05,3708949.0,137.72,NSE/CNXREALTY
2007-04-05,,,,687.89,5336533.0,210.04,NSE/CNXREALTY
2007-04-09,,,,718.71,5080245.0,213.25,NSE/CNXREALTY
2007-04-10,,,,723.61,5487225.0,221.34,NSE/CNXREALTY
2007-04-11,,,,704.85,2887195.0,114.28,NSE/CNXREALTY
2007-04-12,,,,696.78,9042052.0,326.06,NSE/CNXREALTY
2007-04-13,,,,720.65,8906172.0,340.73,NSE/CNXREALTY
2007-04-16,,,,723.99,5247379.0,205.06,NSE/CNXREALTY
2007-04-17,,,,710.38,4978610.0,189.95,NSE/CNXREALTY
2007-04-18,,,,714.66,5325759.0,193.81,NSE/CNXREALTY
2007-04-19,,,,734.3,6739141.0,239.66,NSE/CNXREALTY
2007-04-20,,,,776.24,11377161.0,429.82,NSE/CNXREALTY
2007-04-23,,,,784.3,11826032.0,429.34,NSE/CNXREALTY
2007-04-24,,,,842.17,26089118.0,985.75,NSE/CNXREALTY
2007-04-25,,,,881.96,21266382.0,888.41,NSE/CNXREALTY
2007-04-26,,,,872.86,18599928.0,723.03,NSE/CNXREALTY
2007-04-27,,,,840.93,11823095.0,449.56,NSE/CNXREALTY
2007-04-30,,,,836.66,7683238.0,295.85,NSE/CNXREALTY
2007-05-03,,,,832.47,5804948.0,227.9,NSE/CNXREALTY
2007-05-04,,,,855.18,12404055.0,475.31,NSE/CNXREALTY
2007-05-07,,,,847.91,12722250.0,481.83,NSE/CNXREALTY
2007-05-08,,,,852.07,10653408.0,411.69,NSE/CNXREALTY
2007-05-09,,,,880.26,10139846.0,397.49,NSE/CNXREALTY
2007-05-10,,,,877.43,12521144.0,495.8,NSE/CNXREALTY
2007-05-11,,,,881.97,7240684.0,289.45,NSE/CNXREALTY
2007-05-14,,,,907.37,8699118.0,358.58,NSE/CNXREALTY
2007-05-15,,,,919.61,9888232.0,416.38,NSE/CNXREALTY
2007-05-16,,,,981.23,17445616.0,821.74,NSE/CNXREALTY
2007-05-17,,,,1014.91,19510511.0,962.0,NSE/CNXREALTY
2007-05-18,,,,1010.17,10809778.0,506.2,NSE/CNXREALTY
2007-05-21,,,,1007.72,8053077.0,377.9,NSE/CNXREALTY
2007-05-22,,,,1003.66,6387296.0,291.17,NSE/CNXREALTY
2007-05-23,,,,992.49,10120105.0,478.51,NSE/CNXREALTY
2007-05-24,,,,978.35,5578995.0,258.91,NSE/CNXREALTY
2007-05-25,,,,974.05,5510261.0,254.35,NSE/CNXREALTY
2007-05-28,,,,1021.53,11417782.0,607.45,NSE/CNXREALTY
2007-05-29,,,,1036.56,11770763.0,616.66,NSE/CNXREALTY
2007-05-30,,,,999.21,8144158.0,401.88,NSE/CNXREALTY
2007-05-31,,,,1009.43,10616952.0,536.09,NSE/CNXREALTY
2007-06-01,,,,1017.44,17958806.0,797.49,NSE/CNXREALTY
2007-06-04,,,,1011.69,10573883.0,487.05,NSE/CNXREALTY
2007-06-05,,,,1000.1,6817062.0,310.38,NSE/CNXREALTY
2007-06-06,,,,971.3,8472477.0,387.61,NSE/CNXREALTY
2007-06-07,,,,963.18,6830112.0,299.19,NSE/CNXREALTY
2007-06-08,,,,923.76,9986310.0,450.1,NSE/CNXREALTY
2007-06-11,,,,920.84,7858491.0,341.64,NSE/CNXREALTY
2007-06-12,,,,884.4,9510536.0,388.79,NSE/CNXREALTY
2007-06-13,,,,886.41,11087059.0,443.38,NSE/CNXREALTY
2007-06-14,,,,932.07,14149214.0,611.98,NSE/CNXREALTY
