Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2001-01-01,912.85,922.05,903.0,907.75,108345699.0,4299.94,NSE/CNX_500
2001-01-02,907.75,922.5,902.2,922.0,121796230.0,4439.86,NSE/CNX_500
2001-01-03,921.85,930.55,910.7,929.1,154237418.0,4963.4,NSE/CNX_500
2001-01-04,929.1,963.4,929.1,946.75,172819521.0,6425.36,NSE/CNX_500
2001-01-05,946.7,964.5,946.25,962.75,160653032.0,6532.7,NSE/CNX_500
2001-01-08,962.75,964.65,937.45,940.55,159442259.0,6874.51,NSE/CNX_500
2001-01-09,940.5,953.05,937.85,944.45,163341830.0,6768.96,NSE/CNX_500
2001-01-10,944.45,955.9,931.95,932.65,138015166.0,6315.06,NSE/CNX_500
2001-01-11,932.7,940.05,918.0,919.65,135213049.0,5633.5,NSE/CNX_500
2001-01-12,919.65,933.1,917.45,925.05,147591421.0,6489.33,NSE/CNX_500
2001-01-15,925.1,929.4,915.35,923.75,129332616.0,5600.35,NSE/CNX_500
2001-01-16,923.85,931.4,919.9,925.55,145267454.0,5407.27,NSE/CNX_500
2001-01-17,928.2,936.95,923.05,928.3,130611627.0,5037.09,NSE/CNX_500
2001-01-18,928.3,938.8,928.3,938.05,148085418.0,5935.79,NSE/CNX_500
2001-01-19,938.1,964.9,938.1,963.5,196481936.0,7840.85,NSE/CNX_500
2001-01-22,963.55,974.15,963.55,971.3,178144346.0,7062.85,NSE/CNX_500
2001-01-23,971.3,978.0,968.4,973.9,168941164.0,6136.22,NSE/CNX_500
2001-01-24,973.9,985.25,973.25,984.85,201742014.0,6722.08,NSE/CNX_500
2001-01-25,984.85,988.25,972.4,985.55,189911330.0,6726.05,NSE/CNX_500
2001-01-29,985.55,985.55,944.7,959.85,144356744.0,4802.07,NSE/CNX_500
2001-01-30,959.9,988.1,959.9,987.15,176841228.0,5874.19,NSE/CNX_500
2001-01-31,989.95,999.7,979.55,981.2,184416746.0,6436.34,NSE/CNX_500
2001-02-01,981.15,981.15,955.8,965.95,191197109.0,6976.34,NSE/CNX_500
2001-02-02,965.95,990.95,965.7,984.9,197451700.0,7187.46,NSE/CNX_500
2001-02-05,984.85,997.55,982.2,990.85,175439032.0,5434.63,NSE/CNX_500
2001-02-06,990.85,1001.75,990.85,996.85,187779848.0,5623.2,NSE/CNX_500
2001-02-07,997.0,1002.95,987.95,989.6,216973620.0,6392.04,NSE/CNX_500
2001-02-08,989.55,1009.8,984.75,1008.75,209717668.0,6471.44,NSE/CNX_500
2001-02-09,1008.8,1026.2,1008.8,1016.8,258878182.0,6686.22,NSE/CNX_500
2001-02-12,1016.8,1024.0,1011.65,1019.6,197135985.0,5255.82,NSE/CNX_500
2001-02-13,1019.6,1025.8,1005.9,1008.45,214176706.0,6157.74,NSE/CNX_500
2001-02-14,1008.45,1011.95,998.65,1008.65,157363714.0,4509.61,NSE/CNX_500
2001-02-15,1008.65,1025.5,1008.65,1022.15,188747349.0,5361.07,NSE/CNX_500
2001-02-16,1022.2,1028.45,990.4,992.95,213569745.0,7006.0,NSE/CNX_500
2001-02-19,993.05,1002.0,982.0,996.15,162136948.0,5694.27,NSE/CNX_500
