Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2006-12-29,,,,1000.0,89082044.0,3546.25,NSE/CNX_500_SHARIAH
2007-01-02,,,,1013.82,74693747.0,2888.33,NSE/CNX_500_SHARIAH
2007-01-03,,,,1019.4,113489567.0,4777.45,NSE/CNX_500_SHARIAH
2007-01-04,,,,1014.53,113319656.0,4577.07,NSE/CNX_500_SHARIAH
2007-01-05,,,,1011.02,105410282.0,4437.12,NSE/CNX_500_SHARIAH
2007-01-08,,,,997.62,96848442.0,4283.25,NSE/CNX_500_SHARIAH
2007-01-09,,,,990.36,98629271.0,4357.79,NSE/CNX_500_SHARIAH
2007-01-10,,,,977.49,99293090.0,4509.2,NSE/CNX_500_SHARIAH
2007-01-11,,,,998.14,105087206.0,5045.61,NSE/CNX_500_SHARIAH
2007-01-12,,,,1018.32,118388572.0,5194.63,NSE/CNX_500_SHARIAH
2007-01-15,,,,1028.19,133220724.0,4844.91,NSE/CNX_500_SHARIAH
2007-01-16,,,,1030.3,154677468.0,4179.61,NSE/CNX_500_SHARIAH
2007-01-17,,,,1033.29,149497531.0,4259.38,NSE/CNX_500_SHARIAH
2007-01-18,,,,1038.26,145329712.0,5023.12,NSE/CNX_500_SHARIAH
2007-01-19,,,,1032.35,131987945.0,5314.53,NSE/CNX_500_SHARIAH
2007-01-22,,,,1033.54,97078023.0,4111.61,NSE/CNX_500_SHARIAH
2007-01-23,,,,1021.75,130867633.0,4240.36,NSE/CNX_500_SHARIAH
2007-01-24,,,,1024.73,156869847.0,4775.75,NSE/CNX_500_SHARIAH
2007-01-25,,,,1036.63,182010922.0,6883.7,NSE/CNX_500_SHARIAH
2007-01-29,,,,1036.08,125807659.0,4737.44,NSE/CNX_500_SHARIAH
2007-01-31,,,,1025.52,157897524.0,6224.78,NSE/CNX_500_SHARIAH
2007-02-01,,,,1036.27,124847716.0,4316.55,NSE/CNX_500_SHARIAH
2007-02-02,,,,1048.4,144784379.0,5448.88,NSE/CNX_500_SHARIAH
2007-02-05,,,,1055.57,111945223.0,4155.41,NSE/CNX_500_SHARIAH
2007-02-06,,,,1054.67,137061854.0,5019.73,NSE/CNX_500_SHARIAH
2007-02-07,,,,1061.21,122587793.0,4865.0,NSE/CNX_500_SHARIAH
2007-02-08,,,,1060.45,120609129.0,4348.19,NSE/CNX_500_SHARIAH
2007-02-09,,,,1046.4,108921977.0,4213.06,NSE/CNX_500_SHARIAH
2007-02-12,,,,1016.06,127296786.0,4653.87,NSE/CNX_500_SHARIAH
2007-02-13,,,,1009.72,139759574.0,5336.55,NSE/CNX_500_SHARIAH
2007-02-14,,,,1012.29,113937219.0,4718.25,NSE/CNX_500_SHARIAH
2007-02-15,,,,1040.81,117048760.0,4820.77,NSE/CNX_500_SHARIAH
2007-02-19,,,,1042.03,98661077.0,3780.25,NSE/CNX_500_SHARIAH
2007-02-20,,,,1029.72,98740002.0,4017.26,NSE/CNX_500_SHARIAH
2007-02-21,,,,1026.2,118948958.0,4445.43,NSE/CNX_500_SHARIAH
2007-02-22,,,,1014.01,176092830.0,7149.77,NSE/CNX_500_SHARIAH
2007-02-23,,,,990.87,138087341.0,5715.26,NSE/CNX_500_SHARIAH
2007-02-26,,,,992.14,129680343.0,5878.28,NSE/CNX_500_SHARIAH
2007-02-27,,,,985.9,112590766.0,4698.24,NSE/CNX_500_SHARIAH
2007-02-28,,,,945.26,205145837.0,8263.49,NSE/CNX_500_SHARIAH
2007-03-01,,,,958.47,163531910.0,6303.8,NSE/CNX_500_SHARIAH
2007-03-02,,,,938.02,134293989.0,5309.31,NSE/CNX_500_SHARIAH
2007-03-05,,,,896.84,152812706.0,5653.38,NSE/CNX_500_SHARIAH
2007-03-06,,,,915.57,155331124.0,5449.77,NSE/CNX_500_SHARIAH
2007-03-07,,,,907.16,137128539.0,5155.91,NSE/CNX_500_SHARIAH
2007-03-08,,,,940.61,127037404.0,4554.53,NSE/CNX_500_SHARIAH
2007-03-09,,,,929.9,149327672.0,4982.53,NSE/CNX_500_SHARIAH
2007-03-12,,,,934.3,111415688.0,4095.56,NSE/CNX_500_SHARIAH
2007-03-13,,,,943.74,117995993.0,4416.53,NSE/CNX_500_SHARIAH
2007-03-14,,,,915.94,116470060.0,4662.55,NSE/CNX_500_SHARIAH
2007-03-15,,,,925.01,100373633.0,4089.41,NSE/CNX_500_SHARIAH
2007-03-16,,,,916.55,82645182.0,3538.1,NSE/CNX_500_SHARIAH
2007-03-19,,,,932.28,65532451.0,2500.7,NSE/CNX_500_SHARIAH
2007-03-20,,,,937.28,88948106.0,3418.35,NSE/CNX_500_SHARIAH
2007-03-21,,,,948.23,93987011.0,3335.61,NSE/CNX_500_SHARIAH
2007-03-22,,,,969.03,113647128.0,4467.57,NSE/CNX_500_SHARIAH
2007-03-23,,,,969.06,111163104.0,4061.36,NSE/CNX_500_SHARIAH
2007-03-26,,,,961.14,81077584.0,3615.12,NSE/CNX_500_SHARIAH
2007-03-28,,,,945.77,111325069.0,4633.8,NSE/CNX_500_SHARIAH
2007-03-29,,,,952.13,133850157.0,5390.75,NSE/CNX_500_SHARIAH
2007-03-30,,,,962.74,100133771.0,3758.73,NSE/CNX_500_SHARIAH
2007-04-02,,,,920.38,91152632.0,3985.58,NSE/CNX_500_SHARIAH
2007-04-03,,,,932.53,92784061.0,3849.01,NSE/CNX_500_SHARIAH
2007-04-04,,,,942.29,124836104.0,4426.75,NSE/CNX_500_SHARIAH
2007-04-05,,,,946.13,110290502.0,3799.03,NSE/CNX_500_SHARIAH
2007-04-09,,,,967.98,96634510.0,3282.35,NSE/CNX_500_SHARIAH
2007-04-10,,,,967.44,109562954.0,4151.09,NSE/CNX_500_SHARIAH
2007-04-11,,,,970.56,136952450.0,4586.13,NSE/CNX_500_SHARIAH
2007-04-12,,,,968.15,102019115.0,3905.28,NSE/CNX_500_SHARIAH
2007-04-13,,,,989.13,130714209.0,5424.08,NSE/CNX_500_SHARIAH
2007-04-16,,,,1012.3,125189152.0,4898.89,NSE/CNX_500_SHARIAH
2007-04-17,,,,1004.5,123145165.0,5059.48,NSE/CNX_500_SHARIAH
2007-04-18,,,,1008.06,109559747.0,4250.86,NSE/CNX_500_SHARIAH
2007-04-19,,,,1004.51,107756686.0,4287.95,NSE/CNX_500_SHARIAH
2007-04-20,,,,1023.86,133468090.0,4964.74,NSE/CNX_500_SHARIAH
2007-04-23,,,,1027.12,141452036.0,4468.09,NSE/CNX_500_SHARIAH
2007-04-24,,,,1037.7,143926635.0,6027.49,NSE/CNX_500_SHARIAH
2007-04-25,,,,1041.37,142668700.0,6005.12,NSE/CNX_500_SHARIAH
2007-04-26,,,,1043.16,154551694.0,6805.58,NSE/CNX_500_SHARIAH
2007-04-27,,,,1023.79,114616736.0,4667.7,NSE/CNX_500_SHARIAH
2007-04-30,,,,1033.02,102288286.0,4320.01,NSE/CNX_500_SHARIAH
2007-05-03,,,,1048.99,119042221.0,5088.87,NSE/CNX_500_SHARIAH
2007-05-04,,,,1040.13,113536432.0,4378.58,NSE/CNX_500_SHARIAH
2007-05-07,,,,1037.36,101806795.0,3771.23,NSE/CNX_500_SHARIAH
2007-05-08,,,,1028.01,107161069.0,4375.56,NSE/CNX_500_SHARIAH
2007-05-09,,,,1028.62,99048729.0,4064.56,NSE/CNX_500_SHARIAH
2007-05-10,,,,1024.32,132896156.0,4475.44,NSE/CNX_500_SHARIAH
2007-05-11,,,,1025.62,132399072.0,4688.2,NSE/CNX_500_SHARIAH
2007-05-14,,,,1037.4,137831932.0,3571.16,NSE/CNX_500_SHARIAH
2007-05-15,,,,1033.17,177641956.0,4354.54,NSE/CNX_500_SHARIAH
2007-05-16,,,,1044.35,185752824.0,5491.87,NSE/CNX_500_SHARIAH
2007-05-17,,,,1056.2,165192232.0,6106.19,NSE/CNX_500_SHARIAH
2007-05-18,,,,1056.25,128405131.0,4358.38,NSE/CNX_500_SHARIAH
2007-05-21,,,,1063.17,149617118.0,4809.99,NSE/CNX_500_SHARIAH
