Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2001-01-01,2424.6,2452.3,2408.4,2419.2,16942736.0,932.49,NSE/CNX_NIFTY_JUNIOR
2001-01-02,2416.75,2456.2,2414.9,2447.7,17723839.0,990.7,NSE/CNX_NIFTY_JUNIOR
2001-01-03,2434.3,2469.25,2426.55,2462.3,18481162.0,863.85,NSE/CNX_NIFTY_JUNIOR
2001-01-04,2463.45,2555.75,2463.45,2498.0,24439827.0,1409.59,NSE/CNX_NIFTY_JUNIOR
2001-01-05,2497.35,2538.9,2495.15,2531.25,27094943.0,1281.38,NSE/CNX_NIFTY_JUNIOR
2001-01-08,2531.4,2531.4,2405.6,2416.55,26242705.0,1569.27,NSE/CNX_NIFTY_JUNIOR
2001-01-09,2409.75,2420.55,2372.75,2385.5,29143319.0,1751.83,NSE/CNX_NIFTY_JUNIOR
2001-01-10,2401.55,2432.4,2358.8,2384.1,22484291.0,1584.06,NSE/CNX_NIFTY_JUNIOR
2001-01-11,2387.25,2399.45,2345.0,2354.05,21729029.0,1364.14,NSE/CNX_NIFTY_JUNIOR
2001-01-12,2357.15,2386.8,2338.75,2347.2,30806117.0,1719.8,NSE/CNX_NIFTY_JUNIOR
2001-01-15,2347.0,2353.3,2282.85,2296.6,24961879.0,1350.81,NSE/CNX_NIFTY_JUNIOR
2001-01-16,2297.9,2336.8,2288.5,2296.8,28364200.0,1594.83,NSE/CNX_NIFTY_JUNIOR
2001-01-17,2309.7,2353.25,2298.4,2307.65,27021601.0,1281.34,NSE/CNX_NIFTY_JUNIOR
2001-01-18,2312.15,2339.0,2307.1,2334.85,34141134.0,1624.1,NSE/CNX_NIFTY_JUNIOR
2001-01-19,2337.75,2389.0,2337.75,2382.5,40213592.0,1629.47,NSE/CNX_NIFTY_JUNIOR
2001-01-22,2384.85,2446.15,2384.85,2440.2,36363391.0,1781.36,NSE/CNX_NIFTY_JUNIOR
2001-01-23,2438.9,2439.8,2405.0,2412.35,26621208.0,1242.7,NSE/CNX_NIFTY_JUNIOR
2001-01-24,2413.75,2445.05,2413.25,2439.25,31319831.0,1242.16,NSE/CNX_NIFTY_JUNIOR
2001-01-25,2441.3,2456.55,2400.45,2435.25,30482575.0,1688.81,NSE/CNX_NIFTY_JUNIOR
2001-01-29,2433.55,2435.85,2351.1,2376.85,23455518.0,1030.16,NSE/CNX_NIFTY_JUNIOR
2001-01-30,2379.3,2428.5,2379.3,2424.6,35453230.0,1350.5,NSE/CNX_NIFTY_JUNIOR
2001-01-31,2426.65,2451.05,2398.7,2407.7,37591546.0,1687.97,NSE/CNX_NIFTY_JUNIOR
2001-02-01,2400.9,2400.9,2318.2,2337.15,35562849.0,1816.49,NSE/CNX_NIFTY_JUNIOR
2001-02-02,2333.1,2367.6,2323.15,2340.45,39019048.0,1878.3,NSE/CNX_NIFTY_JUNIOR
2001-02-05,2334.8,2367.65,2320.65,2350.25,29519330.0,1404.36,NSE/CNX_NIFTY_JUNIOR
2001-02-06,2350.7,2400.75,2350.7,2383.85,32954281.0,1521.33,NSE/CNX_NIFTY_JUNIOR
2001-02-07,2389.9,2424.8,2372.25,2378.65,32513477.0,1409.68,NSE/CNX_NIFTY_JUNIOR
2001-02-08,2377.5,2447.15,2367.05,2441.6,34384515.0,1703.4,NSE/CNX_NIFTY_JUNIOR
2001-02-09,2442.7,2492.4,2437.5,2458.8,31206112.0,1113.39,NSE/CNX_NIFTY_JUNIOR
2001-02-12,2457.65,2509.25,2451.75,2504.0,33638002.0,1199.01,NSE/CNX_NIFTY_JUNIOR
2001-02-13,2504.45,2516.35,2434.1,2444.25,39857327.0,1643.83,NSE/CNX_NIFTY_JUNIOR
2001-02-14,2442.25,2460.8,2423.7,2456.15,21099245.0,874.7,NSE/CNX_NIFTY_JUNIOR
2001-02-15,2459.05,2480.05,2458.15,2466.6,22067459.0,739.67,NSE/CNX_NIFTY_JUNIOR
2001-02-16,2464.05,2471.9,2335.9,2346.35,35270929.0,1598.13,NSE/CNX_NIFTY_JUNIOR
2001-02-19,2340.9,2372.25,2306.25,2340.0,32517065.0,1644.95,NSE/CNX_NIFTY_JUNIOR
2001-02-20,2341.3,2347.35,2308.5,2318.85,29491553.0,1134.75,NSE/CNX_NIFTY_JUNIOR
2001-02-21,2311.8,2329.65,2279.05,2297.4,26062558.0,1146.53,NSE/CNX_NIFTY_JUNIOR
2001-02-22,2295.85,2295.85,2199.35,2248.45,35807102.0,1541.55,NSE/CNX_NIFTY_JUNIOR
2001-02-23,2246.7,2249.8,2147.6,2167.05,36390156.0,1324.46,NSE/CNX_NIFTY_JUNIOR
2001-02-26,2167.45,2167.95,2108.3,2139.0,29352081.0,1022.29,NSE/CNX_NIFTY_JUNIOR
2001-02-27,2139.8,2162.2,2034.25,2042.6,37951261.0,1156.38,NSE/CNX_NIFTY_JUNIOR
2001-02-28,2026.3,2158.55,2023.1,2141.45,41510298.0,1339.68,NSE/CNX_NIFTY_JUNIOR
2001-03-01,2158.2,2258.75,2158.2,2208.65,40580838.0,1402.27,NSE/CNX_NIFTY_JUNIOR
2001-03-02,2222.45,2250.6,2087.4,2096.75,39620395.0,1218.53,NSE/CNX_NIFTY_JUNIOR
2001-03-05,2091.05,2107.15,1993.6,2017.1,42066177.0,983.39,NSE/CNX_NIFTY_JUNIOR
2001-03-07,2026.8,2073.55,1927.85,1992.7,40376096.0,978.03,NSE/CNX_NIFTY_JUNIOR
2001-03-08,1992.95,2008.5,1935.5,1941.7,22942789.0,607.35,NSE/CNX_NIFTY_JUNIOR
2001-03-09,1941.1,1941.1,1797.05,1833.2,20879420.0,297.44,NSE/CNX_NIFTY_JUNIOR
2001-03-12,1832.65,1832.65,1723.05,1727.1,17183671.0,239.74,NSE/CNX_NIFTY_JUNIOR
2001-03-13,1726.25,1726.25,1570.2,1588.8,21834615.0,183.94,NSE/CNX_NIFTY_JUNIOR
2001-03-14,1587.9,1668.6,1581.0,1664.45,24182974.0,280.93,NSE/CNX_NIFTY_JUNIOR
2001-03-15,1662.05,1724.05,1627.2,1718.85,39525332.0,601.03,NSE/CNX_NIFTY_JUNIOR
2001-03-16,1717.4,1735.7,1658.7,1675.6,31063209.0,464.07,NSE/CNX_NIFTY_JUNIOR
2001-03-19,1673.25,1694.0,1661.35,1676.25,18503941.0,265.28,NSE/CNX_NIFTY_JUNIOR
2001-03-20,1677.8,1681.35,1634.45,1665.8,16441050.0,218.98,NSE/CNX_NIFTY_JUNIOR
2001-03-21,1662.05,1670.25,1630.0,1666.65,10834980.0,140.1,NSE/CNX_NIFTY_JUNIOR
2001-03-22,1665.75,1686.1,1657.15,1669.25,12279035.0,180.28,NSE/CNX_NIFTY_JUNIOR
2001-03-23,1669.55,1680.65,1610.3,1627.9,15567004.0,200.03,NSE/CNX_NIFTY_JUNIOR
2001-03-26,1627.65,1637.7,1596.3,1635.05,10655720.0,134.08,NSE/CNX_NIFTY_JUNIOR
2001-03-27,1635.6,1661.9,1622.3,1657.35,17017055.0,214.72,NSE/CNX_NIFTY_JUNIOR
2001-03-28,1658.55,1702.7,1658.55,1696.25,13603553.0,193.45,NSE/CNX_NIFTY_JUNIOR
2001-03-29,1695.85,1695.85,1661.5,1675.2,9662150.0,135.78,NSE/CNX_NIFTY_JUNIOR
2001-03-30,1673.75,1675.75,1598.3,1601.8,11860765.0,141.52,NSE/CNX_NIFTY_JUNIOR
2001-04-02,1601.8,1601.8,1499.15,1534.55,8347827.0,69.08,NSE/CNX_NIFTY_JUNIOR
2001-04-03,1530.7,1564.5,1524.0,1554.5,17195866.0,178.52,NSE/CNX_NIFTY_JUNIOR
2001-04-04,1550.6,1550.6,1512.75,1535.55,12592899.0,99.12,NSE/CNX_NIFTY_JUNIOR
2001-04-06,1536.75,1573.1,1498.55,1507.15,14659151.0,133.9,NSE/CNX_NIFTY_JUNIOR
2001-04-09,1507.95,1513.45,1492.95,1507.45,10557648.0,95.92,NSE/CNX_NIFTY_JUNIOR
2001-04-10,1506.6,1506.75,1463.85,1472.35,10909015.0,91.26,NSE/CNX_NIFTY_JUNIOR
2001-04-11,1473.15,1486.8,1435.7,1442.4,13349305.0,109.05,NSE/CNX_NIFTY_JUNIOR
2001-04-12,1442.0,1442.0,1362.5,1392.9,12527542.0,83.36,NSE/CNX_NIFTY_JUNIOR
2001-04-16,1390.85,1420.8,1382.2,1415.6,13246270.0,92.09,NSE/CNX_NIFTY_JUNIOR
2001-04-17,1415.4,1465.45,1408.0,1459.25,16687995.0,127.17,NSE/CNX_NIFTY_JUNIOR
2001-04-18,1460.45,1532.85,1460.45,1528.85,17916004.0,150.38,NSE/CNX_NIFTY_JUNIOR
2001-04-19,1529.1,1602.25,1529.1,1553.45,20524669.0,194.14,NSE/CNX_NIFTY_JUNIOR
2001-04-20,1554.05,1566.5,1520.3,1554.95,21217743.0,214.46,NSE/CNX_NIFTY_JUNIOR
2001-04-23,1556.75,1572.6,1544.4,1565.15,21353836.0,214.93,NSE/CNX_NIFTY_JUNIOR
2001-04-24,1564.8,1598.2,1548.05,1592.25,28206132.0,299.34,NSE/CNX_NIFTY_JUNIOR
2001-04-25,1597.1,1627.05,1580.6,1619.1,25343315.0,322.11,NSE/CNX_NIFTY_JUNIOR
2001-04-26,1622.6,1638.05,1583.05,1591.3,26337530.0,376.59,NSE/CNX_NIFTY_JUNIOR
2001-04-27,1587.3,1587.3,1497.65,1503.5,12597032.0,114.22,NSE/CNX_NIFTY_JUNIOR
2001-04-30,1500.4,1530.2,1487.7,1525.2,27167206.0,301.75,NSE/CNX_NIFTY_JUNIOR
2001-05-02,1529.05,1564.2,1529.05,1545.45,24351726.0,294.02,NSE/CNX_NIFTY_JUNIOR
2001-05-03,1544.4,1555.7,1518.05,1522.0,19513167.0,234.27,NSE/CNX_NIFTY_JUNIOR
2001-05-04,1522.7,1541.4,1506.45,1537.1,21583543.0,239.46,NSE/CNX_NIFTY_JUNIOR
2001-05-07,1537.6,1573.85,1537.6,1566.45,27162157.0,341.72,NSE/CNX_NIFTY_JUNIOR
2001-05-08,1565.75,1590.6,1562.0,1583.6,23733711.0,303.95,NSE/CNX_NIFTY_JUNIOR
2001-05-09,1585.0,1596.4,1557.3,1561.15,20249710.0,250.57,NSE/CNX_NIFTY_JUNIOR
2001-05-10,1560.95,1577.6,1558.8,1564.9,17639812.0,226.94,NSE/CNX_NIFTY_JUNIOR
2001-05-11,1565.75,1566.1,1541.05,1544.0,14121408.0,173.71,NSE/CNX_NIFTY_JUNIOR
2001-05-14,1543.95,1555.75,1538.0,1540.45,11227986.0,130.94,NSE/CNX_NIFTY_JUNIOR
2001-05-15,1540.25,1540.25,1472.4,1524.5,15295923.0,166.43,NSE/CNX_NIFTY_JUNIOR
2001-05-16,1525.65,1578.0,1525.65,1566.15,18422860.0,228.35,NSE/CNX_NIFTY_JUNIOR
2001-05-17,1566.35,1588.35,1566.35,1580.5,12713398.0,148.1,NSE/CNX_NIFTY_JUNIOR
2001-05-18,1580.3,1594.95,1580.3,1587.85,14784341.0,155.56,NSE/CNX_NIFTY_JUNIOR
2001-05-21,1587.95,1599.85,1577.35,1578.7,18764649.0,220.5,NSE/CNX_NIFTY_JUNIOR
2001-05-22,1578.75,1597.6,1578.75,1593.1,16848474.0,195.36,NSE/CNX_NIFTY_JUNIOR
2001-05-23,1594.1,1625.7,1594.1,1622.1,17275935.0,202.92,NSE/CNX_NIFTY_JUNIOR
2001-05-24,1621.95,1635.1,1610.4,1614.2,14061786.0,158.83,NSE/CNX_NIFTY_JUNIOR
2001-05-25,1614.6,1621.65,1599.55,1611.6,18886862.0,197.6,NSE/CNX_NIFTY_JUNIOR
2001-05-28,1612.15,1637.6,1612.15,1636.55,24414342.0,301.26,NSE/CNX_NIFTY_JUNIOR
2001-05-29,1636.65,1654.6,1636.45,1652.35,23444264.0,271.36,NSE/CNX_NIFTY_JUNIOR
2001-05-30,1651.95,1676.25,1631.9,1638.15,19053003.0,212.55,NSE/CNX_NIFTY_JUNIOR
2001-05-31,1637.5,1637.5,1597.7,1627.15,18480372.0,203.86,NSE/CNX_NIFTY_JUNIOR
2001-06-01,1627.55,1638.9,1612.6,1614.45,31188479.0,336.36,NSE/CNX_NIFTY_JUNIOR
2001-06-04,1614.7,1623.2,1575.95,1578.75,17607933.0,184.62,NSE/CNX_NIFTY_JUNIOR
2001-06-05,1578.95,1583.35,1552.8,1557.3,23078437.0,236.49,NSE/CNX_NIFTY_JUNIOR
2001-06-06,1559.25,1584.55,1559.25,1568.85,20712724.0,224.64,NSE/CNX_NIFTY_JUNIOR
