Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2006-12-29,,,,1000.0,32983291.0,1803.92,NSE/CNX_NIFTY_SHARIAH
2007-01-02,,,,1012.28,28376968.0,1404.62,NSE/CNX_NIFTY_SHARIAH
2007-01-03,,,,1018.47,43011855.0,2438.28,NSE/CNX_NIFTY_SHARIAH
2007-01-04,,,,1011.66,40133219.0,2443.68,NSE/CNX_NIFTY_SHARIAH
2007-01-05,,,,1007.7,38651538.0,2383.92,NSE/CNX_NIFTY_SHARIAH
2007-01-08,,,,992.04,37198250.0,2611.84,NSE/CNX_NIFTY_SHARIAH
2007-01-09,,,,985.34,42033710.0,2655.67,NSE/CNX_NIFTY_SHARIAH
2007-01-10,,,,971.72,44599230.0,2966.18,NSE/CNX_NIFTY_SHARIAH
2007-01-11,,,,993.73,51157472.0,3550.18,NSE/CNX_NIFTY_SHARIAH
2007-01-12,,,,1017.32,50596959.0,3360.32,NSE/CNX_NIFTY_SHARIAH
2007-01-15,,,,1026.53,60630015.0,3128.07,NSE/CNX_NIFTY_SHARIAH
2007-01-16,,,,1027.62,38379278.0,2231.38,NSE/CNX_NIFTY_SHARIAH
2007-01-17,,,,1028.46,40636107.0,2146.08,NSE/CNX_NIFTY_SHARIAH
2007-01-18,,,,1036.77,48669535.0,2844.09,NSE/CNX_NIFTY_SHARIAH
2007-01-19,,,,1031.44,51637230.0,3419.64,NSE/CNX_NIFTY_SHARIAH
2007-01-22,,,,1033.54,38059415.0,2552.11,NSE/CNX_NIFTY_SHARIAH
2007-01-23,,,,1022.84,51932802.0,2541.37,NSE/CNX_NIFTY_SHARIAH
2007-01-24,,,,1024.26,64507307.0,2582.16,NSE/CNX_NIFTY_SHARIAH
2007-01-25,,,,1036.74,81767076.0,3590.63,NSE/CNX_NIFTY_SHARIAH
2007-01-29,,,,1034.24,60923436.0,2699.09,NSE/CNX_NIFTY_SHARIAH
2007-01-31,,,,1026.6,63536355.0,3126.96,NSE/CNX_NIFTY_SHARIAH
2007-02-01,,,,1039.04,41996446.0,1898.76,NSE/CNX_NIFTY_SHARIAH
2007-02-02,,,,1054.07,57400645.0,2960.58,NSE/CNX_NIFTY_SHARIAH
2007-02-05,,,,1061.7,38754643.0,2231.72,NSE/CNX_NIFTY_SHARIAH
2007-02-06,,,,1058.29,39718557.0,2324.19,NSE/CNX_NIFTY_SHARIAH
2007-02-07,,,,1067.9,44321631.0,2475.53,NSE/CNX_NIFTY_SHARIAH
2007-02-08,,,,1067.97,47597040.0,2338.98,NSE/CNX_NIFTY_SHARIAH
2007-02-09,,,,1056.15,37458031.0,2172.29,NSE/CNX_NIFTY_SHARIAH
2007-02-12,,,,1029.11,48578617.0,2569.98,NSE/CNX_NIFTY_SHARIAH
2007-02-13,,,,1023.15,61234285.0,2970.78,NSE/CNX_NIFTY_SHARIAH
2007-02-14,,,,1026.76,47855705.0,2548.88,NSE/CNX_NIFTY_SHARIAH
2007-02-15,,,,1056.89,48891658.0,2882.05,NSE/CNX_NIFTY_SHARIAH
2007-02-19,,,,1058.57,40278918.0,2055.88,NSE/CNX_NIFTY_SHARIAH
2007-02-20,,,,1045.77,44355054.0,2303.66,NSE/CNX_NIFTY_SHARIAH
2007-02-21,,,,1038.97,51130261.0,2666.75,NSE/CNX_NIFTY_SHARIAH
2007-02-22,,,,1026.16,78061675.0,4286.28,NSE/CNX_NIFTY_SHARIAH
2007-02-23,,,,1002.24,58389282.0,3412.06,NSE/CNX_NIFTY_SHARIAH
2007-02-26,,,,1000.97,59836535.0,3648.12,NSE/CNX_NIFTY_SHARIAH
2007-02-27,,,,990.53,49176256.0,2633.44,NSE/CNX_NIFTY_SHARIAH
2007-02-28,,,,948.95,91784924.0,5269.23,NSE/CNX_NIFTY_SHARIAH
2007-03-01,,,,967.48,77174415.0,3813.2,NSE/CNX_NIFTY_SHARIAH
2007-03-02,,,,942.67,58964401.0,3099.78,NSE/CNX_NIFTY_SHARIAH
2007-03-05,,,,904.13,75807814.0,3622.88,NSE/CNX_NIFTY_SHARIAH
2007-03-06,,,,929.65,63949766.0,3191.1,NSE/CNX_NIFTY_SHARIAH
2007-03-07,,,,923.95,61726891.0,3178.97,NSE/CNX_NIFTY_SHARIAH
2007-03-08,,,,960.66,62750243.0,2801.46,NSE/CNX_NIFTY_SHARIAH
2007-03-09,,,,947.19,73338172.0,2860.58,NSE/CNX_NIFTY_SHARIAH
2007-03-12,,,,950.43,52797889.0,2517.47,NSE/CNX_NIFTY_SHARIAH
2007-03-13,,,,957.7,48782551.0,2259.71,NSE/CNX_NIFTY_SHARIAH
2007-03-14,,,,924.81,53984874.0,2776.39,NSE/CNX_NIFTY_SHARIAH
2007-03-15,,,,935.16,48088405.0,2619.58,NSE/CNX_NIFTY_SHARIAH
2007-03-16,,,,926.3,40033508.0,2218.18,NSE/CNX_NIFTY_SHARIAH
2007-03-19,,,,944.76,28303936.0,1447.36,NSE/CNX_NIFTY_SHARIAH
2007-03-20,,,,949.07,41713741.0,1967.97,NSE/CNX_NIFTY_SHARIAH
2007-03-21,,,,963.41,44948401.0,2051.26,NSE/CNX_NIFTY_SHARIAH
2007-03-22,,,,988.56,58684965.0,2966.33,NSE/CNX_NIFTY_SHARIAH
2007-03-23,,,,987.76,50595969.0,2607.9,NSE/CNX_NIFTY_SHARIAH
2007-03-26,,,,977.56,39441938.0,2380.45,NSE/CNX_NIFTY_SHARIAH
2007-03-28,,,,960.08,57806944.0,3243.84,NSE/CNX_NIFTY_SHARIAH
2007-03-29,,,,969.39,68569286.0,3777.38,NSE/CNX_NIFTY_SHARIAH
2007-03-30,,,,977.27,45997331.0,2375.84,NSE/CNX_NIFTY_SHARIAH
2007-04-02,,,,931.16,51052407.0,2871.75,NSE/CNX_NIFTY_SHARIAH
2007-04-03,,,,947.03,45049736.0,2559.33,NSE/CNX_NIFTY_SHARIAH
2007-04-04,,,,957.07,70963181.0,2931.42,NSE/CNX_NIFTY_SHARIAH
2007-04-05,,,,958.58,53154789.0,2215.63,NSE/CNX_NIFTY_SHARIAH
2007-04-09,,,,981.14,42381398.0,1798.55,NSE/CNX_NIFTY_SHARIAH
2007-04-10,,,,978.26,51479393.0,2380.91,NSE/CNX_NIFTY_SHARIAH
2007-04-11,,,,979.5,62648772.0,2841.64,NSE/CNX_NIFTY_SHARIAH
2007-04-12,,,,978.21,45116628.0,2282.3,NSE/CNX_NIFTY_SHARIAH
2007-04-13,,,,1000.52,63692473.0,3530.5,NSE/CNX_NIFTY_SHARIAH
2007-04-16,,,,1025.21,58972362.0,2992.48,NSE/CNX_NIFTY_SHARIAH
2007-04-17,,,,1016.71,61385167.0,3256.55,NSE/CNX_NIFTY_SHARIAH
