Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2004-01-01,,,,1000.0,,,NSE/CNX_PSU_BANK
2004-01-02,,,,1055.27,,,NSE/CNX_PSU_BANK
2004-01-05,,,,1085.27,,,NSE/CNX_PSU_BANK
2004-01-06,,,,1079.39,,,NSE/CNX_PSU_BANK
2004-01-07,,,,1063.2,,,NSE/CNX_PSU_BANK
2004-01-08,,,,1108.88,,,NSE/CNX_PSU_BANK
2004-01-09,,,,1141.71,,,NSE/CNX_PSU_BANK
2004-01-12,,,,1158.5,,,NSE/CNX_PSU_BANK
2004-01-13,,,,1173.87,,,NSE/CNX_PSU_BANK
2004-01-14,,,,1211.98,,,NSE/CNX_PSU_BANK
2004-01-15,,,,1193.24,,,NSE/CNX_PSU_BANK
2004-01-16,,,,1143.23,,,NSE/CNX_PSU_BANK
2004-01-19,,,,1172.46,,,NSE/CNX_PSU_BANK
2004-01-20,,,,1124.52,,,NSE/CNX_PSU_BANK
2004-01-21,,,,1045.89,,,NSE/CNX_PSU_BANK
2004-01-22,,,,1030.31,,,NSE/CNX_PSU_BANK
2004-01-23,,,,1100.17,,,NSE/CNX_PSU_BANK
2004-01-27,,,,1148.71,,,NSE/CNX_PSU_BANK
2004-01-28,,,,1118.73,,,NSE/CNX_PSU_BANK
2004-01-29,,,,1104.6,,,NSE/CNX_PSU_BANK
2004-01-30,,,,1053.01,,,NSE/CNX_PSU_BANK
2004-02-03,,,,988.43,,,NSE/CNX_PSU_BANK
2004-02-04,,,,1025.75,,,NSE/CNX_PSU_BANK
2004-02-05,,,,1021.71,,,NSE/CNX_PSU_BANK
2004-02-06,,,,1054.33,,,NSE/CNX_PSU_BANK
2004-02-09,,,,1106.56,,,NSE/CNX_PSU_BANK
2004-02-10,,,,1095.14,,,NSE/CNX_PSU_BANK
2004-02-11,,,,1123.66,,,NSE/CNX_PSU_BANK
2004-02-12,,,,1108.84,,,NSE/CNX_PSU_BANK
2004-02-13,,,,1125.57,,,NSE/CNX_PSU_BANK
2004-02-16,,,,1122.33,,,NSE/CNX_PSU_BANK
2004-02-17,,,,1130.84,,,NSE/CNX_PSU_BANK
2004-02-18,,,,1122.0,,,NSE/CNX_PSU_BANK
2004-02-19,,,,1081.66,,,NSE/CNX_PSU_BANK
2004-02-20,,,,1075.85,,,NSE/CNX_PSU_BANK
2004-02-23,,,,1044.85,,,NSE/CNX_PSU_BANK
2004-02-24,,,,1069.57,,,NSE/CNX_PSU_BANK
2004-02-25,,,,1048.76,,,NSE/CNX_PSU_BANK
2004-02-26,,,,1028.21,,,NSE/CNX_PSU_BANK
2004-02-27,,,,1045.56,,,NSE/CNX_PSU_BANK
2004-03-01,,,,1074.39,,,NSE/CNX_PSU_BANK
2004-03-03,,,,1073.99,,,NSE/CNX_PSU_BANK
2004-03-04,,,,1076.25,,,NSE/CNX_PSU_BANK
2004-03-05,,,,1094.77,,,NSE/CNX_PSU_BANK
2004-03-08,,,,1126.26,,,NSE/CNX_PSU_BANK
