Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2015-11-02,317.0,317.0,266.3,271.0,270.45,18353828.0,52374.83,NSE/COFFEEDAY
2015-11-03,274.0,284.85,272.15,274.85,276.25,4773563.0,13298.44,NSE/COFFEEDAY
2015-11-04,277.45,283.5,275.1,280.8,281.6,1853793.0,5189.12,NSE/COFFEEDAY
2015-11-05,280.95,281.4,276.0,277.0,277.0,785960.0,2190.74,NSE/COFFEEDAY
2015-11-06,279.0,279.0,270.0,271.25,271.05,521576.0,1419.39,NSE/COFFEEDAY
2015-11-09,266.5,276.0,253.6,274.0,273.9,603103.0,1637.83,NSE/COFFEEDAY
2015-11-10,276.1,280.5,267.8,268.5,269.8,564758.0,1558.73,NSE/COFFEEDAY
2015-11-11,273.9,275.6,273.0,274.0,273.55,89578.0,245.27,NSE/COFFEEDAY
2015-11-13,271.5,271.95,263.5,266.8,265.8,264878.0,705.47,NSE/COFFEEDAY
2015-11-16,266.0,274.7,260.05,267.25,268.05,534428.0,1432.76,NSE/COFFEEDAY
2015-11-17,270.1,274.4,264.55,265.6,265.55,354953.0,954.85,NSE/COFFEEDAY
2015-11-18,265.9,267.7,260.25,262.0,261.3,236271.0,622.73,NSE/COFFEEDAY
2015-11-19,263.0,263.75,259.25,261.95,260.55,269156.0,703.05,NSE/COFFEEDAY
2015-11-20,261.6,266.0,258.5,259.05,259.15,251995.0,659.02,NSE/COFFEEDAY
2015-11-23,260.0,267.5,257.5,264.75,264.85,413189.0,1089.89,NSE/COFFEEDAY
2015-11-24,265.8,270.0,262.05,265.1,266.4,298584.0,794.85,NSE/COFFEEDAY
2015-11-26,268.4,269.4,264.0,266.5,266.3,172026.0,459.55,NSE/COFFEEDAY
2015-11-27,267.0,267.05,257.15,258.1,258.25,644846.0,1673.93,NSE/COFFEEDAY
2015-11-30,259.8,261.75,254.0,254.5,255.35,447105.0,1151.47,NSE/COFFEEDAY
2015-12-01,255.75,264.4,255.5,258.15,257.75,578648.0,1500.41,NSE/COFFEEDAY
2015-12-02,258.5,262.0,256.25,257.5,257.5,195142.0,505.12,NSE/COFFEEDAY
2015-12-03,258.4,264.9,257.5,261.15,261.85,426129.0,1115.1,NSE/COFFEEDAY
2015-12-04,260.1,261.35,253.2,254.4,254.8,192546.0,496.11,NSE/COFFEEDAY
2015-12-07,256.7,258.85,252.5,253.1,253.25,112645.0,287.68,NSE/COFFEEDAY
2015-12-08,257.0,267.5,255.0,257.1,257.25,1238319.0,3252.63,NSE/COFFEEDAY
2015-12-09,257.45,261.4,252.0,254.0,252.95,260920.0,669.2,NSE/COFFEEDAY
2015-12-10,254.7,257.9,253.0,256.9,255.85,158434.0,404.98,NSE/COFFEEDAY
2015-12-11,255.5,260.0,254.65,257.25,257.05,202076.0,519.99,NSE/COFFEEDAY
2015-12-14,256.5,256.5,253.05,253.65,253.7,100567.0,255.96,NSE/COFFEEDAY
2015-12-15,252.5,275.0,252.5,274.95,272.8,1537448.0,4126.79,NSE/COFFEEDAY
2015-12-16,275.0,278.4,269.85,269.85,270.25,377777.0,1031.2,NSE/COFFEEDAY
2015-12-17,271.95,284.9,270.5,282.0,283.3,1222779.0,3437.03,NSE/COFFEEDAY
2015-12-18,281.9,290.0,281.15,284.5,285.65,998753.0,2868.63,NSE/COFFEEDAY
2015-12-21,284.5,288.4,281.55,286.9,285.2,243332.0,694.29,NSE/COFFEEDAY
