Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-12-17,435.0,440.0,385.0,388.2,388.1,355781.0,1419.0,NSE/COLPAL
2007-12-18,410.0,410.0,386.3,392.0,390.25,100918.0,395.34,NSE/COLPAL
2007-12-19,409.0,409.0,387.0,388.0,389.85,331542.0,1294.48,NSE/COLPAL
2007-12-20,394.75,394.75,382.5,385.0,388.65,681903.0,2661.35,NSE/COLPAL
2007-12-24,388.65,393.0,388.65,393.0,392.4,44752.0,174.99,NSE/COLPAL
2007-12-26,392.4,405.0,392.4,402.0,402.5,237112.0,939.53,NSE/COLPAL
2007-12-27,404.4,406.0,400.0,401.0,402.7,80943.0,326.31,NSE/COLPAL
2007-12-28,395.0,405.0,395.0,402.95,401.45,68086.0,273.63,NSE/COLPAL
2007-12-31,403.0,409.9,401.0,407.0,406.45,122694.0,498.44,NSE/COLPAL
2008-01-01,407.5,414.0,407.0,411.3,412.05,91509.0,375.76,NSE/COLPAL
2008-01-02,415.0,421.0,404.2,418.05,419.05,146084.0,605.8,NSE/COLPAL
2008-01-03,415.0,446.95,408.65,440.0,439.9,351569.0,1521.67,NSE/COLPAL
2008-01-04,440.0,465.0,440.0,463.0,457.8,243134.0,1103.71,NSE/COLPAL
2008-01-07,460.0,524.9,456.0,485.0,486.75,574470.0,2855.36,NSE/COLPAL
2008-01-08,490.0,497.8,471.0,473.5,474.55,129687.0,625.58,NSE/COLPAL
2008-01-09,473.95,480.0,460.0,463.5,464.15,62218.0,291.92,NSE/COLPAL
2008-01-10,464.15,480.55,457.0,463.0,462.2,178077.0,834.86,NSE/COLPAL
2008-01-11,463.0,463.0,435.05,457.0,456.95,203367.0,915.18,NSE/COLPAL
2008-01-14,458.0,475.0,446.05,473.5,470.0,104588.0,482.67,NSE/COLPAL
2008-01-15,470.0,478.0,465.0,466.0,465.6,39444.0,185.52,NSE/COLPAL
2008-01-16,455.55,468.95,450.1,450.6,455.5,120861.0,555.3,NSE/COLPAL
2008-01-17,457.8,492.0,450.0,477.0,481.1,118971.0,564.73,NSE/COLPAL
