Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-07-07,146.0,149.5,145.0,146.0,147.2,1244.0,1.82,NSE/COMPINFO
2016-07-08,145.0,149.45,145.0,148.5,148.5,558.0,0.82,NSE/COMPINFO
2016-07-11,132.25,149.95,132.2,149.85,146.45,2179.0,3.18,NSE/COMPINFO
2016-07-12,146.0,148.5,133.7,147.0,147.0,2591.0,3.81,NSE/COMPINFO
2016-07-13,145.5,155.7,145.5,151.05,153.0,6688.0,10.07,NSE/COMPINFO
2016-07-14,152.5,154.0,140.0,150.0,150.0,2705.0,4.05,NSE/COMPINFO
2016-07-15,150.0,151.0,148.0,150.9,150.9,3224.0,4.84,NSE/COMPINFO
2016-07-18,150.0,150.0,137.35,145.0,144.8,5847.0,8.54,NSE/COMPINFO
2016-07-19,145.5,147.0,140.0,147.0,143.0,5756.0,8.26,NSE/COMPINFO
2016-07-20,143.0,146.0,143.0,146.0,146.0,7971.0,11.48,NSE/COMPINFO
2016-07-21,146.0,147.2,143.0,143.0,143.0,8057.0,11.76,NSE/COMPINFO
2016-07-22,145.0,167.9,144.0,156.0,157.3,13966.0,21.14,NSE/COMPINFO
2016-07-25,160.0,166.0,151.5,155.55,160.0,13037.0,20.92,NSE/COMPINFO
2016-07-26,162.0,169.75,146.0,146.0,148.95,13673.0,22.07,NSE/COMPINFO
2016-07-27,151.0,174.4,151.0,173.0,168.3,30342.0,50.47,NSE/COMPINFO
2016-07-28,173.0,178.0,168.1,175.0,174.6,12999.0,22.46,NSE/COMPINFO
2016-07-29,175.0,177.0,156.5,176.0,172.25,12419.0,21.13,NSE/COMPINFO
2016-08-01,172.0,177.1,160.4,169.5,169.25,11465.0,19.49,NSE/COMPINFO
2016-08-02,168.0,170.0,159.4,170.0,165.3,11321.0,18.72,NSE/COMPINFO
2016-08-03,164.5,165.0,156.2,161.7,159.1,10765.0,17.44,NSE/COMPINFO
2016-08-04,160.5,168.9,156.05,167.5,164.75,11350.0,18.25,NSE/COMPINFO
2016-08-05,164.0,176.7,157.0,175.0,170.75,11654.0,19.32,NSE/COMPINFO
2016-08-08,173.0,173.5,160.05,163.8,164.0,12284.0,20.5,NSE/COMPINFO
2016-08-09,164.5,169.2,159.0,164.95,163.3,10680.0,17.53,NSE/COMPINFO
2016-08-10,164.0,164.5,157.0,164.0,163.9,10328.0,16.87,NSE/COMPINFO
2016-08-11,164.0,168.0,154.1,168.0,160.7,10308.0,16.71,NSE/COMPINFO
2016-08-12,161.0,164.0,158.0,162.4,161.0,10095.0,16.35,NSE/COMPINFO
2016-08-16,162.0,173.0,159.0,172.8,167.05,11115.0,17.94,NSE/COMPINFO
2016-08-17,168.0,172.5,162.1,170.0,168.35,12767.0,21.32,NSE/COMPINFO
2016-08-18,168.5,202.0,162.0,189.4,188.55,12997.0,22.42,NSE/COMPINFO
2016-08-19,189.2,193.3,181.45,192.9,192.7,11963.0,22.7,NSE/COMPINFO
2016-08-22,192.0,193.0,177.1,189.0,189.95,10818.0,20.13,NSE/COMPINFO
2016-08-23,190.0,190.0,177.25,184.0,184.0,10198.0,19.06,NSE/COMPINFO
2016-08-24,184.0,189.9,183.55,187.95,185.75,10182.0,18.84,NSE/COMPINFO
2016-08-25,186.0,188.9,181.5,188.0,187.45,10497.0,19.53,NSE/COMPINFO
2016-08-26,187.0,187.0,181.1,185.0,185.0,11067.0,20.43,NSE/COMPINFO
2016-08-29,185.1,190.9,183.5,190.0,190.0,10434.0,19.46,NSE/COMPINFO
2016-08-30,190.0,190.0,181.0,188.0,185.55,10247.0,19.24,NSE/COMPINFO
2016-08-31,184.0,184.8,180.0,181.0,181.9,11378.0,20.87,NSE/COMPINFO
2016-09-01,183.0,187.8,178.0,187.0,182.75,10403.0,18.97,NSE/COMPINFO
2016-09-02,183.0,214.4,183.0,195.0,193.2,11843.0,22.75,NSE/COMPINFO
2016-09-06,192.0,197.0,190.1,190.1,191.05,10194.0,19.77,NSE/COMPINFO
2016-09-07,192.0,194.9,189.0,190.5,190.5,10088.0,19.42,NSE/COMPINFO
2016-09-08,191.0,194.8,177.7,187.0,187.95,11238.0,21.43,NSE/COMPINFO
2016-09-09,190.0,191.1,182.1,182.5,184.95,10359.0,19.64,NSE/COMPINFO
2016-09-12,184.5,191.0,176.0,177.0,177.0,12970.0,23.86,NSE/COMPINFO
2016-09-14,180.0,189.95,163.0,182.0,181.75,10928.0,19.75,NSE/COMPINFO
2016-09-15,181.5,215.0,174.55,195.0,192.4,12257.0,22.67,NSE/COMPINFO
2016-09-16,197.0,197.5,185.0,185.0,185.5,10821.0,20.93,NSE/COMPINFO
2016-09-19,186.5,188.0,184.0,184.0,184.0,10392.0,19.34,NSE/COMPINFO
2016-09-20,184.0,185.5,176.0,177.25,178.0,10508.0,19.31,NSE/COMPINFO
2016-09-21,178.0,189.9,178.0,189.0,189.45,10084.0,18.17,NSE/COMPINFO
2016-09-22,190.0,190.0,176.2,177.5,181.45,10657.0,19.8,NSE/COMPINFO
2016-09-23,181.5,195.0,175.0,177.0,177.35,21487.0,38.73,NSE/COMPINFO
2016-09-26,177.5,180.0,171.3,179.9,179.45,26016.0,46.46,NSE/COMPINFO
2016-09-27,178.8,179.0,172.65,173.5,174.25,26830.0,47.77,NSE/COMPINFO
2016-09-28,174.5,175.5,171.0,172.25,172.2,10861.0,18.9,NSE/COMPINFO
2016-09-29,172.5,185.0,160.0,180.0,176.55,12316.0,21.13,NSE/COMPINFO
2016-09-30,182.2,187.0,170.1,187.0,180.5,11415.0,20.46,NSE/COMPINFO
2016-10-03,180.5,187.7,173.0,185.0,183.45,11210.0,19.88,NSE/COMPINFO
2016-10-04,184.0,188.0,180.0,181.0,181.0,10238.0,18.86,NSE/COMPINFO
