Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-10-01,142.0,146.5,141.4,141.4,141.4,557.0,0.79,NSE/COMPUAGE
2010-10-04,144.0,148.5,144.0,148.5,148.5,1044.0,1.54,NSE/COMPUAGE
2010-10-05,151.5,155.95,151.5,155.95,155.95,550.0,0.85,NSE/COMPUAGE
2010-10-06,158.5,163.75,154.25,163.75,163.75,183.0,0.29,NSE/COMPUAGE
2010-10-07,165.0,171.95,165.0,168.0,168.0,543.0,0.92,NSE/COMPUAGE
2010-10-08,168.0,176.4,168.0,176.4,176.4,1171.0,2.05,NSE/COMPUAGE
2010-10-11,180.0,185.25,180.0,185.2,185.25,1764.0,3.26,NSE/COMPUAGE
2010-10-12,187.0,190.95,185.0,189.0,185.75,448.0,0.84,NSE/COMPUAGE
2010-10-13,184.1,184.1,176.5,176.5,176.5,1506.0,2.69,NSE/COMPUAGE
2010-10-14,185.0,185.0,167.7,167.7,167.7,9095.0,15.26,NSE/COMPUAGE
2010-10-15,175.55,176.0,159.35,176.0,171.85,789.0,1.34,NSE/COMPUAGE
2010-10-18,172.9,173.0,164.7,172.0,172.5,5160.0,8.62,NSE/COMPUAGE
2010-10-19,172.9,173.45,165.0,165.0,165.05,1869.0,3.19,NSE/COMPUAGE
2010-10-20,173.0,173.0,166.0,168.75,168.75,2508.0,4.24,NSE/COMPUAGE
2010-10-22,167.0,167.0,167.0,167.0,167.0,50.0,0.08,NSE/COMPUAGE
2010-10-25,170.0,175.35,170.0,175.35,174.85,20345.0,35.56,NSE/COMPUAGE
2010-10-26,167.25,175.0,166.3,167.0,168.0,5779.0,9.73,NSE/COMPUAGE
2010-10-27,165.0,169.0,165.0,168.5,168.5,11050.0,18.63,NSE/COMPUAGE
2010-10-28,169.7,174.0,165.0,169.25,169.65,9135.0,15.62,NSE/COMPUAGE
2010-10-29,163.0,172.0,163.0,166.65,169.05,23056.0,39.27,NSE/COMPUAGE
2010-11-01,165.0,177.5,164.95,177.5,177.5,54705.0,95.3,NSE/COMPUAGE
2010-11-02,179.9,186.4,179.9,186.4,186.4,30323.0,55.83,NSE/COMPUAGE
2010-11-03,192.95,195.65,189.0,191.15,193.2,16096.0,31.14,NSE/COMPUAGE
2010-11-04,187.05,193.95,184.2,191.05,191.2,1647.0,3.14,NSE/COMPUAGE
2010-11-05,194.95,210.35,194.95,208.75,206.05,46654.0,96.13,NSE/COMPUAGE
2010-11-08,202.9,222.0,202.9,217.0,218.65,53084.0,116.2,NSE/COMPUAGE
2010-11-09,215.5,228.0,215.0,224.0,223.8,117639.0,264.16,NSE/COMPUAGE
2010-11-10,224.8,227.55,205.0,211.6,212.65,4780.0,10.43,NSE/COMPUAGE
2010-11-11,211.0,215.75,199.3,205.0,204.7,37026.0,76.17,NSE/COMPUAGE
2010-11-12,204.1,222.55,204.1,217.0,217.15,9365.0,20.24,NSE/COMPUAGE
2010-11-15,217.15,238.9,217.0,238.9,238.9,281492.0,660.81,NSE/COMPUAGE
2010-11-16,245.8,248.95,234.0,234.15,237.4,146814.0,356.94,NSE/COMPUAGE
2010-11-18,233.0,244.65,220.0,236.0,236.3,117570.0,278.48,NSE/COMPUAGE
2010-11-19,236.0,238.7,212.7,225.4,233.8,184929.0,433.56,NSE/COMPUAGE
2010-11-22,238.0,241.0,221.0,235.2,236.0,11800.0,27.88,NSE/COMPUAGE
2010-11-23,225.05,238.0,225.05,236.0,233.6,31624.0,74.55,NSE/COMPUAGE
2010-11-24,237.0,257.0,230.0,234.0,234.5,1546.0,3.74,NSE/COMPUAGE
