Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2005-03-29,17.5,88.0,17.5,46.35,48.05,3557715.0,2402.09,NSE/CONSOFINVT
2005-03-30,47.0,49.0,42.2,43.2,43.35,288633.0,129.73,NSE/CONSOFINVT
2005-03-31,43.35,44.9,39.9,40.3,40.2,129583.0,55.14,NSE/CONSOFINVT
2005-04-01,39.25,45.45,39.2,42.7,43.0,211307.0,91.41,NSE/CONSOFINVT
2005-04-04,43.55,44.75,42.0,43.75,43.4,53939.0,23.57,NSE/CONSOFINVT
2005-04-05,42.0,43.5,42.0,42.95,42.65,26292.0,11.29,NSE/CONSOFINVT
2005-04-06,43.6,44.0,42.9,43.6,43.55,57236.0,24.87,NSE/CONSOFINVT
2005-04-07,41.1,44.95,35.6,36.1,36.2,448920.0,173.77,NSE/CONSOFINVT
2005-04-08,36.55,43.45,36.15,43.45,43.25,1522665.0,634.5,NSE/CONSOFINVT
2005-04-11,43.55,44.3,37.6,38.15,38.2,768708.0,308.43,NSE/CONSOFINVT
2005-04-12,38.7,42.45,37.7,41.1,41.15,688891.0,275.8,NSE/CONSOFINVT
2005-04-13,41.5,42.2,39.1,39.2,39.55,442622.0,178.82,NSE/CONSOFINVT
2005-04-15,38.2,38.95,36.05,37.2,37.5,191973.0,72.38,NSE/CONSOFINVT
2005-04-18,36.8,37.45,35.15,35.15,35.95,164266.0,60.21,NSE/CONSOFINVT
2005-04-19,37.4,37.4,34.0,34.0,34.5,135935.0,48.59,NSE/CONSOFINVT
2005-04-20,34.05,34.95,33.15,33.55,33.6,179478.0,61.05,NSE/CONSOFINVT
2005-04-21,33.45,33.8,32.8,33.5,33.6,192969.0,64.4,NSE/CONSOFINVT
2005-04-22,33.75,34.45,27.0,32.15,32.45,247651.0,82.58,NSE/CONSOFINVT
2005-04-25,32.95,33.0,30.5,30.7,30.7,264671.0,83.42,NSE/CONSOFINVT
2005-04-26,31.0,31.4,29.9,30.05,30.2,371559.0,113.14,NSE/CONSOFINVT
2005-04-27,30.3,30.4,28.65,28.9,28.85,222488.0,65.5,NSE/CONSOFINVT
2005-04-28,29.4,29.75,28.8,29.2,29.1,75602.0,22.13,NSE/CONSOFINVT
2005-04-29,29.4,29.5,28.4,28.55,28.6,62466.0,18.17,NSE/CONSOFINVT
2005-05-02,29.35,29.35,26.0,26.05,26.4,107195.0,29.13,NSE/CONSOFINVT
2005-05-03,26.85,28.8,25.6,26.0,26.15,483249.0,130.17,NSE/CONSOFINVT
2005-05-04,26.1,27.2,25.5,25.8,25.7,147679.0,38.62,NSE/CONSOFINVT
2005-05-05,26.0,26.4,25.0,25.35,25.4,145131.0,37.04,NSE/CONSOFINVT
2005-05-06,25.25,25.75,24.1,24.55,24.5,129405.0,32.08,NSE/CONSOFINVT
2005-05-09,25.05,29.4,24.2,29.3,28.5,330557.0,89.38,NSE/CONSOFINVT
2005-05-10,29.55,33.75,29.1,32.8,32.35,1141365.0,363.56,NSE/CONSOFINVT
