Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2008-02-13,143.0,151.0,110.2,139.6,139.45,8936555.0,12355.49,NSE/CORDSCABLE
2008-02-14,140.0,151.8,135.7,143.2,142.45,2236922.0,3172.49,NSE/CORDSCABLE
2008-02-15,142.9,142.9,134.5,137.3,137.9,607371.0,833.39,NSE/CORDSCABLE
2008-02-18,140.0,155.9,132.05,152.4,152.95,2651456.0,3957.96,NSE/CORDSCABLE
2008-02-19,154.6,155.25,138.25,139.05,139.7,1000989.0,1473.13,NSE/CORDSCABLE
2008-02-20,141.4,141.4,130.1,133.0,132.5,241672.0,325.38,NSE/CORDSCABLE
2008-02-21,135.0,138.4,133.1,135.95,135.75,192218.0,260.66,NSE/CORDSCABLE
2008-02-22,134.1,134.4,128.15,129.0,130.1,66055.0,87.24,NSE/CORDSCABLE
2008-02-25,129.5,133.7,125.0,130.3,130.5,82705.0,107.32,NSE/CORDSCABLE
2008-02-26,131.55,138.9,129.7,130.0,132.35,97858.0,131.84,NSE/CORDSCABLE
2008-02-27,133.45,138.45,132.0,133.8,133.7,104693.0,141.74,NSE/CORDSCABLE
2008-02-28,133.0,135.95,129.0,129.2,130.25,50393.0,66.76,NSE/CORDSCABLE
2008-02-29,128.85,129.9,118.1,124.0,123.3,67378.0,84.28,NSE/CORDSCABLE
2008-03-03,115.0,119.9,112.0,112.1,113.0,36969.0,42.89,NSE/CORDSCABLE
2008-03-04,113.0,116.95,101.0,104.0,105.05,63240.0,68.04,NSE/CORDSCABLE
2008-03-05,102.0,106.0,99.1,100.5,100.9,40136.0,41.01,NSE/CORDSCABLE
2008-03-07,95.0,98.85,87.9,89.0,90.7,28313.0,26.0,NSE/CORDSCABLE
2008-03-10,89.9,94.0,82.0,93.6,91.15,53694.0,47.37,NSE/CORDSCABLE
2008-03-11,88.1,104.5,88.1,99.2,100.55,66877.0,66.28,NSE/CORDSCABLE
2008-03-12,109.0,109.0,100.1,100.1,101.85,29853.0,30.9,NSE/CORDSCABLE
2008-03-13,95.15,100.0,91.05,93.0,92.45,15240.0,14.41,NSE/CORDSCABLE
2008-03-14,75.0,97.0,75.0,96.5,93.95,9441.0,8.72,NSE/CORDSCABLE
2008-03-17,84.0,91.75,84.0,89.5,87.65,14923.0,13.02,NSE/CORDSCABLE
2008-03-18,86.0,91.85,84.0,90.3,89.5,10872.0,9.59,NSE/CORDSCABLE
