Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-09-07,297.4,299.45,293.25,293.25,296.55,50975.0,151.18,NSE/COREEDUTEC
2011-09-08,296.0,297.0,292.1,293.0,294.35,49908.0,146.97,NSE/COREEDUTEC
2011-09-09,295.1,296.4,291.3,294.0,293.85,12033.0,35.32,NSE/COREEDUTEC
2011-09-12,295.0,295.0,276.05,288.45,287.4,337928.0,956.94,NSE/COREEDUTEC
2011-09-13,287.0,288.9,278.9,287.0,286.75,212163.0,602.96,NSE/COREEDUTEC
2011-09-14,282.0,297.7,278.25,294.9,294.55,590111.0,1686.59,NSE/COREEDUTEC
2011-09-15,295.3,295.3,285.35,291.0,294.35,262910.0,770.5,NSE/COREEDUTEC
2011-09-16,294.7,295.8,281.0,289.0,293.15,618440.0,1787.21,NSE/COREEDUTEC
2011-09-19,292.9,292.9,281.8,289.4,289.1,145886.0,418.64,NSE/COREEDUTEC
2011-09-20,284.65,289.9,280.6,286.15,286.95,243898.0,694.67,NSE/COREEDUTEC
2011-09-21,286.95,288.4,278.9,286.05,287.3,456271.0,1290.14,NSE/COREEDUTEC
2011-09-22,285.9,285.9,282.0,284.55,284.35,60166.0,170.74,NSE/COREEDUTEC
2011-09-23,282.0,287.5,282.0,286.15,285.75,47732.0,136.07,NSE/COREEDUTEC
2011-09-26,285.0,289.0,283.0,288.0,287.75,73702.0,211.42,NSE/COREEDUTEC
2011-09-27,289.0,298.6,287.0,296.85,297.25,101837.0,300.52,NSE/COREEDUTEC
2011-09-28,298.85,299.75,292.1,293.0,294.9,522216.0,1549.48,NSE/COREEDUTEC
2011-09-29,293.0,297.85,283.05,288.0,289.25,918907.0,2669.54,NSE/COREEDUTEC
2011-09-30,288.05,292.9,283.45,287.0,286.95,56031.0,161.37,NSE/COREEDUTEC
2011-10-03,286.95,288.5,280.1,280.25,281.45,174204.0,490.5,NSE/COREEDUTEC
2011-10-04,282.0,283.0,279.05,280.05,280.55,86916.0,243.86,NSE/COREEDUTEC
2011-10-05,281.55,286.05,280.0,281.7,283.5,300548.0,846.05,NSE/COREEDUTEC
2011-10-07,284.1,286.8,282.0,285.5,286.3,27504.0,78.47,NSE/COREEDUTEC
2011-10-10,286.7,287.5,282.05,282.7,282.95,47590.0,134.79,NSE/COREEDUTEC
