Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-02-17,297.95,297.95,271.4,293.95,293.95,118.0,0.34,NSE/COROENGG
2011-02-18,307.5,307.5,307.5,307.5,307.5,1.0,0.0,NSE/COROENGG
2011-02-28,300.0,300.0,300.0,300.0,300.0,6.0,0.02,NSE/COROENGG
2011-03-07,285.0,285.0,285.0,285.0,285.0,10.0,0.03,NSE/COROENGG
2011-03-23,270.75,270.75,270.75,270.75,270.75,4.0,0.01,NSE/COROENGG
2011-03-24,257.25,257.25,257.25,257.25,257.25,86.0,0.22,NSE/COROENGG
2011-03-25,244.4,244.4,244.4,244.4,244.4,250.0,0.61,NSE/COROENGG
2011-03-28,256.65,256.65,236.05,236.05,239.0,260.0,0.63,NSE/COROENGG
2011-03-29,230.5,248.25,228.6,228.6,228.6,532.0,1.27,NSE/COROENGG
2011-03-30,220.0,220.0,220.0,220.0,220.0,65.0,0.14,NSE/COROENGG
2011-04-05,231.0,231.0,231.0,231.0,231.0,20.0,0.05,NSE/COROENGG
2011-04-06,242.55,242.55,240.0,242.55,242.55,27.0,0.07,NSE/COROENGG
2011-04-07,254.7,254.7,254.7,254.7,254.7,10.0,0.03,NSE/COROENGG
2011-04-08,243.0,243.0,243.0,243.0,243.0,20.0,0.05,NSE/COROENGG
2011-04-11,231.15,253.0,231.15,253.0,253.0,101.0,0.24,NSE/COROENGG
2011-04-13,253.0,263.5,242.0,242.0,259.05,51.0,0.13,NSE/COROENGG
2011-04-15,247.0,255.0,247.0,255.0,251.05,90.0,0.22,NSE/COROENGG
2011-04-18,239.3,263.6,239.3,263.6,263.6,5640.0,14.31,NSE/COROENGG
2011-04-19,265.0,276.8,252.0,252.0,256.15,360.0,0.94,NSE/COROENGG
2011-04-20,266.0,266.0,266.0,266.0,266.0,12.0,0.03,NSE/COROENGG
2011-04-21,279.3,279.3,279.3,279.3,279.3,101.0,0.28,NSE/COROENGG
2011-04-25,293.0,293.0,280.0,280.0,280.0,40.0,0.11,NSE/COROENGG
2011-04-26,294.0,294.0,294.0,294.0,294.0,1.0,0.0,NSE/COROENGG
2011-04-27,280.0,280.0,280.0,280.0,280.0,1.0,0.0,NSE/COROENGG
2011-04-28,275.0,280.0,275.0,280.0,280.0,20.0,0.06,NSE/COROENGG
2011-05-03,280.0,288.0,280.0,288.0,288.0,8.0,0.02,NSE/COROENGG
2011-05-19,241.0,265.65,241.0,265.65,265.65,11.0,0.03,NSE/COROENGG
2011-05-24,265.65,265.65,265.65,265.65,265.65,5.0,0.01,NSE/COROENGG
2011-05-31,275.0,275.0,252.4,252.4,252.4,19.0,0.05,NSE/COROENGG
2011-06-01,240.5,240.5,240.5,240.5,240.5,5.0,0.01,NSE/COROENGG
