Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2009-10-12,213.0,215.5,213.0,213.75,214.0,10457.0,22.39,NSE/COROMANDEL
2009-10-14,212.3,219.0,212.3,215.0,215.25,25029.0,53.97,NSE/COROMANDEL
2009-10-15,215.0,217.95,215.0,215.0,215.05,75703.0,162.82,NSE/COROMANDEL
2009-10-16,215.05,218.85,215.0,216.0,216.95,33493.0,72.4,NSE/COROMANDEL
2009-10-17,219.0,219.9,214.0,219.0,218.6,11466.0,25.04,NSE/COROMANDEL
2009-10-20,220.0,220.0,216.0,217.95,217.2,34179.0,74.61,NSE/COROMANDEL
2009-10-21,217.0,221.45,215.0,219.1,219.55,39831.0,87.09,NSE/COROMANDEL
2009-10-22,217.55,222.95,215.0,220.5,221.4,124544.0,272.8,NSE/COROMANDEL
2009-10-23,216.5,221.75,216.5,220.05,220.65,39094.0,86.16,NSE/COROMANDEL
2009-10-26,218.0,218.6,216.0,218.0,218.0,28607.0,62.36,NSE/COROMANDEL
2009-10-27,200.6,215.0,200.6,213.95,213.15,20537.0,43.57,NSE/COROMANDEL
2009-10-28,214.0,217.4,210.5,213.0,213.05,19418.0,41.27,NSE/COROMANDEL
2009-10-29,207.0,211.95,205.1,211.0,211.05,39632.0,82.84,NSE/COROMANDEL
2009-10-30,211.0,221.35,208.5,218.95,216.5,22668.0,48.25,NSE/COROMANDEL
2009-11-03,214.0,214.8,203.0,204.0,204.05,19760.0,40.83,NSE/COROMANDEL
2009-11-04,201.0,208.0,201.0,205.85,205.15,9723.0,19.89,NSE/COROMANDEL
2009-11-05,203.5,206.6,201.0,202.65,203.6,15105.0,30.66,NSE/COROMANDEL
2009-11-06,201.5,210.0,195.0,206.1,206.55,10582.0,21.88,NSE/COROMANDEL
2009-11-09,207.0,209.8,207.0,208.0,208.05,3812.0,7.93,NSE/COROMANDEL
2009-11-10,211.7,215.0,208.0,209.0,209.2,13257.0,27.77,NSE/COROMANDEL
2009-11-11,208.4,212.0,208.0,208.0,208.25,5963.0,12.49,NSE/COROMANDEL
2009-11-12,212.0,214.8,208.0,212.1,212.0,9410.0,19.86,NSE/COROMANDEL
2009-11-13,210.0,219.0,208.0,215.05,215.05,233144.0,491.38,NSE/COROMANDEL
2009-11-16,213.0,230.0,212.0,222.55,222.15,139128.0,313.27,NSE/COROMANDEL
2009-11-17,225.75,226.0,222.5,224.9,224.15,67329.0,151.29,NSE/COROMANDEL
2009-11-18,226.0,227.0,223.0,223.6,224.25,31576.0,71.28,NSE/COROMANDEL
2009-11-19,208.0,225.9,208.0,224.0,224.0,21667.0,48.58,NSE/COROMANDEL
2009-11-20,224.8,224.8,215.0,217.25,216.55,17896.0,39.35,NSE/COROMANDEL
2009-11-23,213.1,220.9,209.05,215.0,215.15,10638.0,23.11,NSE/COROMANDEL
2009-11-24,215.0,227.1,213.1,225.0,224.75,46827.0,103.55,NSE/COROMANDEL
2009-11-25,225.0,227.6,224.5,226.0,225.85,251750.0,569.6,NSE/COROMANDEL
2009-11-26,222.5,227.0,221.1,225.3,225.25,20455.0,45.94,NSE/COROMANDEL
2009-11-27,219.0,226.0,218.0,222.0,223.0,30712.0,68.4,NSE/COROMANDEL
2009-11-30,225.0,225.0,219.05,220.5,220.55,8588.0,19.05,NSE/COROMANDEL
2009-12-01,221.2,223.85,219.25,219.75,220.15,20301.0,44.89,NSE/COROMANDEL
2009-12-02,222.0,240.0,222.0,231.0,233.35,134627.0,316.43,NSE/COROMANDEL
2009-12-03,237.0,242.0,231.65,235.0,235.2,222985.0,527.35,NSE/COROMANDEL
2009-12-04,235.0,235.0,232.0,234.0,233.55,10435.0,24.38,NSE/COROMANDEL
2009-12-07,230.0,237.75,227.0,228.3,229.3,8491.0,19.65,NSE/COROMANDEL
2009-12-08,227.0,233.9,227.0,231.0,232.05,11124.0,25.76,NSE/COROMANDEL
2009-12-09,232.5,242.95,226.5,236.0,237.65,25789.0,61.58,NSE/COROMANDEL
2009-12-10,234.3,241.25,233.9,235.2,235.95,30038.0,71.02,NSE/COROMANDEL
2009-12-11,237.0,240.0,230.1,231.5,233.75,20571.0,48.84,NSE/COROMANDEL
2009-12-14,231.0,238.95,228.0,233.0,234.15,10230.0,23.79,NSE/COROMANDEL
2009-12-15,226.05,242.0,226.05,235.5,235.25,11869.0,27.9,NSE/COROMANDEL
