Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,31.4,33.95,31.4,33.0,33.0,1321.0,0.44,NSE/COSMOFILMS
2001-01-02,33.0,34.0,32.65,34.0,33.3,2418.0,0.8,NSE/COSMOFILMS
2001-01-03,33.9,34.0,32.15,33.1,33.1,3036.0,1.01,NSE/COSMOFILMS
2001-01-04,34.5,34.5,32.5,32.5,32.5,2018.0,0.67,NSE/COSMOFILMS
2001-01-05,33.7,33.7,32.55,32.7,32.7,2100.0,0.69,NSE/COSMOFILMS
2001-01-08,33.5,33.5,32.55,32.55,32.55,2601.0,0.85,NSE/COSMOFILMS
2001-01-09,32.0,33.0,32.0,32.4,32.7,3655.0,1.19,NSE/COSMOFILMS
2001-01-10,32.0,32.3,31.5,31.7,31.7,2226.0,0.71,NSE/COSMOFILMS
2001-01-11,31.5,32.5,31.5,32.5,32.5,1550.0,0.5,NSE/COSMOFILMS
2001-01-12,32.95,33.0,32.1,32.5,32.9,2362.0,0.78,NSE/COSMOFILMS
2001-01-15,34.0,34.0,31.1,31.5,31.55,1564.0,0.5,NSE/COSMOFILMS
2001-01-16,31.3,32.0,29.05,31.5,31.6,2892.0,0.9,NSE/COSMOFILMS
2001-01-17,33.5,34.0,32.25,33.2,33.3,3411.0,1.14,NSE/COSMOFILMS
2001-01-18,34.0,34.0,32.1,33.8,33.25,2316.0,0.76,NSE/COSMOFILMS
2001-01-19,35.25,35.9,34.5,35.3,35.3,10885.0,3.86,NSE/COSMOFILMS
2001-01-22,35.35,35.45,33.8,33.8,34.0,4420.0,1.52,NSE/COSMOFILMS
2001-01-23,33.9,34.0,33.0,34.0,33.85,7886.0,2.66,NSE/COSMOFILMS
2001-01-24,34.7,34.9,32.9,33.1,33.45,4451.0,1.49,NSE/COSMOFILMS
2001-01-25,33.5,33.5,31.0,32.6,32.5,2439.0,0.79,NSE/COSMOFILMS
2001-01-29,32.95,32.95,30.75,31.2,31.2,1411.0,0.44,NSE/COSMOFILMS
2001-01-30,30.5,31.5,29.65,30.0,30.0,2209.0,0.67,NSE/COSMOFILMS
2001-01-31,30.15,32.2,30.15,30.55,30.55,4498.0,1.41,NSE/COSMOFILMS
2001-02-01,30.25,31.6,30.1,30.15,30.25,1775.0,0.54,NSE/COSMOFILMS
2001-02-02,31.0,31.45,29.95,30.3,30.3,3528.0,1.07,NSE/COSMOFILMS
2001-02-05,29.0,29.5,28.25,29.5,29.45,2770.0,0.79,NSE/COSMOFILMS
2001-02-06,28.5,30.0,28.5,28.5,28.5,1827.0,0.53,NSE/COSMOFILMS
2001-02-07,30.8,30.8,30.8,30.8,30.8,200.0,0.06,NSE/COSMOFILMS
2001-02-08,33.1,33.3,31.2,33.3,33.3,5711.0,1.89,NSE/COSMOFILMS
2001-02-09,35.35,35.5,32.4,33.65,33.45,11195.0,3.81,NSE/COSMOFILMS
2001-02-12,34.0,34.5,31.0,31.0,31.5,11659.0,3.77,NSE/COSMOFILMS
2001-02-13,30.0,32.0,30.0,30.85,30.9,5581.0,1.73,NSE/COSMOFILMS
