Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2014-11-17,52.35,52.35,52.35,52.35,52.35,50.0,0.03,NSE/CREST
2014-11-18,49.75,49.75,49.75,49.75,49.75,276.0,0.14,NSE/CREST
2014-11-24,47.75,49.5,47.5,49.5,48.5,658.0,0.32,NSE/CREST
2014-11-25,48.15,50.4,48.15,50.4,50.35,54.0,0.03,NSE/CREST
2014-11-26,50.35,50.35,50.35,50.35,50.35,34.0,0.02,NSE/CREST
2014-11-27,47.9,50.35,47.9,50.35,50.35,40.0,0.02,NSE/CREST
2014-11-28,50.0,50.0,50.0,50.0,50.0,184.0,0.09,NSE/CREST
2014-12-01,49.5,52.0,49.5,52.0,52.0,150.0,0.08,NSE/CREST
2014-12-04,50.25,50.5,49.8,49.8,50.15,40.0,0.02,NSE/CREST
2014-12-05,50.1,50.1,46.85,47.1,47.1,436.0,0.21,NSE/CREST
2014-12-08,51.0,51.0,47.45,47.8,47.8,276.0,0.13,NSE/CREST
2014-12-10,45.6,52.5,45.0,48.5,48.5,2611.0,1.23,NSE/CREST
2014-12-16,47.0,49.5,44.05,49.5,49.5,1200.0,0.55,NSE/CREST
2014-12-19,49.95,52.5,49.95,52.5,52.5,883.0,0.46,NSE/CREST
2014-12-22,50.0,51.0,50.0,51.0,51.0,354.0,0.18,NSE/CREST
2014-12-23,49.5,51.0,47.0,48.2,49.65,625.0,0.32,NSE/CREST
2014-12-24,49.0,49.0,49.0,49.0,49.0,2.0,0.0,NSE/CREST
2014-12-26,47.75,47.85,47.75,47.85,47.85,207.0,0.1,NSE/CREST
2014-12-30,49.0,50.25,49.0,50.25,50.25,207.0,0.1,NSE/CREST
2015-01-01,53.45,53.45,48.7,52.5,52.5,126.0,0.07,NSE/CREST
2015-01-02,50.0,50.2,50.0,50.2,50.2,100.0,0.05,NSE/CREST
2015-01-05,52.5,59.95,41.0,48.2,48.35,3452.0,1.77,NSE/CREST
2015-01-06,45.75,47.8,44.05,47.8,46.45,1268.0,0.58,NSE/CREST
