Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2005-01-04,84.5,88.3,82.95,88.0,86.75,225176.0,193.29,NSE/CRESTANI
2005-01-05,88.75,88.75,77.1,79.45,80.05,132809.0,109.61,NSE/CRESTANI
2005-01-06,80.9,82.5,76.25,77.75,78.3,82912.0,65.88,NSE/CRESTANI
2005-01-07,78.95,81.9,77.5,78.05,78.15,65852.0,51.96,NSE/CRESTANI
2005-01-10,78.95,82.8,78.2,78.75,78.95,88804.0,71.57,NSE/CRESTANI
2005-01-11,79.0,79.85,74.25,74.25,75.3,53665.0,41.43,NSE/CRESTANI
2005-01-12,75.9,78.5,73.05,74.0,74.8,229815.0,174.92,NSE/CRESTANI
2005-01-13,75.9,81.0,75.9,80.15,80.2,223994.0,176.06,NSE/CRESTANI
2005-01-14,80.95,81.4,76.65,77.95,77.55,67028.0,53.34,NSE/CRESTANI
2005-01-17,78.4,78.8,73.75,75.6,76.05,69780.0,52.9,NSE/CRESTANI
2005-01-18,76.85,77.75,75.5,77.0,76.45,46576.0,35.79,NSE/CRESTANI
2005-01-19,76.85,77.4,74.3,74.85,74.6,27121.0,20.64,NSE/CRESTANI
2005-01-20,74.1,74.15,72.7,72.75,73.15,38466.0,28.26,NSE/CRESTANI
2005-01-24,74.5,74.5,70.0,71.45,70.75,24387.0,17.58,NSE/CRESTANI
2005-01-25,71.0,72.6,69.55,69.6,70.0,55906.0,39.57,NSE/CRESTANI
2005-01-27,71.4,72.0,68.5,69.1,69.65,68018.0,47.82,NSE/CRESTANI
2005-01-28,70.5,74.7,70.1,72.2,72.85,136315.0,98.92,NSE/CRESTANI
2005-01-31,73.65,73.85,69.5,70.0,70.6,204374.0,144.28,NSE/CRESTANI
2005-02-01,71.0,72.2,67.95,71.45,71.35,273801.0,193.47,NSE/CRESTANI
2005-02-02,74.0,82.9,72.0,79.7,79.7,736664.0,574.9,NSE/CRESTANI
2005-02-03,81.0,89.1,80.3,86.25,86.65,703620.0,598.58,NSE/CRESTANI
2005-02-04,87.0,88.0,83.4,84.0,84.55,309450.0,264.1,NSE/CRESTANI
2005-02-07,86.4,86.4,81.6,82.25,82.55,170878.0,144.22,NSE/CRESTANI
2005-02-08,83.15,85.7,80.5,81.0,81.35,125304.0,104.5,NSE/CRESTANI
2005-02-09,82.8,89.5,82.5,86.5,86.9,911262.0,797.02,NSE/CRESTANI
2005-02-10,88.1,93.6,87.0,87.6,87.8,902133.0,814.93,NSE/CRESTANI
2005-02-11,88.6,91.5,85.5,86.0,85.95,297782.0,263.46,NSE/CRESTANI
2005-02-14,86.75,87.7,82.05,82.5,83.0,190059.0,161.77,NSE/CRESTANI
2005-02-15,83.6,84.95,81.3,81.9,81.85,118036.0,97.57,NSE/CRESTANI
2005-02-16,83.75,83.95,79.8,80.5,80.25,113896.0,92.87,NSE/CRESTANI
2005-02-17,80.5,81.4,77.1,79.0,79.3,88182.0,70.37,NSE/CRESTANI
2005-02-18,80.7,84.25,79.8,82.4,81.45,143003.0,118.17,NSE/CRESTANI
2005-02-21,79.5,83.65,79.5,81.0,81.75,104617.0,86.23,NSE/CRESTANI
2005-02-22,81.7,83.25,80.8,81.0,81.2,66558.0,54.52,NSE/CRESTANI
2005-02-23,81.95,82.5,79.15,80.0,79.8,65310.0,52.68,NSE/CRESTANI
2005-02-24,81.0,82.0,78.5,78.8,79.55,117963.0,94.98,NSE/CRESTANI
2005-02-25,81.0,81.85,77.0,77.7,77.5,84755.0,66.77,NSE/CRESTANI
2005-02-28,78.0,81.7,76.0,81.0,80.85,135375.0,106.51,NSE/CRESTANI
2005-03-01,81.0,81.0,77.0,78.5,78.95,97926.0,77.07,NSE/CRESTANI
2005-03-02,79.8,80.9,78.0,78.05,78.8,139036.0,110.29,NSE/CRESTANI
