Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-09-24,36.5,48.85,36.5,46.8,47.25,8243560.0,3648.07,NSE/CREWBOS
2004-09-27,47.5,49.6,45.55,46.2,46.05,1929807.0,921.69,NSE/CREWBOS
2004-09-28,46.45,53.3,46.3,50.45,51.2,6446874.0,3271.39,NSE/CREWBOS
2004-09-29,51.2,51.4,46.65,48.0,47.5,1349332.0,660.61,NSE/CREWBOS
2004-09-30,48.15,48.6,46.0,46.3,46.45,479311.0,228.73,NSE/CREWBOS
2004-10-01,46.65,46.9,45.7,45.75,45.85,193451.0,89.32,NSE/CREWBOS
2004-10-04,46.35,55.05,46.35,53.2,53.55,3798731.0,2010.91,NSE/CREWBOS
2004-10-05,53.7,54.15,51.15,51.8,51.55,797268.0,417.82,NSE/CREWBOS
2004-10-06,51.85,56.0,51.6,52.6,52.35,1826197.0,986.29,NSE/CREWBOS
2004-10-07,52.85,54.4,52.65,53.35,53.2,506827.0,270.76,NSE/CREWBOS
2004-10-08,53.4,54.8,52.75,53.65,53.55,468876.0,252.24,NSE/CREWBOS
2004-10-09,53.8,53.85,53.05,53.35,53.2,94096.0,50.26,NSE/CREWBOS
2004-10-11,53.55,54.0,50.0,50.8,50.65,203297.0,106.15,NSE/CREWBOS
2004-10-12,51.2,51.95,48.6,49.3,49.1,230002.0,114.39,NSE/CREWBOS
2004-10-14,49.35,51.8,48.0,49.5,49.5,288806.0,144.19,NSE/CREWBOS
2004-10-15,49.7,51.25,48.65,49.3,49.05,186077.0,93.28,NSE/CREWBOS
2004-10-18,50.5,53.5,48.5,48.95,48.8,110114.0,54.66,NSE/CREWBOS
2004-10-19,49.5,49.95,48.6,49.25,49.1,106719.0,52.5,NSE/CREWBOS
2004-10-20,49.65,49.65,46.0,46.4,46.6,160168.0,76.09,NSE/CREWBOS
2004-10-21,46.85,48.0,45.2,46.3,46.05,189259.0,88.4,NSE/CREWBOS
2004-10-25,46.1,46.75,44.5,44.5,44.7,87619.0,39.76,NSE/CREWBOS
2004-10-26,45.65,47.9,45.25,46.9,47.15,306180.0,143.14,NSE/CREWBOS
2004-10-27,47.75,49.7,46.25,48.25,48.1,289981.0,140.03,NSE/CREWBOS
2004-10-28,48.7,52.0,48.15,50.45,50.0,480569.0,242.39,NSE/CREWBOS
2004-10-29,50.9,50.9,48.15,48.45,48.45,122846.0,60.46,NSE/CREWBOS
2004-11-01,48.5,49.2,48.2,48.4,48.4,63923.0,31.06,NSE/CREWBOS
2004-11-02,48.9,50.5,48.7,49.5,49.35,179894.0,89.61,NSE/CREWBOS
2004-11-03,49.9,53.0,49.9,51.35,51.3,310062.0,159.53,NSE/CREWBOS
2004-11-04,52.0,52.25,50.75,51.35,51.05,234046.0,120.38,NSE/CREWBOS
2004-11-05,50.7,51.6,49.75,50.0,50.05,95370.0,48.46,NSE/CREWBOS
2004-11-08,50.65,53.3,50.25,52.2,51.9,378096.0,197.9,NSE/CREWBOS
2004-11-09,52.25,52.5,49.55,50.0,49.85,130061.0,66.27,NSE/CREWBOS
2004-11-10,50.55,59.85,50.2,59.85,59.1,1681515.0,946.08,NSE/CREWBOS
2004-11-11,60.65,63.35,58.65,59.0,59.6,2013430.0,1233.91,NSE/CREWBOS
2004-11-12,60.7,60.9,59.25,59.35,59.55,316069.0,189.96,NSE/CREWBOS
2004-11-16,60.0,60.35,56.6,57.6,57.7,440235.0,256.31,NSE/CREWBOS
2004-11-17,57.95,61.4,57.2,58.4,58.5,379256.0,225.58,NSE/CREWBOS
2004-11-18,59.0,59.25,57.25,57.5,57.5,192901.0,111.87,NSE/CREWBOS
2004-11-19,54.8,60.4,54.8,56.0,56.4,423779.0,248.68,NSE/CREWBOS
2004-11-22,52.1,58.2,52.1,56.85,57.1,229265.0,130.74,NSE/CREWBOS
2004-11-23,58.0,61.75,57.4,59.1,58.95,539776.0,323.75,NSE/CREWBOS
2004-11-24,58.95,59.85,56.6,57.35,57.3,194777.0,112.93,NSE/CREWBOS
2004-11-25,58.0,59.35,56.1,56.95,56.75,161994.0,93.6,NSE/CREWBOS
2004-11-29,57.35,58.45,56.1,56.8,56.75,100696.0,57.7,NSE/CREWBOS
2004-11-30,57.05,57.65,54.75,55.3,55.05,130403.0,72.96,NSE/CREWBOS
2004-12-01,55.85,56.35,52.55,54.25,54.35,180919.0,98.48,NSE/CREWBOS
2004-12-02,55.2,56.45,53.15,53.55,54.2,120012.0,65.91,NSE/CREWBOS
2004-12-03,54.2,58.75,54.2,56.0,55.95,383429.0,217.5,NSE/CREWBOS
2004-12-06,56.5,57.35,54.75,55.3,55.3,115067.0,64.69,NSE/CREWBOS
2004-12-07,54.05,56.7,54.05,54.55,54.85,82370.0,45.47,NSE/CREWBOS
2004-12-08,54.9,55.8,54.0,54.15,54.15,67811.0,37.2,NSE/CREWBOS
2004-12-09,54.7,55.45,53.7,54.75,54.6,70992.0,38.82,NSE/CREWBOS
2004-12-10,55.0,60.0,54.65,58.0,58.05,733160.0,425.21,NSE/CREWBOS
2004-12-13,58.75,65.8,57.15,63.0,63.15,1759403.0,1113.86,NSE/CREWBOS
2004-12-14,64.0,64.45,60.8,62.0,61.35,567294.0,355.16,NSE/CREWBOS
2004-12-15,62.0,62.85,59.65,60.0,60.05,212981.0,130.6,NSE/CREWBOS
2004-12-16,60.0,64.8,59.5,61.15,61.35,372070.0,230.8,NSE/CREWBOS
2004-12-17,61.5,63.5,60.05,60.25,60.5,274500.0,169.84,NSE/CREWBOS
2004-12-20,60.9,61.45,59.0,59.0,59.55,169051.0,101.74,NSE/CREWBOS
2004-12-21,60.0,62.9,59.6,61.1,61.45,340769.0,211.15,NSE/CREWBOS
2004-12-22,62.0,63.65,59.2,59.9,59.7,355271.0,219.12,NSE/CREWBOS
2004-12-23,60.3,61.3,59.55,60.25,60.0,143415.0,86.5,NSE/CREWBOS
2004-12-24,60.7,61.2,59.8,60.0,60.15,132296.0,79.97,NSE/CREWBOS
2004-12-27,60.25,60.95,58.3,58.5,58.65,105253.0,62.59,NSE/CREWBOS
2004-12-28,59.85,64.9,59.1,62.1,63.55,449381.0,280.77,NSE/CREWBOS
