Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,189.0,193.85,189.0,193.0,192.45,1685.0,3.23,NSE/CRISIL
2001-01-02,188.0,194.95,188.0,194.95,192.7,2142.0,4.13,NSE/CRISIL
2001-01-03,196.5,201.0,194.0,200.5,200.25,17605.0,34.55,NSE/CRISIL
2001-01-04,202.0,202.0,191.75,193.1,193.2,5168.0,10.09,NSE/CRISIL
2001-01-05,192.0,192.0,190.0,191.0,190.75,4633.0,8.86,NSE/CRISIL
2001-01-08,196.0,196.0,180.0,183.95,183.15,8549.0,15.68,NSE/CRISIL
2001-01-09,181.0,184.9,178.5,178.6,178.85,4986.0,9.0,NSE/CRISIL
2001-01-10,182.0,182.0,175.5,176.0,175.75,5501.0,9.85,NSE/CRISIL
2001-01-11,179.5,179.5,174.5,176.1,176.55,2053.0,3.61,NSE/CRISIL
2001-01-12,176.1,176.1,172.0,174.0,173.3,1947.0,3.38,NSE/CRISIL
2001-01-15,175.0,180.0,175.0,175.0,175.4,8087.0,14.25,NSE/CRISIL
2001-01-16,176.0,189.0,175.25,176.5,176.45,6287.0,11.26,NSE/CRISIL
2001-01-17,181.0,181.0,175.0,175.0,175.45,4817.0,8.54,NSE/CRISIL
2001-01-18,178.0,178.0,175.95,176.45,176.45,935.0,1.65,NSE/CRISIL
2001-01-19,177.7,177.7,174.0,177.0,175.95,5282.0,9.27,NSE/CRISIL
2001-01-22,175.05,178.7,175.05,176.55,177.05,5242.0,9.28,NSE/CRISIL
2001-01-23,176.5,178.95,172.25,175.5,173.95,5545.0,9.76,NSE/CRISIL
2001-01-24,175.75,178.9,175.65,177.0,177.0,1974.0,3.5,NSE/CRISIL
2001-01-25,177.0,177.75,174.0,175.5,175.2,1977.0,3.49,NSE/CRISIL
2001-01-29,173.0,173.0,166.0,170.8,170.8,1929.0,3.27,NSE/CRISIL
2001-01-30,172.9,174.45,168.35,168.8,170.7,3974.0,6.82,NSE/CRISIL
2001-01-31,171.1,182.95,171.1,175.75,175.75,1111.0,1.97,NSE/CRISIL
2001-02-01,176.95,176.95,172.2,174.0,174.0,841.0,1.46,NSE/CRISIL
2001-02-02,173.5,177.5,170.0,173.9,171.7,4578.0,7.92,NSE/CRISIL
2001-02-05,174.8,174.9,172.0,173.4,172.55,1586.0,2.75,NSE/CRISIL
2001-02-06,173.0,174.75,168.1,172.2,172.4,4557.0,7.89,NSE/CRISIL
2001-02-07,180.0,180.0,172.5,175.9,175.15,5406.0,9.52,NSE/CRISIL
2001-02-08,179.95,189.0,176.95,185.0,184.25,14767.0,27.2,NSE/CRISIL
2001-02-09,194.0,199.0,194.0,199.0,199.0,55504.0,110.39,NSE/CRISIL
2001-02-12,199.0,213.0,197.2,201.5,199.45,49869.0,102.36,NSE/CRISIL
