Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,22.35,22.75,21.5,21.75,21.75,2941.0,0.65,NSE/CUB
2001-01-02,21.5,21.65,20.9,21.65,21.45,3035.0,0.64,NSE/CUB
2001-01-03,21.95,23.2,21.15,23.0,23.05,4700.0,1.06,NSE/CUB
2001-01-04,24.0,24.0,22.5,23.1,23.1,1400.0,0.33,NSE/CUB
2001-01-05,22.95,23.5,22.9,22.9,22.9,2905.0,0.67,NSE/CUB
2001-01-08,22.65,23.0,22.65,23.0,23.0,826.0,0.19,NSE/CUB
2001-01-09,22.9,23.0,22.4,22.4,22.5,4308.0,0.98,NSE/CUB
2001-01-10,22.5,22.95,22.05,22.05,22.05,1770.0,0.4,NSE/CUB
2001-01-11,23.0,23.0,22.1,22.1,22.1,500.0,0.11,NSE/CUB
2001-01-12,22.7,23.85,22.0,22.65,22.65,8175.0,1.85,NSE/CUB
2001-01-15,23.2,23.5,22.55,22.8,22.8,4723.0,1.09,NSE/CUB
2001-01-16,22.95,24.45,22.85,24.45,24.35,7601.0,1.81,NSE/CUB
2001-01-17,23.6,24.35,23.25,23.25,23.25,11275.0,2.65,NSE/CUB
2001-01-18,24.0,25.0,23.3,24.75,24.2,11350.0,2.74,NSE/CUB
2001-01-19,24.6,24.6,23.75,24.25,24.2,7250.0,1.75,NSE/CUB
2001-01-22,24.25,24.9,24.25,24.25,24.25,6625.0,1.62,NSE/CUB
2001-01-23,24.15,24.95,24.15,24.85,24.6,9777.0,2.39,NSE/CUB
2001-01-24,24.95,26.6,24.5,26.6,26.6,9409.0,2.43,NSE/CUB
2001-01-25,28.5,28.75,27.1,28.3,28.3,11473.0,3.29,NSE/CUB
2001-01-29,27.15,27.9,26.15,26.9,26.3,5593.0,1.5,NSE/CUB
2001-01-30,26.8,27.25,26.0,26.0,26.2,5662.0,1.51,NSE/CUB
2001-01-31,26.25,28.25,26.25,28.0,27.75,14040.0,3.92,NSE/CUB
2001-02-01,27.5,29.0,27.5,28.1,28.05,8123.0,2.31,NSE/CUB
2001-02-02,28.9,30.3,28.9,29.75,29.5,19608.0,5.84,NSE/CUB
2001-02-05,30.0,30.0,27.8,28.5,28.3,7784.0,2.21,NSE/CUB
2001-02-06,28.7,29.25,27.95,29.1,28.65,8087.0,2.32,NSE/CUB
2001-02-07,28.4,29.65,28.4,28.9,28.9,5410.0,1.56,NSE/CUB
2001-02-08,29.0,30.7,29.0,30.0,29.8,11025.0,3.3,NSE/CUB
2001-02-09,30.55,32.2,30.5,32.15,32.0,22276.0,7.11,NSE/CUB
2001-02-12,34.5,34.5,31.0,32.7,32.05,29707.0,9.8,NSE/CUB
2001-02-13,31.6,32.0,29.65,29.65,29.9,13258.0,4.06,NSE/CUB
2001-02-14,30.75,32.3,29.0,32.3,32.3,29805.0,9.31,NSE/CUB
2001-02-15,33.25,34.25,32.1,33.6,33.55,41840.0,13.98,NSE/CUB
2001-02-16,32.05,33.2,30.9,30.9,31.05,19450.0,6.2,NSE/CUB
2001-02-19,31.0,31.0,29.0,30.5,30.5,12793.0,3.84,NSE/CUB
2001-02-20,31.15,31.7,30.05,31.7,30.75,14980.0,4.6,NSE/CUB
2001-02-21,31.5,31.85,30.6,31.5,31.45,12485.0,3.92,NSE/CUB
2001-02-22,30.4,31.0,30.0,30.75,30.65,19076.0,5.79,NSE/CUB
2001-02-23,30.3,30.55,30.0,30.1,30.1,8755.0,2.64,NSE/CUB
2001-02-26,30.3,30.3,28.5,28.85,28.85,3455.0,1.01,NSE/CUB
2001-02-27,29.0,30.1,29.0,29.3,29.25,8349.0,2.44,NSE/CUB
2001-02-28,29.75,31.15,29.0,29.4,29.4,13555.0,4.04,NSE/CUB
2001-03-01,30.95,31.65,29.0,29.0,29.25,10550.0,3.2,NSE/CUB
2001-03-02,30.7,30.7,29.0,29.0,29.15,5205.0,1.55,NSE/CUB
2001-03-05,29.5,29.5,26.9,26.9,26.9,5466.0,1.51,NSE/CUB
2001-03-07,28.0,28.5,24.8,28.45,27.85,9200.0,2.49,NSE/CUB
2001-03-08,29.25,29.25,25.65,26.0,25.85,7400.0,1.94,NSE/CUB
2001-03-09,25.5,25.5,24.0,25.0,24.85,9570.0,2.34,NSE/CUB
2001-03-12,26.0,26.0,22.9,23.2,23.2,3830.0,0.92,NSE/CUB
2001-03-13,22.75,25.0,21.4,23.7,23.9,6107.0,1.43,NSE/CUB
2001-03-14,24.0,25.0,24.0,24.0,24.0,3948.0,0.96,NSE/CUB
2001-03-15,23.95,24.7,23.0,24.0,24.05,9592.0,2.3,NSE/CUB
2001-03-16,23.55,24.5,23.4,23.95,23.95,3400.0,0.81,NSE/CUB
2001-03-19,24.8,24.8,22.6,23.0,23.0,2592.0,0.6,NSE/CUB
2001-03-20,22.0,23.5,22.0,23.0,22.95,7350.0,1.69,NSE/CUB
2001-03-21,22.1,23.7,22.1,23.65,23.65,800.0,0.19,NSE/CUB
2001-03-22,24.75,24.75,23.65,24.0,24.0,3400.0,0.81,NSE/CUB
2001-03-23,24.05,24.05,23.5,23.5,23.5,1720.0,0.41,NSE/CUB
2001-03-26,23.0,24.0,23.0,23.0,23.0,987.0,0.23,NSE/CUB
2001-03-27,24.0,24.0,23.05,23.25,23.25,3987.0,0.93,NSE/CUB
2001-03-28,24.85,24.95,23.05,23.7,23.7,3905.0,0.92,NSE/CUB
2001-03-29,23.85,23.85,23.0,23.5,23.5,2600.0,0.6,NSE/CUB
2001-03-30,23.7,24.0,23.0,24.0,23.8,2320.0,0.55,NSE/CUB
2001-04-02,23.05,23.05,22.25,22.65,22.65,1616.0,0.36,NSE/CUB
2001-04-03,22.25,23.3,22.25,22.4,22.75,5954.0,1.36,NSE/CUB
2001-04-04,23.2,23.6,22.7,23.0,23.0,2850.0,0.66,NSE/CUB
2001-04-06,21.55,23.35,21.55,23.0,22.95,2812.0,0.64,NSE/CUB
2001-04-09,22.8,23.15,22.8,22.8,22.8,400.0,0.09,NSE/CUB
2001-04-10,22.75,23.0,22.25,22.25,22.4,4030.0,0.92,NSE/CUB
2001-04-11,22.6,23.2,22.5,23.2,23.2,2251.0,0.51,NSE/CUB
2001-04-12,23.0,23.0,22.0,22.9,22.9,1402.0,0.31,NSE/CUB
2001-04-16,23.25,23.3,22.0,22.5,22.6,2402.0,0.55,NSE/CUB
2001-04-17,22.25,23.35,22.15,22.85,23.0,3458.0,0.79,NSE/CUB
2001-04-18,23.7,24.0,23.5,24.0,23.95,2087.0,0.49,NSE/CUB
2001-04-19,24.35,24.9,23.5,23.55,23.55,6258.0,1.5,NSE/CUB
2001-04-20,23.4,24.1,23.15,23.2,23.4,4406.0,1.04,NSE/CUB
2001-04-23,23.7,23.9,22.75,23.0,22.95,3071.0,0.71,NSE/CUB
2001-04-24,22.6,23.5,22.5,22.75,22.6,3546.0,0.82,NSE/CUB
2001-04-25,23.75,23.85,22.4,23.0,23.0,7820.0,1.79,NSE/CUB
2001-04-26,23.0,23.35,22.55,23.0,22.9,6499.0,1.48,NSE/CUB
2001-04-27,23.0,23.0,22.6,23.0,23.0,1300.0,0.3,NSE/CUB
2001-04-30,22.25,22.95,21.55,22.2,22.45,3302.0,0.74,NSE/CUB
2001-05-02,23.8,23.8,22.25,22.3,22.35,1780.0,0.4,NSE/CUB
2001-05-03,22.3,23.5,22.3,22.5,22.6,1501.0,0.35,NSE/CUB
2001-05-04,22.8,22.8,21.9,22.15,22.15,2371.0,0.53,NSE/CUB
2001-05-07,22.95,22.95,22.0,22.5,22.45,2421.0,0.54,NSE/CUB
2001-05-08,22.5,22.5,21.0,21.8,21.7,4880.0,1.06,NSE/CUB
2001-05-09,22.0,22.25,21.75,22.2,22.15,1750.0,0.38,NSE/CUB
2001-05-10,22.0,22.0,21.9,21.9,21.9,700.0,0.15,NSE/CUB
2001-05-11,22.0,22.2,21.7,21.7,21.7,1701.0,0.37,NSE/CUB
2001-05-14,21.4,22.25,21.3,21.9,21.95,3869.0,0.85,NSE/CUB
2001-05-15,21.45,21.7,21.3,21.7,21.65,1360.0,0.29,NSE/CUB
2001-05-16,21.7,22.6,21.4,22.55,22.55,2250.0,0.5,NSE/CUB
2001-05-17,23.3,23.3,21.5,22.0,22.0,7750.0,1.7,NSE/CUB
2001-05-18,22.45,22.6,21.9,22.35,22.35,1960.0,0.44,NSE/CUB
2001-05-21,21.65,22.25,21.65,22.25,22.2,3400.0,0.75,NSE/CUB
2001-05-22,22.25,22.5,21.45,21.85,21.95,4052.0,0.89,NSE/CUB
2001-05-23,22.05,22.5,21.85,22.1,22.3,4754.0,1.05,NSE/CUB
2001-05-24,22.0,22.5,22.0,22.5,22.5,1552.0,0.35,NSE/CUB
2001-05-25,22.5,22.5,22.25,22.5,22.5,2390.0,0.54,NSE/CUB
2001-05-28,21.6,22.45,21.6,22.2,22.2,726.0,0.16,NSE/CUB
2001-05-29,22.1,23.45,22.1,23.45,22.65,3806.0,0.86,NSE/CUB
2001-05-30,23.75,23.75,22.35,22.8,22.7,1850.0,0.42,NSE/CUB
2001-05-31,22.5,22.75,22.5,22.75,22.75,6983.0,1.59,NSE/CUB
2001-06-01,22.35,23.0,22.3,23.0,23.0,950.0,0.22,NSE/CUB
2001-06-04,22.55,23.0,22.5,22.9,22.9,1482.0,0.34,NSE/CUB
2001-06-05,22.0,22.5,21.7,21.7,21.7,2345.0,0.52,NSE/CUB
2001-06-06,22.0,22.4,22.0,22.4,22.4,475.0,0.11,NSE/CUB
2001-06-07,22.15,22.15,21.6,21.6,21.6,3260.0,0.71,NSE/CUB
2001-06-08,22.25,22.4,22.05,22.15,22.15,319.0,0.07,NSE/CUB
2001-06-11,22.7,22.7,22.0,22.25,22.25,1477.0,0.33,NSE/CUB
2001-06-12,22.45,22.5,22.1,22.1,22.1,3489.0,0.78,NSE/CUB
2001-06-13,22.9,23.05,22.65,22.7,22.75,3401.0,0.78,NSE/CUB
2001-06-14,22.65,22.75,22.5,22.5,22.5,2200.0,0.5,NSE/CUB
2001-06-15,22.95,23.75,22.25,22.45,22.4,1900.0,0.43,NSE/CUB
2001-06-18,22.45,22.45,21.9,22.0,22.05,2000.0,0.44,NSE/CUB
2001-06-19,23.15,23.15,22.0,22.0,22.05,4050.0,0.9,NSE/CUB
2001-06-21,22.6,22.75,22.25,22.25,22.25,2049.0,0.46,NSE/CUB
2001-06-22,22.9,22.9,22.4,22.4,22.5,3105.0,0.7,NSE/CUB
2001-06-25,22.1,22.65,21.25,21.95,21.65,6840.0,1.5,NSE/CUB
2001-06-26,22.4,22.4,21.85,22.0,22.1,7167.0,1.58,NSE/CUB
2001-06-27,22.7,23.2,22.5,23.2,23.1,4465.0,1.02,NSE/CUB
2001-06-28,22.55,23.1,22.5,22.85,22.8,4037.0,0.92,NSE/CUB
2001-06-29,22.5,23.7,22.5,22.85,22.75,3160.0,0.72,NSE/CUB
2001-07-03,22.5,22.5,22.5,22.5,22.5,1.0,0.0,NSE/CUB
2001-07-04,22.5,22.5,22.5,22.5,22.5,620.0,0.14,NSE/CUB
2001-07-05,23.5,23.5,23.5,23.5,23.5,100.0,0.02,NSE/CUB
2001-07-06,23.8,24.4,23.15,23.75,23.35,3209.0,0.76,NSE/CUB
2001-07-09,25.1,25.1,24.8,24.8,24.8,2.0,0.0,NSE/CUB
2001-07-10,23.25,23.75,23.25,23.4,23.4,950.0,0.22,NSE/CUB
2001-07-11,25.0,25.0,25.0,25.0,25.0,300.0,0.08,NSE/CUB
2001-07-12,23.55,24.1,23.5,23.9,23.9,4250.0,1.01,NSE/CUB
2001-07-13,23.9,23.9,23.4,23.6,23.6,4919.0,1.16,NSE/CUB
2001-07-16,24.25,24.25,24.0,24.0,24.0,1070.0,0.26,NSE/CUB
2001-07-17,23.5,23.95,23.5,23.65,23.7,2405.0,0.57,NSE/CUB
2001-07-18,24.0,24.0,24.0,24.0,24.0,200.0,0.05,NSE/CUB
2001-07-19,23.1,24.0,23.0,24.0,24.0,750.0,0.17,NSE/CUB
2001-07-20,24.0,24.5,23.7,24.15,24.3,3951.0,0.95,NSE/CUB
2001-07-23,24.5,24.5,24.5,24.5,24.5,100.0,0.02,NSE/CUB
2001-07-24,24.0,24.0,23.95,23.95,23.95,950.0,0.23,NSE/CUB
