Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2005-06-17,136.95,136.95,130.85,135.0,134.95,129580.0,172.71,NSE/CUMMINSIND
2005-06-20,135.0,136.0,130.3,134.05,134.15,126011.0,167.86,NSE/CUMMINSIND
2005-06-21,134.15,137.75,132.0,136.75,136.5,154780.0,209.32,NSE/CUMMINSIND
2005-06-22,136.95,139.25,134.1,136.15,135.6,269562.0,369.23,NSE/CUMMINSIND
2005-06-23,136.0,138.95,134.0,134.35,134.45,824893.0,1115.6,NSE/CUMMINSIND
2005-06-24,133.15,136.9,133.1,134.0,134.45,588052.0,795.16,NSE/CUMMINSIND
2005-06-27,134.95,135.5,132.65,132.65,133.15,1690865.0,2278.08,NSE/CUMMINSIND
2005-06-28,133.0,134.0,129.2,129.2,130.1,175005.0,231.45,NSE/CUMMINSIND
2005-06-29,125.0,133.5,125.0,132.0,132.4,177812.0,234.77,NSE/CUMMINSIND
2005-06-30,133.3,134.85,129.7,131.0,131.15,555381.0,735.19,NSE/CUMMINSIND
2005-07-01,131.6,138.0,131.3,134.8,134.9,341140.0,460.66,NSE/CUMMINSIND
2005-07-04,135.9,145.0,134.05,144.75,144.45,916197.0,1292.11,NSE/CUMMINSIND
2005-07-05,145.75,148.9,138.6,140.5,140.6,1010427.0,1457.83,NSE/CUMMINSIND
2005-07-06,141.0,143.9,140.5,142.9,142.1,357813.0,508.22,NSE/CUMMINSIND
2005-07-07,143.45,143.9,137.1,138.0,138.4,328448.0,463.6,NSE/CUMMINSIND
2005-07-08,141.5,141.8,138.5,140.5,140.85,220510.0,309.27,NSE/CUMMINSIND
2005-07-11,142.4,145.25,140.6,142.65,142.75,286878.0,411.55,NSE/CUMMINSIND
2005-07-12,142.75,155.0,141.0,154.8,152.75,1068593.0,1574.95,NSE/CUMMINSIND
2005-07-13,155.5,161.9,153.1,154.0,154.65,1286129.0,2036.97,NSE/CUMMINSIND
2005-07-14,155.45,157.25,150.75,151.5,151.6,517079.0,794.22,NSE/CUMMINSIND
2005-07-15,151.4,154.9,149.8,154.2,154.15,313752.0,478.34,NSE/CUMMINSIND
2005-07-18,156.2,156.2,152.0,152.05,152.3,197834.0,303.52,NSE/CUMMINSIND
2005-07-19,153.7,153.9,150.25,151.8,151.35,97598.0,148.34,NSE/CUMMINSIND
2005-07-20,154.0,154.0,149.15,149.2,149.95,206193.0,312.18,NSE/CUMMINSIND
2005-07-21,150.9,154.4,146.0,148.8,148.5,201954.0,303.47,NSE/CUMMINSIND
2005-07-22,150.05,152.9,146.0,151.1,151.25,157564.0,237.83,NSE/CUMMINSIND
2005-07-25,152.0,152.7,148.55,149.1,149.4,135608.0,203.83,NSE/CUMMINSIND
2005-07-26,150.0,150.0,148.0,148.4,148.25,56785.0,84.42,NSE/CUMMINSIND
2005-07-27,149.0,149.9,147.0,147.4,148.05,76258.0,113.0,NSE/CUMMINSIND
2005-07-29,148.5,149.4,131.6,137.5,137.7,1482057.0,2076.3,NSE/CUMMINSIND
2005-08-01,140.0,146.6,138.7,146.25,145.3,352125.0,501.73,NSE/CUMMINSIND
2005-08-02,147.45,147.45,145.25,146.45,146.5,272797.0,399.35,NSE/CUMMINSIND
2005-08-03,147.0,149.4,144.0,145.9,145.25,225589.0,328.85,NSE/CUMMINSIND
2005-08-04,146.5,147.5,145.0,145.35,145.25,153804.0,225.17,NSE/CUMMINSIND
2005-08-05,144.55,153.2,144.55,150.15,150.1,549011.0,824.03,NSE/CUMMINSIND
2005-08-08,151.8,151.9,146.0,147.3,146.75,248060.0,366.58,NSE/CUMMINSIND
2005-08-09,147.8,148.45,143.5,144.85,145.35,182372.0,266.17,NSE/CUMMINSIND
2005-08-10,148.9,149.9,146.1,148.5,148.95,132472.0,195.44,NSE/CUMMINSIND
2005-08-11,151.7,153.0,148.0,148.0,148.85,195440.0,293.98,NSE/CUMMINSIND
2005-08-12,149.45,154.95,146.75,154.0,153.3,661634.0,1005.96,NSE/CUMMINSIND
2005-08-16,154.5,157.45,153.0,155.0,155.1,570662.0,888.0,NSE/CUMMINSIND
2005-08-17,155.5,156.9,153.5,154.3,154.35,228897.0,355.12,NSE/CUMMINSIND
2005-08-18,155.0,156.4,150.0,151.3,150.55,217533.0,331.37,NSE/CUMMINSIND
2005-08-19,151.1,152.7,150.0,150.25,150.45,120799.0,182.57,NSE/CUMMINSIND
2005-08-22,151.0,154.8,146.7,148.95,147.95,202920.0,306.14,NSE/CUMMINSIND
2005-08-23,149.7,150.1,145.0,146.4,145.45,277895.0,410.65,NSE/CUMMINSIND
2005-08-24,146.05,147.2,142.05,143.05,144.4,227001.0,328.72,NSE/CUMMINSIND
2005-08-25,145.0,146.6,142.5,144.3,144.0,656845.0,951.04,NSE/CUMMINSIND
2005-08-26,146.0,151.7,144.5,149.8,149.6,320144.0,474.51,NSE/CUMMINSIND
2005-08-29,149.0,149.9,145.65,148.5,147.95,106951.0,157.38,NSE/CUMMINSIND
2005-08-30,149.1,150.5,148.5,149.9,149.25,505796.0,758.17,NSE/CUMMINSIND
2005-08-31,149.5,152.4,148.5,149.25,149.5,237121.0,356.83,NSE/CUMMINSIND
2005-09-01,151.0,151.75,147.7,148.7,148.55,199102.0,298.2,NSE/CUMMINSIND
2005-09-02,149.0,154.9,148.1,153.0,153.2,820398.0,1252.23,NSE/CUMMINSIND
2005-09-05,154.75,161.25,153.5,160.0,158.45,1211824.0,1917.86,NSE/CUMMINSIND
2005-09-06,161.05,162.3,157.5,158.15,158.65,1010879.0,1613.62,NSE/CUMMINSIND
2005-09-08,160.0,160.75,157.1,157.6,157.8,308316.0,489.36,NSE/CUMMINSIND
2005-09-09,158.8,159.6,155.0,155.75,155.8,131645.0,206.81,NSE/CUMMINSIND
2005-09-12,157.4,158.0,155.0,156.4,155.95,326279.0,509.52,NSE/CUMMINSIND
2005-09-13,156.5,162.15,155.55,160.0,159.45,911266.0,1458.19,NSE/CUMMINSIND
2005-09-14,162.95,162.95,154.0,157.3,157.2,838673.0,1337.09,NSE/CUMMINSIND
2005-09-15,159.0,160.5,158.1,158.95,158.8,407852.0,649.93,NSE/CUMMINSIND
2005-09-16,160.0,160.0,157.5,158.0,158.6,300252.0,478.04,NSE/CUMMINSIND
2005-09-19,159.5,161.0,158.0,160.4,159.75,368741.0,589.48,NSE/CUMMINSIND
2005-09-20,160.2,160.2,157.1,159.0,158.55,291800.0,462.66,NSE/CUMMINSIND
2005-09-21,159.7,159.7,146.0,152.25,152.35,383643.0,582.3,NSE/CUMMINSIND
2005-09-22,152.6,152.6,137.5,140.5,140.65,291989.0,422.78,NSE/CUMMINSIND
2005-09-23,144.0,145.0,136.25,140.55,140.35,454255.0,637.07,NSE/CUMMINSIND
2005-09-26,143.0,147.1,140.75,147.0,146.6,638469.0,920.57,NSE/CUMMINSIND
2005-09-27,148.5,152.4,144.55,150.0,149.85,484944.0,723.38,NSE/CUMMINSIND
2005-09-28,150.5,153.7,148.05,152.25,151.15,526855.0,790.87,NSE/CUMMINSIND
2005-09-29,152.6,153.2,148.1,151.7,151.25,1244178.0,1874.52,NSE/CUMMINSIND
2005-09-30,152.65,153.5,145.55,149.3,149.25,209869.0,313.47,NSE/CUMMINSIND
2005-10-03,151.1,153.7,148.25,153.0,153.0,173171.0,262.25,NSE/CUMMINSIND
2005-10-04,153.05,154.9,152.55,153.1,153.25,344397.0,528.95,NSE/CUMMINSIND
2005-10-05,154.6,154.6,149.5,151.3,151.05,125657.0,190.52,NSE/CUMMINSIND
2005-10-06,149.0,150.4,146.65,149.5,149.5,245935.0,365.5,NSE/CUMMINSIND
2005-10-07,150.0,153.45,147.0,149.0,149.8,213934.0,321.67,NSE/CUMMINSIND
2005-10-10,151.5,154.3,148.2,150.4,151.9,285846.0,435.28,NSE/CUMMINSIND
2005-10-11,152.75,152.75,147.85,148.75,148.65,273452.0,409.47,NSE/CUMMINSIND
2005-10-13,148.2,150.6,147.0,147.0,147.0,135028.0,200.05,NSE/CUMMINSIND
2005-10-14,148.0,148.0,141.0,141.05,141.35,115097.0,164.81,NSE/CUMMINSIND
2005-10-17,143.0,144.0,139.0,143.05,142.85,279347.0,396.09,NSE/CUMMINSIND
2005-10-18,143.0,145.5,140.1,142.0,143.65,446278.0,642.19,NSE/CUMMINSIND
2005-10-19,141.95,142.5,137.0,139.0,138.2,169485.0,237.64,NSE/CUMMINSIND
2005-10-20,141.5,149.0,122.1,129.5,129.7,342898.0,450.27,NSE/CUMMINSIND
2005-10-21,129.0,136.85,128.0,136.65,135.25,323322.0,429.52,NSE/CUMMINSIND
2005-10-24,136.0,138.8,133.9,135.15,134.7,297036.0,405.1,NSE/CUMMINSIND
2005-10-25,136.0,137.45,132.05,132.95,132.85,253339.0,341.31,NSE/CUMMINSIND
2005-10-26,132.95,139.7,132.95,139.55,139.05,822734.0,1127.45,NSE/CUMMINSIND
2005-10-27,139.05,144.7,137.1,141.0,142.2,985046.0,1385.42,NSE/CUMMINSIND
2005-10-28,141.25,146.2,138.2,144.1,144.35,839598.0,1211.3,NSE/CUMMINSIND
2005-10-31,145.9,145.9,138.0,141.75,142.1,169781.0,239.84,NSE/CUMMINSIND
2005-11-01,144.0,145.5,142.25,142.95,143.0,25539.0,36.69,NSE/CUMMINSIND
2005-11-02,140.0,145.9,140.0,144.75,144.9,212546.0,306.88,NSE/CUMMINSIND
2005-11-07,147.0,147.6,144.25,145.05,145.4,113720.0,165.51,NSE/CUMMINSIND
2005-11-08,147.5,147.75,144.8,145.05,145.1,133586.0,195.08,NSE/CUMMINSIND
2005-11-09,145.5,148.35,145.0,147.1,147.55,250632.0,367.75,NSE/CUMMINSIND
2005-11-10,148.5,151.2,147.0,148.05,148.4,222001.0,331.67,NSE/CUMMINSIND
2005-11-11,148.15,149.9,146.5,148.0,147.2,224207.0,331.39,NSE/CUMMINSIND
2005-11-14,144.15,149.6,144.15,146.25,146.55,52747.0,77.56,NSE/CUMMINSIND
2005-11-16,147.1,149.0,146.5,148.2,148.2,84110.0,124.59,NSE/CUMMINSIND
2005-11-17,148.8,151.9,147.0,151.5,150.05,90447.0,134.58,NSE/CUMMINSIND
2005-11-18,151.05,152.9,149.7,150.15,150.55,116776.0,176.44,NSE/CUMMINSIND
2005-11-21,151.0,153.95,149.0,152.4,152.35,312397.0,473.12,NSE/CUMMINSIND
2005-11-22,152.35,154.5,150.0,152.25,151.85,274237.0,417.34,NSE/CUMMINSIND
2005-11-23,152.5,154.3,151.75,153.5,152.25,182084.0,278.57,NSE/CUMMINSIND
2005-11-24,152.8,156.0,151.55,152.25,152.8,643878.0,985.3,NSE/CUMMINSIND
2005-11-25,152.3,155.7,152.3,154.6,154.85,225776.0,348.34,NSE/CUMMINSIND
2005-11-26,156.0,168.2,155.0,168.0,166.55,1106556.0,1818.57,NSE/CUMMINSIND
2005-11-28,170.0,173.1,165.35,166.5,167.0,1131050.0,1926.88,NSE/CUMMINSIND
2005-11-29,162.5,167.2,161.05,161.3,162.25,981192.0,1604.15,NSE/CUMMINSIND
2005-11-30,162.7,168.25,161.25,166.5,165.2,845690.0,1398.03,NSE/CUMMINSIND
2005-12-01,166.85,168.0,162.6,166.65,166.65,460959.0,762.64,NSE/CUMMINSIND
2005-12-02,169.0,174.15,168.2,173.0,171.0,1150666.0,1973.23,NSE/CUMMINSIND
2005-12-05,172.6,172.6,166.0,168.0,167.75,258899.0,438.17,NSE/CUMMINSIND
2005-12-06,165.05,172.25,165.05,168.1,168.4,308988.0,524.7,NSE/CUMMINSIND
2005-12-07,169.1,169.4,165.0,166.8,166.45,309569.0,516.64,NSE/CUMMINSIND
2005-12-08,167.7,167.9,163.75,166.3,166.8,332691.0,553.51,NSE/CUMMINSIND
2005-12-09,167.8,172.25,166.6,169.0,169.55,1065793.0,1806.45,NSE/CUMMINSIND
2005-12-12,170.0,171.5,167.2,168.8,168.75,426630.0,724.03,NSE/CUMMINSIND
2005-12-13,169.4,172.9,168.2,171.7,171.95,489573.0,838.87,NSE/CUMMINSIND
2005-12-14,172.9,173.5,168.75,168.75,169.7,334942.0,570.83,NSE/CUMMINSIND
2005-12-15,169.25,171.5,163.25,166.95,166.0,158728.0,267.65,NSE/CUMMINSIND
