Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2005-06-10,75.0,109.3,74.1,107.0,105.85,10978114.0,10990.63,NSE/CYBERMEDIA
2005-06-13,110.0,127.05,107.55,127.05,127.05,8511634.0,9993.64,NSE/CYBERMEDIA
2005-06-14,130.3,152.5,130.3,149.1,149.2,15639938.0,22588.08,NSE/CYBERMEDIA
2005-06-15,150.0,152.95,140.35,143.5,142.9,6912541.0,9991.17,NSE/CYBERMEDIA
2005-06-16,144.0,166.7,139.2,157.5,158.1,12221850.0,18837.72,NSE/CYBERMEDIA
2005-06-17,158.35,158.35,142.25,142.75,144.0,5262122.0,7779.93,NSE/CYBERMEDIA
2005-06-20,143.7,144.9,132.0,133.3,133.75,1565370.0,2161.89,NSE/CYBERMEDIA
2005-06-21,134.8,144.0,133.0,136.6,139.3,3251619.0,4548.75,NSE/CYBERMEDIA
2005-06-22,138.25,139.95,129.25,130.65,131.1,1375573.0,1855.5,NSE/CYBERMEDIA
2005-06-23,132.0,132.5,125.3,125.55,126.3,978180.0,1251.48,NSE/CYBERMEDIA
2005-06-24,126.0,137.7,112.5,129.5,129.2,3252039.0,4260.86,NSE/CYBERMEDIA
2005-06-27,128.3,134.3,125.25,126.65,127.05,1782160.0,2327.39,NSE/CYBERMEDIA
2005-06-28,127.45,130.9,121.6,121.9,122.45,978025.0,1242.48,NSE/CYBERMEDIA
2005-06-29,122.8,124.5,122.25,123.5,123.1,551030.0,679.74,NSE/CYBERMEDIA
2005-06-30,124.4,132.85,123.3,126.25,126.6,1801877.0,2322.69,NSE/CYBERMEDIA
2005-07-01,126.7,130.45,126.0,126.25,126.75,601419.0,769.06,NSE/CYBERMEDIA
2005-07-04,126.5,130.4,126.0,126.65,127.4,736365.0,945.21,NSE/CYBERMEDIA
2005-07-05,127.75,128.7,122.25,122.85,122.95,392755.0,492.74,NSE/CYBERMEDIA
2005-07-06,123.85,125.4,122.85,123.6,123.7,265464.0,329.28,NSE/CYBERMEDIA
2005-07-07,124.65,124.7,117.55,117.55,118.5,192838.0,234.26,NSE/CYBERMEDIA
2005-07-08,119.0,121.5,117.3,118.3,118.0,220293.0,262.73,NSE/CYBERMEDIA
2005-07-11,119.0,122.0,118.1,118.7,119.0,283423.0,339.55,NSE/CYBERMEDIA
2005-07-12,119.7,120.95,115.5,115.8,116.25,218340.0,258.28,NSE/CYBERMEDIA
2005-07-13,117.4,117.9,113.25,113.6,113.7,115274.0,132.39,NSE/CYBERMEDIA
2005-07-14,114.7,136.45,111.4,131.65,134.2,2507107.0,3240.05,NSE/CYBERMEDIA
2005-07-15,132.0,140.0,123.8,124.25,125.95,1792073.0,2317.63,NSE/CYBERMEDIA
2005-07-18,125.6,127.85,122.1,123.25,123.15,383433.0,477.97,NSE/CYBERMEDIA
2005-07-19,124.3,124.4,120.5,121.65,121.5,133023.0,163.02,NSE/CYBERMEDIA
