Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,54.75,54.75,50.65,50.8,51.05,11057.0,5.74,NSE/CYBERTECH
2001-01-02,51.05,54.0,50.95,51.25,51.7,7243.0,3.77,NSE/CYBERTECH
2001-01-03,51.05,51.05,49.0,49.75,49.95,9092.0,4.56,NSE/CYBERTECH
2001-01-04,53.75,54.0,51.0,51.7,51.8,14845.0,7.79,NSE/CYBERTECH
2001-01-05,52.5,54.9,50.65,54.85,54.05,6400.0,3.39,NSE/CYBERTECH
2001-01-08,54.95,55.0,49.05,49.2,49.5,11004.0,5.58,NSE/CYBERTECH
2001-01-09,49.5,50.8,49.25,49.5,49.75,6155.0,3.07,NSE/CYBERTECH
2001-01-10,49.7,50.5,47.9,50.25,49.85,5843.0,2.89,NSE/CYBERTECH
2001-01-11,51.25,51.25,47.1,48.7,47.5,8295.0,4.0,NSE/CYBERTECH
2001-01-12,48.0,48.0,46.0,47.85,47.6,4842.0,2.28,NSE/CYBERTECH
2001-01-15,45.8,45.8,41.0,41.4,41.85,14900.0,6.39,NSE/CYBERTECH
2001-01-16,41.0,43.0,40.25,42.0,42.2,11614.0,4.89,NSE/CYBERTECH
2001-01-17,44.0,45.5,43.55,45.0,44.8,11424.0,5.11,NSE/CYBERTECH
2001-01-18,45.1,46.0,44.05,44.6,44.95,7457.0,3.36,NSE/CYBERTECH
2001-01-19,47.95,50.5,47.0,49.85,49.2,14386.0,7.07,NSE/CYBERTECH
2001-01-22,51.5,51.5,42.0,42.5,43.4,39093.0,17.19,NSE/CYBERTECH
2001-01-23,41.55,44.45,40.2,43.5,43.6,34823.0,14.9,NSE/CYBERTECH
2001-01-24,43.5,47.0,43.45,45.1,45.3,18384.0,8.38,NSE/CYBERTECH
2001-01-25,47.75,47.95,44.0,44.9,44.55,11977.0,5.38,NSE/CYBERTECH
2001-01-29,45.0,45.0,41.0,42.5,43.4,7006.0,3.02,NSE/CYBERTECH
2001-01-30,44.7,44.75,42.8,42.8,43.15,8713.0,3.8,NSE/CYBERTECH
2001-01-31,43.3,43.3,41.1,42.05,41.6,18378.0,7.83,NSE/CYBERTECH
2001-02-01,42.5,42.5,40.0,41.0,41.0,14779.0,6.07,NSE/CYBERTECH
2001-02-02,41.0,41.5,38.0,38.8,38.55,25448.0,10.07,NSE/CYBERTECH
2001-02-05,38.5,39.0,37.0,37.95,37.25,16012.0,6.06,NSE/CYBERTECH
2001-02-06,37.65,39.45,37.6,38.5,38.15,16481.0,6.34,NSE/CYBERTECH
2001-02-07,38.95,39.0,35.75,37.0,37.15,12909.0,4.82,NSE/CYBERTECH
2001-02-08,36.9,38.0,36.65,37.0,36.85,8063.0,2.99,NSE/CYBERTECH
2001-02-09,38.0,39.0,37.1,38.45,38.35,14888.0,5.68,NSE/CYBERTECH
2001-02-12,38.1,39.0,37.0,38.0,37.8,9503.0,3.63,NSE/CYBERTECH
2001-02-13,38.0,38.8,36.1,37.0,36.4,87136.0,33.0,NSE/CYBERTECH
2001-02-14,34.05,37.3,34.05,36.0,36.05,7140.0,2.6,NSE/CYBERTECH
2001-02-15,36.5,37.45,36.0,36.0,36.3,16729.0,6.17,NSE/CYBERTECH
2001-02-16,37.0,37.25,36.5,36.5,36.7,4626.0,1.71,NSE/CYBERTECH
2001-02-19,36.0,36.35,35.0,35.15,35.4,11109.0,3.96,NSE/CYBERTECH
2001-02-20,35.7,36.25,35.0,35.25,35.35,6289.0,2.23,NSE/CYBERTECH
2001-02-21,35.0,35.0,33.2,34.15,34.35,6923.0,2.38,NSE/CYBERTECH
2001-02-22,35.0,35.0,31.6,34.8,33.75,40726.0,13.15,NSE/CYBERTECH
2001-02-23,34.15,34.6,32.0,32.5,32.3,15648.0,5.19,NSE/CYBERTECH
2001-02-26,32.1,34.9,32.05,34.7,34.6,15880.0,5.37,NSE/CYBERTECH
2001-02-27,34.5,35.0,31.1,31.5,31.75,17071.0,5.55,NSE/CYBERTECH
2001-02-28,31.5,36.85,30.25,34.9,33.9,18846.0,6.41,NSE/CYBERTECH
2001-03-01,34.95,36.3,34.0,34.0,34.15,9959.0,3.47,NSE/CYBERTECH
2001-03-02,34.0,34.45,31.8,33.0,32.2,11049.0,3.65,NSE/CYBERTECH
2001-03-05,30.5,30.5,28.55,29.5,29.2,20272.0,6.04,NSE/CYBERTECH
2001-03-07,30.85,31.55,28.05,29.5,29.75,10763.0,3.26,NSE/CYBERTECH
2001-03-08,29.05,30.1,28.15,28.15,28.5,6955.0,2.02,NSE/CYBERTECH
2001-03-09,28.0,28.5,25.0,26.4,25.9,12104.0,3.18,NSE/CYBERTECH
2001-03-12,26.35,26.4,22.0,22.35,22.25,8710.0,2.08,NSE/CYBERTECH
2001-03-13,20.5,22.75,19.45,20.0,19.95,9991.0,2.07,NSE/CYBERTECH
2001-03-14,20.0,24.75,20.0,24.7,24.3,13052.0,3.02,NSE/CYBERTECH
2001-03-15,24.7,28.0,22.75,28.0,26.95,10215.0,2.63,NSE/CYBERTECH
2001-03-16,26.95,31.25,26.0,31.2,29.9,16315.0,4.76,NSE/CYBERTECH
2001-03-19,31.5,34.25,30.0,30.15,30.25,22022.0,7.0,NSE/CYBERTECH
2001-03-20,30.0,30.0,26.05,28.25,27.55,11569.0,3.19,NSE/CYBERTECH
2001-03-21,27.0,29.0,25.5,27.1,27.35,4203.0,1.16,NSE/CYBERTECH
2001-03-22,28.0,29.25,25.05,25.95,25.6,9411.0,2.49,NSE/CYBERTECH
2001-03-23,25.65,25.95,23.55,24.35,25.0,4318.0,1.06,NSE/CYBERTECH
2001-03-26,23.55,24.4,23.05,23.6,23.6,5479.0,1.28,NSE/CYBERTECH
2001-03-27,24.0,25.5,23.25,23.95,23.8,11228.0,2.73,NSE/CYBERTECH
2001-03-28,25.5,27.65,24.7,25.45,24.95,3728.0,0.94,NSE/CYBERTECH
2001-03-29,25.45,25.45,22.75,23.15,23.15,4181.0,0.98,NSE/CYBERTECH
2001-03-30,22.5,23.45,22.0,23.3,22.6,11704.0,2.64,NSE/CYBERTECH
2001-04-02,22.65,22.65,19.65,19.65,19.95,7211.0,1.48,NSE/CYBERTECH
2001-04-03,18.3,20.75,18.3,19.5,19.9,7312.0,1.46,NSE/CYBERTECH
2001-04-04,21.9,21.9,18.5,20.8,20.7,13182.0,2.7,NSE/CYBERTECH
2001-04-06,21.0,23.8,21.0,22.2,21.8,8946.0,1.98,NSE/CYBERTECH
2001-04-09,22.95,23.0,21.1,21.9,21.9,3580.0,0.77,NSE/CYBERTECH
2001-04-10,21.95,22.0,19.3,20.0,19.7,7702.0,1.58,NSE/CYBERTECH
2001-04-11,20.6,21.95,18.5,20.0,19.7,9831.0,1.93,NSE/CYBERTECH
2001-04-12,16.85,18.95,16.85,18.3,18.25,7871.0,1.41,NSE/CYBERTECH
2001-04-16,16.25,18.55,16.0,17.5,17.7,8038.0,1.41,NSE/CYBERTECH
2001-04-17,17.5,20.0,17.25,19.5,19.3,11278.0,2.17,NSE/CYBERTECH
2001-04-18,19.3,23.95,18.5,19.85,19.75,22965.0,4.63,NSE/CYBERTECH
2001-04-19,23.5,23.5,19.5,19.5,19.85,46691.0,9.87,NSE/CYBERTECH
2001-04-20,20.0,20.7,19.0,19.6,19.3,9294.0,1.83,NSE/CYBERTECH
2001-04-23,16.3,19.8,16.3,19.0,18.85,6071.0,1.16,NSE/CYBERTECH
2001-04-24,19.1,20.5,18.15,19.95,19.5,10327.0,1.99,NSE/CYBERTECH
2001-04-25,20.0,22.9,20.0,20.9,21.25,24411.0,5.27,NSE/CYBERTECH
2001-04-26,20.15,21.4,19.15,19.4,19.45,16285.0,3.22,NSE/CYBERTECH
2001-04-27,16.1,17.9,16.1,17.8,17.45,21990.0,3.75,NSE/CYBERTECH
2001-04-30,17.35,18.0,15.1,16.0,16.25,13426.0,2.2,NSE/CYBERTECH
2001-05-02,15.5,18.0,15.5,15.85,16.1,18019.0,2.96,NSE/CYBERTECH
2001-05-03,16.5,16.5,15.2,15.65,15.4,6808.0,1.06,NSE/CYBERTECH
2001-05-04,15.2,16.3,15.2,16.05,16.25,7342.0,1.14,NSE/CYBERTECH
2001-05-07,15.5,15.85,15.05,15.4,15.35,10490.0,1.61,NSE/CYBERTECH
2001-05-08,15.5,15.75,15.05,15.65,15.6,10813.0,1.66,NSE/CYBERTECH
2001-05-09,16.0,16.0,15.3,15.5,15.6,8276.0,1.3,NSE/CYBERTECH
2001-05-10,16.0,16.2,15.5,16.0,16.0,4583.0,0.73,NSE/CYBERTECH
2001-05-11,15.45,16.05,15.45,15.75,16.05,2374.0,0.38,NSE/CYBERTECH
2001-05-14,16.15,16.5,15.5,16.25,16.0,4258.0,0.68,NSE/CYBERTECH
2001-05-15,15.35,16.2,14.05,15.6,15.4,4588.0,0.71,NSE/CYBERTECH
2001-05-16,15.95,16.25,15.5,16.2,16.05,5455.0,0.87,NSE/CYBERTECH
2001-05-17,16.25,17.25,16.25,17.25,16.95,8663.0,1.45,NSE/CYBERTECH
2001-05-18,16.95,17.5,16.55,17.0,17.25,5047.0,0.87,NSE/CYBERTECH
2001-05-21,17.0,18.0,17.0,17.0,17.15,6472.0,1.12,NSE/CYBERTECH
2001-05-22,17.05,17.85,17.05,17.3,17.15,10206.0,1.77,NSE/CYBERTECH
2001-05-23,17.45,21.45,17.45,21.35,21.4,38078.0,7.58,NSE/CYBERTECH
2001-05-24,20.85,24.85,20.85,22.6,22.55,50937.0,11.92,NSE/CYBERTECH
2001-05-25,23.5,23.5,20.75,22.0,21.95,23159.0,4.99,NSE/CYBERTECH
2001-05-28,22.5,25.5,22.5,25.5,25.5,45235.0,11.4,NSE/CYBERTECH
2001-05-29,26.0,29.5,26.0,28.15,28.55,48796.0,13.72,NSE/CYBERTECH
2001-05-30,29.0,29.8,24.5,25.0,25.05,44081.0,11.92,NSE/CYBERTECH
2001-05-31,24.0,24.0,21.6,23.9,23.55,18342.0,4.2,NSE/CYBERTECH
2001-06-01,24.0,25.25,24.0,24.95,24.5,16116.0,4.01,NSE/CYBERTECH
2001-06-04,24.0,24.25,22.1,22.85,22.65,10913.0,2.51,NSE/CYBERTECH
2001-06-05,22.75,24.0,22.2,22.7,22.9,7605.0,1.75,NSE/CYBERTECH
2001-06-06,24.0,24.5,22.5,22.5,22.6,8200.0,1.91,NSE/CYBERTECH
2001-06-07,22.5,23.0,19.35,21.0,20.85,9650.0,2.04,NSE/CYBERTECH
2001-06-08,20.95,21.9,19.35,21.8,21.45,6847.0,1.44,NSE/CYBERTECH
2001-06-11,22.5,22.5,20.35,21.1,21.05,4918.0,1.03,NSE/CYBERTECH
2001-06-12,20.0,21.5,19.65,20.0,20.3,6516.0,1.32,NSE/CYBERTECH
2001-06-13,20.5,21.0,20.0,20.45,20.45,5579.0,1.14,NSE/CYBERTECH
2001-06-14,20.5,20.8,19.25,19.5,19.65,7952.0,1.57,NSE/CYBERTECH
2001-06-15,19.0,19.95,18.0,19.25,19.55,8366.0,1.62,NSE/CYBERTECH
2001-06-18,18.5,18.5,17.0,18.05,18.05,8137.0,1.44,NSE/CYBERTECH
2001-06-19,18.55,19.85,18.5,19.25,19.3,5404.0,1.02,NSE/CYBERTECH
2001-06-20,19.5,19.9,18.5,19.0,19.05,1334.0,0.25,NSE/CYBERTECH
2001-06-21,18.65,18.75,17.15,18.0,17.55,6141.0,1.12,NSE/CYBERTECH
2001-06-22,18.5,18.9,16.25,17.4,16.75,5238.0,0.89,NSE/CYBERTECH
2001-06-25,16.1,17.45,16.05,16.25,16.35,3345.0,0.55,NSE/CYBERTECH
2001-06-26,16.0,18.5,15.7,17.5,17.25,20000.0,3.45,NSE/CYBERTECH
2001-06-27,17.95,18.5,16.0,16.35,16.1,14466.0,2.44,NSE/CYBERTECH
2001-06-28,17.0,17.0,15.8,16.65,16.25,16002.0,2.6,NSE/CYBERTECH
2001-06-29,16.3,18.5,16.2,16.65,17.8,13734.0,2.41,NSE/CYBERTECH
2001-07-02,19.35,19.85,17.05,18.0,17.95,2504.0,0.45,NSE/CYBERTECH
2001-07-03,18.0,18.0,16.4,16.4,16.7,4244.0,0.73,NSE/CYBERTECH
2001-07-04,17.2,17.2,16.15,16.55,16.55,1969.0,0.33,NSE/CYBERTECH
2001-07-05,16.4,17.0,16.0,16.05,16.05,6391.0,1.04,NSE/CYBERTECH
2001-07-06,14.55,17.2,14.55,16.75,16.75,8627.0,1.45,NSE/CYBERTECH
2001-07-09,16.5,16.8,16.0,16.8,16.75,5008.0,0.83,NSE/CYBERTECH
2001-07-10,17.1,17.1,16.1,16.1,16.25,3932.0,0.65,NSE/CYBERTECH
2001-07-11,16.5,16.7,16.1,16.1,16.15,1791.0,0.29,NSE/CYBERTECH
2001-07-12,16.35,16.95,16.35,16.95,16.95,5188.0,0.87,NSE/CYBERTECH
2001-07-13,17.0,17.25,16.0,16.0,16.3,11201.0,1.86,NSE/CYBERTECH
2001-07-16,16.4,16.9,16.0,16.05,16.1,1645.0,0.27,NSE/CYBERTECH
2001-07-17,16.0,16.05,15.0,15.0,15.35,4933.0,0.77,NSE/CYBERTECH
2001-07-18,15.1,15.8,14.9,15.1,14.95,7142.0,1.08,NSE/CYBERTECH
2001-07-19,14.1,15.0,14.05,14.8,14.8,6985.0,1.01,NSE/CYBERTECH
2001-07-20,14.3,14.9,14.1,14.35,14.35,3013.0,0.43,NSE/CYBERTECH
2001-07-23,12.3,12.3,12.3,12.3,12.3,1.0,0.0,NSE/CYBERTECH
2001-07-24,12.3,13.0,12.1,12.5,12.4,11127.0,1.37,NSE/CYBERTECH
2001-07-25,11.8,12.35,11.55,11.8,11.65,8079.0,0.95,NSE/CYBERTECH
2001-07-26,11.5,12.0,11.1,11.65,11.65,1573.0,0.18,NSE/CYBERTECH
2001-07-27,11.5,12.35,11.05,12.0,12.0,4780.0,0.56,NSE/CYBERTECH
2001-07-30,12.95,12.95,11.6,12.0,12.0,1695.0,0.2,NSE/CYBERTECH
2001-07-31,11.5,12.0,11.5,11.6,11.85,1420.0,0.17,NSE/CYBERTECH
2001-08-01,11.65,12.0,11.1,11.5,11.35,3768.0,0.43,NSE/CYBERTECH
2001-08-02,11.9,11.9,11.25,11.25,11.35,3909.0,0.45,NSE/CYBERTECH
2001-08-03,11.95,11.95,11.3,11.4,11.55,5716.0,0.66,NSE/CYBERTECH
2001-08-06,12.9,12.9,11.1,11.4,11.6,5375.0,0.63,NSE/CYBERTECH
2001-08-07,11.4,11.8,11.2,11.8,11.7,2945.0,0.34,NSE/CYBERTECH
