Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,68.3,69.0,67.55,67.95,67.85,128082.0,87.53,NSE/DABUR
2001-01-02,67.4,68.4,66.5,67.25,67.15,165168.0,111.15,NSE/DABUR
2001-01-03,67.8,69.5,66.8,69.0,68.8,172350.0,118.53,NSE/DABUR
2001-01-04,70.0,70.95,68.25,68.9,68.8,260062.0,181.54,NSE/DABUR
2001-01-05,69.0,69.7,68.15,68.9,68.45,117257.0,80.81,NSE/DABUR
2001-01-08,68.75,69.2,67.6,68.4,68.35,130064.0,89.19,NSE/DABUR
2001-01-09,68.4,69.0,67.0,67.8,67.35,144215.0,97.81,NSE/DABUR
2001-01-10,68.8,69.0,67.0,67.05,67.05,73176.0,49.45,NSE/DABUR
2001-01-11,68.0,69.0,67.0,67.0,67.25,74774.0,50.67,NSE/DABUR
2001-01-12,67.65,68.4,65.35,66.2,66.3,152792.0,101.67,NSE/DABUR
2001-01-15,66.8,66.8,65.85,66.15,66.2,48213.0,31.9,NSE/DABUR
2001-01-16,66.5,66.5,64.65,65.5,65.05,127634.0,83.77,NSE/DABUR
2001-01-17,66.8,66.8,65.5,65.9,65.8,58196.0,38.55,NSE/DABUR
2001-01-18,65.5,66.3,65.5,66.0,65.95,40622.0,26.77,NSE/DABUR
2001-01-19,66.4,66.4,64.1,65.1,64.65,176562.0,114.98,NSE/DABUR
2001-01-22,65.7,67.0,64.5,66.35,66.35,131109.0,86.79,NSE/DABUR
2001-01-23,66.9,66.9,65.75,66.3,66.05,160394.0,106.03,NSE/DABUR
2001-01-24,67.0,67.4,65.55,65.85,65.8,182684.0,120.98,NSE/DABUR
2001-01-25,66.0,66.75,65.0,65.8,65.75,167971.0,110.59,NSE/DABUR
2001-01-29,65.1,66.5,64.1,65.5,65.55,175928.0,115.79,NSE/DABUR
2001-01-30,65.25,66.0,64.1,64.8,64.55,185831.0,120.52,NSE/DABUR
2001-01-31,66.75,67.8,65.0,66.5,66.4,280765.0,186.49,NSE/DABUR
2001-02-01,66.75,67.1,65.15,65.7,65.7,103693.0,68.5,NSE/DABUR
2001-02-02,66.2,66.3,65.05,65.25,65.25,117186.0,76.84,NSE/DABUR
2001-02-05,65.25,65.8,64.55,65.4,65.15,88293.0,57.68,NSE/DABUR
2001-02-06,65.1,69.6,65.1,69.0,68.7,331506.0,222.53,NSE/DABUR
2001-02-07,70.95,73.9,70.7,71.0,71.25,867524.0,627.24,NSE/DABUR
2001-02-08,70.7,74.0,70.0,73.5,73.45,448102.0,327.95,NSE/DABUR
2001-02-09,74.0,78.1,73.15,76.4,75.95,1084026.0,827.1,NSE/DABUR
2001-02-12,76.7,79.0,75.1,77.4,77.55,845582.0,661.27,NSE/DABUR
2001-02-13,78.1,78.2,74.6,75.05,75.2,416336.0,315.69,NSE/DABUR
2001-02-14,75.8,76.1,73.0,74.2,74.1,225296.0,167.5,NSE/DABUR
2001-02-15,74.75,76.0,74.05,74.75,74.95,202387.0,152.12,NSE/DABUR
2001-02-16,75.6,75.6,69.1,69.8,70.0,408196.0,295.08,NSE/DABUR
2001-02-19,70.0,71.5,69.05,71.35,71.15,176866.0,124.86,NSE/DABUR
2001-02-20,71.1,71.9,70.1,70.65,70.5,336447.0,238.29,NSE/DABUR
2001-02-21,70.95,71.7,70.0,70.55,70.45,172327.0,121.64,NSE/DABUR
2001-02-22,68.6,71.2,67.1,70.8,70.55,255820.0,176.8,NSE/DABUR
2001-02-23,71.25,72.5,67.6,68.0,68.65,563549.0,399.66,NSE/DABUR
2001-02-26,68.8,68.8,63.65,67.8,68.0,428311.0,284.07,NSE/DABUR
2001-02-27,68.35,68.95,66.5,68.35,67.95,339296.0,229.23,NSE/DABUR
2001-02-28,68.7,72.25,66.0,70.35,70.35,312416.0,219.39,NSE/DABUR
2001-03-01,72.0,80.2,71.8,73.6,73.65,969255.0,746.03,NSE/DABUR
2001-03-02,76.9,76.95,70.5,70.8,71.0,379651.0,276.73,NSE/DABUR
2001-03-05,71.5,73.25,68.05,73.25,72.65,516159.0,363.13,NSE/DABUR
2001-03-07,74.9,75.0,66.85,71.7,72.05,441234.0,311.84,NSE/DABUR
2001-03-08,71.2,73.0,68.65,70.5,71.1,169641.0,120.7,NSE/DABUR
2001-03-09,69.1,72.8,66.25,70.0,69.7,232104.0,160.29,NSE/DABUR
2001-03-12,68.1,70.8,67.8,67.9,67.9,194273.0,133.38,NSE/DABUR
2001-03-13,66.0,66.0,58.15,61.7,61.65,264014.0,163.38,NSE/DABUR
2001-03-14,61.35,66.5,61.35,65.85,65.6,148081.0,95.76,NSE/DABUR
2001-03-15,62.65,65.85,62.6,65.5,65.25,150579.0,97.91,NSE/DABUR
2001-03-16,65.0,65.0,63.0,64.2,63.9,156036.0,99.9,NSE/DABUR
