Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-01-27,190.0,227.0,150.0,220.0,220.45,342029.0,720.23,NSE/DALMIABEL
2011-01-28,220.0,225.0,210.5,217.9,212.6,193234.0,422.28,NSE/DALMIABEL
2011-01-31,202.0,209.95,202.0,204.0,205.3,9737.0,19.75,NSE/DALMIABEL
2011-02-01,205.0,214.95,197.0,202.0,200.8,8512.0,17.33,NSE/DALMIABEL
2011-02-02,192.5,204.95,190.8,197.25,195.2,4923.0,9.58,NSE/DALMIABEL
2011-02-03,188.0,194.95,185.5,185.5,187.85,2004.0,3.78,NSE/DALMIABEL
2011-02-04,189.95,191.0,178.5,179.9,179.9,2342.0,4.21,NSE/DALMIABEL
2011-02-07,171.0,177.25,170.9,171.2,171.4,586.0,1.0,NSE/DALMIABEL
2011-02-08,175.0,179.9,171.0,177.8,177.2,9445.0,16.64,NSE/DALMIABEL
2011-02-09,175.0,180.0,172.0,175.0,175.0,2430.0,4.25,NSE/DALMIABEL
2011-02-10,171.6,171.6,142.85,170.9,162.0,4639.0,7.56,NSE/DALMIABEL
2011-02-11,135.1,173.9,135.1,166.9,165.55,1956.0,3.2,NSE/DALMIABEL
2011-02-14,162.0,186.0,155.0,165.5,164.75,4116.0,6.72,NSE/DALMIABEL
2011-02-15,171.0,180.0,170.0,180.0,176.6,12006.0,21.12,NSE/DALMIABEL
2011-02-16,180.0,180.0,171.0,179.5,175.3,1232.0,2.12,NSE/DALMIABEL
2011-02-17,163.4,175.05,163.4,173.5,171.9,861.0,1.48,NSE/DALMIABEL
2011-02-18,168.05,173.55,143.9,164.45,159.6,1579.0,2.45,NSE/DALMIABEL
2011-02-21,160.0,161.0,146.75,156.95,153.65,2891.0,4.43,NSE/DALMIABEL
2011-02-22,149.0,150.95,147.0,150.0,150.0,1031.0,1.54,NSE/DALMIABEL
2011-02-23,150.05,159.9,150.05,155.0,155.0,1939.0,3.05,NSE/DALMIABEL
2011-02-24,150.45,155.0,150.0,155.0,155.0,603.0,0.92,NSE/DALMIABEL
2011-02-25,154.75,164.0,150.0,160.0,160.0,1042.0,1.64,NSE/DALMIABEL
2011-02-28,164.95,166.5,153.05,166.0,163.8,2026.0,3.19,NSE/DALMIABEL
