Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2014-05-22,51.1,54.0,51.1,52.5,52.5,721.0,0.38,NSE/DALMIAREF
2014-05-23,52.0,54.85,51.05,54.85,54.85,597.0,0.31,NSE/DALMIAREF
2014-05-26,57.55,57.55,57.55,57.55,57.55,640.0,0.37,NSE/DALMIAREF
2014-05-27,55.0,55.0,55.0,55.0,55.0,100.0,0.06,NSE/DALMIAREF
2014-05-28,57.75,57.75,57.75,57.75,57.75,50.0,0.03,NSE/DALMIAREF
2014-05-29,57.75,60.6,57.75,60.6,60.1,150.0,0.09,NSE/DALMIAREF
2014-05-30,63.1,63.1,63.1,63.1,63.1,100.0,0.06,NSE/DALMIAREF
2014-06-02,66.25,66.25,66.25,66.25,66.25,125.0,0.08,NSE/DALMIAREF
2014-06-03,69.55,69.55,69.55,69.55,69.55,215.0,0.15,NSE/DALMIAREF
2014-06-04,73.0,73.0,73.0,73.0,73.0,125.0,0.09,NSE/DALMIAREF
2014-06-05,76.65,76.65,76.65,76.65,76.65,50.0,0.04,NSE/DALMIAREF
2014-06-06,80.45,80.45,80.45,80.45,80.45,50.0,0.04,NSE/DALMIAREF
2014-06-09,84.45,84.45,77.0,77.0,84.3,820.0,0.69,NSE/DALMIAREF
2014-06-10,88.5,88.5,83.25,88.45,88.45,1110.0,0.97,NSE/DALMIAREF
2014-06-11,88.0,91.0,87.5,87.5,87.95,345.0,0.3,NSE/DALMIAREF
2014-06-12,84.0,90.0,84.0,84.05,84.05,907.0,0.78,NSE/DALMIAREF
2014-06-13,84.05,84.05,84.05,84.05,84.05,50.0,0.04,NSE/DALMIAREF
2014-06-16,80.0,80.0,80.0,80.0,80.0,4.0,0.0,NSE/DALMIAREF
2014-06-17,76.5,76.5,76.5,76.5,76.5,100.0,0.08,NSE/DALMIAREF
2014-06-18,72.8,80.0,72.8,78.0,78.0,43.0,0.03,NSE/DALMIAREF
2014-06-24,74.1,74.1,74.1,74.1,74.1,150.0,0.11,NSE/DALMIAREF
2014-06-25,75.0,77.8,75.0,77.8,76.55,250.0,0.19,NSE/DALMIAREF
2014-06-26,76.0,80.35,76.0,80.35,80.35,680.0,0.54,NSE/DALMIAREF
2014-06-27,84.35,84.35,78.0,84.0,84.0,1065.0,0.88,NSE/DALMIAREF
2014-06-30,88.0,88.2,88.0,88.2,88.2,1300.0,1.15,NSE/DALMIAREF
2014-07-01,92.25,92.25,92.25,92.25,92.25,84.0,0.08,NSE/DALMIAREF
2014-07-03,92.0,96.85,92.0,92.0,95.45,1876.0,1.81,NSE/DALMIAREF
2014-07-04,100.0,100.2,100.0,100.2,100.2,2147.0,2.15,NSE/DALMIAREF
2014-07-07,105.0,105.2,105.0,105.2,105.2,1009.0,1.06,NSE/DALMIAREF
2014-07-08,110.45,110.45,110.4,110.45,110.45,1755.0,1.94,NSE/DALMIAREF
2014-07-09,115.95,115.95,105.0,115.95,112.85,3382.0,3.89,NSE/DALMIAREF
2014-07-10,111.65,118.45,111.65,118.45,118.45,915.0,1.07,NSE/DALMIAREF
2014-07-11,124.35,124.35,124.0,124.35,124.25,1668.0,2.07,NSE/DALMIAREF
2014-07-14,125.0,130.45,125.0,130.45,128.35,1904.0,2.46,NSE/DALMIAREF
2014-07-15,134.75,134.75,134.0,134.7,134.5,1857.0,2.5,NSE/DALMIAREF
2014-07-16,141.0,141.2,128.0,138.0,138.0,2110.0,2.91,NSE/DALMIAREF
2014-07-17,144.9,144.9,131.1,131.1,131.1,655.0,0.89,NSE/DALMIAREF
2014-07-18,132.55,132.55,124.55,124.55,124.55,643.0,0.8,NSE/DALMIAREF
2014-07-21,125.0,125.0,118.35,118.35,118.35,662.0,0.8,NSE/DALMIAREF
2014-07-22,112.45,118.0,112.45,112.45,112.45,613.0,0.69,NSE/DALMIAREF
2014-07-23,106.85,107.0,106.85,106.85,106.85,701.0,0.75,NSE/DALMIAREF
2014-07-24,101.55,112.15,101.55,110.0,110.0,861.0,0.88,NSE/DALMIAREF
2014-07-25,115.5,115.5,104.5,104.5,104.5,353.0,0.37,NSE/DALMIAREF
2014-07-28,99.3,100.8,99.3,99.3,99.3,3814.0,3.84,NSE/DALMIAREF
2014-07-30,96.05,96.05,96.05,96.05,96.05,10.0,0.01,NSE/DALMIAREF
2014-07-31,100.0,100.85,100.0,100.85,100.85,150.0,0.15,NSE/DALMIAREF
2014-08-01,98.0,98.0,95.85,95.85,95.85,425.0,0.41,NSE/DALMIAREF
2014-08-06,96.0,96.0,96.0,96.0,96.0,200.0,0.19,NSE/DALMIAREF
2014-08-07,96.2,96.2,95.5,95.5,95.5,103.0,0.1,NSE/DALMIAREF
2014-08-11,91.2,91.2,91.2,91.2,91.2,25.0,0.02,NSE/DALMIAREF
2014-08-18,95.75,95.75,95.4,95.4,95.4,230.0,0.22,NSE/DALMIAREF
2014-08-19,98.0,99.0,90.65,94.0,94.0,440.0,0.43,NSE/DALMIAREF
2014-08-20,97.4,98.0,91.0,96.9,96.9,236.0,0.22,NSE/DALMIAREF
2014-08-21,101.0,101.0,97.5,97.5,97.5,80.0,0.08,NSE/DALMIAREF
2014-08-22,93.2,93.6,93.0,93.25,93.55,1718.0,1.6,NSE/DALMIAREF
2014-08-25,90.0,90.25,90.0,90.25,90.25,246.0,0.22,NSE/DALMIAREF
2014-08-26,86.5,88.0,86.5,87.0,87.0,455.0,0.39,NSE/DALMIAREF
2014-08-27,83.0,88.0,83.0,88.0,88.0,130.0,0.11,NSE/DALMIAREF
2014-08-28,84.2,84.2,84.0,84.0,84.0,603.0,0.51,NSE/DALMIAREF
