Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-08-11,240.0,254.8,240.0,254.1,251.75,26935252.0,66599.65,NSE/DBL
2016-08-12,255.95,259.0,243.9,244.0,244.2,3385632.0,8460.14,NSE/DBL
2016-08-16,242.0,248.9,241.95,244.0,244.6,902390.0,2213.94,NSE/DBL
2016-08-17,242.6,244.8,226.05,240.1,241.75,1120174.0,2657.63,NSE/DBL
2016-08-18,240.0,245.4,236.0,242.7,242.05,551423.0,1329.05,NSE/DBL
2016-08-19,248.0,249.9,243.5,245.25,245.85,794496.0,1961.63,NSE/DBL
2016-08-22,246.0,247.95,237.0,237.55,238.65,230819.0,556.73,NSE/DBL
2016-08-23,238.0,244.95,237.55,238.65,238.7,255761.0,616.11,NSE/DBL
2016-08-24,238.0,241.0,235.5,236.0,236.65,152347.0,362.06,NSE/DBL
2016-08-25,237.2,237.75,230.55,232.2,233.3,160553.0,376.03,NSE/DBL
2016-08-26,233.5,233.95,224.3,227.8,227.5,301535.0,687.74,NSE/DBL
2016-08-29,227.0,228.0,215.55,218.5,219.65,381764.0,838.12,NSE/DBL
2016-08-30,221.7,229.85,218.0,226.0,225.9,415866.0,940.15,NSE/DBL
2016-08-31,226.0,248.75,224.0,237.4,237.2,1116804.0,2667.31,NSE/DBL
2016-09-01,235.2,244.9,235.2,239.5,239.1,514044.0,1237.33,NSE/DBL
2016-09-02,240.45,244.95,237.3,239.0,238.85,230597.0,555.11,NSE/DBL
2016-09-06,239.55,241.4,234.65,235.5,235.85,128058.0,304.77,NSE/DBL
2016-09-07,239.25,240.95,234.0,236.0,235.2,219100.0,522.73,NSE/DBL
2016-09-08,236.0,238.9,235.1,235.95,236.55,96129.0,227.87,NSE/DBL
2016-09-09,235.3,236.6,229.45,230.0,230.2,756323.0,1765.91,NSE/DBL
2016-09-12,227.0,233.0,220.55,231.5,228.95,465561.0,1059.26,NSE/DBL
2016-09-14,227.0,234.0,227.0,230.0,230.05,151175.0,347.79,NSE/DBL
2016-09-15,230.4,241.0,227.95,234.55,235.05,308932.0,722.11,NSE/DBL
2016-09-16,238.0,254.4,236.8,245.85,245.15,872551.0,2152.21,NSE/DBL
2016-09-19,245.0,247.7,237.5,240.0,239.75,139999.0,338.5,NSE/DBL
2016-09-20,237.5,239.7,235.1,235.4,237.05,123567.0,293.51,NSE/DBL
2016-09-21,235.95,241.25,233.15,234.0,234.2,64882.0,153.69,NSE/DBL
2016-09-22,236.3,239.9,236.0,238.0,238.5,83962.0,199.52,NSE/DBL
2016-09-23,236.0,240.0,233.55,236.15,235.5,64838.0,153.9,NSE/DBL
2016-09-26,246.0,248.7,235.1,235.9,236.5,549698.0,1325.52,NSE/DBL
2016-09-27,237.8,239.75,232.1,233.45,233.25,100337.0,236.78,NSE/DBL
2016-09-28,239.5,241.9,235.4,238.0,238.75,285738.0,681.15,NSE/DBL
2016-09-29,240.0,245.5,221.55,227.0,226.3,867573.0,1981.73,NSE/DBL
2016-09-30,226.0,236.45,223.05,235.8,234.1,264296.0,609.42,NSE/DBL
2016-10-03,234.4,246.0,234.4,240.7,240.1,211708.0,510.65,NSE/DBL
2016-10-04,240.0,242.65,236.45,237.3,237.9,59601.0,142.27,NSE/DBL
2016-10-05,238.9,243.7,238.0,238.9,239.45,114264.0,274.88,NSE/DBL
2016-10-06,239.9,244.95,234.1,235.15,235.25,66778.0,158.99,NSE/DBL
2016-10-07,235.6,240.3,233.05,234.3,234.4,79287.0,187.47,NSE/DBL
2016-10-10,234.9,239.9,232.6,235.75,234.0,89527.0,212.21,NSE/DBL
2016-10-13,234.9,234.9,224.95,227.25,227.3,75902.0,173.74,NSE/DBL
2016-10-14,227.8,231.9,226.5,227.4,227.3,52720.0,120.46,NSE/DBL
2016-10-17,227.0,230.0,226.0,229.0,227.55,55197.0,125.58,NSE/DBL
2016-10-18,228.8,234.0,228.0,233.35,233.0,77104.0,178.62,NSE/DBL
2016-10-19,232.95,235.05,229.0,229.45,229.7,49179.0,113.83,NSE/DBL
2016-10-20,230.35,233.35,229.0,230.55,231.1,28445.0,65.64,NSE/DBL
2016-10-21,231.45,232.7,225.55,226.65,226.15,169651.0,388.69,NSE/DBL
2016-10-24,228.55,231.0,227.0,229.7,228.55,88115.0,202.09,NSE/DBL
2016-10-25,227.7,234.4,227.55,231.75,231.95,98448.0,228.25,NSE/DBL
2016-10-26,232.0,243.4,228.55,236.8,235.55,229392.0,545.32,NSE/DBL
2016-10-27,234.95,239.0,234.0,238.0,235.4,272268.0,638.42,NSE/DBL
2016-10-28,238.8,242.65,235.6,237.25,238.15,137115.0,328.83,NSE/DBL
2016-10-30,235.0,237.0,232.0,233.05,233.25,32861.0,76.87,NSE/DBL
2016-11-01,237.1,237.1,217.55,224.0,224.45,209624.0,472.31,NSE/DBL
2016-11-02,225.0,229.0,219.0,219.8,220.6,275110.0,616.26,NSE/DBL
2016-11-03,222.0,225.25,205.55,212.6,214.65,356698.0,783.7,NSE/DBL
2016-11-04,213.2,222.0,213.2,219.0,218.8,193653.0,424.07,NSE/DBL
