Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-10-27,35.0,48.7,35.0,46.8,47.45,81863292.0,36795.48,NSE/DCB
2006-10-30,47.5,47.5,44.35,45.1,45.05,10926131.0,4973.24,NSE/DCB
2006-10-31,45.0,45.4,41.5,42.3,42.2,4896552.0,2111.3,NSE/DCB
2006-11-01,43.9,47.35,41.0,46.45,46.55,13725104.0,6215.68,NSE/DCB
2006-11-02,46.55,49.15,45.6,46.95,47.3,13062234.0,6223.97,NSE/DCB
2006-11-03,47.45,47.45,44.55,45.25,45.05,3628222.0,1668.56,NSE/DCB
2006-11-06,45.3,46.4,44.0,44.9,44.9,2555226.0,1157.28,NSE/DCB
2006-11-07,45.1,52.9,45.1,50.0,50.6,21274408.0,10526.09,NSE/DCB
2006-11-08,50.5,51.8,47.4,48.65,48.7,8100403.0,4013.85,NSE/DCB
2006-11-09,49.0,54.15,47.8,51.25,51.1,10396992.0,5373.21,NSE/DCB
2006-11-10,51.15,54.45,50.8,51.9,51.95,7635122.0,4016.58,NSE/DCB
2006-11-13,52.0,54.2,52.0,52.7,52.5,4137494.0,2193.88,NSE/DCB
2006-11-14,52.35,57.6,52.35,54.85,55.15,11892374.0,6624.67,NSE/DCB
2006-11-15,56.0,56.25,54.1,54.35,54.35,4291384.0,2362.62,NSE/DCB
2006-11-16,54.8,57.15,54.05,54.25,54.4,5955549.0,3308.95,NSE/DCB
2006-11-17,54.9,55.0,50.65,52.1,51.7,4026967.0,2114.77,NSE/DCB
2006-11-20,52.5,54.3,50.8,52.95,52.7,5897835.0,3126.21,NSE/DCB
2006-11-21,52.0,63.25,52.0,63.25,63.15,22324491.0,13305.43,NSE/DCB
2006-11-22,64.15,66.7,61.25,61.3,61.8,12022404.0,7692.07,NSE/DCB
2006-11-23,62.0,64.35,60.1,60.9,61.05,7031423.0,4372.21,NSE/DCB
2006-11-24,61.2,64.5,61.1,62.0,62.3,7340803.0,4609.82,NSE/DCB
2006-11-27,62.3,63.45,60.65,60.85,60.9,3168583.0,1966.2,NSE/DCB
2006-11-28,60.0,62.2,58.7,59.05,59.1,3896031.0,2353.62,NSE/DCB
2006-11-29,59.8,60.9,59.1,59.45,59.4,2225741.0,1334.61,NSE/DCB
2006-11-30,60.0,61.0,58.15,58.7,58.6,1727205.0,1026.43,NSE/DCB
2006-12-01,59.4,61.2,58.1,59.05,59.25,3067895.0,1842.48,NSE/DCB
2006-12-04,59.65,60.25,58.3,58.55,58.5,1193747.0,705.01,NSE/DCB
2006-12-05,58.75,59.25,56.8,57.55,57.25,1060102.0,614.85,NSE/DCB
2006-12-06,57.3,62.3,55.6,60.7,60.7,4250668.0,2534.77,NSE/DCB
2006-12-07,61.3,62.1,59.1,59.7,59.95,4039540.0,2452.85,NSE/DCB
2006-12-08,60.0,61.0,59.2,59.3,59.5,2592079.0,1557.63,NSE/DCB
2006-12-11,59.1,59.1,55.1,56.55,56.3,1817452.0,1030.99,NSE/DCB
2006-12-12,56.5,56.6,50.55,52.1,52.1,1777666.0,963.52,NSE/DCB
2006-12-13,52.5,57.4,50.0,57.1,56.75,2801835.0,1528.33,NSE/DCB
2006-12-14,57.5,60.0,56.5,59.85,59.35,1915542.0,1115.82,NSE/DCB
2006-12-15,59.95,61.15,58.6,58.8,59.05,1855148.0,1112.15,NSE/DCB
2006-12-18,59.25,60.25,57.5,58.85,58.75,1605854.0,943.79,NSE/DCB
2006-12-19,58.75,58.9,55.45,56.35,56.6,1244773.0,710.61,NSE/DCB
2006-12-20,57.0,57.45,54.65,54.75,54.95,1637211.0,910.5,NSE/DCB
2006-12-21,51.9,56.1,51.9,55.2,55.2,1118641.0,612.89,NSE/DCB
2006-12-22,55.45,58.2,54.6,56.65,56.6,1671060.0,949.38,NSE/DCB
2006-12-26,56.5,58.2,56.0,56.8,56.8,929567.0,530.41,NSE/DCB
2006-12-27,57.15,58.2,56.5,57.1,57.05,747806.0,428.54,NSE/DCB
2006-12-28,57.3,57.55,55.8,55.9,55.95,643980.0,363.38,NSE/DCB
2006-12-29,56.0,57.15,56.0,56.5,56.6,551314.0,311.65,NSE/DCB
2007-01-02,57.25,62.25,57.0,60.8,60.6,3531841.0,2142.0,NSE/DCB
2007-01-03,61.0,71.75,59.0,69.75,69.6,14989522.0,9938.84,NSE/DCB
2007-01-04,70.05,72.8,66.2,66.5,66.9,6712146.0,4650.35,NSE/DCB
2007-01-05,66.6,72.25,62.6,67.65,67.85,11225108.0,7753.67,NSE/DCB
2007-01-08,67.0,69.45,65.55,66.75,66.45,3699818.0,2510.91,NSE/DCB
2007-01-09,67.4,68.4,65.2,66.4,65.85,1711751.0,1141.13,NSE/DCB
2007-01-10,66.2,67.0,63.4,63.7,63.8,3297125.0,2143.97,NSE/DCB
2007-01-11,64.2,66.95,64.0,66.1,66.3,1977087.0,1295.48,NSE/DCB
2007-01-12,67.0,70.25,66.7,68.15,67.9,3695418.0,2539.55,NSE/DCB
2007-01-15,68.0,68.55,66.6,67.35,67.0,1235131.0,834.34,NSE/DCB
2007-01-16,67.45,74.0,66.1,71.35,71.7,8568414.0,6164.31,NSE/DCB
2007-01-17,71.5,74.4,70.45,73.0,72.7,4282860.0,3113.08,NSE/DCB
2007-01-18,73.0,86.4,73.0,82.5,82.8,16943523.0,13793.43,NSE/DCB
2007-01-19,83.2,83.85,78.0,78.05,78.45,4745384.0,3795.29,NSE/DCB
2007-01-22,78.45,83.8,77.65,79.15,78.9,5990026.0,4850.29,NSE/DCB
2007-01-23,78.6,80.8,77.55,78.45,78.05,2185101.0,1731.52,NSE/DCB
2007-01-24,78.0,80.65,78.0,79.1,78.85,1607596.0,1272.34,NSE/DCB
2007-01-25,79.1,82.2,78.55,79.65,79.7,2480083.0,1997.55,NSE/DCB
2007-01-29,80.0,82.3,79.15,80.3,80.35,3319348.0,2685.99,NSE/DCB
2007-01-31,80.35,82.0,78.85,79.7,79.65,2642713.0,2120.03,NSE/DCB
2007-02-01,80.0,80.7,75.4,76.5,76.45,1857501.0,1451.22,NSE/DCB
2007-02-02,77.2,79.15,76.15,77.2,76.85,1308187.0,1015.27,NSE/DCB
2007-02-05,77.25,79.2,76.6,77.4,77.5,1387293.0,1078.65,NSE/DCB
2007-02-06,78.0,79.0,76.8,76.9,77.0,1268128.0,985.99,NSE/DCB
2007-02-07,77.6,78.35,76.25,77.0,76.9,1054039.0,815.11,NSE/DCB
2007-02-08,77.3,78.0,74.5,74.9,75.1,1425903.0,1080.65,NSE/DCB
2007-02-09,75.3,75.5,70.75,72.5,72.8,1793421.0,1301.24,NSE/DCB
2007-02-12,70.5,72.8,65.5,70.0,68.8,1880271.0,1296.41,NSE/DCB
2007-02-13,69.0,71.8,67.0,68.7,68.7,1174521.0,820.98,NSE/DCB
2007-02-14,67.0,72.45,64.0,71.7,71.8,1720072.0,1185.44,NSE/DCB
2007-02-15,72.5,73.9,71.1,71.85,71.7,1083151.0,785.83,NSE/DCB
2007-02-19,72.0,75.35,71.7,72.75,72.95,1415422.0,1045.52,NSE/DCB
2007-02-20,73.45,73.7,71.0,72.0,71.55,546151.0,394.47,NSE/DCB
2007-02-21,72.0,72.3,70.5,70.85,70.8,487478.0,347.12,NSE/DCB
2007-02-22,71.5,72.0,69.0,69.35,69.4,515323.0,363.09,NSE/DCB
2007-02-23,69.75,69.75,66.8,67.15,67.2,657484.0,444.55,NSE/DCB
2007-02-26,67.0,70.0,66.05,69.75,69.15,511517.0,347.75,NSE/DCB
2007-02-27,70.0,70.9,68.4,69.0,69.7,618030.0,429.79,NSE/DCB
2007-02-28,69.0,69.0,56.6,67.15,67.3,550205.0,370.7,NSE/DCB
2007-03-01,68.0,69.25,65.6,65.95,66.35,788994.0,535.04,NSE/DCB
2007-03-02,66.5,67.5,63.5,63.65,63.8,784533.0,515.31,NSE/DCB
2007-03-05,60.0,63.1,57.5,57.8,57.8,728145.0,434.51,NSE/DCB
2007-03-06,59.25,61.9,56.6,57.0,57.0,1010497.0,585.68,NSE/DCB
2007-03-07,59.0,59.95,53.5,55.0,54.8,871200.0,483.71,NSE/DCB
2007-03-08,55.75,61.35,53.0,60.7,60.25,1719904.0,997.78,NSE/DCB
2007-03-09,60.85,69.2,59.8,63.05,63.85,3216996.0,2093.19,NSE/DCB
2007-03-12,64.1,67.4,62.75,63.2,63.1,1019979.0,654.34,NSE/DCB
2007-03-13,63.15,64.75,63.0,64.1,63.9,430501.0,274.9,NSE/DCB
2007-03-14,63.0,63.7,60.0,63.25,63.1,409470.0,258.03,NSE/DCB
2007-03-15,64.0,66.0,60.5,61.5,61.2,750360.0,475.33,NSE/DCB
2007-03-16,62.0,63.7,60.4,60.85,60.9,618219.0,384.69,NSE/DCB
2007-03-19,62.0,62.25,61.0,61.3,61.25,252692.0,155.23,NSE/DCB
2007-03-20,61.35,64.0,61.35,63.15,63.05,366216.0,230.5,NSE/DCB
2007-03-21,63.5,65.85,62.8,65.25,64.95,1037155.0,672.92,NSE/DCB
2007-03-22,65.9,69.85,65.6,68.15,68.1,1193667.0,812.06,NSE/DCB
2007-03-23,68.45,69.3,67.3,67.65,67.55,518821.0,352.97,NSE/DCB
2007-03-26,67.65,69.4,66.7,67.5,67.45,266905.0,181.39,NSE/DCB
2007-03-28,67.05,68.95,64.05,68.3,68.3,514968.0,348.35,NSE/DCB
2007-03-29,68.0,71.8,67.45,70.5,70.15,375277.0,259.97,NSE/DCB
2007-03-30,71.5,71.95,68.2,69.0,69.15,507069.0,354.6,NSE/DCB
2007-04-02,68.0,68.0,62.6,64.45,64.75,1870998.0,1213.88,NSE/DCB
2007-04-03,65.15,66.0,64.0,64.1,64.3,329980.0,213.98,NSE/DCB
2007-04-04,65.45,66.5,64.5,64.5,64.8,275963.0,180.39,NSE/DCB
2007-04-05,65.0,65.4,63.8,64.1,64.25,363932.0,235.34,NSE/DCB
2007-04-09,64.95,67.3,64.95,66.1,66.1,462466.0,306.18,NSE/DCB
2007-04-10,66.0,71.1,66.0,69.65,69.8,1141832.0,792.02,NSE/DCB
2007-04-11,70.7,71.9,69.55,70.95,70.55,460751.0,327.25,NSE/DCB
2007-04-12,69.7,70.5,68.1,69.25,69.25,150252.0,104.01,NSE/DCB
2007-04-13,70.0,70.5,68.5,68.65,68.9,670055.0,468.95,NSE/DCB
2007-04-16,69.35,71.0,68.75,69.6,69.5,231997.0,162.08,NSE/DCB
2007-04-17,70.45,70.45,68.7,68.9,69.1,266288.0,185.54,NSE/DCB
2007-04-18,69.35,71.25,69.15,70.0,69.95,392508.0,275.37,NSE/DCB
2007-04-19,67.2,71.7,66.2,70.35,70.15,422880.0,297.18,NSE/DCB
2007-04-20,71.05,72.45,69.25,69.25,69.65,402103.0,283.92,NSE/DCB
2007-04-23,70.0,71.35,67.5,67.5,67.85,205084.0,140.95,NSE/DCB
2007-04-24,69.4,70.5,67.25,68.4,68.55,838845.0,583.2,NSE/DCB
2007-04-25,68.95,69.9,68.1,68.75,68.8,459313.0,317.18,NSE/DCB
2007-04-26,69.5,69.5,68.25,69.1,68.85,270517.0,186.38,NSE/DCB
2007-04-27,69.0,74.3,68.3,71.9,71.85,1353188.0,970.64,NSE/DCB
2007-04-30,71.8,76.4,71.35,75.75,75.5,1495366.0,1117.25,NSE/DCB
2007-05-03,76.7,80.7,76.5,78.8,79.0,1798674.0,1420.38,NSE/DCB
2007-05-04,79.8,81.4,74.0,74.25,74.35,1640410.0,1262.41,NSE/DCB
2007-05-07,76.0,77.0,74.9,77.0,76.55,521923.0,396.11,NSE/DCB
2007-05-08,77.9,81.25,76.0,79.0,79.15,1595821.0,1268.63,NSE/DCB
2007-05-09,79.75,79.9,76.6,77.65,77.4,580216.0,451.93,NSE/DCB
2007-05-10,78.4,83.95,77.8,81.9,81.65,3084426.0,2534.77,NSE/DCB
2007-05-11,79.5,93.9,78.7,90.7,90.2,6300614.0,5531.39,NSE/DCB
2007-05-14,91.3,100.25,87.7,97.6,97.85,7716522.0,7344.98,NSE/DCB
2007-05-15,97.5,98.45,92.0,92.8,93.1,3723625.0,3516.73,NSE/DCB
2007-05-16,93.3,99.9,93.2,98.7,98.4,3746065.0,3659.92,NSE/DCB
2007-05-17,99.2,102.4,93.0,101.35,100.4,3480845.0,3499.25,NSE/DCB
2007-05-18,101.0,116.4,98.0,109.8,109.7,7854245.0,8574.2,NSE/DCB
2007-05-21,111.5,114.4,107.25,109.4,109.35,2820369.0,3133.64,NSE/DCB
2007-05-22,110.4,111.5,108.2,110.0,109.55,1306117.0,1435.47,NSE/DCB
2007-05-23,109.75,120.55,109.75,114.8,114.8,6554956.0,7727.29,NSE/DCB
2007-05-24,114.7,118.25,111.5,113.5,113.2,1622409.0,1861.49,NSE/DCB
2007-05-25,112.0,115.7,107.65,107.85,108.25,1762564.0,1966.08,NSE/DCB
2007-05-28,109.75,112.0,103.65,106.1,104.9,995545.0,1079.81,NSE/DCB
2007-05-29,105.5,109.0,105.5,107.0,106.6,689796.0,738.13,NSE/DCB
2007-05-30,106.95,110.8,101.55,101.95,102.05,1216384.0,1293.69,NSE/DCB
2007-05-31,102.5,105.4,96.95,96.95,96.95,1042404.0,1044.53,NSE/DCB
2007-06-01,97.5,101.8,97.05,101.8,101.8,472767.0,477.13,NSE/DCB
2007-06-04,103.15,105.8,100.0,100.0,100.1,706691.0,720.36,NSE/DCB
2007-06-05,100.3,101.35,97.6,98.55,98.45,729918.0,720.74,NSE/DCB
2007-06-06,99.45,101.4,97.0,99.1,99.25,463593.0,460.5,NSE/DCB
2007-06-07,99.0,100.65,97.6,99.0,99.0,410002.0,404.91,NSE/DCB
2007-06-08,99.0,103.5,94.75,95.65,96.6,899006.0,885.33,NSE/DCB
2007-06-11,97.65,99.95,91.9,92.1,92.35,597866.0,561.83,NSE/DCB
2007-06-12,92.95,94.4,88.5,89.85,90.15,1592735.0,1454.58,NSE/DCB
2007-06-13,90.85,94.25,90.05,92.45,92.1,770036.0,710.07,NSE/DCB
2007-06-14,93.0,94.5,92.55,93.9,93.7,308863.0,288.49,NSE/DCB
2007-06-15,94.8,94.8,91.45,92.0,92.05,273049.0,254.11,NSE/DCB
2007-06-18,93.0,93.3,91.0,91.05,91.2,180471.0,165.18,NSE/DCB
2007-06-19,91.8,95.8,89.8,95.8,95.8,776902.0,722.99,NSE/DCB
2007-06-20,97.4,100.6,97.2,100.6,100.6,1807575.0,1808.71,NSE/DCB
2007-06-21,102.25,103.9,99.6,100.25,101.25,683945.0,697.96,NSE/DCB
2007-06-22,101.7,103.0,100.0,100.35,100.7,397374.0,402.64,NSE/DCB
2007-06-25,101.45,102.9,100.5,101.7,101.45,298233.0,302.79,NSE/DCB
2007-06-26,102.0,102.5,101.0,101.5,101.6,266623.0,271.54,NSE/DCB
2007-06-27,101.9,106.7,100.75,104.6,104.25,920506.0,967.54,NSE/DCB
2007-06-28,105.85,106.0,102.0,104.5,105.1,410064.0,430.21,NSE/DCB
2007-06-29,105.7,107.0,104.25,104.25,105.0,358356.0,379.01,NSE/DCB
2007-07-02,105.0,105.9,103.0,103.4,103.25,229114.0,239.04,NSE/DCB
2007-07-03,105.45,106.9,103.6,104.6,104.7,362509.0,382.38,NSE/DCB
2007-07-04,105.5,105.9,102.0,104.4,104.45,272001.0,283.39,NSE/DCB
2007-07-05,104.0,105.8,101.55,105.45,105.05,355890.0,369.81,NSE/DCB
2007-07-06,102.0,106.0,102.0,102.6,102.65,413383.0,429.77,NSE/DCB
2007-07-09,103.1,111.8,103.1,109.4,109.35,2347468.0,2559.23,NSE/DCB
2007-07-10,110.0,113.2,106.15,109.95,110.1,2019080.0,2227.76,NSE/DCB
2007-07-11,110.8,115.4,110.0,110.8,111.5,1365778.0,1536.2,NSE/DCB
2007-07-12,112.9,113.15,111.3,112.2,112.05,519503.0,582.18,NSE/DCB
2007-07-13,113.0,115.7,111.5,112.4,112.3,1029121.0,1169.57,NSE/DCB
2007-07-16,112.75,116.85,111.0,115.5,115.2,1191814.0,1366.71,NSE/DCB
2007-07-17,116.8,119.75,115.5,117.5,117.05,1129947.0,1332.29,NSE/DCB
2007-07-18,117.9,117.9,112.65,114.55,114.5,393352.0,450.19,NSE/DCB
2007-07-19,115.4,122.85,114.1,117.55,117.5,1636998.0,1946.47,NSE/DCB
2007-07-20,118.5,119.7,112.0,113.05,112.95,709849.0,816.97,NSE/DCB
2007-07-23,113.25,115.45,111.3,113.0,112.65,345400.0,389.77,NSE/DCB
2007-07-24,114.4,115.25,111.9,112.75,112.6,355982.0,403.51,NSE/DCB
2007-07-25,112.5,113.4,108.1,109.7,109.4,382411.0,423.97,NSE/DCB
2007-07-26,109.95,111.8,108.1,110.8,110.2,245460.0,271.12,NSE/DCB
2007-07-27,109.0,109.5,104.9,109.0,108.3,335159.0,359.48,NSE/DCB
2007-07-30,108.7,112.3,106.5,111.0,110.5,433136.0,473.53,NSE/DCB
2007-07-31,112.0,112.1,101.55,104.0,104.0,1484732.0,1559.66,NSE/DCB
2007-08-01,103.75,103.75,99.4,100.7,100.75,572653.0,579.14,NSE/DCB
2007-08-02,100.1,102.25,98.3,100.55,99.9,424334.0,425.86,NSE/DCB
2007-08-03,101.4,105.0,101.0,105.0,104.6,434668.0,450.38,NSE/DCB
2007-08-06,101.15,103.3,99.3,102.3,102.05,324722.0,328.59,NSE/DCB
2007-08-07,104.0,108.5,103.5,106.85,106.5,682845.0,729.38,NSE/DCB
2007-08-08,108.95,110.0,106.75,107.4,107.15,362106.0,390.01,NSE/DCB
2007-08-09,107.5,109.0,103.0,104.0,104.0,274238.0,291.31,NSE/DCB
2007-08-10,100.0,103.25,98.0,103.0,102.8,301221.0,306.29,NSE/DCB
2007-08-13,104.8,106.0,103.0,104.6,104.5,194106.0,202.54,NSE/DCB
2007-08-14,107.0,107.95,104.25,104.9,104.75,166627.0,175.67,NSE/DCB
2007-08-16,98.1,102.7,96.25,100.75,100.25,197511.0,199.83,NSE/DCB
2007-08-17,101.0,102.0,98.5,101.0,100.95,272250.0,272.23,NSE/DCB
2007-08-20,102.7,106.0,101.5,101.5,102.2,119009.0,122.48,NSE/DCB
2007-08-21,103.0,103.0,97.65,98.4,98.45,116481.0,116.31,NSE/DCB
2007-08-22,99.5,103.0,96.1,101.4,101.35,177221.0,176.21,NSE/DCB
2007-08-23,103.2,103.6,97.75,99.5,99.8,182912.0,183.35,NSE/DCB
2007-08-24,101.0,101.0,98.1,98.8,98.9,78835.0,78.14,NSE/DCB
2007-08-27,100.9,102.0,99.9,101.1,101.15,114487.0,115.35,NSE/DCB
2007-08-28,101.15,102.2,100.0,100.7,100.9,68403.0,69.25,NSE/DCB
2007-08-29,99.0,102.5,98.0,102.5,101.65,88912.0,89.45,NSE/DCB
2007-08-30,102.5,104.0,101.5,102.4,102.05,119787.0,123.34,NSE/DCB
2007-08-31,102.9,103.9,100.35,101.75,101.85,103606.0,106.18,NSE/DCB
2007-09-03,102.45,105.8,102.0,105.8,105.4,230937.0,242.41,NSE/DCB
2007-09-04,105.9,107.5,104.65,105.0,105.65,157141.0,166.52,NSE/DCB
2007-09-05,106.0,106.6,104.8,105.25,105.55,90624.0,95.54,NSE/DCB
2007-09-06,101.4,115.35,101.4,112.35,112.6,1224922.0,1380.68,NSE/DCB
2007-09-07,114.0,114.4,109.55,111.0,110.4,351070.0,392.26,NSE/DCB
2007-09-10,108.0,109.8,105.0,109.5,108.8,302319.0,326.55,NSE/DCB
2007-09-11,109.1,110.8,107.7,108.1,108.05,157323.0,171.49,NSE/DCB
2007-09-12,109.0,109.8,107.0,107.0,107.2,111559.0,120.63,NSE/DCB
2007-09-13,108.5,111.6,107.05,107.2,107.65,181158.0,197.75,NSE/DCB
2007-09-14,108.7,109.5,104.0,105.65,106.15,179037.0,191.55,NSE/DCB
2007-09-17,106.15,109.6,105.0,105.05,105.95,194162.0,208.13,NSE/DCB
2007-09-18,105.25,109.0,105.25,108.05,108.15,232464.0,249.01,NSE/DCB
2007-09-19,109.95,113.4,108.0,108.7,108.55,308849.0,338.8,NSE/DCB
2007-09-20,108.95,110.5,106.1,107.0,106.7,2433476.0,2641.23,NSE/DCB
2007-09-21,107.3,109.45,106.75,108.0,107.8,209852.0,227.11,NSE/DCB
2007-09-24,109.0,119.4,107.25,117.0,117.0,2242539.0,2531.1,NSE/DCB
2007-09-25,119.0,123.0,117.2,120.05,119.55,1468023.0,1767.01,NSE/DCB
2007-09-26,119.95,120.45,114.0,116.1,117.0,952299.0,1107.42,NSE/DCB
2007-09-27,118.8,118.9,114.0,116.2,116.1,293795.0,339.71,NSE/DCB
2007-09-28,117.4,127.8,112.6,124.8,123.65,1508644.0,1833.75,NSE/DCB
2007-10-01,124.0,126.8,118.55,119.4,119.1,732250.0,888.86,NSE/DCB
2007-10-03,121.05,124.0,111.0,117.2,117.4,788286.0,927.94,NSE/DCB
2007-10-04,117.95,119.0,114.0,118.15,117.95,297665.0,348.55,NSE/DCB
2007-10-05,119.9,119.9,114.1,114.1,115.3,216136.0,253.16,NSE/DCB
2007-10-08,117.0,117.9,103.3,106.0,106.45,405945.0,435.85,NSE/DCB
2007-10-09,106.0,112.0,100.6,112.0,111.4,263848.0,288.03,NSE/DCB
2007-10-10,114.0,115.2,108.9,110.0,110.2,224009.0,250.05,NSE/DCB
2007-10-11,112.0,115.0,108.05,113.4,113.65,195465.0,221.07,NSE/DCB
2007-10-12,112.0,113.0,108.0,108.9,109.0,189079.0,209.31,NSE/DCB
2007-10-15,109.0,113.4,108.0,111.0,111.85,119081.0,133.3,NSE/DCB
2007-10-16,111.6,113.9,109.1,109.2,109.6,166078.0,183.83,NSE/DCB
2007-10-17,108.0,108.9,98.0,105.5,105.55,246674.0,259.99,NSE/DCB
2007-10-18,108.0,109.9,102.5,105.0,104.25,308625.0,328.39,NSE/DCB
2007-10-19,104.5,105.9,99.0,100.0,100.1,207747.0,209.5,NSE/DCB
2007-10-22,97.1,104.5,97.1,100.3,100.75,133642.0,135.16,NSE/DCB
2007-10-23,103.7,107.0,102.0,106.8,105.15,391873.0,410.25,NSE/DCB
2007-10-24,108.0,109.7,104.1,104.5,104.65,386485.0,409.55,NSE/DCB
2007-10-25,106.4,106.95,103.25,103.8,104.05,284636.0,297.62,NSE/DCB
2007-10-26,106.0,106.4,101.1,102.0,102.25,455946.0,474.6,NSE/DCB
2007-10-29,105.0,110.2,104.0,109.1,109.4,953555.0,1031.5,NSE/DCB
2007-10-30,108.1,112.0,105.2,106.3,106.2,650679.0,706.97,NSE/DCB
2007-10-31,108.0,109.0,106.5,107.2,107.3,371369.0,400.4,NSE/DCB
2007-11-01,109.0,114.8,105.2,107.5,107.75,992522.0,1085.59,NSE/DCB
2007-11-02,105.3,107.8,102.25,104.15,103.9,668561.0,696.12,NSE/DCB
2007-11-05,105.25,117.5,105.0,112.0,112.15,1723514.0,1951.85,NSE/DCB
