Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-12-22,201.35,201.35,166.0,167.5,169.2,2927355.0,5175.73,NSE/DCHL
2004-12-23,169.95,175.0,166.55,169.55,168.75,853491.0,1452.99,NSE/DCHL
2004-12-24,171.8,171.9,165.0,165.55,165.6,349030.0,585.32,NSE/DCHL
2004-12-27,166.8,166.8,162.35,164.9,164.5,253588.0,416.32,NSE/DCHL
2004-12-28,164.05,168.3,162.1,162.1,163.1,197952.0,325.99,NSE/DCHL
2004-12-29,163.8,163.95,155.0,155.6,156.2,215726.0,341.65,NSE/DCHL
2004-12-30,157.7,157.75,150.2,151.0,151.3,147440.0,226.42,NSE/DCHL
2004-12-31,151.0,152.65,148.0,149.5,150.75,183213.0,276.39,NSE/DCHL
2005-01-03,151.0,152.0,148.15,149.5,149.7,128940.0,194.42,NSE/DCHL
2005-01-04,150.0,150.5,145.1,146.5,146.4,93859.0,138.88,NSE/DCHL
2005-01-05,146.0,147.8,122.25,139.05,140.2,128472.0,183.71,NSE/DCHL
2005-01-06,139.0,139.0,133.5,133.9,134.5,101858.0,138.41,NSE/DCHL
2005-01-07,135.9,147.0,133.55,146.15,145.6,247048.0,353.75,NSE/DCHL
2005-01-10,147.0,147.0,140.15,141.0,141.55,72018.0,103.24,NSE/DCHL
2005-01-11,140.15,142.75,135.3,137.65,136.75,45444.0,63.34,NSE/DCHL
2005-01-12,138.5,138.5,128.4,129.0,130.05,50692.0,67.52,NSE/DCHL
2005-01-13,132.4,135.0,131.0,133.5,134.05,39607.0,52.87,NSE/DCHL
2005-01-14,135.8,136.0,129.3,129.5,130.75,53602.0,70.72,NSE/DCHL
2005-01-17,132.6,135.0,126.25,127.1,127.9,35775.0,46.04,NSE/DCHL
2005-01-18,129.45,129.9,126.0,126.0,126.8,42064.0,53.97,NSE/DCHL
2005-01-19,129.0,147.85,128.15,139.3,137.2,913964.0,1286.47,NSE/DCHL
2005-01-20,139.0,139.0,132.0,132.35,133.25,162659.0,219.48,NSE/DCHL
