Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,51.05,51.05,51.05,51.05,51.05,66.0,0.03,NSE/DCMSRMCONS
2001-01-02,51.0,52.9,51.0,51.5,51.5,83.0,0.04,NSE/DCMSRMCONS
2001-01-03,51.5,52.5,51.0,51.55,51.55,1599.0,0.83,NSE/DCMSRMCONS
2001-01-04,54.0,54.0,52.0,52.0,52.0,255.0,0.14,NSE/DCMSRMCONS
2001-01-05,51.5,51.5,51.5,51.5,51.5,6.0,0.0,NSE/DCMSRMCONS
2001-01-08,51.5,52.5,51.5,51.5,51.5,236.0,0.12,NSE/DCMSRMCONS
2001-01-09,51.5,54.95,51.5,51.75,51.75,769.0,0.4,NSE/DCMSRMCONS
2001-01-10,51.0,51.3,51.0,51.3,51.3,110.0,0.06,NSE/DCMSRMCONS
2001-01-12,52.0,52.0,51.6,51.6,51.6,296.0,0.15,NSE/DCMSRMCONS
2001-01-15,51.6,51.6,51.6,51.6,51.6,12.0,0.01,NSE/DCMSRMCONS
2001-01-16,51.6,51.75,51.6,51.6,51.6,153.0,0.08,NSE/DCMSRMCONS
2001-01-17,51.5,51.5,51.5,51.5,51.5,58.0,0.03,NSE/DCMSRMCONS
2001-01-18,53.0,53.0,53.0,53.0,53.0,238.0,0.13,NSE/DCMSRMCONS
2001-01-19,52.0,52.5,52.0,52.5,52.5,288.0,0.15,NSE/DCMSRMCONS
2001-01-22,52.0,52.05,51.75,51.75,52.05,239.0,0.12,NSE/DCMSRMCONS
2001-01-23,53.5,53.5,51.5,51.5,51.75,1126.0,0.58,NSE/DCMSRMCONS
2001-01-24,52.0,53.0,52.0,52.0,52.0,465.0,0.24,NSE/DCMSRMCONS
2001-01-25,51.5,53.0,51.5,53.0,53.0,133.0,0.07,NSE/DCMSRMCONS
2001-01-29,53.9,55.5,52.0,52.6,52.6,653.0,0.36,NSE/DCMSRMCONS
2001-01-30,51.5,52.1,51.5,52.1,52.1,158.0,0.08,NSE/DCMSRMCONS
2001-01-31,53.9,55.0,52.7,53.25,53.25,632.0,0.34,NSE/DCMSRMCONS
2001-02-01,53.0,56.4,53.0,56.4,56.4,3215.0,1.75,NSE/DCMSRMCONS
2001-02-02,55.0,58.95,54.0,58.95,58.95,717.0,0.4,NSE/DCMSRMCONS
2001-02-05,54.25,57.0,54.25,55.1,55.1,1010.0,0.56,NSE/DCMSRMCONS
2001-02-06,57.0,59.0,54.6,59.0,59.0,1685.0,0.98,NSE/DCMSRMCONS
2001-02-07,60.0,63.75,60.0,63.75,63.75,1541.0,0.97,NSE/DCMSRMCONS
2001-02-08,65.75,68.85,65.75,67.5,68.05,3040.0,2.08,NSE/DCMSRMCONS
2001-02-09,67.5,73.5,67.5,73.5,73.5,4187.0,3.07,NSE/DCMSRMCONS
2001-02-12,73.5,77.85,68.0,71.0,71.0,6881.0,4.89,NSE/DCMSRMCONS
2001-02-13,71.0,71.1,68.0,69.0,69.05,2499.0,1.73,NSE/DCMSRMCONS
2001-02-14,68.0,69.75,65.05,69.5,67.9,24637.0,16.71,NSE/DCMSRMCONS
2001-02-15,65.05,70.0,65.05,68.25,68.25,2736.0,1.87,NSE/DCMSRMCONS
2001-02-16,66.0,67.0,66.0,66.1,66.1,1653.0,1.09,NSE/DCMSRMCONS
2001-02-19,68.0,68.0,65.25,65.3,65.3,1486.0,0.98,NSE/DCMSRMCONS
2001-02-20,63.55,64.45,63.25,64.45,63.65,871.0,0.55,NSE/DCMSRMCONS
2001-02-21,61.1,63.95,61.1,63.95,63.95,468.0,0.29,NSE/DCMSRMCONS
2001-02-22,60.55,60.55,58.9,59.55,59.55,582.0,0.34,NSE/DCMSRMCONS
2001-02-23,59.0,63.85,56.1,56.8,56.8,413.0,0.24,NSE/DCMSRMCONS
2001-02-26,56.7,56.7,56.7,56.7,56.7,100.0,0.06,NSE/DCMSRMCONS
2001-02-27,57.25,57.55,57.25,57.5,57.5,528.0,0.3,NSE/DCMSRMCONS
2001-02-28,56.0,60.0,56.0,58.05,58.05,164.0,0.1,NSE/DCMSRMCONS
2001-03-01,57.25,57.95,57.0,57.95,57.95,638.0,0.37,NSE/DCMSRMCONS
2001-03-02,57.9,57.95,56.0,57.0,57.0,247.0,0.14,NSE/DCMSRMCONS
2001-03-05,53.0,54.0,53.0,53.0,53.0,194.0,0.1,NSE/DCMSRMCONS
2001-03-07,53.0,54.0,52.0,54.0,54.0,831.0,0.44,NSE/DCMSRMCONS
2001-03-08,52.25,52.5,52.25,52.5,52.5,218.0,0.11,NSE/DCMSRMCONS
2001-03-09,51.0,51.0,51.0,51.0,51.0,20.0,0.01,NSE/DCMSRMCONS
2001-03-12,51.0,54.0,50.15,52.0,50.5,652.0,0.33,NSE/DCMSRMCONS
2001-03-13,48.1,51.0,48.0,48.0,48.0,300.0,0.15,NSE/DCMSRMCONS
2001-03-14,49.0,49.5,49.0,49.5,49.5,75.0,0.04,NSE/DCMSRMCONS
2001-03-15,48.0,50.9,48.0,50.0,49.25,1500.0,0.73,NSE/DCMSRMCONS
2001-03-16,50.0,50.25,49.95,50.0,50.0,2349.0,1.17,NSE/DCMSRMCONS
2001-03-19,50.1,51.0,50.0,51.0,51.0,1269.0,0.64,NSE/DCMSRMCONS
2001-03-20,48.5,51.0,48.5,51.0,51.0,321.0,0.16,NSE/DCMSRMCONS
2001-03-21,51.0,55.0,51.0,54.0,54.5,125370.0,65.7,NSE/DCMSRMCONS
2001-03-22,56.9,58.8,51.0,51.0,52.75,383.0,0.21,NSE/DCMSRMCONS
2001-03-26,51.5,51.5,50.0,50.0,50.0,155.0,0.08,NSE/DCMSRMCONS
2001-03-27,50.55,51.0,50.0,50.25,50.25,1185.0,0.6,NSE/DCMSRMCONS
2001-03-28,51.1,51.1,50.0,50.15,50.15,372.0,0.19,NSE/DCMSRMCONS
2001-03-29,52.0,53.0,52.0,53.0,53.0,130.0,0.07,NSE/DCMSRMCONS
2001-03-30,52.0,52.0,52.0,52.0,52.0,155.0,0.08,NSE/DCMSRMCONS
2001-04-02,48.0,53.5,48.0,53.5,53.5,266.0,0.13,NSE/DCMSRMCONS
2001-04-03,53.0,56.0,53.0,53.5,53.5,401.0,0.22,NSE/DCMSRMCONS
2001-04-04,53.0,57.75,52.0,57.0,57.0,39973.0,22.77,NSE/DCMSRMCONS
2001-04-06,61.5,61.5,59.0,61.45,61.45,638.0,0.39,NSE/DCMSRMCONS
2001-04-09,59.05,66.25,58.0,64.0,60.05,213860.0,131.82,NSE/DCMSRMCONS
2001-04-10,64.25,64.7,60.2,64.0,64.55,76408.0,48.47,NSE/DCMSRMCONS
2001-04-11,64.0,64.0,62.0,64.0,62.3,73002.0,45.54,NSE/DCMSRMCONS
2001-04-12,57.5,61.9,57.5,60.0,60.0,801.0,0.48,NSE/DCMSRMCONS
2001-04-16,60.0,61.9,60.0,61.9,61.9,1941.0,1.17,NSE/DCMSRMCONS
2001-04-17,62.0,62.95,58.0,62.95,60.05,26708.0,15.9,NSE/DCMSRMCONS
2001-04-18,62.0,64.0,61.5,63.65,62.65,76683.0,48.06,NSE/DCMSRMCONS
2001-04-19,60.1,65.0,60.1,63.9,63.9,84293.0,51.52,NSE/DCMSRMCONS
2001-04-20,60.3,65.0,59.9,65.0,64.5,1735.0,1.1,NSE/DCMSRMCONS
2001-04-23,64.85,64.85,59.5,63.9,60.2,29043.0,17.54,NSE/DCMSRMCONS
2001-04-24,64.0,64.0,59.0,63.0,59.75,116121.0,72.24,NSE/DCMSRMCONS
2001-04-25,63.85,63.95,60.05,63.0,63.0,2251.0,1.41,NSE/DCMSRMCONS
2001-04-26,66.55,66.55,63.0,65.0,64.75,4351.0,2.81,NSE/DCMSRMCONS
2001-04-27,61.1,61.15,61.1,61.15,61.15,10.0,0.01,NSE/DCMSRMCONS
2001-04-30,65.9,66.0,61.15,61.15,61.15,1207.0,0.76,NSE/DCMSRMCONS
2001-05-02,61.5,62.95,61.5,61.95,61.95,531.0,0.33,NSE/DCMSRMCONS
2001-05-03,62.0,62.3,61.5,62.1,62.1,751.0,0.47,NSE/DCMSRMCONS
2001-05-04,63.85,63.85,60.0,60.6,60.6,2860.0,1.75,NSE/DCMSRMCONS
2001-05-07,61.0,61.0,60.0,61.0,60.25,623.0,0.38,NSE/DCMSRMCONS
2001-05-08,60.1,61.0,59.5,60.25,60.2,20868.0,12.57,NSE/DCMSRMCONS
2001-05-09,64.5,64.5,62.5,63.5,63.5,328.0,0.21,NSE/DCMSRMCONS
2001-05-10,60.85,61.5,60.85,61.5,61.5,12.0,0.01,NSE/DCMSRMCONS
2001-05-11,60.1,61.5,60.0,60.0,60.0,739.0,0.44,NSE/DCMSRMCONS
2001-05-14,61.95,61.95,59.8,59.85,59.85,228.0,0.14,NSE/DCMSRMCONS
2001-05-15,59.65,60.0,57.35,57.35,59.15,52842.0,30.93,NSE/DCMSRMCONS
2001-05-16,60.0,60.0,58.0,58.0,58.0,131.0,0.08,NSE/DCMSRMCONS
2001-05-17,61.0,62.6,59.0,61.0,59.6,1963.0,1.18,NSE/DCMSRMCONS
2001-05-18,60.0,61.3,60.0,61.3,61.3,171.0,0.1,NSE/DCMSRMCONS
2001-05-21,60.0,60.0,59.55,59.55,59.55,153.0,0.09,NSE/DCMSRMCONS
2001-05-22,58.75,60.9,58.75,59.95,59.2,491.0,0.29,NSE/DCMSRMCONS
2001-05-23,60.0,60.0,59.0,59.0,59.0,160.0,0.09,NSE/DCMSRMCONS
2001-05-24,59.0,60.6,59.0,59.0,59.0,1662.0,0.98,NSE/DCMSRMCONS
2001-05-25,59.0,63.45,58.0,59.95,59.95,98.0,0.06,NSE/DCMSRMCONS
2001-05-28,59.95,59.95,59.0,59.95,59.95,853.0,0.51,NSE/DCMSRMCONS
