Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,5.4,5.4,5.1,5.1,5.1,11262.0,0.59,NSE/DCW
2001-01-02,5.1,5.35,5.1,5.2,5.25,6653.0,0.35,NSE/DCW
2001-01-03,6.0,6.0,4.75,5.7,5.7,12244.0,0.66,NSE/DCW
2001-01-04,5.1,5.9,5.1,5.6,5.6,2611.0,0.15,NSE/DCW
2001-01-05,5.95,5.95,5.15,5.15,5.15,1542.0,0.08,NSE/DCW
2001-01-08,5.65,5.65,4.9,4.9,4.95,13387.0,0.68,NSE/DCW
2001-01-09,5.1,5.1,4.85,5.0,5.0,8356.0,0.42,NSE/DCW
2001-01-10,5.1,5.25,5.05,5.05,5.05,4000.0,0.21,NSE/DCW
2001-01-11,5.2,5.2,4.8,4.9,4.9,6807.0,0.34,NSE/DCW
2001-01-12,5.05,5.05,4.8,5.0,5.0,7194.0,0.35,NSE/DCW
2001-01-15,4.85,4.9,4.55,4.9,4.9,11690.0,0.55,NSE/DCW
2001-01-16,5.1,5.1,4.8,4.85,4.85,4286.0,0.21,NSE/DCW
2001-01-17,3.5,5.0,3.5,4.75,4.75,151.0,0.01,NSE/DCW
2001-01-18,5.1,5.9,5.0,5.05,5.05,9876.0,0.51,NSE/DCW
2001-01-19,5.85,5.85,5.1,5.15,5.15,4746.0,0.25,NSE/DCW
2001-01-22,5.45,5.45,4.85,5.0,5.0,1697.0,0.09,NSE/DCW
2001-01-23,5.0,5.3,4.5,4.95,5.05,13503.0,0.68,NSE/DCW
2001-01-24,2.6,5.35,2.6,5.25,5.25,3062.0,0.15,NSE/DCW
2001-01-25,4.55,5.25,4.55,5.1,5.1,9960.0,0.51,NSE/DCW
2001-01-29,5.1,5.1,4.8,5.0,5.0,10500.0,0.51,NSE/DCW
2001-01-30,5.0,5.65,5.0,5.6,5.55,41398.0,2.23,NSE/DCW
2001-01-31,5.0,6.25,5.0,5.7,5.75,32474.0,1.9,NSE/DCW
2001-02-01,5.95,6.2,5.6,6.0,5.95,20692.0,1.22,NSE/DCW
2001-02-02,5.75,5.85,5.6,5.75,5.7,5050.0,0.29,NSE/DCW
2001-02-05,5.5,5.95,5.4,5.75,5.75,6620.0,0.38,NSE/DCW
2001-02-06,5.6,5.8,5.3,5.6,5.65,33719.0,1.92,NSE/DCW
2001-02-07,5.85,7.0,5.85,6.5,6.5,78341.0,5.0,NSE/DCW
2001-02-08,6.65,7.7,6.65,7.05,7.1,66535.0,4.84,NSE/DCW
2001-02-09,7.45,8.65,7.05,8.05,8.05,133780.0,10.69,NSE/DCW
2001-02-12,8.4,9.05,8.25,8.35,8.45,203559.0,17.75,NSE/DCW
2001-02-13,8.9,8.9,7.4,8.5,8.0,140597.0,11.15,NSE/DCW
2001-02-14,7.95,8.1,7.6,7.9,7.95,35550.0,2.8,NSE/DCW
2001-02-15,8.0,8.25,7.8,8.1,8.1,31931.0,2.56,NSE/DCW
