Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-06-19,70.0,70.0,43.5,43.55,44.65,15436182.0,8134.14,NSE/DECOLIGHT
2007-06-20,46.0,46.75,41.65,44.05,44.2,4939590.0,2180.83,NSE/DECOLIGHT
2007-06-21,45.15,45.15,41.75,41.9,42.2,939779.0,404.37,NSE/DECOLIGHT
2007-06-22,42.5,42.75,38.0,38.15,38.5,950592.0,376.83,NSE/DECOLIGHT
2007-06-25,39.4,39.4,37.0,38.25,38.1,935811.0,356.49,NSE/DECOLIGHT
2007-06-26,38.2,45.35,37.85,42.4,42.7,3732737.0,1601.22,NSE/DECOLIGHT
2007-06-27,42.75,42.75,39.6,39.75,39.95,700321.0,287.87,NSE/DECOLIGHT
2007-06-28,40.7,40.7,38.15,38.9,38.7,277564.0,109.46,NSE/DECOLIGHT
2007-06-29,39.9,42.0,37.5,37.8,37.9,248191.0,95.49,NSE/DECOLIGHT
2007-07-02,38.5,40.4,37.4,38.5,38.25,266288.0,103.09,NSE/DECOLIGHT
2007-07-03,39.0,40.3,38.05,38.8,38.65,416954.0,163.59,NSE/DECOLIGHT
2007-07-04,38.25,38.7,37.7,37.8,37.9,144264.0,55.09,NSE/DECOLIGHT
2007-07-05,37.6,38.4,36.5,36.5,36.7,105096.0,39.01,NSE/DECOLIGHT
2007-07-06,37.0,37.0,35.1,35.75,35.6,103085.0,37.27,NSE/DECOLIGHT
2007-07-09,36.8,36.85,35.4,35.5,35.65,103892.0,37.49,NSE/DECOLIGHT
2007-07-10,35.05,36.4,34.5,35.3,35.35,216701.0,76.96,NSE/DECOLIGHT
2007-07-11,35.35,35.75,34.65,35.0,35.05,122225.0,43.1,NSE/DECOLIGHT
2007-07-12,35.75,35.75,34.7,35.0,35.0,77353.0,27.29,NSE/DECOLIGHT
2007-07-13,35.6,35.75,34.1,34.6,34.5,114199.0,39.8,NSE/DECOLIGHT
2007-07-16,35.0,35.0,33.65,34.1,33.8,109604.0,37.36,NSE/DECOLIGHT
2007-07-17,34.5,34.55,33.0,33.0,33.15,110838.0,37.37,NSE/DECOLIGHT
2007-07-18,32.75,33.3,31.55,31.85,31.9,86601.0,27.96,NSE/DECOLIGHT
2007-07-19,32.45,35.25,31.5,33.25,33.15,283980.0,95.45,NSE/DECOLIGHT
2007-07-20,33.0,33.7,31.5,31.65,31.9,103025.0,33.58,NSE/DECOLIGHT
2007-07-23,30.1,32.3,30.1,30.75,31.15,86077.0,27.15,NSE/DECOLIGHT
2007-07-24,31.6,31.7,30.1,30.15,30.3,53500.0,16.4,NSE/DECOLIGHT
2007-07-25,30.0,30.7,29.1,29.75,29.6,84790.0,25.28,NSE/DECOLIGHT
2007-07-26,30.9,31.9,29.6,30.0,30.15,402224.0,122.34,NSE/DECOLIGHT
2007-07-27,30.0,30.3,28.5,28.85,28.75,74094.0,21.6,NSE/DECOLIGHT
2007-07-30,28.2,29.4,28.2,28.75,28.65,66772.0,19.24,NSE/DECOLIGHT
2007-07-31,29.1,29.3,28.4,28.95,28.75,57670.0,16.57,NSE/DECOLIGHT
2007-08-01,28.25,28.3,26.6,26.75,27.0,49947.0,13.77,NSE/DECOLIGHT
2007-08-02,27.6,28.1,26.0,26.7,27.0,70945.0,19.4,NSE/DECOLIGHT
2007-08-03,27.6,27.7,26.55,26.85,26.7,49153.0,13.27,NSE/DECOLIGHT
2007-08-06,26.45,26.65,25.8,26.4,26.35,33773.0,8.89,NSE/DECOLIGHT
2007-08-07,26.1,29.7,26.1,27.9,27.9,199468.0,56.36,NSE/DECOLIGHT
2007-08-08,28.6,29.0,28.15,28.8,28.45,58731.0,16.77,NSE/DECOLIGHT
2007-08-09,28.8,28.8,27.15,27.3,27.45,49032.0,13.75,NSE/DECOLIGHT
2007-08-10,26.1,26.9,25.7,26.7,26.4,40288.0,10.66,NSE/DECOLIGHT
2007-08-13,27.15,28.7,27.0,27.45,27.95,79928.0,22.24,NSE/DECOLIGHT
2007-08-14,28.35,28.45,27.25,27.25,27.4,25804.0,7.14,NSE/DECOLIGHT
2007-08-16,27.2,27.2,26.1,26.35,26.25,28849.0,7.65,NSE/DECOLIGHT
2007-08-17,25.9,26.9,25.2,25.55,25.55,42745.0,11.09,NSE/DECOLIGHT
2007-08-20,26.0,26.7,26.0,26.2,26.35,40617.0,10.69,NSE/DECOLIGHT
2007-08-21,26.35,26.65,24.3,24.7,24.85,36939.0,9.34,NSE/DECOLIGHT
2007-08-22,24.25,25.4,22.75,23.05,23.15,65414.0,15.39,NSE/DECOLIGHT
2007-08-23,23.4,24.35,22.55,22.95,22.9,42893.0,10.11,NSE/DECOLIGHT
2007-08-24,23.1,23.35,22.5,22.95,22.9,61459.0,14.05,NSE/DECOLIGHT
2007-08-27,23.6,23.6,23.05,23.35,23.15,29934.0,6.96,NSE/DECOLIGHT
2007-08-28,23.25,23.45,22.8,23.15,23.15,29859.0,6.93,NSE/DECOLIGHT
2007-08-29,22.9,24.7,22.9,24.1,24.15,48529.0,11.64,NSE/DECOLIGHT
2007-08-30,24.5,24.65,24.0,24.3,24.35,23500.0,5.71,NSE/DECOLIGHT
2007-08-31,22.85,24.5,22.85,23.7,23.9,17240.0,4.14,NSE/DECOLIGHT
2007-09-03,24.4,24.8,24.0,24.7,24.5,20186.0,4.92,NSE/DECOLIGHT
2007-09-04,24.05,26.0,24.05,25.65,25.7,98868.0,25.18,NSE/DECOLIGHT
2007-09-05,26.0,30.85,26.0,30.85,30.85,1109955.0,329.69,NSE/DECOLIGHT
2007-09-06,33.85,36.4,31.5,35.05,35.35,2240372.0,773.96,NSE/DECOLIGHT
2007-09-07,35.6,37.3,33.95,34.9,34.7,1236305.0,445.19,NSE/DECOLIGHT
2007-09-10,34.2,34.6,33.25,33.65,33.5,260440.0,88.62,NSE/DECOLIGHT
2007-09-11,34.5,34.65,32.3,32.45,32.65,168277.0,56.54,NSE/DECOLIGHT
2007-09-12,33.5,35.95,29.4,29.4,29.4,2582547.0,820.81,NSE/DECOLIGHT
2007-09-13,29.5,30.6,26.5,29.8,29.95,870872.0,251.91,NSE/DECOLIGHT
2007-09-14,30.5,30.95,28.6,28.75,28.9,172786.0,51.24,NSE/DECOLIGHT
2007-09-17,29.0,29.9,27.05,28.4,28.4,87564.0,25.05,NSE/DECOLIGHT
2007-09-18,28.25,29.2,28.2,28.7,28.65,129235.0,37.15,NSE/DECOLIGHT
2007-09-19,29.0,29.2,28.5,28.7,28.6,74712.0,21.53,NSE/DECOLIGHT
2007-09-20,28.6,28.85,27.45,27.75,27.7,88148.0,24.76,NSE/DECOLIGHT
2007-09-21,27.95,29.2,27.2,28.0,28.0,125989.0,35.66,NSE/DECOLIGHT
2007-09-24,29.0,29.1,26.8,27.25,27.1,67985.0,18.68,NSE/DECOLIGHT
2007-09-25,27.9,28.0,26.0,26.55,26.65,79482.0,21.24,NSE/DECOLIGHT
2007-09-26,26.55,28.75,26.1,27.25,27.45,147155.0,40.82,NSE/DECOLIGHT
2007-09-27,28.0,28.0,27.2,27.5,27.5,61811.0,17.13,NSE/DECOLIGHT
2007-09-28,27.15,27.7,26.6,27.0,26.85,70773.0,19.21,NSE/DECOLIGHT
2007-10-01,26.65,27.5,26.2,26.95,26.75,61561.0,16.52,NSE/DECOLIGHT
2007-10-03,27.45,27.5,26.0,26.5,26.3,82573.0,21.93,NSE/DECOLIGHT
2007-10-04,26.5,26.7,26.0,26.0,26.2,37306.0,9.76,NSE/DECOLIGHT
2007-10-05,26.1,26.4,25.55,25.55,25.6,34104.0,8.85,NSE/DECOLIGHT
2007-10-08,25.9,25.9,24.5,24.9,24.8,48730.0,12.19,NSE/DECOLIGHT
2007-10-09,24.5,25.5,24.1,25.5,25.1,54111.0,13.38,NSE/DECOLIGHT
2007-10-10,25.0,26.0,24.0,24.6,24.45,74401.0,18.6,NSE/DECOLIGHT
2007-10-11,24.3,25.9,24.0,25.9,25.25,43321.0,10.75,NSE/DECOLIGHT
2007-10-12,25.1,25.5,24.5,24.75,24.6,33988.0,8.48,NSE/DECOLIGHT
2007-10-15,25.4,25.75,24.7,24.7,25.0,63490.0,16.09,NSE/DECOLIGHT
2007-10-16,26.0,26.0,24.25,24.85,24.9,31159.0,7.79,NSE/DECOLIGHT
2007-10-17,23.1,25.1,23.0,24.75,24.45,52676.0,12.77,NSE/DECOLIGHT
2007-10-18,23.75,26.0,23.75,24.5,24.7,46392.0,11.58,NSE/DECOLIGHT
2007-10-19,24.0,24.45,23.0,23.25,23.3,37954.0,8.96,NSE/DECOLIGHT
2007-10-22,23.75,24.0,23.0,23.9,23.8,29866.0,7.01,NSE/DECOLIGHT
2007-10-23,24.75,24.75,23.9,24.1,24.05,44641.0,10.82,NSE/DECOLIGHT
2007-10-24,23.7,25.2,23.7,24.75,24.5,70854.0,17.41,NSE/DECOLIGHT
2007-10-25,24.6,25.6,24.5,25.35,25.2,50932.0,12.78,NSE/DECOLIGHT
2007-10-26,25.5,25.6,24.55,25.3,25.25,44590.0,11.29,NSE/DECOLIGHT
2007-10-29,25.05,26.25,23.45,24.8,24.95,54633.0,13.86,NSE/DECOLIGHT
2007-10-30,24.1,24.95,24.1,24.75,24.6,28314.0,6.97,NSE/DECOLIGHT
2007-10-31,24.1,25.1,24.1,24.4,24.5,33354.0,8.24,NSE/DECOLIGHT
2007-11-01,25.4,25.5,23.5,23.65,23.95,37750.0,9.15,NSE/DECOLIGHT
2007-11-02,23.45,24.05,23.4,24.05,23.95,38303.0,9.16,NSE/DECOLIGHT
2007-11-05,23.55,26.35,23.55,26.35,26.35,48778.0,12.68,NSE/DECOLIGHT
2007-11-06,27.9,29.0,26.55,26.55,26.7,141213.0,39.46,NSE/DECOLIGHT
2007-11-07,26.5,27.4,22.15,26.1,26.05,53110.0,13.91,NSE/DECOLIGHT
2007-11-08,26.1,26.5,25.5,26.4,25.85,21233.0,5.5,NSE/DECOLIGHT
2007-11-09,26.5,27.9,25.5,27.45,27.2,37052.0,10.09,NSE/DECOLIGHT
2007-11-12,26.35,26.75,25.7,26.35,26.15,21910.0,5.73,NSE/DECOLIGHT
2007-11-13,26.4,27.0,26.0,26.4,26.4,31961.0,8.46,NSE/DECOLIGHT
2007-11-14,26.95,27.9,26.3,27.2,27.2,79674.0,21.61,NSE/DECOLIGHT
2007-11-15,28.1,28.1,26.15,26.5,26.55,42124.0,11.37,NSE/DECOLIGHT
2007-11-16,27.1,27.5,26.7,27.15,27.1,33446.0,9.06,NSE/DECOLIGHT
2007-11-19,27.6,31.5,27.6,30.3,30.75,248260.0,74.92,NSE/DECOLIGHT
2007-11-20,30.05,32.7,30.05,30.6,30.65,200781.0,63.31,NSE/DECOLIGHT
2007-11-21,31.0,31.0,27.0,27.85,27.5,65001.0,18.91,NSE/DECOLIGHT
2007-11-22,27.95,27.95,23.3,26.65,26.55,48968.0,13.04,NSE/DECOLIGHT
2007-11-23,27.0,28.0,26.85,26.9,27.05,31690.0,8.67,NSE/DECOLIGHT
2007-11-26,27.95,29.0,27.2,27.3,27.5,54079.0,15.25,NSE/DECOLIGHT
2007-11-27,27.0,28.15,26.7,27.4,27.45,25870.0,7.11,NSE/DECOLIGHT
2007-11-28,27.8,27.9,27.1,27.1,27.25,18755.0,5.15,NSE/DECOLIGHT
2007-11-29,28.5,28.5,26.4,26.4,26.6,32193.0,8.73,NSE/DECOLIGHT
2007-11-30,26.0,27.55,25.65,26.5,26.95,32158.0,8.7,NSE/DECOLIGHT
2007-12-03,28.0,32.35,26.45,32.35,32.3,493118.0,153.75,NSE/DECOLIGHT
2007-12-04,33.8,33.95,31.0,31.2,31.25,279325.0,89.37,NSE/DECOLIGHT
2007-12-05,31.85,34.5,31.1,33.0,33.05,307910.0,101.36,NSE/DECOLIGHT
2007-12-06,33.05,34.45,30.1,30.9,31.55,200701.0,65.87,NSE/DECOLIGHT
2007-12-07,32.05,32.85,29.5,29.9,30.2,161496.0,49.6,NSE/DECOLIGHT
2007-12-10,31.25,31.25,29.6,30.5,30.5,158091.0,47.9,NSE/DECOLIGHT
2007-12-11,30.95,33.4,30.95,32.35,32.35,316051.0,101.91,NSE/DECOLIGHT
2007-12-12,32.35,38.85,31.75,37.5,37.8,1046001.0,381.66,NSE/DECOLIGHT
2007-12-13,38.0,38.9,36.1,37.1,37.05,571161.0,213.13,NSE/DECOLIGHT
2007-12-14,38.5,42.0,37.0,39.55,39.6,694132.0,276.95,NSE/DECOLIGHT
2007-12-17,41.0,41.5,33.0,36.45,36.3,304376.0,119.41,NSE/DECOLIGHT
2007-12-18,35.0,37.0,33.25,35.25,34.8,130623.0,45.42,NSE/DECOLIGHT
2007-12-19,36.8,38.75,36.0,37.2,36.8,154147.0,57.47,NSE/DECOLIGHT
2007-12-20,37.45,39.1,36.0,36.15,36.5,318149.0,119.59,NSE/DECOLIGHT
2007-12-24,37.5,37.9,32.6,36.05,36.45,117316.0,43.22,NSE/DECOLIGHT
2007-12-26,36.95,39.6,36.75,38.65,38.7,264866.0,102.29,NSE/DECOLIGHT
2007-12-27,39.45,40.5,38.1,38.8,38.85,179759.0,70.85,NSE/DECOLIGHT
2007-12-28,38.5,39.45,37.8,38.05,38.15,92678.0,35.61,NSE/DECOLIGHT
2007-12-31,38.7,44.0,38.7,42.65,42.7,625524.0,262.47,NSE/DECOLIGHT
2008-01-01,43.6,46.75,43.5,44.8,44.65,609419.0,274.57,NSE/DECOLIGHT
2008-01-02,45.15,45.5,42.4,43.45,43.35,263548.0,115.27,NSE/DECOLIGHT
2008-01-03,43.8,48.0,42.6,44.5,44.45,690229.0,315.64,NSE/DECOLIGHT
2008-01-04,45.7,47.0,42.5,42.5,43.35,283680.0,127.2,NSE/DECOLIGHT
2008-01-07,41.0,44.4,41.0,42.9,42.55,156111.0,67.65,NSE/DECOLIGHT
2008-01-08,42.85,44.9,38.0,42.0,42.3,369387.0,155.72,NSE/DECOLIGHT
2008-01-09,42.0,42.8,40.0,40.4,40.6,132936.0,54.48,NSE/DECOLIGHT
2008-01-10,40.8,42.15,37.0,37.05,37.65,105573.0,42.16,NSE/DECOLIGHT
2008-01-11,36.0,38.4,35.45,36.0,36.05,91766.0,33.18,NSE/DECOLIGHT
2008-01-14,37.3,39.85,35.7,37.55,37.45,136128.0,51.19,NSE/DECOLIGHT
2008-01-15,38.45,39.3,37.0,37.05,37.35,56650.0,21.7,NSE/DECOLIGHT
2008-01-16,36.1,36.9,35.0,35.55,35.5,50348.0,18.13,NSE/DECOLIGHT
2008-01-17,35.0,37.75,35.0,36.5,36.35,57504.0,21.07,NSE/DECOLIGHT
2008-01-18,36.7,36.7,33.2,33.8,33.9,31413.0,11.02,NSE/DECOLIGHT
2008-01-21,30.15,32.5,27.15,27.8,27.35,88757.0,26.12,NSE/DECOLIGHT
2008-01-22,27.0,27.75,21.9,24.0,24.75,60673.0,13.81,NSE/DECOLIGHT
2008-01-23,24.05,28.8,24.0,26.9,27.5,40830.0,10.83,NSE/DECOLIGHT
2008-01-24,29.5,29.5,23.2,25.55,25.3,58310.0,15.3,NSE/DECOLIGHT
