Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-09-29,184.9,184.9,176.2,177.25,177.3,2314.0,4.17,NSE/DEEPAKNTR
2010-09-30,174.15,183.0,174.15,180.15,179.6,1058.0,1.88,NSE/DEEPAKNTR
2010-10-01,176.15,180.0,176.15,178.0,178.05,236.0,0.42,NSE/DEEPAKNTR
2010-10-04,190.0,199.0,178.9,180.0,179.85,480.0,0.89,NSE/DEEPAKNTR
2010-10-05,190.0,190.0,171.5,180.5,180.45,1035.0,1.87,NSE/DEEPAKNTR
2010-10-06,186.0,186.0,178.55,184.0,183.2,1248.0,2.27,NSE/DEEPAKNTR
2010-10-07,183.2,184.75,179.5,179.5,179.55,237.0,0.43,NSE/DEEPAKNTR
2010-10-08,175.05,184.0,175.05,184.0,184.0,130.0,0.23,NSE/DEEPAKNTR
2010-10-11,184.0,184.75,181.1,184.75,184.75,422.0,0.78,NSE/DEEPAKNTR
2010-10-12,182.0,182.0,182.0,182.0,182.0,25.0,0.05,NSE/DEEPAKNTR
2010-10-13,183.0,184.0,183.0,184.0,184.0,7.0,0.01,NSE/DEEPAKNTR
2010-10-14,180.25,185.75,180.15,180.15,180.15,150.0,0.27,NSE/DEEPAKNTR
2010-10-15,183.0,192.0,180.15,191.0,190.85,4067.0,7.7,NSE/DEEPAKNTR
2010-10-18,186.95,192.75,186.95,191.95,191.55,2366.0,4.52,NSE/DEEPAKNTR
2010-10-19,184.0,192.0,184.0,187.55,187.55,1679.0,3.2,NSE/DEEPAKNTR
2010-10-21,190.0,191.0,187.6,188.1,188.1,600.0,1.14,NSE/DEEPAKNTR
2010-10-22,185.0,191.95,185.0,190.3,190.3,120.0,0.23,NSE/DEEPAKNTR
2010-10-25,188.0,199.3,188.0,190.0,190.75,467.0,0.91,NSE/DEEPAKNTR
2010-10-26,194.7,194.85,189.0,189.6,189.6,53.0,0.1,NSE/DEEPAKNTR
2010-10-27,191.0,196.0,190.05,195.95,195.95,226.0,0.43,NSE/DEEPAKNTR
2010-10-28,197.0,197.0,192.05,194.0,192.65,302.0,0.59,NSE/DEEPAKNTR
2010-10-29,191.1,193.5,191.1,192.5,192.5,303.0,0.58,NSE/DEEPAKNTR
2010-11-01,192.0,194.95,187.25,191.8,191.5,16747.0,32.03,NSE/DEEPAKNTR
2010-11-02,189.95,192.0,187.0,191.5,191.5,9782.0,18.55,NSE/DEEPAKNTR
2010-11-03,188.5,195.0,187.2,195.0,194.95,3865.0,7.46,NSE/DEEPAKNTR
2010-11-04,192.0,195.0,191.6,191.6,191.95,627.0,1.21,NSE/DEEPAKNTR
2010-11-08,192.0,199.0,192.0,197.0,196.15,1563.0,3.04,NSE/DEEPAKNTR
2010-11-09,197.0,197.0,192.0,193.0,193.7,401.0,0.77,NSE/DEEPAKNTR
2010-11-10,198.0,203.0,192.8,199.0,198.8,1089.0,2.17,NSE/DEEPAKNTR
2010-11-11,199.0,202.0,198.0,198.0,198.1,418.0,0.83,NSE/DEEPAKNTR
2010-11-12,198.8,200.35,196.6,197.55,197.5,498.0,0.98,NSE/DEEPAKNTR
2010-11-15,192.0,198.0,192.0,194.55,195.85,658.0,1.29,NSE/DEEPAKNTR
2010-11-16,192.5,195.0,185.0,194.0,194.0,5435.0,10.53,NSE/DEEPAKNTR
2010-11-18,190.05,190.05,190.05,190.05,190.05,55.0,0.1,NSE/DEEPAKNTR
2010-11-19,190.05,195.0,190.05,192.0,192.3,204.0,0.39,NSE/DEEPAKNTR
2010-11-22,192.0,194.0,192.0,192.1,192.1,769.0,1.49,NSE/DEEPAKNTR
2010-11-23,191.0,191.0,189.0,189.0,189.0,91.0,0.17,NSE/DEEPAKNTR
2010-11-24,193.95,193.95,189.0,190.25,190.25,1009.0,1.92,NSE/DEEPAKNTR
2010-11-25,195.0,195.0,176.05,188.5,188.5,466.0,0.88,NSE/DEEPAKNTR
2010-11-26,187.0,190.0,187.0,188.15,188.15,1676.0,3.15,NSE/DEEPAKNTR
2010-11-29,188.5,220.0,188.0,192.0,194.55,1416.0,2.77,NSE/DEEPAKNTR
2010-11-30,194.55,194.55,185.0,185.0,185.0,87.0,0.17,NSE/DEEPAKNTR
2010-12-02,194.95,197.9,194.0,194.05,194.05,494.0,0.96,NSE/DEEPAKNTR
2010-12-06,195.0,195.0,195.0,195.0,195.0,301.0,0.59,NSE/DEEPAKNTR
