Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-08-21,112.0,112.0,108.0,110.9,109.5,1300.0,1.43,NSE/DENORA
2007-08-22,106.3,110.8,106.3,108.0,108.0,331.0,0.36,NSE/DENORA
2007-08-23,108.1,108.1,104.05,105.0,104.6,1427.0,1.53,NSE/DENORA
2007-08-24,105.0,109.0,103.1,108.75,107.4,977.0,1.03,NSE/DENORA
2007-08-27,108.0,109.75,105.45,109.1,109.05,960.0,1.04,NSE/DENORA
2007-08-28,109.0,113.45,109.0,110.0,110.0,2003.0,2.2,NSE/DENORA
2007-08-29,110.9,111.5,109.0,110.9,111.3,870.0,0.96,NSE/DENORA
2007-08-30,119.5,119.5,110.0,115.95,114.7,1372.0,1.58,NSE/DENORA
2007-08-31,116.9,117.5,112.8,117.5,117.0,1764.0,2.05,NSE/DENORA
2007-09-03,117.05,122.0,117.05,122.0,119.65,1366.0,1.63,NSE/DENORA
2007-09-04,121.95,124.0,120.5,120.9,120.9,1305.0,1.59,NSE/DENORA
2007-09-05,118.2,123.65,118.2,123.65,122.05,850.0,1.04,NSE/DENORA
2007-09-06,121.0,121.0,120.5,121.0,121.0,215.0,0.26,NSE/DENORA
2007-09-07,119.15,123.8,119.15,122.95,123.1,1006.0,1.24,NSE/DENORA
2007-09-10,125.0,125.0,120.1,123.0,122.95,382.0,0.47,NSE/DENORA
2007-09-11,121.1,121.1,119.25,120.1,120.75,350.0,0.42,NSE/DENORA
2007-09-12,121.45,124.45,119.05,123.9,122.45,2502.0,3.05,NSE/DENORA
2007-09-13,122.9,142.65,120.8,136.1,137.1,26970.0,36.59,NSE/DENORA
2007-09-14,142.0,145.0,129.0,132.7,132.1,11755.0,16.45,NSE/DENORA
2007-09-17,130.25,132.85,129.0,129.0,129.85,796.0,1.03,NSE/DENORA
2007-09-18,131.25,140.0,131.25,139.0,139.35,3407.0,4.66,NSE/DENORA
2007-09-19,142.0,144.0,137.1,140.0,140.6,5293.0,7.41,NSE/DENORA
2007-09-20,139.0,143.9,137.5,140.45,139.85,2383.0,3.34,NSE/DENORA
2007-09-21,140.0,140.9,137.0,137.0,137.0,1265.0,1.75,NSE/DENORA
2007-09-24,140.9,140.9,127.5,134.8,134.6,2990.0,3.99,NSE/DENORA
2007-09-25,127.0,139.75,127.0,131.3,131.55,1143.0,1.52,NSE/DENORA
2007-09-26,139.95,140.0,133.0,133.0,133.0,1022.0,1.37,NSE/DENORA
2007-09-27,138.0,138.0,132.55,132.55,132.7,938.0,1.26,NSE/DENORA
2007-09-28,135.25,135.25,127.0,131.0,129.75,697.0,0.91,NSE/DENORA
2007-10-01,125.5,129.25,125.5,126.1,126.75,1382.0,1.76,NSE/DENORA
2007-10-03,128.0,128.0,121.5,127.75,127.4,3040.0,3.81,NSE/DENORA
2007-10-04,123.85,126.0,122.25,123.0,123.85,2369.0,2.92,NSE/DENORA
2007-10-05,122.1,125.0,122.0,122.0,122.2,2134.0,2.61,NSE/DENORA
2007-10-08,120.5,125.0,119.5,120.0,120.2,1635.0,1.97,NSE/DENORA
2007-10-09,125.0,125.0,118.55,121.8,121.35,1844.0,2.26,NSE/DENORA
2007-10-10,120.0,123.75,120.0,120.0,120.0,802.0,0.97,NSE/DENORA
2007-10-11,121.85,122.0,118.2,122.0,121.95,430.0,0.52,NSE/DENORA
2007-10-12,120.0,122.8,119.3,122.45,122.45,305.0,0.37,NSE/DENORA
2007-10-15,124.1,124.1,118.8,123.0,121.55,921.0,1.12,NSE/DENORA
2007-10-16,122.65,123.0,120.0,120.5,121.05,1150.0,1.4,NSE/DENORA
2007-10-17,101.0,120.0,101.0,116.2,119.35,647.0,0.77,NSE/DENORA
2007-10-18,115.0,119.95,115.0,116.0,116.0,1020.0,1.19,NSE/DENORA
2007-10-19,119.9,119.9,111.15,114.05,114.05,391.0,0.45,NSE/DENORA
2007-10-22,108.5,116.9,108.5,108.85,113.8,121.0,0.14,NSE/DENORA
2007-10-23,117.9,119.0,112.0,114.75,114.75,997.0,1.15,NSE/DENORA
2007-10-24,115.0,120.0,115.0,120.0,120.0,970.0,1.15,NSE/DENORA
2007-10-25,123.75,123.75,120.0,122.0,121.7,2606.0,3.15,NSE/DENORA
2007-10-26,116.2,125.0,116.2,120.0,121.7,2415.0,2.95,NSE/DENORA
2007-10-29,120.0,120.0,116.6,117.25,117.35,2445.0,2.9,NSE/DENORA
2007-10-30,118.5,119.0,116.25,117.0,117.3,2919.0,3.43,NSE/DENORA
2007-10-31,118.5,121.45,117.5,117.5,118.95,1120.0,1.35,NSE/DENORA
2007-11-01,119.0,123.0,115.05,115.05,116.35,1330.0,1.59,NSE/DENORA
2007-11-02,118.85,120.0,115.0,115.0,115.0,1240.0,1.45,NSE/DENORA
2007-11-05,120.0,120.0,112.95,112.95,113.15,652.0,0.75,NSE/DENORA
2007-11-06,108.1,113.5,108.0,112.05,111.95,934.0,1.05,NSE/DENORA
2007-11-07,107.1,119.0,105.2,111.6,111.65,323.0,0.36,NSE/DENORA
2007-11-08,133.0,133.0,111.15,114.95,113.4,298.0,0.34,NSE/DENORA
2007-11-09,117.9,117.9,115.0,115.0,115.0,25.0,0.03,NSE/DENORA
2007-11-12,115.0,115.0,111.0,112.05,112.25,275.0,0.31,NSE/DENORA
2007-11-13,118.0,119.95,112.0,115.85,115.3,1499.0,1.71,NSE/DENORA
2007-11-14,117.0,119.0,117.0,118.0,118.0,1087.0,1.28,NSE/DENORA
2007-11-15,119.0,124.95,118.65,118.65,118.65,2208.0,2.69,NSE/DENORA
2007-11-16,122.0,124.95,118.65,118.65,119.3,1767.0,2.15,NSE/DENORA
2007-11-19,125.4,135.0,120.1,130.0,129.15,5888.0,7.59,NSE/DENORA
2007-11-20,132.95,151.0,129.6,133.0,133.1,29055.0,41.34,NSE/DENORA
2007-11-21,139.0,140.0,126.25,126.55,126.45,2964.0,4.01,NSE/DENORA
2007-11-22,128.0,130.0,126.0,126.5,126.5,2241.0,2.85,NSE/DENORA
2007-11-23,130.0,132.45,125.0,125.0,126.4,2745.0,3.53,NSE/DENORA
2007-11-26,129.0,129.0,126.1,128.5,128.5,425.0,0.54,NSE/DENORA
2007-11-27,121.6,126.95,121.6,122.8,122.8,750.0,0.93,NSE/DENORA
2007-11-28,112.5,128.0,112.5,125.0,125.1,517.0,0.64,NSE/DENORA
2007-11-29,128.0,128.0,121.65,125.1,125.0,209.0,0.26,NSE/DENORA
2007-11-30,126.0,128.5,122.3,122.5,124.25,580.0,0.72,NSE/DENORA
2007-12-03,125.0,129.9,123.65,123.65,124.25,1225.0,1.54,NSE/DENORA
2007-12-04,128.5,128.5,124.05,126.3,125.65,1154.0,1.44,NSE/DENORA
2007-12-05,128.0,129.0,118.0,124.0,124.0,1124.0,1.39,NSE/DENORA
2007-12-06,130.0,142.0,130.0,136.0,133.85,3760.0,5.09,NSE/DENORA
2007-12-07,139.7,140.0,131.7,135.4,135.4,1717.0,2.36,NSE/DENORA
2007-12-10,137.0,137.0,130.05,130.1,130.05,609.0,0.8,NSE/DENORA
2007-12-11,130.15,130.95,129.6,129.75,129.85,1735.0,2.26,NSE/DENORA
2007-12-12,131.9,132.5,127.4,132.35,132.35,515.0,0.67,NSE/DENORA
2007-12-13,131.9,133.0,130.0,130.25,130.25,1087.0,1.43,NSE/DENORA
2007-12-14,135.5,138.0,134.0,134.0,134.0,1254.0,1.69,NSE/DENORA
2007-12-17,130.0,138.0,130.0,132.2,132.2,575.0,0.78,NSE/DENORA
2007-12-18,130.05,132.9,130.0,130.5,130.5,810.0,1.06,NSE/DENORA
2007-12-19,131.0,133.0,130.0,130.0,130.35,504.0,0.66,NSE/DENORA
