Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-06-30,92.8,95.0,89.15,91.0,91.0,1865.0,1.72,NSE/DENSO
2010-07-01,95.0,95.0,90.7,93.0,93.0,971.0,0.91,NSE/DENSO
2010-07-02,92.95,93.0,92.95,93.0,93.0,526.0,0.49,NSE/DENSO
2010-07-05,93.0,93.0,92.0,92.0,92.0,127.0,0.12,NSE/DENSO
2010-07-06,87.5,92.45,87.5,89.05,89.45,1097.0,0.97,NSE/DENSO
2010-07-07,90.0,92.7,89.05,91.5,91.6,1781.0,1.61,NSE/DENSO
2010-07-08,89.15,91.75,89.15,91.65,91.65,204.0,0.18,NSE/DENSO
2010-07-09,93.35,93.35,88.5,89.9,89.05,1528.0,1.36,NSE/DENSO
2010-07-12,89.0,97.0,89.0,96.5,95.35,5211.0,4.94,NSE/DENSO
2010-07-13,95.0,96.95,95.0,95.0,95.35,2358.0,2.25,NSE/DENSO
2010-07-14,114.4,114.4,95.05,96.7,96.25,2339.0,2.26,NSE/DENSO
2010-07-15,103.8,103.8,98.4,101.3,102.1,157173.0,159.97,NSE/DENSO
2010-07-16,103.4,103.4,100.0,101.0,100.1,23762.0,24.02,NSE/DENSO
2010-07-19,100.85,101.0,97.1,99.85,99.05,8904.0,8.88,NSE/DENSO
2010-07-20,96.05,103.0,96.05,99.0,97.2,6259.0,6.15,NSE/DENSO
2010-07-21,95.15,98.5,95.15,95.3,96.15,7896.0,7.6,NSE/DENSO
2010-07-22,100.75,100.75,94.5,95.0,95.35,2039.0,1.95,NSE/DENSO
2010-07-23,97.0,98.7,96.0,97.95,97.0,3459.0,3.36,NSE/DENSO
2010-07-26,96.1,97.0,94.05,94.7,95.0,1555.0,1.48,NSE/DENSO
2010-07-27,94.0,95.5,94.0,95.5,95.5,384.0,0.36,NSE/DENSO
2010-07-28,95.6,95.6,92.1,95.0,94.15,2190.0,2.06,NSE/DENSO
2010-07-29,90.6,93.25,90.6,93.15,93.15,469.0,0.43,NSE/DENSO
2010-07-30,94.0,96.4,92.0,93.0,92.4,1534.0,1.44,NSE/DENSO
2010-08-02,92.0,92.0,87.6,90.45,89.45,14635.0,13.13,NSE/DENSO
2010-08-03,99.0,99.0,90.0,90.0,90.45,2013.0,1.85,NSE/DENSO
2010-08-04,89.1,98.0,89.1,94.0,97.0,109326.0,105.34,NSE/DENSO
2010-08-05,95.05,95.95,91.0,92.1,92.2,33497.0,31.01,NSE/DENSO
2010-08-06,93.7,94.45,92.1,92.55,92.85,8001.0,7.45,NSE/DENSO
2010-08-09,91.8,93.2,91.35,91.35,91.35,1323.0,1.22,NSE/DENSO
2010-08-10,93.1,93.1,91.5,91.9,91.9,679.0,0.62,NSE/DENSO
2010-08-11,91.5,94.0,90.15,92.45,91.9,5748.0,5.28,NSE/DENSO
2010-08-12,91.0,92.85,90.05,90.3,90.3,3270.0,2.99,NSE/DENSO
2010-08-13,92.35,92.35,89.6,89.9,89.8,6095.0,5.48,NSE/DENSO
2010-08-16,90.9,95.0,89.7,89.7,89.7,9769.0,8.9,NSE/DENSO
2010-08-17,94.9,94.9,89.8,90.0,90.0,36940.0,33.28,NSE/DENSO
2010-08-18,89.3,90.0,89.2,90.0,90.0,2910.0,2.62,NSE/DENSO
2010-08-19,92.75,93.7,90.4,92.25,93.15,13835.0,12.78,NSE/DENSO
2010-08-20,91.4,96.0,91.4,95.5,95.0,17413.0,16.48,NSE/DENSO
2010-08-23,97.4,103.0,94.1,95.0,95.45,135886.0,131.58,NSE/DENSO
2010-08-24,95.0,99.85,93.15,94.25,93.65,72171.0,69.39,NSE/DENSO
2010-08-25,91.1,94.8,75.0,92.75,92.45,10564.0,9.69,NSE/DENSO
2010-08-26,91.95,93.0,88.75,88.8,90.5,4638.0,4.25,NSE/DENSO
2010-08-27,91.0,91.95,87.5,87.5,87.9,2836.0,2.55,NSE/DENSO
2010-08-30,86.35,92.6,86.35,92.5,89.65,3731.0,3.31,NSE/DENSO
2010-08-31,90.5,92.0,88.0,88.0,88.15,5412.0,4.89,NSE/DENSO
2010-09-01,87.05,94.0,87.05,90.8,90.4,3703.0,3.32,NSE/DENSO
2010-09-02,88.6,91.3,87.05,91.0,90.5,3993.0,3.57,NSE/DENSO
2010-09-03,97.0,98.0,92.25,95.0,95.2,49521.0,47.41,NSE/DENSO
2010-09-06,102.3,104.8,97.0,99.0,98.15,61370.0,60.81,NSE/DENSO
2010-09-07,98.0,102.0,97.0,98.5,97.7,72156.0,71.85,NSE/DENSO
2010-09-08,99.9,102.7,95.7,96.1,96.6,13373.0,13.11,NSE/DENSO
2010-09-09,97.4,99.85,96.7,99.0,98.9,11077.0,10.87,NSE/DENSO
2010-09-13,100.0,100.5,97.15,97.15,98.05,16214.0,16.11,NSE/DENSO
2010-09-14,96.5,98.4,96.0,96.2,96.2,3796.0,3.67,NSE/DENSO
2010-09-15,95.5,99.0,95.5,98.0,97.9,11823.0,11.59,NSE/DENSO
2010-09-16,94.6,103.0,94.6,101.4,101.3,69527.0,70.27,NSE/DENSO
2010-09-17,101.5,107.3,100.75,107.2,106.25,174824.0,184.03,NSE/DENSO
2010-09-20,108.5,109.8,104.5,106.5,106.75,80281.0,86.38,NSE/DENSO
2010-09-21,108.7,116.95,107.7,108.9,108.85,1053550.0,1190.46,NSE/DENSO
2010-09-22,109.8,112.1,105.0,109.0,109.15,173480.0,188.46,NSE/DENSO
2010-09-23,110.2,112.2,106.5,108.25,107.25,63175.0,68.33,NSE/DENSO
2010-09-24,106.5,108.9,105.2,106.8,106.6,34908.0,37.33,NSE/DENSO
2010-09-27,107.0,109.85,106.0,106.5,106.5,41552.0,44.79,NSE/DENSO
2010-09-28,105.7,110.9,105.55,107.0,107.65,84067.0,91.41,NSE/DENSO
2010-09-29,108.9,108.9,104.05,105.1,105.0,32798.0,34.65,NSE/DENSO
2010-09-30,103.3,106.7,103.2,105.05,105.0,15712.0,16.52,NSE/DENSO
2010-10-01,106.9,108.1,106.25,107.85,107.2,18800.0,20.17,NSE/DENSO
2010-10-04,109.75,109.75,106.7,107.0,107.05,20373.0,21.95,NSE/DENSO
2010-10-05,106.3,108.25,106.15,107.7,106.8,13124.0,14.08,NSE/DENSO
2010-10-06,106.5,108.8,100.05,106.1,106.35,7688.0,8.22,NSE/DENSO
2010-10-07,105.1,107.5,103.55,104.2,104.0,13938.0,14.71,NSE/DENSO
2010-10-08,109.5,109.5,101.05,106.0,104.1,35583.0,37.11,NSE/DENSO
2010-10-11,104.25,106.9,104.0,106.4,105.95,8442.0,8.93,NSE/DENSO
2010-10-12,104.85,105.55,103.2,103.65,104.05,5436.0,5.68,NSE/DENSO
2010-10-13,103.1,106.8,103.1,105.9,105.35,10112.0,10.7,NSE/DENSO
2010-10-14,104.15,109.6,104.15,106.4,105.85,10052.0,10.73,NSE/DENSO
2010-10-15,105.35,109.9,105.0,106.5,105.9,27041.0,29.16,NSE/DENSO
2010-10-18,101.0,107.4,101.0,105.4,106.75,10871.0,11.52,NSE/DENSO
2010-10-19,104.5,107.2,103.65,104.85,104.2,6678.0,7.05,NSE/DENSO
2010-10-20,107.0,107.0,102.55,103.6,103.6,4647.0,4.84,NSE/DENSO
2010-10-21,105.7,106.05,103.7,104.5,105.45,7365.0,7.78,NSE/DENSO
2010-10-22,105.0,106.5,103.0,103.05,103.4,14036.0,14.69,NSE/DENSO
2010-10-25,104.2,105.95,103.55,103.75,103.7,2878.0,3.0,NSE/DENSO
2010-10-26,103.0,105.35,103.0,103.95,103.75,7256.0,7.55,NSE/DENSO
2010-10-27,102.5,104.85,101.15,101.7,102.3,14543.0,15.01,NSE/DENSO
2010-10-28,105.75,105.75,101.05,101.5,101.65,10140.0,10.45,NSE/DENSO
2010-10-29,100.0,104.95,93.1,95.95,94.65,21295.0,20.72,NSE/DENSO
2010-11-01,96.0,96.0,93.35,94.95,94.55,11613.0,10.97,NSE/DENSO
2010-11-02,94.2,96.7,93.55,93.55,94.15,4397.0,4.17,NSE/DENSO
2010-11-03,95.0,99.4,95.0,98.25,97.8,26981.0,26.5,NSE/DENSO
2010-11-04,103.3,103.45,98.25,99.5,99.65,51950.0,52.75,NSE/DENSO
2010-11-05,104.9,105.9,101.0,103.7,104.45,39380.0,41.06,NSE/DENSO
