Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,16.0,16.0,15.6,15.65,15.65,551.0,0.09,NSE/DHAMPURSUG
2001-01-02,15.5,15.5,15.1,15.5,15.5,2475.0,0.38,NSE/DHAMPURSUG
2001-01-03,15.0,15.55,15.0,15.5,15.5,1351.0,0.21,NSE/DHAMPURSUG
2001-01-04,15.5,15.5,15.5,15.5,15.5,400.0,0.06,NSE/DHAMPURSUG
2001-01-05,15.2,15.2,14.7,15.0,15.0,1384.0,0.21,NSE/DHAMPURSUG
2001-01-08,15.0,15.0,14.45,14.5,14.5,3853.0,0.56,NSE/DHAMPURSUG
2001-01-09,14.45,15.4,14.45,15.1,14.65,4570.0,0.67,NSE/DHAMPURSUG
2001-01-10,14.55,14.9,14.55,14.75,14.75,800.0,0.12,NSE/DHAMPURSUG
2001-01-11,15.5,17.35,15.5,17.0,16.9,7645.0,1.28,NSE/DHAMPURSUG
2001-01-12,17.25,17.8,16.75,17.0,17.0,9540.0,1.64,NSE/DHAMPURSUG
2001-01-15,17.15,17.75,17.05,17.65,17.55,6230.0,1.08,NSE/DHAMPURSUG
2001-01-16,17.15,17.8,16.6,17.1,17.0,5722.0,0.98,NSE/DHAMPURSUG
2001-01-17,17.7,17.7,15.0,15.5,15.5,2625.0,0.41,NSE/DHAMPURSUG
2001-01-18,16.3,16.3,15.4,15.95,15.95,550.0,0.09,NSE/DHAMPURSUG
2001-01-19,16.0,16.35,16.0,16.2,16.2,2035.0,0.33,NSE/DHAMPURSUG
2001-01-22,15.5,16.0,15.5,16.0,15.6,1841.0,0.29,NSE/DHAMPURSUG
2001-01-23,15.25,15.7,15.25,15.7,15.7,2526.0,0.39,NSE/DHAMPURSUG
2001-01-24,14.75,15.75,14.75,15.75,15.6,775.0,0.12,NSE/DHAMPURSUG
2001-01-25,15.0,16.75,15.0,16.05,16.05,2390.0,0.38,NSE/DHAMPURSUG
2001-01-29,16.0,16.4,16.0,16.4,16.4,175.0,0.03,NSE/DHAMPURSUG
2001-01-30,15.5,16.0,15.5,16.0,16.0,1055.0,0.17,NSE/DHAMPURSUG
2001-01-31,16.9,16.9,15.5,15.7,15.7,2500.0,0.39,NSE/DHAMPURSUG
2001-02-01,15.6,15.6,15.5,15.5,15.5,799.0,0.12,NSE/DHAMPURSUG
2001-02-02,15.55,15.55,15.5,15.5,15.5,499.0,0.08,NSE/DHAMPURSUG
2001-02-05,15.5,15.5,14.5,15.0,15.0,2375.0,0.36,NSE/DHAMPURSUG
2001-02-06,14.65,15.4,14.65,15.25,15.25,7135.0,1.08,NSE/DHAMPURSUG
2001-02-07,16.5,16.75,15.9,16.75,16.75,2365.0,0.39,NSE/DHAMPURSUG
2001-02-08,16.45,17.5,16.2,17.5,17.35,5200.0,0.88,NSE/DHAMPURSUG
2001-02-09,21.45,21.45,17.2,17.5,17.5,6978.0,1.22,NSE/DHAMPURSUG
2001-02-12,17.5,17.7,17.0,17.7,17.45,5650.0,0.97,NSE/DHAMPURSUG
2001-02-13,17.0,17.5,16.7,17.2,17.0,5710.0,0.98,NSE/DHAMPURSUG
2001-02-14,18.25,18.4,17.0,17.0,17.0,6340.0,1.1,NSE/DHAMPURSUG
2001-02-15,17.0,17.05,16.4,16.75,16.75,1354.0,0.23,NSE/DHAMPURSUG
2001-02-16,17.45,17.5,17.0,17.0,17.0,2700.0,0.46,NSE/DHAMPURSUG
2001-02-19,17.0,17.0,16.75,16.75,16.75,2075.0,0.35,NSE/DHAMPURSUG
2001-02-20,15.25,16.4,15.25,15.85,15.95,2575.0,0.41,NSE/DHAMPURSUG
2001-02-21,16.95,16.95,15.85,16.5,16.45,740.0,0.12,NSE/DHAMPURSUG
2001-02-22,16.05,16.15,15.0,16.1,16.1,1550.0,0.24,NSE/DHAMPURSUG
2001-02-23,15.1,18.0,15.1,17.0,17.1,14232.0,2.47,NSE/DHAMPURSUG
2001-02-26,17.1,17.5,17.0,17.4,17.25,4820.0,0.82,NSE/DHAMPURSUG
2001-02-27,16.2,16.65,15.45,16.0,15.85,3266.0,0.53,NSE/DHAMPURSUG
2001-02-28,16.65,19.85,16.6,18.0,17.95,26859.0,5.1,NSE/DHAMPURSUG
2001-03-01,18.75,18.75,16.15,17.5,17.5,8109.0,1.45,NSE/DHAMPURSUG
2001-03-02,18.4,18.4,16.6,16.75,16.7,2350.0,0.4,NSE/DHAMPURSUG
2001-03-05,16.05,16.05,14.05,14.5,14.85,56390.0,8.74,NSE/DHAMPURSUG
2001-03-07,15.0,16.0,15.0,15.1,15.1,1150.0,0.18,NSE/DHAMPURSUG
2001-03-08,15.25,16.0,14.65,14.65,14.65,950.0,0.14,NSE/DHAMPURSUG
2001-03-09,14.35,15.25,14.25,15.0,15.0,3325.0,0.49,NSE/DHAMPURSUG
2001-03-12,14.4,14.5,14.0,14.0,14.0,4175.0,0.6,NSE/DHAMPURSUG
2001-03-13,12.6,12.85,11.0,12.5,12.5,3965.0,0.48,NSE/DHAMPURSUG
2001-03-14,12.6,13.3,12.5,13.3,13.25,2725.0,0.35,NSE/DHAMPURSUG
2001-03-15,12.05,12.05,12.05,12.05,12.05,10.0,0.0,NSE/DHAMPURSUG
2001-03-16,13.0,13.2,12.25,12.25,12.5,5035.0,0.65,NSE/DHAMPURSUG
2001-03-19,12.25,12.35,12.25,12.35,12.35,265.0,0.03,NSE/DHAMPURSUG
2001-03-20,12.5,12.7,11.5,12.05,12.0,2520.0,0.3,NSE/DHAMPURSUG
2001-03-21,11.5,11.5,11.5,11.5,11.5,25.0,0.0,NSE/DHAMPURSUG
2001-03-23,12.5,12.5,12.25,12.25,12.25,1200.0,0.15,NSE/DHAMPURSUG
2001-03-26,12.5,13.8,12.5,13.8,13.8,1250.0,0.16,NSE/DHAMPURSUG
2001-03-27,13.0,13.75,11.7,12.0,12.15,2679.0,0.34,NSE/DHAMPURSUG
2001-03-28,13.25,13.25,11.3,12.3,12.3,1400.0,0.17,NSE/DHAMPURSUG
2001-03-29,12.5,12.5,12.5,12.5,12.5,400.0,0.05,NSE/DHAMPURSUG
2001-03-30,12.3,12.3,12.0,12.0,12.0,500.0,0.06,NSE/DHAMPURSUG
2001-04-02,12.0,12.0,11.3,11.3,11.3,300.0,0.03,NSE/DHAMPURSUG
2001-04-03,12.0,12.0,11.2,11.5,11.35,1648.0,0.19,NSE/DHAMPURSUG
2001-04-04,11.6,12.0,11.6,12.0,12.0,350.0,0.04,NSE/DHAMPURSUG
2001-04-06,11.75,11.75,11.5,11.5,11.55,300.0,0.03,NSE/DHAMPURSUG
2001-04-09,11.45,11.45,11.25,11.25,11.25,900.0,0.1,NSE/DHAMPURSUG
2001-04-10,11.45,11.65,11.15,11.6,11.6,1725.0,0.2,NSE/DHAMPURSUG
2001-04-11,12.2,12.2,11.7,11.7,11.7,201.0,0.02,NSE/DHAMPURSUG
2001-04-12,10.95,10.95,9.0,9.0,9.0,1525.0,0.15,NSE/DHAMPURSUG
2001-04-16,10.0,11.9,10.0,10.5,10.55,1324.0,0.14,NSE/DHAMPURSUG
2001-04-17,11.8,12.0,11.8,11.95,11.95,1675.0,0.2,NSE/DHAMPURSUG
2001-04-18,11.25,11.75,11.25,11.75,11.75,475.0,0.05,NSE/DHAMPURSUG
2001-04-19,13.25,13.25,12.0,12.0,12.0,750.0,0.09,NSE/DHAMPURSUG
2001-04-20,11.25,11.85,11.05,11.85,11.85,210.0,0.02,NSE/DHAMPURSUG
2001-04-23,11.95,12.0,11.25,12.0,12.0,938.0,0.11,NSE/DHAMPURSUG
2001-04-24,10.15,11.6,10.15,11.0,11.0,538.0,0.06,NSE/DHAMPURSUG
2001-04-27,11.3,11.3,11.05,11.05,11.05,500.0,0.06,NSE/DHAMPURSUG
2001-04-30,11.1,11.1,11.1,11.1,11.1,50.0,0.01,NSE/DHAMPURSUG
